Symbol,Date,Close,High,Low,Open,Volume,Name
BLL,1998-05-29,2.465,2.5,2.4338,2.48,2625600,BLL
BLL,1998-06-01,2.4688,2.4885,2.4338,2.4625,1028799,BLL
BLL,1998-06-02,2.4375,2.4885,2.4142,2.4525,1224000,BLL
BLL,1998-06-03,2.4298,2.4688,2.4298,2.4688,1190400,BLL
BLL,1998-06-04,2.4572,2.4572,2.3908,2.43,3216000,BLL
BLL,1998-06-05,2.504,2.508,2.465,2.47,1275200,BLL
BLL,1998-06-08,2.5235,2.5312,2.4845,2.4875,916800,BLL
BLL,1998-06-09,2.5,2.5158,2.4768,2.5075,830400,BLL
BLL,1998-06-10,2.4962,2.5,2.461,2.4775,2296000,BLL
BLL,1998-06-11,2.4375,2.5158,2.4025,2.4925,1164800,BLL
BLL,1998-06-12,2.504,2.504,2.383,2.4225,2054399,BLL
BLL,1998-06-15,2.4298,2.4688,2.422,2.4688,2214400,BLL
BLL,1998-06-16,2.426,2.461,2.418,2.4325,3059200,BLL
BLL,1998-06-17,2.5,2.5,2.4298,2.43,3065600,BLL
BLL,1998-06-18,2.5198,2.547,2.4885,2.5,2956800,BLL
BLL,1998-06-19,2.5,2.5198,2.4922,2.515,3272000,BLL
BLL,1998-06-22,2.4768,2.5,2.461,2.5,2025599,BLL
BLL,1998-06-23,2.4375,2.4845,2.4062,2.4725,897600,BLL
BLL,1998-06-24,2.4415,2.461,2.422,2.4375,1113600,BLL
BLL,1998-06-25,2.4338,2.4375,2.418,2.4325,1571200,BLL
BLL,1998-06-26,2.4805,2.4962,2.4375,2.4375,1648000,BLL
BLL,1998-06-29,2.4845,2.5118,2.4805,2.4925,2504000,BLL
BLL,1998-06-30,2.5118,2.5198,2.4805,2.4805,3160000,BLL
BLL,1998-07-01,2.5352,2.551,2.4922,2.5125,3432000,BLL
BLL,1998-07-02,2.6838,2.6838,2.5235,2.525,3488000,BLL
BLL,1998-07-03,2.6838,2.6838,2.5235,2.525,0,BLL
BLL,1998-07-06,2.6838,2.7268,2.6562,2.7,2339200,BLL
BLL,1998-07-07,2.7345,2.7658,2.6838,2.6838,4336000,BLL
BLL,1998-07-08,2.7188,2.7385,2.6838,2.7375,1115200,BLL
BLL,1998-07-09,2.6915,2.75,2.6562,2.735,660800,BLL
BLL,1998-07-10,2.7032,2.7032,2.6408,2.695,1390400,BLL
BLL,1998-07-13,2.7072,2.7422,2.6838,2.7025,1536000,BLL
BLL,1998-07-14,2.875,2.875,2.6875,2.6925,3926400,BLL
BLL,1998-07-15,2.836,2.8712,2.836,2.86,6136000,BLL
BLL,1998-07-16,2.8595,2.8712,2.8322,2.8525,1593600,BLL
BLL,1998-07-17,2.8242,2.8595,2.801,2.8595,1732800,BLL
BLL,1998-07-20,2.7305,2.797,2.7268,2.797,1774400,BLL
BLL,1998-07-21,2.7188,2.7345,2.7032,2.7345,3425600,BLL
BLL,1998-07-22,2.7698,2.793,2.7072,2.7225,2982400,BLL
BLL,1998-07-23,2.7385,2.801,2.7268,2.7825,1422400,BLL
BLL,1998-07-24,2.7385,2.754,2.7032,2.7375,1059200,BLL
BLL,1998-07-27,2.7345,2.7345,2.6562,2.7225,1136000,BLL
BLL,1998-07-28,2.7268,2.758,2.6875,2.75,1918400,BLL
BLL,1998-07-29,2.7188,2.7462,2.676,2.7275,1246400,BLL
BLL,1998-07-30,2.7345,2.75,2.7032,2.735,955200,BLL
BLL,1998-07-31,2.7072,2.7812,2.7032,2.735,3689600,BLL
BLL,1998-08-03,2.672,2.711,2.6408,2.711,1084800,BLL
BLL,1998-08-04,2.5665,2.752,2.5588,2.7025,3990400,BLL
BLL,1998-08-05,2.5548,2.5978,2.4728,2.5825,2505600,BLL
BLL,1998-08-06,2.6095,2.6135,2.5235,2.5625,1836800,BLL
BLL,1998-08-07,2.633,2.672,2.6095,2.61,2195200,BLL
BLL,1998-08-10,2.6135,2.6348,2.5938,2.6175,1300800,BLL
