Symbol,Date,Close,High,Low,Open,Volume,Name
BWA,1998-05-29,7.125,7.1798,7.125,7.125,333600,BWA
BWA,1998-06-01,7.1562,7.1955,7.125,7.125,301600,BWA
BWA,1998-06-02,7.1955,7.2188,7.125,7.1575,910400,BWA
BWA,1998-06-03,7.1798,7.2345,7.172,7.205,513599,BWA
BWA,1998-06-04,5.9375,6.2345,5.9298,6.1875,8093600,BWA
BWA,1998-06-05,6.2345,6.25,5.9375,5.9375,3784000,BWA
BWA,1998-06-08,6.2345,6.2422,6.125,6.2422,1011200,BWA
BWA,1998-06-09,6.125,6.2188,6.0,6.2188,764800,BWA
BWA,1998-06-10,5.875,6.125,5.875,6.125,1006400,BWA
BWA,1998-06-11,5.7812,5.922,5.7345,5.922,2536800,BWA
BWA,1998-06-12,5.6408,5.797,5.633,5.75,1675200,BWA
BWA,1998-06-15,5.5548,5.75,5.547,5.6325,728800,BWA
BWA,1998-06-16,5.5782,5.6875,5.5625,5.58,1839200,BWA
BWA,1998-06-17,5.7422,5.75,5.625,5.625,1485600,BWA
BWA,1998-06-18,5.6562,5.75,5.6408,5.72,1142400,BWA
BWA,1998-06-19,5.5,5.5782,5.4532,5.5625,1113600,BWA
BWA,1998-06-22,5.4922,5.5392,5.4688,5.5325,1385600,BWA
BWA,1998-06-23,5.461,5.4922,5.461,5.485,858400,BWA
BWA,1998-06-24,5.4688,5.508,5.4062,5.455,976800,BWA
BWA,1998-06-25,5.672,5.75,5.4375,5.4375,2360000,BWA
BWA,1998-06-26,5.586,5.6408,5.5625,5.595,508000,BWA
BWA,1998-06-29,5.875,5.9688,5.75,5.75,2720800,BWA
BWA,1998-06-30,6.008,6.008,5.875,5.875,1566400,BWA
BWA,1998-07-01,6.1018,6.125,6.008,6.008,632000,BWA
BWA,1998-07-02,6.0625,6.086,6.047,6.08,462400,BWA
BWA,1998-07-03,6.0625,6.086,6.047,6.08,0,BWA
BWA,1998-07-06,6.0625,6.0782,6.0158,6.07,302400,BWA
BWA,1998-07-07,6.125,6.1562,6.0625,6.0625,199200,BWA
BWA,1998-07-08,6.0235,6.1095,6.008,6.1095,435200,BWA
BWA,1998-07-09,5.9688,6.0235,5.9688,6.0235,329600,BWA
BWA,1998-07-10,6.0625,6.0782,6.0158,6.0175,568800,BWA
BWA,1998-07-13,6.086,6.1408,6.0312,6.0475,491200,BWA
BWA,1998-07-14,6.2812,6.3125,6.0158,6.0625,998400,BWA
BWA,1998-07-15,6.3282,6.5158,6.25,6.5158,1308000,BWA
BWA,1998-07-16,6.3908,6.4062,6.3205,6.375,656800,BWA
BWA,1998-07-17,6.4142,6.4688,6.4062,6.4225,400000,BWA
BWA,1998-07-20,6.4455,6.5,6.3908,6.415,760800,BWA
BWA,1998-07-21,6.25,6.4768,6.25,6.445,266400,BWA
BWA,1998-07-22,6.0625,6.2422,5.9845,6.235,727200,BWA
BWA,1998-07-23,5.9688,6.0938,5.9688,6.0938,723200,BWA
BWA,1998-07-24,5.922,5.9768,5.8205,5.97,853600,BWA
BWA,1998-07-27,6.047,6.0548,5.8438,5.8925,411200,BWA
BWA,1998-07-28,5.9375,5.9768,5.8518,5.9768,619200,BWA
BWA,1998-07-29,6.0235,6.2422,6.0,6.0,1096800,BWA
BWA,1998-07-30,6.0705,6.125,6.0,6.0,387200,BWA
BWA,1998-07-31,5.883,5.961,5.875,5.9375,894400,BWA
