Symbol,Date,Close,High,Low,Open,Volume,Name
CA,1998-05-29,52.5,53.5,52.5,53.38,1210800,CA
CA,1998-06-01,50.938,52.688,50.5,51.0,1406600,CA
CA,1998-06-02,53.0,53.0,50.0,51.69,1652900,CA
CA,1998-06-03,51.188,53.375,51.0,53.25,1170800,CA
CA,1998-06-04,52.375,52.563,50.313,51.44,1341000,CA
CA,1998-06-05,53.75,54.0,52.75,53.56,1278800,CA
CA,1998-06-08,54.0,54.438,53.5,53.88,1105500,CA
CA,1998-06-09,54.0,54.188,53.375,54.13,1344000,CA
CA,1998-06-10,55.188,56.438,53.625,54.13,1404300,CA
CA,1998-06-11,53.813,55.5,53.75,55.13,1168200,CA
CA,1998-06-12,55.625,56.125,53.0,53.56,1480800,CA
CA,1998-06-15,54.438,56.5,54.063,54.13,1404300,CA
CA,1998-06-16,56.688,56.688,54.625,54.75,1647600,CA
CA,1998-06-17,57.75,59.0,57.563,57.75,1781900,CA
CA,1998-06-18,57.188,58.375,56.875,57.63,972000,CA
CA,1998-06-19,57.0,58.5,56.813,57.63,1258700,CA
CA,1998-06-22,56.938,58.313,56.875,57.0,901600,CA
CA,1998-06-23,58.938,59.625,57.313,57.5,1603800,CA
CA,1998-06-24,58.875,59.313,58.0,58.94,1710600,CA
CA,1998-06-25,58.875,59.375,58.125,59.0,1214800,CA
CA,1998-06-26,58.25,58.938,58.25,58.38,724700,CA
CA,1998-06-29,57.063,58.938,57.063,58.75,1871700,CA
CA,1998-06-30,55.563,58.125,54.75,57.0,1994500,CA
CA,1998-07-01,58.438,58.938,57.0,57.56,1578100,CA
CA,1998-07-02,57.188,58.188,56.875,57.81,1247600,CA
CA,1998-07-03,57.188,58.188,56.875,57.81,0,CA
CA,1998-07-06,58.875,59.25,56.938,57.19,926500,CA
CA,1998-07-07,57.563,58.875,57.063,58.63,1451400,CA
CA,1998-07-08,57.813,58.0,56.875,57.69,2532200,CA
CA,1998-07-09,57.875,58.688,57.375,57.75,1588700,CA
CA,1998-07-10,55.938,57.5,55.625,57.5,1780000,CA
CA,1998-07-13,55.813,57.0,55.625,55.94,1291900,CA
CA,1998-07-14,55.813,56.438,55.5,55.5,1200500,CA
CA,1998-07-15,56.813,57.688,55.375,55.38,1773500,CA
CA,1998-07-16,58.0,58.375,56.5,56.5,2810300,CA
CA,1998-07-17,58.5,59.75,58.0,58.25,2221200,CA
CA,1998-07-20,61.0,61.25,58.063,58.25,4328200,CA
CA,1998-07-21,57.0,61.938,56.5,61.938,2778500,CA
CA,1998-07-22,39.5,39.938,37.5,39.13,29339800,CA
CA,1998-07-23,40.625,41.25,40.125,40.88,16384599,CA
CA,1998-07-24,39.063,41.938,38.75,41.5,8321300,CA
CA,1998-07-27,37.938,39.063,37.75,38.5,3758600,CA
CA,1998-07-28,35.688,38.125,35.375,37.69,5931400,CA
CA,1998-07-29,34.0,36.0,33.875,35.75,3890900,CA
CA,1998-07-30,34.563,35.125,34.25,34.38,4103200,CA
CA,1998-07-31,33.25,34.75,32.875,34.75,4965700,CA
CA,1998-08-03,30.75,32.75,30.625,32.25,6405400,CA
CA,1998-08-04,31.625,32.688,31.188,31.69,8616300,CA
CA,1998-08-05,33.625,33.75,31.625,32.38,6994600,CA
CA,1998-08-06,38.688,39.0,33.563,33.75,7768800,CA
CA,1998-08-07,38.5,38.875,37.313,38.63,4290500,CA
CA,1998-08-10,37.813,39.125,37.0,37.75,3499200,CA
CA,1998-08-11,36.813,37.313,35.625,36.5,3286100,CA
CA,1998-08-12,38.438,39.188,37.563,37.63,3390100,CA
CA,1998-08-13,36.938,39.875,36.938,38.19,2692100,CA
CA,1998-08-14,36.25,38.125,35.375,37.94,2273400,CA
CA,1998-08-17,36.188,36.25,34.875,35.06,2242600,CA
CA,1998-08-18,35.5,36.438,35.125,36.438,3410700,CA
CA,1998-08-19,34.563,35.813,33.75,35.63,2979600,CA
CA,1998-08-20,33.75,34.75,33.5,34.31,2917100,CA
CA,1998-08-21,34.063,34.313,32.563,33.06,2570100,CA
CA,1998-08-24,33.938,34.5,33.25,34.31,1405600,CA
CA,1998-08-25,32.75,34.438,32.625,34.19,2017500,CA
CA,1998-08-26,31.313,32.75,31.0,32.06,3299800,CA
CA,1998-08-27,31.688,32.938,30.125,30.5,4213000,CA
CA,1998-08-28,30.5,32.063,30.125,31.88,3545200,CA
CA,1998-08-31,27.0,30.75,26.0,30.5,3995700,CA
CA,1998-09-01,30.125,30.125,26.5,28.5,5111500,CA
CA,1998-09-02,31.25,32.125,30.563,31.88,3284200,CA
CA,1998-09-03,30.188,30.938,29.625,30.5,2380800,CA
CA,1998-09-04,29.25,30.5,28.75,30.0,2406200,CA
CA,1998-09-07,29.25,30.5,28.75,30.0,0,CA
CA,1998-09-08,30.563,31.0,29.75,30.63,2576700,CA
CA,1998-09-09,30.0,31.188,29.875,30.5,2447600,CA
CA,1998-09-10,29.125,29.563,29.0,29.0,2015899,CA
CA,1998-09-11,30.625,30.625,28.75,29.19,2076000,CA
CA,1998-09-14,32.0,32.25,31.0,31.0,2446200,CA
CA,1998-09-15,33.0,33.0,31.188,31.25,2028800,CA
CA,1998-09-16,33.625,33.6875,32.25,33.0,1866400,CA
CA,1998-09-17,33.5,33.5,31.75,32.5,1852200,CA
CA,1998-09-18,30.625,32.438,30.625,32.13,2922900,CA
CA,1998-09-21,31.5,31.75,29.75,30.38,1879000,CA
CA,1998-09-22,31.625,32.125,31.125,31.88,2397200,CA
CA,1998-09-23,32.813,32.813,31.688,31.69,2896700,CA
CA,1998-09-24,33.5,34.188,32.813,33.0,2948600,CA
CA,1998-09-25,35.375,36.625,32.75,33.0,4007900,CA
CA,1998-09-28,36.563,37.375,35.813,36.25,2571600,CA
CA,1998-09-29,37.25,38.063,36.5,36.56,2683700,CA
CA,1998-09-30,37.0,37.375,36.375,36.38,2480200,CA
CA,1998-10-01,35.625,36.875,35.375,36.06,3465800,CA
CA,1998-10-02,33.438,35.625,33.0,35.56,3880500,CA
CA,1998-10-05,32.75,33.375,30.5,33.0,3249800,CA
CA,1998-10-06,33.813,34.875,33.125,33.44,1586000,CA
CA,1998-10-07,33.125,33.938,32.313,33.88,2076099,CA
CA,1998-10-08,31.438,32.5,30.375,32.0,2940700,CA
CA,1998-10-09,32.625,33.0,30.75,31.63,2465700,CA
CA,1998-10-12,34.125,35.125,30.75,31.6875,1121500,CA
CA,1998-10-13,33.625,34.75,32.875,34.75,1394100,CA
CA,1998-10-14,34.438,34.625,32.25,33.0,2069400,CA
CA,1998-10-15,35.438,36.0,33.688,33.81,2067699,CA
CA,1998-10-16,35.5,36.438,35.0,35.63,2272600,CA
CA,1998-10-19,37.125,38.0,35.5,35.63,2357200,CA
CA,1998-10-20,36.5,37.8125,35.875,35.875,1283700,CA
CA,1998-10-21,38.875,39.75,37.5,38.94,6167600,CA
CA,1998-10-22,39.125,39.625,38.0,38.5,2823500,CA
CA,1998-10-23,38.563,39.0,38.5,38.5,1627400,CA
CA,1998-10-26,38.813,39.75,38.625,39.0,1599900,CA
CA,1998-10-27,38.875,39.938,38.875,39.5,1928500,CA
CA,1998-10-28,38.813,39.438,37.625,37.75,2124500,CA
CA,1998-10-29,38.938,39.688,38.813,38.94,1275400,CA
CA,1998-10-30,39.375,39.75,39.063,39.44,1566500,CA
CA,1998-11-02,40.813,41.063,39.375,39.44,3573000,CA
CA,1998-11-03,41.25,41.875,40.5,41.25,2014600,CA
CA,1998-11-04,41.813,42.75,40.563,41.63,2548600,CA
CA,1998-11-05,41.25,42.813,40.875,40.88,1964000,CA
CA,1998-11-06,42.313,42.5,41.625,41.88,1290400,CA
CA,1998-11-09,44.188,44.438,42.063,42.13,2123800,CA
CA,1998-11-10,44.375,45.188,43.125,43.5,2761700,CA
CA,1998-11-11,44.688,45.75,44.563,45.0,2678500,CA
CA,1998-11-12,44.8125,45.1875,44.1875,44.6875,1253300,CA
CA,1998-11-13,44.375,45.125,44.188,44.81,1318100,CA
CA,1998-11-16,42.875,44.875,41.75,44.31,1451700,CA
CA,1998-11-17,43.5,44.813,42.25,42.38,1564900,CA
CA,1998-11-18,42.813,43.813,42.563,43.44,1163600,CA
CA,1998-11-19,41.813,43.0,41.813,42.81,1961900,CA
CA,1998-11-20,41.25,41.375,40.125,41.13,3038200,CA
CA,1998-11-23,44.75,44.938,40.5,40.88,2824400,CA
CA,1998-11-24,44.0,45.188,42.813,44.25,2308500,CA
CA,1998-11-25,44.89,45.33,43.46,43.64,0,CA
CA,1998-11-26,44.89,45.33,43.46,43.64,0,CA
CA,1998-11-27,45.938,46.0,44.875,45.0,756800,CA
CA,1998-11-30,44.25,45.875,44.063,45.875,1619000,CA
CA,1998-12-01,45.0,45.125,43.125,43.88,1766600,CA
CA,1998-12-02,44.375,44.938,43.25,44.75,1114600,CA
CA,1998-12-03,43.938,44.875,43.75,44.13,1386500,CA
CA,1998-12-04,43.813,44.875,43.5,44.06,2183000,CA
CA,1998-12-07,42.625,43.938,42.125,43.5,2056200,CA
CA,1998-12-08,43.125,44.375,41.938,42.0,2655900,CA
CA,1998-12-09,44.125,44.125,42.563,43.13,1514300,CA
CA,1998-12-10,42.938,44.125,42.813,43.75,1321800,CA
