Symbol,Date,Close,High,Low,Open,Volume,Name
CAG,1998-05-29,22.7609,22.8099,22.7126,22.7609,782240,CAG
CAG,1998-06-01,23.0527,23.199,22.6154,22.7609,1044272,CAG
CAG,1998-06-02,22.8581,23.2962,22.8581,23.1499,1022040,CAG
CAG,1998-06-03,23.2962,23.3445,22.8581,22.9087,802801,CAG
CAG,1998-06-04,23.2472,23.2472,23.0044,23.2472,554006,CAG
CAG,1998-06-05,23.6363,23.6363,23.1499,23.2978,1139369,CAG
CAG,1998-06-08,23.9771,24.0254,23.588,23.7336,1127418,CAG
CAG,1998-06-09,24.0254,24.1226,23.8799,23.8814,967551,CAG
CAG,1998-06-10,24.3172,24.609,23.8308,23.9748,1241278,CAG
CAG,1998-06-11,24.2199,24.3662,23.9281,24.2705,1344985,CAG
CAG,1998-06-12,24.7553,24.7553,24.1226,24.2238,1901305,CAG
CAG,1998-06-15,24.7062,24.8035,24.3172,24.4183,1787060,CAG
CAG,1998-06-16,24.7062,24.7062,24.2199,24.6129,2134808,CAG
CAG,1998-06-17,25.3389,25.3389,24.7062,24.7062,2238387,CAG
CAG,1998-06-18,25.4844,25.8735,24.9498,25.6789,2478957,CAG
CAG,1998-06-19,24.8035,25.4844,24.8035,25.4377,1649425,CAG
CAG,1998-06-22,25.2899,25.2899,24.9498,25.0019,716186,CAG
CAG,1998-06-23,24.9008,25.2899,24.4635,25.2899,926300,CAG
CAG,1998-06-24,24.609,24.658,24.0254,24.3639,1416308,CAG
CAG,1998-06-25,24.1717,24.9008,24.1226,24.7529,1171625,CAG
CAG,1998-06-26,24.5607,24.8525,24.3172,24.3172,711174,CAG
CAG,1998-06-29,24.8525,25.0953,24.609,24.9008,1065990,CAG
CAG,1998-06-30,24.658,24.9498,24.1226,24.9008,1349997,CAG
CAG,1998-07-01,22.2263,23.4418,21.7399,23.0566,5172527,CAG
CAG,1998-07-02,22.5663,22.5663,21.7882,22.224,3176381,CAG
CAG,1998-07-03,22.5663,22.5663,21.7882,22.224,0,CAG
CAG,1998-07-06,22.129,22.5663,21.8855,22.5663,1416951,CAG
CAG,1998-07-07,21.7882,22.129,21.4481,22.0839,2012209,CAG
CAG,1998-07-08,21.4964,22.08,21.3018,22.08,1874446,CAG
CAG,1998-07-09,20.7673,21.5454,20.7182,21.4458,2846882,CAG
CAG,1998-07-10,19.9401,21.01,19.3078,21.01,3181522,CAG
CAG,1998-07-13,20.0864,20.621,20.0374,20.621,2027373,CAG
CAG,1998-07-14,20.2809,20.621,20.0374,20.1852,2207673,CAG
CAG,1998-07-15,20.3292,20.4754,20.1346,20.333,1323395,CAG
CAG,1998-07-16,20.621,20.7182,20.2319,20.5276,1493671,CAG
CAG,1998-07-17,20.7673,20.8155,20.5237,20.7688,919746,CAG
CAG,1998-07-20,20.67,20.9128,20.4264,20.8155,1711753,CAG
CAG,1998-07-21,20.5727,20.7182,20.4264,20.7182,1335475,CAG
CAG,1998-07-22,20.5237,20.6696,20.3778,20.5723,1845660,CAG
CAG,1998-07-23,20.5237,20.621,20.4264,20.621,1099531,CAG
CAG,1998-07-24,20.7182,20.7673,20.4754,20.621,1487374,CAG
CAG,1998-07-27,21.01,21.01,20.67,20.7221,3326481,CAG
CAG,1998-07-28,20.7673,21.01,20.3782,21.01,1738354,CAG
CAG,1998-07-29,20.67,20.9128,20.5237,20.8155,1082825,CAG
CAG,1998-07-30,20.5727,20.7182,20.4264,20.6677,826190,CAG
CAG,1998-07-31,20.1346,20.621,19.8428,20.5743,1558055,CAG
CAG,1998-08-03,20.2319,20.3292,19.9401,19.9907,1736555,CAG
CAG,1998-08-04,19.3565,20.3782,19.2592,20.1385,2191995,CAG
CAG,1998-08-05,19.0647,19.7455,18.5783,19.5004,2322561,CAG
CAG,1998-08-06,18.5783,19.0647,18.3355,19.0647,2230805,CAG
CAG,1998-08-07,18.2865,18.8219,18.0437,18.4344,1755318,CAG
CAG,1998-08-10,18.5297,18.8215,18.2865,18.4324,2170533,CAG
CAG,1998-08-11,18.3838,18.6273,18.2865,18.6273,1591853,CAG
CAG,1998-08-12,18.8701,19.0164,18.1892,18.7767,1705456,CAG
CAG,1998-08-13,18.5783,19.4055,18.5783,18.8234,1757759,CAG
CAG,1998-08-14,18.8701,18.9674,18.7246,18.7767,914348,CAG
CAG,1998-08-17,18.5783,18.8701,18.2865,18.2865,1424019,CAG
CAG,1998-08-18,18.5783,18.9674,18.4328,18.7767,1712395,CAG
CAG,1998-08-19,18.4811,18.8219,18.1892,18.7767,2478058,CAG
CAG,1998-08-20,18.4811,18.7246,18.141,18.5277,1371201,CAG
CAG,1998-08-21,18.2865,18.5783,17.5574,18.1387,1504338,CAG
CAG,1998-08-24,18.1892,18.8219,17.8002,18.6756,1333548,CAG
CAG,1998-08-25,18.7729,18.7729,18.141,18.3877,1410525,CAG
CAG,1998-08-26,18.4811,19.1133,18.2865,18.8215,727880,CAG
CAG,1998-08-27,18.092,18.7246,17.9947,18.6289,1369145,CAG
CAG,1998-08-28,18.9188,18.9188,18.1406,18.627,1503824,CAG
CAG,1998-08-31,19.2592,19.9401,19.1619,19.8895,2930670,CAG
CAG,1998-09-01,20.6696,20.6696,19.1619,19.7455,3248218,CAG
CAG,1998-09-02,20.2319,20.9128,20.0374,20.6677,3150679,CAG
CAG,1998-09-03,20.1836,20.4264,19.5028,20.1385,2207030,CAG
CAG,1998-09-04,20.9618,20.9618,20.1836,20.4264,1073444,CAG
CAG,1998-09-07,20.9618,20.9618,20.1836,20.4264,0,CAG
CAG,1998-09-08,21.4964,21.8372,20.8155,21.8349,1573861,CAG
CAG,1998-09-09,22.1773,22.9554,21.4481,22.9554,2576882,CAG
CAG,1998-09-10,21.4481,21.9827,21.3018,21.6948,1194885,CAG
CAG,1998-09-11,21.01,22.3718,20.9128,22.3718,1926878,CAG
CAG,1998-09-14,21.7882,21.8855,21.3991,21.3991,1425561,CAG
CAG,1998-09-15,21.9345,21.9345,21.2046,21.5003,1590568,CAG
CAG,1998-09-16,22.3718,22.3718,21.8372,21.936,1303219,CAG
CAG,1998-09-17,21.7399,21.9827,21.5454,21.7882,1057508,CAG
CAG,1998-09-18,21.9827,21.9827,21.4964,21.7415,1906959,CAG
CAG,1998-09-21,21.8372,22.129,21.3991,21.5003,1294866,CAG
CAG,1998-09-22,21.5937,21.8372,20.9618,21.7415,1533381,CAG
CAG,1998-09-23,21.9345,22.3718,21.5937,21.5937,1290368,CAG
CAG,1998-09-24,22.0317,22.0317,21.4964,21.5937,1314914,CAG
CAG,1998-09-25,21.8372,22.4691,21.3991,21.3991,1686436,CAG
CAG,1998-09-28,21.3991,22.5181,21.3509,22.473,3351797,CAG
CAG,1998-09-29,21.4481,21.5937,21.1563,21.5937,1205937,CAG
CAG,1998-09-30,20.9618,21.3991,20.9618,21.3057,1125619,CAG
CAG,1998-10-01,20.67,20.8155,20.4264,20.4264,1304119,CAG
CAG,1998-10-02,21.6427,21.6427,20.7182,20.7221,1226884,CAG
CAG,1998-10-05,21.7399,21.7399,20.8155,21.3057,899569,CAG
CAG,1998-10-06,21.4481,21.7882,20.8155,21.547,1972499,CAG
CAG,1998-10-07,22.129,22.1773,21.4964,21.6948,1906702,CAG
CAG,1998-10-08,22.6154,22.8099,21.4481,21.4481,2871427,CAG
CAG,1998-10-09,23.0527,23.0527,22.1773,22.224,1947440,CAG
CAG,1998-10-12,23.8308,23.9281,22.7126,22.7142,2410076,CAG
CAG,1998-10-13,23.6363,24.3172,23.2962,23.539,2963826,CAG
CAG,1998-10-14,23.539,23.9771,23.0527,23.0566,1703914,CAG
CAG,1998-10-15,23.8308,24.0254,23.0527,23.0566,1215961,CAG
CAG,1998-10-16,23.9281,24.0744,23.7336,24.0293,2200091,CAG
CAG,1998-10-19,23.9771,24.0744,23.7336,23.8814,1509092,CAG
CAG,1998-10-20,24.0254,24.2199,23.6853,24.1226,1292425,CAG
CAG,1998-10-21,23.8308,24.1717,23.539,24.1226,948532,CAG
CAG,1998-10-22,24.0254,24.0254,23.7826,23.8814,1071002,CAG
CAG,1998-10-23,23.7336,23.9771,23.4908,23.8347,742530,CAG
CAG,1998-10-26,23.6853,23.7336,23.1499,23.5857,1328664,CAG
CAG,1998-10-27,23.6853,23.7336,23.2962,23.7336,761550,CAG
CAG,1998-10-28,23.199,23.6363,23.1017,23.539,830174,CAG
CAG,1998-10-29,23.4418,23.588,22.9554,23.1966,905866,CAG
CAG,1998-10-30,23.6849,23.6849,23.539,23.6363,542440,CAG
CAG,1998-11-02,23.9281,24.1226,23.588,23.6869,1547260,CAG
CAG,1998-11-03,23.3445,23.9771,23.2962,23.9748,917689,CAG
CAG,1998-11-04,23.539,23.9281,23.4908,23.4923,1195914,CAG
CAG,1998-11-05,23.9281,23.9281,23.3445,23.4456,1050183,CAG
CAG,1998-11-06,24.4635,24.5117,23.8799,23.9748,1293967,CAG
CAG,1998-11-09,24.658,24.7062,24.2199,24.2705,933753,CAG
CAG,1998-11-10,25.1443,25.2416,24.609,24.6596,1134229,CAG
CAG,1998-11-11,24.658,25.1926,24.4144,25.0019,651417,CAG
CAG,1998-11-12,25.1443,25.2416,24.609,24.7062,1134229,CAG
CAG,1998-11-13,24.9008,25.0953,24.7062,24.9008,781083,CAG
CAG,1998-11-16,24.9498,25.1443,24.5117,25.0953,815781,CAG
CAG,1998-11-17,24.8525,24.9981,24.4144,24.8074,772345,CAG
CAG,1998-11-18,24.7062,24.8035,24.1226,24.8035,740217,CAG
CAG,1998-11-19,25.0471,25.0471,24.658,25.0019,755767,CAG
CAG,1998-11-20,24.9981,24.9981,24.4635,24.7062,784682,CAG
CAG,1998-11-23,24.9008,25.2416,24.7553,24.8074,838784,CAG
CAG,1998-11-24,24.8035,24.8525,24.2689,24.8074,942106,CAG
CAG,1998-11-25,24.8035,24.8525,24.2689,24.8074,0,CAG
CAG,1998-11-26,24.8035,24.8525,24.2689,24.8074,0,CAG
CAG,1998-11-27,24.9008,24.9498,24.0254,24.8074,557347,CAG
CAG,1998-11-30,24.4635,24.8525,24.4144,24.8525,679432,CAG
CAG,1998-12-01,24.9008,24.9981,24.0254,24.3172,1539806,CAG
CAG,1998-12-02,24.8525,24.9008,24.5117,24.9008,988370,CAG
CAG,1998-12-03,24.5607,24.9981,24.5117,24.8074,545910,CAG
CAG,1998-12-04,25.0953,25.0953,24.658,24.8541,702564,CAG
CAG,1998-12-07,25.1926,25.2416,24.8035,25.0953,871811,CAG
CAG,1998-12-08,25.2416,25.2899,24.5117,25.0019,859474,CAG
CAG,1998-12-09,25.2899,25.2899,24.8035,25.0953,635224,CAG
CAG,1998-12-10,24.2689,24.609,24.1226,24.3172,1345756,CAG
CAG,1998-12-11,24.3172,24.3172,23.6853,24.1693,872839,CAG
CAG,1998-12-14,24.9498,24.9498,24.1226,24.1226,1573733,CAG
CAG,1998-12-15,24.8035,24.8035,24.4144,24.8035,1437384,CAG
CAG,1998-12-16,23.7336,24.609,23.7336,24.609,1082568,CAG
CAG,1998-12-17,23.3445,23.8308,22.9554,23.7336,1521044,CAG
CAG,1998-12-18,23.199,23.3935,23.0044,23.0044,1813019,CAG
CAG,1998-12-21,22.7609,23.4418,22.7609,23.2978,1277003,CAG
CAG,1998-12-22,23.9281,24.2199,23.0527,23.1033,1597764,CAG
CAG,1998-12-23,23.4418,23.8799,23.4418,23.5857,1800682,CAG
CAG,1998-12-24,24.2199,24.3662,23.4908,23.539,538970,CAG
CAG,1998-12-25,24.2199,24.3662,23.4908,23.539,0,CAG
CAG,1998-12-28,24.609,24.8035,24.2689,24.7062,1304762,CAG
CAG,1998-12-29,24.8035,25.0471,24.3172,24.5584,1212234,CAG
CAG,1998-12-30,24.9008,25.1926,24.5117,24.5584,1263124,CAG
CAG,1998-12-31,24.5117,25.6789,24.1226,24.9008,1986764,CAG
CAG,1999-01-01,24.5117,25.6789,24.1226,24.9008,0,CAG
CAG,1999-01-04,24.8525,25.1926,24.5117,24.5117,1733856,CAG
CAG,1999-01-05,25.3871,25.5334,24.7062,24.9008,1355394,CAG
CAG,1999-01-06,26.5544,26.6034,25.3389,25.4377,4180944,CAG
CAG,1999-01-07,25.8252,26.2143,25.7762,26.1692,1810320,CAG
CAG,1999-01-08,26.6516,26.7489,25.8735,25.8735,3351412,CAG
CAG,1999-01-11,25.3389,26.4571,25.1443,26.2625,1626936,CAG
CAG,1999-01-12,25.8252,25.9707,25.4844,25.6789,1636703,CAG
CAG,1999-01-13,26.117,26.2625,24.9008,25.0953,1645827,CAG
CAG,1999-01-14,26.117,26.2143,25.8735,26.0213,1840263,CAG
CAG,1999-01-15,25.728,26.1653,25.5334,26.1147,2829918,CAG
CAG,1999-01-18,25.728,26.1653,25.5334,26.1147,0,CAG
CAG,1999-01-19,25.3389,25.6789,25.0953,25.6789,1305276,CAG
CAG,1999-01-20,24.7062,25.4362,24.5607,25.391,1036690,CAG
CAG,1999-01-21,24.4635,24.8035,24.1717,24.7062,1299236,CAG
CAG,1999-01-22,24.9981,24.9981,24.1717,24.2238,1023325,CAG
CAG,1999-01-25,25.2899,25.2899,24.7062,24.7529,1102487,CAG
CAG,1999-01-26,24.8525,25.4844,24.7062,25.391,1099146,CAG
CAG,1999-01-27,24.7553,24.9008,24.3172,24.7062,2366511,CAG
CAG,1999-01-28,24.9498,25.5334,24.5117,24.5584,1300007,CAG
CAG,1999-01-29,25.2899,25.2899,24.7062,25.0019,1323524,CAG
CAG,1999-02-01,24.8525,25.3389,24.5607,25.2899,813725,CAG
CAG,1999-02-02,24.5117,24.9008,24.0254,24.7529,1354752,CAG
CAG,1999-02-03,24.8035,24.9008,24.2199,24.3172,974748,CAG
CAG,1999-02-04,24.9008,25.0471,24.609,24.6129,1045300,CAG
CAG,1999-02-05,24.609,24.9008,24.3662,24.9008,1111354,CAG
CAG,1999-02-08,24.4144,24.7062,24.2199,24.6129,671978,CAG
CAG,1999-02-09,24.1717,24.4144,23.9281,24.4144,846880,CAG
CAG,1999-02-10,24.4144,24.5117,23.8799,24.0293,861274,CAG
CAG,1999-02-11,24.3662,24.5117,24.0254,24.5117,1142068,CAG
CAG,1999-02-12,23.8799,24.3662,23.6853,24.3172,1008546,CAG
CAG,1999-02-15,23.8799,24.3662,23.6853,24.3172,0,CAG
