Symbol,Date,Close,High,Low,Open,Volume,Name
CBG,2004-06-10,6.1167,6.3367,6.0333,6.3333,35095800,CBG
CBG,2004-06-11,6.1167,6.3367,6.0333,6.3333,0,CBG
CBG,2004-06-14,6.0667,6.1267,6.0533,6.0833,2313600,CBG
CBG,2004-06-15,6.2501,6.2501,6.07,6.07,2499600,CBG
CBG,2004-06-16,6.3333,6.3667,6.25,6.25,2810100,CBG
CBG,2004-06-17,6.3667,6.3667,6.3501,6.3534,1390200,CBG
CBG,2004-06-18,6.3433,6.3967,6.3333,6.35,708300,CBG
CBG,2004-06-21,6.3667,6.3667,6.33,6.33,508499,CBG
CBG,2004-06-22,6.3634,6.3634,6.33,6.33,1125900,CBG
CBG,2004-06-23,6.2967,6.2967,6.2834,6.2834,1033500,CBG
CBG,2004-06-24,6.2979,6.35,6.25,6.2667,857700,CBG
CBG,2004-06-25,6.3501,6.3501,6.3333,6.3333,809100,CBG
CBG,2004-06-28,6.3567,6.3567,6.2501,6.2501,1184400,CBG
CBG,2004-06-29,6.3667,6.3667,6.3333,6.3333,608700,CBG
CBG,2004-06-30,6.3667,6.4,6.3467,6.35,552600,CBG
CBG,2004-07-01,6.3834,6.3834,6.3501,6.3501,380100,CBG
CBG,2004-07-02,6.3834,6.3834,6.3501,6.3501,246600,CBG
CBG,2004-07-05,6.3834,6.3834,6.3501,6.3501,0,CBG
CBG,2004-07-06,6.3667,6.3667,6.3534,6.3534,137100,CBG
CBG,2004-07-07,6.3501,6.3501,6.34,6.34,181200,CBG
CBG,2004-07-08,6.3634,6.3634,6.3501,6.3634,190500,CBG
CBG,2004-07-09,6.3567,6.3567,6.3333,6.3501,226500,CBG
CBG,2004-07-12,6.3033,6.35,6.3033,6.3333,176700,CBG
CBG,2004-07-13,6.3534,6.3534,6.2834,6.2834,578100,CBG
CBG,2004-07-14,6.3734,6.3734,6.34,6.34,303600,CBG
CBG,2004-07-15,6.3501,6.3501,6.3433,6.3433,312900,CBG
CBG,2004-07-16,6.3,6.36,6.3,6.3433,268800,CBG
CBG,2004-07-19,6.3333,6.3333,6.3,6.3,212700,CBG
CBG,2004-07-20,6.3466,6.3466,6.3266,6.3266,505200,CBG
CBG,2004-07-21,6.3501,6.3501,6.3266,6.3266,165000,CBG
CBG,2004-07-22,6.4067,6.4067,6.3333,6.3333,231000,CBG
CBG,2004-07-23,6.3,6.3,6.2501,6.2501,1555800,CBG
CBG,2004-07-26,6.26,6.26,6.2167,6.2167,420900,CBG
CBG,2004-07-27,6.28,6.28,6.2567,6.2567,113700,CBG
CBG,2004-07-28,6.3033,6.3033,6.2534,6.2534,131100,CBG
CBG,2004-07-29,6.3,6.3,6.2567,6.2567,91800,CBG
CBG,2004-07-30,6.3133,6.3467,6.2767,6.3,1072200,CBG
CBG,2004-08-02,6.3466,6.3466,6.2967,6.2967,203100,CBG
CBG,2004-08-03,6.4067,6.4067,6.34,6.34,222900,CBG
CBG,2004-08-04,6.3667,6.3667,6.3501,6.3501,386400,CBG
CBG,2004-08-05,6.57,6.6667,6.3867,6.5,1145100,CBG
CBG,2004-08-06,6.4733,6.5333,6.4333,6.5333,144900,CBG
CBG,2004-08-09,6.36,6.44,6.3567,6.44,469800,CBG
CBG,2004-08-10,6.4333,6.48,6.3333,6.3333,328800,CBG
CBG,2004-08-11,6.4333,6.48,6.4167,6.45,138900,CBG
CBG,2004-08-12,6.4167,6.5,6.4167,6.45,279600,CBG
CBG,2004-08-13,6.4,6.4533,6.3733,6.45,420300,CBG
CBG,2004-08-16,6.4167,6.4167,6.3501,6.3501,473700,CBG
CBG,2004-08-17,6.2833,6.3967,6.2567,6.3867,743400,CBG
CBG,2004-08-18,6.3167,6.3167,6.3,6.3,68100,CBG
CBG,2004-08-19,6.3733,6.4067,6.3033,6.3033,120300,CBG
CBG,2004-08-20,6.4667,6.4667,6.3933,6.3933,150300,CBG
CBG,2004-08-23,6.3933,6.4367,6.35,6.4333,663300,CBG
CBG,2004-08-24,6.4433,6.4433,6.3967,6.3967,185400,CBG
CBG,2004-08-25,6.4667,6.4667,6.4466,6.4501,91800,CBG
CBG,2004-08-26,6.4967,6.4967,6.4667,6.4667,188100,CBG
CBG,2004-08-27,6.4433,6.4967,6.4167,6.48,211800,CBG
CBG,2004-08-30,6.4767,6.4767,6.46,6.46,63299,CBG
CBG,2004-08-31,6.4967,6.5333,6.4667,6.4733,721200,CBG
CBG,2004-09-01,6.58,6.6133,6.5333,6.5333,710400,CBG
CBG,2004-09-02,6.6667,6.6667,6.5466,6.5466,1025700,CBG
CBG,2004-09-03,6.8667,6.9667,6.63,6.6667,161100,CBG
CBG,2004-09-06,6.8667,6.9667,6.63,6.6667,0,CBG
CBG,2004-09-07,6.9133,6.9233,6.8467,6.9,446700,CBG
CBG,2004-09-08,6.7733,6.8433,6.7667,6.8333,191700,CBG
CBG,2004-09-09,7.1333,7.2367,6.8567,6.8567,963000,CBG
CBG,2004-09-10,7.4533,7.5333,7.1667,7.1667,961800,CBG
CBG,2004-09-13,7.52,7.6333,7.4533,7.6133,845700,CBG
CBG,2004-09-14,7.59,7.63,7.4433,7.4667,709200,CBG
CBG,2004-09-15,7.4967,7.5833,7.4833,7.56,530700,CBG
