Symbol,Date,Close,High,Low,Open,Volume,Name
CCI,1998-08-18,12.9999,13.1887,12.875,13.0,5783087,CCI
CCI,1998-08-19,13.0628,13.3136,12.9999,13.0628,388792,CCI
CCI,1998-08-20,12.9999,13.2506,12.9999,13.13,348592,CCI
CCI,1998-08-21,12.9999,13.0628,12.9999,13.0,804084,CCI
CCI,1998-08-24,12.9999,13.0628,12.9999,13.06,119797,CCI
CCI,1998-08-25,12.9999,13.0628,12.875,13.0,294194,CCI
CCI,1998-08-26,12.2507,12.9999,12.1248,12.9999,383892,CCI
CCI,1998-08-27,11.1249,12.4385,10.7503,12.25,435391,CCI
CCI,1998-08-28,10.0001,11.3757,10.0001,11.3757,192496,CCI
CCI,1998-08-31,8.1252,10.125,7.6247,10.0,150897,CCI
CCI,1998-09-01,8.4998,9.0002,6.6877,8.25,440691,CCI
CCI,1998-09-02,9.5636,10.5006,8.4998,8.5,509189,CCI
CCI,1998-09-03,8.7505,9.7504,8.4998,9.75,165896,CCI
CCI,1998-09-04,8.3749,9.0002,8.1252,9.0,155697,CCI
CCI,1998-09-07,8.3749,9.0002,8.1252,9.0,0,CCI
CCI,1998-09-08,9.8753,10.0001,8.7505,9.0,149297,CCI
CCI,1998-09-09,9.4997,10.0001,9.4997,9.88,116897,CCI
CCI,1998-09-10,9.25,9.3748,9.0002,9.3748,80698,CCI
CCI,1998-09-11,9.0002,9.3748,9.0002,9.31,84797,CCI
CCI,1998-09-14,9.0002,9.6256,9.0002,9.25,90798,CCI
CCI,1998-09-15,8.7505,9.25,8.6257,9.13,200396,CCI
CCI,1998-09-16,7.8755,8.7505,7.7506,8.75,221295,CCI
CCI,1998-09-17,8.281,8.6257,7.8755,7.88,87298,CCI
CCI,1998-09-18,8.25,8.6886,7.7506,8.38,147297,CCI
CCI,1998-09-21,7.0004,8.0003,6.8756,7.88,472890,CCI
CCI,1998-09-22,8.0003,8.1252,7.0634,7.13,728285,CCI
CCI,1998-09-23,8.3749,8.6257,8.0003,8.25,382492,CCI
CCI,1998-09-24,9.0632,9.3748,8.4998,8.5,280794,CCI
CCI,1998-09-25,9.3748,9.4378,8.7505,8.7505,44398,CCI
CCI,1998-09-28,9.3748,9.8753,9.3748,9.5,26499,CCI
CCI,1998-09-29,9.5317,9.7504,9.25,9.5,88298,CCI
CCI,1998-09-30,9.6256,10.0631,9.3748,9.5,172296,CCI
CCI,1998-10-01,8.8754,9.6256,8.8754,9.6256,85498,CCI
CCI,1998-10-02,8.8754,9.25,8.8754,8.88,58698,CCI
CCI,1998-10-05,8.0003,8.8754,8.0003,8.75,62998,CCI
CCI,1998-10-06,8.3749,9.1251,8.0003,9.0,129497,CCI
CCI,1998-10-07,7.8135,8.6257,7.8135,8.38,340393,CCI
CCI,1998-10-08,6.3132,7.8135,6.0005,7.75,346793,CCI
CCI,1998-10-09,6.2502,7.1253,6.1254,7.0,271494,CCI
CCI,1998-10-12,6.2502,6.4999,6.0005,6.4999,660387,CCI
CCI,1998-10-13,7.0004,7.4998,6.2502,6.2502,228595,CCI
CCI,1998-10-14,7.6247,7.6247,6.8756,6.88,46398,CCI
CCI,1998-10-15,7.5628,7.6247,7.375,7.5,44099,CCI
CCI,1998-10-16,7.8755,8.3749,7.4998,7.81,421592,CCI
CCI,1998-10-19,8.5627,8.5627,8.0003,8.13,50598,CCI
CCI,1998-10-20,9.3748,9.4997,8.4998,8.63,354793,CCI
CCI,1998-10-21,10.0001,10.3747,9.4378,9.44,155996,CCI
CCI,1998-10-22,11.4386,11.5005,10.0001,10.13,134597,CCI
CCI,1998-10-23,12.9999,13.1268,11.3757,11.63,411391,CCI
CCI,1998-10-26,12.7502,12.9999,12.6253,12.9999,125497,CCI
CCI,1998-10-27,12.4385,13.3755,12.3756,12.88,417492,CCI
CCI,1998-10-28,12.7502,12.7502,12.2507,12.38,52999,CCI
