Symbol,Date,Close,High,Low,Open,Volume,Name
CERN,1998-05-29,3.2032,3.2658,3.1875,3.265,1973600,CERN
CERN,1998-06-01,3.0782,3.211,3.0782,3.1875,1784000,CERN
CERN,1998-06-02,3.0938,3.1408,3.0782,3.125,1929600,CERN
CERN,1998-06-03,3.1562,3.1562,3.1018,3.1175,2700000,CERN
CERN,1998-06-04,3.2812,3.2812,3.1408,3.1575,5980800,CERN
CERN,1998-06-05,3.2345,3.3205,3.211,3.2825,3668000,CERN
CERN,1998-06-08,3.258,3.3595,3.2268,3.235,1110400,CERN
CERN,1998-06-09,3.297,3.3205,3.25,3.32,333600,CERN
CERN,1998-06-10,3.25,3.3125,3.2345,3.25,1798400,CERN
CERN,1998-06-11,3.2188,3.25,3.1875,3.25,2830400,CERN
CERN,1998-06-12,3.25,3.2658,3.1875,3.25,554400,CERN
CERN,1998-06-15,3.2618,3.297,3.172,3.25,1104800,CERN
CERN,1998-06-16,3.3125,3.3125,3.25,3.2975,392800,CERN
CERN,1998-06-17,3.375,3.4298,3.297,3.2975,1108000,CERN
CERN,1998-06-18,3.2812,3.3908,3.2812,3.39,900000,CERN
CERN,1998-06-19,3.2658,3.3125,3.2188,3.2975,1429600,CERN
CERN,1998-06-22,3.375,3.3908,3.25,3.25,748000,CERN
CERN,1998-06-23,3.375,3.3908,3.2812,3.345,4348800,CERN
CERN,1998-06-24,3.336,3.3908,3.297,3.3825,4615200,CERN
CERN,1998-06-25,3.4455,3.4532,3.3048,3.345,3921600,CERN
CERN,1998-06-26,3.4455,3.4688,3.3985,3.445,2062399,CERN
CERN,1998-06-29,3.461,3.461,3.422,3.4525,1878400,CERN
CERN,1998-06-30,3.5392,3.5705,3.4375,3.4525,4120000,CERN
CERN,1998-07-01,3.6172,3.6955,3.547,3.5625,2109600,CERN
CERN,1998-07-02,3.4845,3.625,3.461,3.595,1003200,CERN
CERN,1998-07-03,3.4845,3.625,3.461,3.595,0,CERN
CERN,1998-07-06,3.4142,3.5,3.4062,3.485,2461600,CERN
CERN,1998-07-07,3.3908,3.422,3.3908,3.422,1697600,CERN
CERN,1998-07-08,3.375,3.3945,3.3438,3.39,831200,CERN
CERN,1998-07-09,3.6562,3.7345,3.375,3.375,3347200,CERN
CERN,1998-07-10,3.5625,3.6562,3.4845,3.6562,1891200,CERN
CERN,1998-07-13,3.7812,3.8125,3.5312,3.595,3108800,CERN
CERN,1998-07-14,3.7345,3.797,3.7188,3.75,2194400,CERN
CERN,1998-07-15,3.75,3.7658,3.7188,3.72,860800,CERN
CERN,1998-07-16,3.8282,3.875,3.6875,3.72,1956800,CERN
CERN,1998-07-17,3.8438,3.875,3.75,3.875,746400,CERN
CERN,1998-07-20,3.9298,3.9375,3.8438,3.875,1401600,CERN
CERN,1998-07-21,3.9062,3.9375,3.8438,3.9375,938400,CERN
CERN,1998-07-22,3.875,3.9375,3.6875,3.9225,3668800,CERN
CERN,1998-07-23,3.6955,3.9845,3.672,3.9,5847200,CERN
CERN,1998-07-24,3.6875,3.7345,3.6485,3.72,1067200,CERN
CERN,1998-07-27,3.6408,3.7032,3.6095,3.64,1466400,CERN
CERN,1998-07-28,3.6095,3.633,3.5782,3.6325,1859200,CERN
CERN,1998-07-29,3.711,3.7188,3.5782,3.625,1248000,CERN
CERN,1998-07-30,3.6955,3.7345,3.672,3.6875,908800,CERN
CERN,1998-07-31,3.547,3.6875,3.547,3.6875,1992000,CERN
CERN,1998-08-03,3.375,3.5625,3.3125,3.5625,1898400,CERN
CERN,1998-08-04,3.375,3.3908,3.0782,3.39,2562400,CERN
CERN,1998-08-05,3.25,3.375,3.172,3.375,1165600,CERN
CERN,1998-08-06,3.3518,3.3595,3.2345,3.2825,1479200,CERN
CERN,1998-08-07,3.4062,3.461,3.3205,3.3205,1382400,CERN
CERN,1998-08-10,3.3125,3.4375,3.25,3.39,3956800,CERN
CERN,1998-08-11,3.297,3.375,3.1955,3.22,1812800,CERN
CERN,1998-08-12,3.4688,3.5,3.3125,3.3125,6560000,CERN
CERN,1998-08-13,3.4375,3.4688,3.422,3.4688,1566400,CERN
CERN,1998-08-14,3.4455,3.4845,3.4298,3.4375,1823200,CERN
CERN,1998-08-17,3.5158,3.5392,3.422,3.4225,1336000,CERN
CERN,1998-08-18,3.6172,3.6408,3.5158,3.5325,1605600,CERN
CERN,1998-08-19,3.625,3.672,3.547,3.61,2224000,CERN
CERN,1998-08-20,3.633,3.6408,3.5938,3.625,1266400,CERN
CERN,1998-08-21,3.5392,3.5782,3.4062,3.5775,3325600,CERN
CERN,1998-08-24,3.5,3.5625,3.4688,3.5,1360000,CERN
CERN,1998-08-25,3.4062,3.5,3.3908,3.47,3318400,CERN
CERN,1998-08-26,3.258,3.3908,3.2422,3.36,3907200,CERN
CERN,1998-08-27,3.1562,3.2422,3.0158,3.2422,5620000,CERN
CERN,1998-08-28,3.047,3.2032,3.0,3.14,4217600,CERN
CERN,1998-08-31,2.758,3.0548,2.75,3.0548,2933600,CERN
CERN,1998-09-01,2.75,2.8125,2.625,2.765,4912800,CERN
CERN,1998-09-02,2.9768,3.0158,2.797,2.8125,4357600,CERN
CERN,1998-09-03,2.9845,3.0158,2.922,2.9525,1688000,CERN
CERN,1998-09-04,2.9845,3.0158,2.9455,2.985,1068000,CERN
CERN,1998-09-07,2.9845,3.0158,2.9455,2.985,0,CERN
CERN,1998-09-08,3.375,3.3908,3.0158,3.0158,4011199,CERN
CERN,1998-09-09,3.3595,3.3908,3.297,3.3125,2324800,CERN
CERN,1998-09-10,3.047,3.3205,3.0312,3.32,2551200,CERN
CERN,1998-09-11,3.172,3.172,3.0,3.0375,1336800,CERN
CERN,1998-09-14,3.2658,3.2658,3.1798,3.2025,1254400,CERN
CERN,1998-09-15,3.25,3.25,3.2032,3.22,1784800,CERN
CERN,1998-09-16,3.3908,3.4062,3.2032,3.2032,1586400,CERN
CERN,1998-09-17,3.2892,3.3282,3.2345,3.3275,695200,CERN
