Symbol,Date,Close,High,Low,Open,Volume,Name
CF,2005-08-11,3.24,3.31,3.2,3.25,76671500,CF
CF,2005-08-12,3.586,3.6,3.25,3.25,29113500,CF
CF,2005-08-15,3.46,3.57,3.452,3.55,10596500,CF
CF,2005-08-16,3.43,3.46,3.38,3.38,5141000,CF
CF,2005-08-17,3.37,3.44,3.36,3.43,6409500,CF
CF,2005-08-18,3.27,3.396,3.25,3.39,5612000,CF
CF,2005-08-19,3.32,3.338,3.25,3.298,3029500,CF
CF,2005-08-22,3.4,3.404,3.282,3.33,2909500,CF
CF,2005-08-23,3.512,3.588,3.46,3.5,13466000,CF
CF,2005-08-24,3.5,3.55,3.466,3.5,3083000,CF
CF,2005-08-25,3.492,3.548,3.48,3.54,4667000,CF
CF,2005-08-26,3.494,3.522,3.48,3.51,2704000,CF
CF,2005-08-29,3.4,3.436,3.368,3.38,5458000,CF
CF,2005-08-30,3.406,3.478,3.39,3.422,2581000,CF
CF,2005-08-31,3.358,3.412,3.322,3.412,3004500,CF
CF,2005-09-01,3.25,3.37,3.106,3.37,12468500,CF
CF,2005-09-02,3.214,3.316,3.202,3.282,5748500,CF
CF,2005-09-05,3.214,3.316,3.202,3.282,0,CF
CF,2005-09-06,3.28,3.29,3.234,3.24,2726500,CF
CF,2005-09-07,3.238,3.286,3.204,3.282,3622000,CF
CF,2005-09-08,3.264,3.304,3.25,3.25,2558500,CF
CF,2005-09-09,3.314,3.32,3.284,3.31,2468500,CF
CF,2005-09-12,3.218,3.304,3.202,3.29,3300500,CF
CF,2005-09-13,3.176,3.224,3.14,3.224,3798500,CF
CF,2005-09-14,3.144,3.174,3.13,3.15,2055499,CF
CF,2005-09-15,3.02,3.162,3.006,3.15,6004000,CF
CF,2005-09-16,3.064,3.068,2.91,3.012,9555000,CF
CF,2005-09-19,3.1,3.19,3.038,3.05,5559000,CF
CF,2005-09-20,3.16,3.206,3.09,3.1,4178000,CF
CF,2005-09-21,3.0,3.14,2.94,3.14,8313499,CF
CF,2005-09-22,2.902,3.014,2.9,3.0,7184000,CF
CF,2005-09-23,3.118,3.14,2.896,2.9,4830500,CF
CF,2005-09-26,3.1,3.16,3.05,3.12,7826500,CF
CF,2005-09-27,3.092,3.112,3.068,3.09,4456000,CF
CF,2005-09-28,3.03,3.076,2.996,3.076,3055000,CF
CF,2005-09-29,3.0,3.1,2.964,3.038,6141000,CF
CF,2005-09-30,2.962,3.02,2.932,3.01,9962500,CF
CF,2005-10-03,2.9,2.97,2.87,2.97,4279000,CF
CF,2005-10-04,2.814,2.9,2.806,2.89,2001999,CF
CF,2005-10-05,2.63,2.8,2.565,2.8,10782000,CF
CF,2005-10-06,2.682,2.698,2.62,2.64,4121000,CF
CF,2005-10-07,2.7,2.76,2.692,2.76,2174500,CF
CF,2005-10-10,2.51,2.728,2.488,2.714,2428000,CF
CF,2005-10-11,2.43,2.53,2.402,2.53,3256500,CF
CF,2005-10-12,2.388,2.436,2.36,2.424,2545500,CF
CF,2005-10-13,2.26,2.386,2.238,2.386,3555000,CF
CF,2005-10-14,2.472,2.5,2.264,2.268,7066000,CF
CF,2005-10-17,2.44,2.478,2.42,2.472,3007000,CF
CF,2005-10-18,2.4,2.44,2.388,2.44,2575000,CF
CF,2005-10-19,2.432,2.452,2.388,2.42,5052000,CF
CF,2005-10-20,2.564,2.618,2.438,2.44,7387000,CF
CF,2005-10-21,2.592,2.614,2.554,2.566,4027999,CF
CF,2005-10-24,2.626,2.64,2.592,2.592,2160000,CF
CF,2005-10-25,2.64,2.682,2.616,2.646,2532500,CF
CF,2005-10-26,2.618,2.67,2.59,2.63,2839500,CF
CF,2005-10-27,2.6,2.636,2.59,2.61,810000,CF
CF,2005-10-28,2.67,2.692,2.64,2.64,1655000,CF
CF,2005-10-31,2.764,2.798,2.7,2.7,3915000,CF
CF,2005-11-01,2.72,2.85,2.71,2.83,2830000,CF
CF,2005-11-02,2.708,2.75,2.65,2.724,3377000,CF
CF,2005-11-03,2.66,2.7,2.642,2.68,1604500,CF
CF,2005-11-04,2.68,2.756,2.644,2.66,2595500,CF
CF,2005-11-07,2.706,2.762,2.672,2.68,1705500,CF
CF,2005-11-08,2.704,2.71,2.664,2.686,1507000,CF
CF,2005-11-09,2.706,2.756,2.692,2.706,2215500,CF
CF,2005-11-10,2.75,2.878,2.662,2.72,4017000,CF
CF,2005-11-11,2.808,2.83,2.758,2.758,1269000,CF
CF,2005-11-14,2.814,2.84,2.784,2.796,1282500,CF
CF,2005-11-15,2.952,3.01,2.812,2.83,6952500,CF
CF,2005-11-16,3.034,3.1,3.0,3.02,4794000,CF
CF,2005-11-17,3.16,3.1762,3.024,3.05,8076499,CF
CF,2005-11-18,3.122,3.16,3.03,3.16,3645500,CF
CF,2005-11-21,3.164,3.19,3.132,3.18,4234500,CF
CF,2005-11-22,3.146,3.18,3.102,3.164,1919500,CF
CF,2005-11-23,3.1,3.15,3.094,3.15,1068000,CF
CF,2005-11-24,3.1,3.15,3.094,3.15,0,CF
CF,2005-11-25,3.124,3.134,3.11,3.11,154000,CF
CF,2005-11-28,3.098,3.138,3.07,3.132,1464000,CF
CF,2005-11-29,3.1,3.116,3.09,3.116,779000,CF
CF,2005-11-30,3.09,3.116,3.078,3.096,1513500,CF
CF,2005-12-01,3.054,3.1,3.018,3.084,3586000,CF
CF,2005-12-02,3.106,3.11,3.03,3.052,3127500,CF
CF,2005-12-05,3.128,3.16,3.06,3.09,3232000,CF
CF,2005-12-06,3.164,3.17,3.134,3.146,1502500,CF
CF,2005-12-07,3.124,3.198,3.124,3.17,1761000,CF
CF,2005-12-08,3.024,3.124,3.016,3.124,5745000,CF
CF,2005-12-09,3.034,3.06,2.984,3.038,5302500,CF
CF,2005-12-12,3.022,3.074,3.01,3.044,2316500,CF
CF,2005-12-13,2.978,3.05,2.946,3.022,3258500,CF
CF,2005-12-14,2.96,2.99,2.938,2.97,1973500,CF
CF,2005-12-15,2.994,2.996,2.922,2.95,1481000,CF
CF,2005-12-16,3.02,3.04,3.004,3.016,3489500,CF
CF,2005-12-19,3.05,3.06,2.96,3.02,2891000,CF
CF,2005-12-20,2.994,3.01,2.926,2.96,3492000,CF
CF,2005-12-21,2.952,3.0,2.924,2.996,1900500,CF
CF,2005-12-22,3.068,3.074,2.952,2.952,2071000,CF
CF,2005-12-23,3.046,3.08,3.03,3.03,1622000,CF
CF,2005-12-26,3.046,3.08,3.03,3.03,0,CF
CF,2005-12-27,3.06,3.098,3.05,3.056,2006500,CF
CF,2005-12-28,3.05,3.058,2.986,3.056,4846500,CF
CF,2005-12-29,3.066,3.088,3.05,3.06,1293500,CF
CF,2005-12-30,3.05,3.086,3.038,3.066,741000,CF
CF,2006-01-02,3.05,3.086,3.038,3.066,0,CF
CF,2006-01-03,3.06,3.08,3.02,3.05,2272500,CF
CF,2006-01-04,3.112,3.14,3.06,3.06,2404500,CF
CF,2006-01-05,3.23,3.248,3.114,3.12,5217000,CF
CF,2006-01-06,3.204,3.22,3.16,3.22,5041000,CF
CF,2006-01-09,3.28,3.32,3.204,3.204,3453000,CF
CF,2006-01-10,3.29,3.296,3.224,3.246,2231500,CF
CF,2006-01-11,3.258,3.29,3.24,3.29,2560500,CF
CF,2006-01-12,3.26,3.316,3.23,3.25,2785500,CF
CF,2006-01-13,3.274,3.284,3.254,3.262,1849000,CF
CF,2006-01-16,3.274,3.284,3.254,3.262,0,CF
CF,2006-01-17,3.256,3.268,3.172,3.244,2420500,CF
CF,2006-01-18,3.316,3.318,3.21,3.24,1536000,CF
CF,2006-01-19,3.306,3.322,3.268,3.32,1172500,CF
CF,2006-01-20,3.19,3.318,3.178,3.312,1943500,CF
CF,2006-01-23,3.246,3.276,3.192,3.194,1171000,CF
CF,2006-01-24,3.298,3.324,3.24,3.25,3445000,CF
CF,2006-01-25,3.26,3.308,3.22,3.3,11324500,CF
CF,2006-01-26,3.352,3.366,3.266,3.266,2149500,CF
CF,2006-01-27,3.404,3.42,3.342,3.35,1213500,CF
CF,2006-01-30,3.38,3.45,3.354,3.4,1613500,CF
CF,2006-01-31,3.402,3.424,3.37,3.38,2068000,CF
CF,2006-02-01,3.356,3.384,3.35,3.384,2454500,CF
CF,2006-02-02,3.3,3.356,3.266,3.344,7300500,CF
CF,2006-02-03,3.376,3.38,3.276,3.296,2453000,CF
CF,2006-02-06,3.416,3.418,3.37,3.376,2713000,CF
CF,2006-02-07,3.388,3.418,3.376,3.418,2792000,CF
CF,2006-02-08,3.448,3.462,3.37,3.386,2350000,CF
CF,2006-02-09,3.5,3.558,3.44,3.446,1596000,CF
CF,2006-02-10,3.47,3.516,3.47,3.5,2952000,CF
