Symbol,Date,Close,High,Low,Open,Volume,Name
CHK,1998-05-29,4.0796,4.1382,4.02,4.0767,361252,CHK
CHK,1998-06-01,4.0796,4.1978,4.0796,4.0796,186810,CHK
CHK,1998-06-02,4.1978,4.1978,4.0796,4.1429,308813,CHK
CHK,1998-06-03,4.02,4.2564,4.02,4.2564,870514,CHK
CHK,1998-06-04,4.02,4.0796,3.9613,4.0767,799681,CHK
CHK,1998-06-05,4.1978,4.2564,4.02,4.02,404598,CHK
CHK,1998-06-08,4.1382,4.2564,4.0796,4.2564,230685,CHK
CHK,1998-06-09,4.0796,4.1382,4.02,4.0767,372141,CHK
CHK,1998-06-10,4.02,4.1382,3.9613,4.0767,506831,CHK
CHK,1998-06-11,3.9613,4.02,3.8431,3.9632,1535823,CHK
CHK,1998-06-12,4.0796,4.0796,3.8431,3.9632,1214640,CHK
CHK,1998-06-15,3.8431,3.9613,3.8431,3.8431,1241599,CHK
CHK,1998-06-16,3.8431,3.9613,3.7835,3.9065,1428832,CHK
CHK,1998-06-17,3.9017,3.9613,3.8431,3.9065,723772,CHK
CHK,1998-06-18,3.9017,3.9613,3.7835,3.9065,512963,CHK
CHK,1998-06-19,3.8431,3.9017,3.7835,3.8403,402377,CHK
CHK,1998-06-22,3.7835,3.8431,3.6653,3.7835,1168439,CHK
CHK,1998-06-23,3.8431,3.9017,3.7249,3.7268,793020,CHK
CHK,1998-06-24,3.8431,3.9613,3.7835,3.9065,252781,CHK
CHK,1998-06-25,3.9017,4.02,3.8431,3.9065,331649,CHK
CHK,1998-06-26,3.9017,3.9613,3.9017,3.9065,129720,CHK
CHK,1998-06-29,3.7835,3.9613,3.7835,3.9613,297290,CHK
CHK,1998-06-30,3.7835,3.8431,3.7249,3.7835,287669,CHK
CHK,1998-07-01,3.7835,3.8431,3.7249,3.8403,204994,CHK
CHK,1998-07-02,3.7835,3.7835,3.6653,3.7268,256058,CHK
CHK,1998-07-03,3.7835,3.7835,3.6653,3.7268,0,CHK
CHK,1998-07-06,3.6066,3.7835,3.547,3.7835,372987,CHK
CHK,1998-07-07,3.3106,3.4288,2.6608,3.3673,1794102,CHK
CHK,1998-07-08,2.8972,3.2519,2.8376,3.2519,1606022,CHK
CHK,1998-07-09,2.8972,2.9559,2.6608,2.8376,1044427,CHK
CHK,1998-07-10,2.8376,2.8972,2.779,2.8376,678840,CHK
CHK,1998-07-13,2.779,2.8972,2.779,2.8944,624605,CHK
CHK,1998-07-14,2.779,2.8376,2.779,2.7809,920627,CHK
CHK,1998-07-15,2.8376,2.8376,2.7194,2.7241,846410,CHK
CHK,1998-07-16,2.779,2.9559,2.7194,2.8376,1579698,CHK
CHK,1998-07-17,2.7194,2.779,2.6608,2.7241,723032,CHK
CHK,1998-07-20,2.6608,2.779,2.6608,2.779,260710,CHK
CHK,1998-07-21,2.6608,2.779,2.6608,2.7241,423945,CHK
CHK,1998-07-22,2.6608,2.7194,2.6608,2.6608,386308,CHK
CHK,1998-07-23,2.6608,2.7194,2.5425,2.6012,716689,CHK
CHK,1998-07-24,2.5425,2.6608,2.4829,2.6579,541719,CHK
CHK,1998-07-27,2.6012,2.6012,2.4829,2.6012,231108,CHK
CHK,1998-07-28,2.5425,2.6012,2.4243,2.6012,304373,CHK
CHK,1998-07-29,2.4829,2.5425,2.4829,2.5425,413055,CHK
CHK,1998-07-30,2.4829,2.5425,2.4829,2.4877,300673,CHK
CHK,1998-07-31,2.4243,2.5425,2.4243,2.4877,275934,CHK
CHK,1998-08-03,2.4829,2.5425,2.4243,2.4877,167992,CHK
CHK,1998-08-04,2.4243,2.4829,2.306,2.4829,335878,CHK
CHK,1998-08-05,2.2465,2.4243,2.1878,2.4214,316214,CHK
CHK,1998-08-06,2.4829,2.4829,2.1282,2.2512,2346394,CHK
CHK,1998-08-07,2.4243,2.6012,2.306,2.4877,449529,CHK
CHK,1998-08-10,2.1878,2.4829,2.1878,2.4829,346768,CHK
