Symbol,Date,Close,High,Low,Open,Volume,Name
CHRW,1998-05-29,5.782,5.782,5.688,5.72,208400,CHRW
CHRW,1998-06-01,5.891,5.938,5.75,5.78,540800,CHRW
CHRW,1998-06-02,5.969,6.032,5.875,5.88,541600,CHRW
CHRW,1998-06-03,5.969,5.969,5.891,5.92,277600,CHRW
CHRW,1998-06-04,5.891,6.0,5.875,5.89,420000,CHRW
CHRW,1998-06-05,5.813,5.907,5.625,5.907,706000,CHRW
CHRW,1998-06-08,5.938,5.938,5.75,5.75,446000,CHRW
CHRW,1998-06-09,5.922,6.0,5.907,5.91,665600,CHRW
CHRW,1998-06-10,5.719,5.938,5.688,5.91,330800,CHRW
CHRW,1998-06-11,5.563,5.844,5.407,5.72,698000,CHRW
CHRW,1998-06-12,5.532,5.657,5.469,5.657,1443200,CHRW
CHRW,1998-06-15,5.5,5.563,5.375,5.44,454000,CHRW
CHRW,1998-06-16,5.875,5.875,5.469,5.63,194400,CHRW
CHRW,1998-06-17,5.719,5.875,5.688,5.875,1214400,CHRW
CHRW,1998-06-18,5.766,5.875,5.657,5.75,403600,CHRW
CHRW,1998-06-19,5.969,6.0,5.75,5.78,1246000,CHRW
CHRW,1998-06-22,6.0,6.032,5.813,5.91,280800,CHRW
CHRW,1998-06-23,5.985,6.032,5.969,6.03,479200,CHRW
CHRW,1998-06-24,5.969,6.0,5.875,6.0,369200,CHRW
CHRW,1998-06-25,5.969,6.0,5.954,5.954,356400,CHRW
CHRW,1998-06-26,6.11,6.188,5.969,6.0,1744000,CHRW
CHRW,1998-06-29,6.172,6.25,6.125,6.19,410400,CHRW
CHRW,1998-06-30,6.219,6.282,6.125,6.13,1802400,CHRW
CHRW,1998-07-01,6.235,6.25,6.219,6.22,732400,CHRW
CHRW,1998-07-02,6.282,6.282,6.235,6.25,801200,CHRW
CHRW,1998-07-03,6.282,6.282,6.235,6.25,0,CHRW
CHRW,1998-07-06,6.344,6.407,6.266,6.31,186400,CHRW
CHRW,1998-07-07,6.454,6.454,6.282,6.282,510800,CHRW
CHRW,1998-07-08,6.157,6.407,6.094,6.407,239600,CHRW
CHRW,1998-07-09,6.25,6.282,6.063,6.063,265600,CHRW
CHRW,1998-07-10,6.094,6.25,6.063,6.25,146400,CHRW
CHRW,1998-07-13,6.125,6.375,6.094,6.16,444800,CHRW
CHRW,1998-07-14,6.188,6.188,6.032,6.032,167600,CHRW
CHRW,1998-07-15,6.266,6.344,6.094,6.094,365600,CHRW
CHRW,1998-07-16,6.282,6.313,6.094,6.22,412800,CHRW
CHRW,1998-07-17,6.313,6.313,6.219,6.25,197200,CHRW
CHRW,1998-07-20,6.344,6.36,6.25,6.28,279200,CHRW
CHRW,1998-07-21,6.313,6.375,6.282,6.34,347600,CHRW
CHRW,1998-07-22,6.313,6.375,6.219,6.375,564800,CHRW
CHRW,1998-07-23,6.313,6.344,6.235,6.25,134000,CHRW
CHRW,1998-07-24,6.266,6.282,6.219,6.25,146400,CHRW
CHRW,1998-07-27,5.907,6.157,5.547,6.13,242800,CHRW
CHRW,1998-07-28,6.032,6.032,5.813,5.91,64400,CHRW
CHRW,1998-07-29,6.094,6.157,6.032,6.09,158800,CHRW
CHRW,1998-07-30,6.094,6.157,6.094,6.157,61200,CHRW
CHRW,1998-07-31,6.157,6.282,6.079,6.08,113200,CHRW
CHRW,1998-08-03,6.047,6.25,6.032,6.16,253600,CHRW
CHRW,1998-08-04,5.75,6.125,5.719,6.09,312000,CHRW
CHRW,1998-08-05,5.938,6.0,5.719,5.81,428800,CHRW
CHRW,1998-08-06,5.844,5.907,5.75,5.88,324400,CHRW
CHRW,1998-08-07,5.821,6.094,5.782,5.782,165200,CHRW
CHRW,1998-08-10,5.532,5.797,5.422,5.78,905600,CHRW
CHRW,1998-08-11,5.625,5.719,5.219,5.31,264000,CHRW
CHRW,1998-08-12,5.704,5.782,5.688,5.75,82800,CHRW
CHRW,1998-08-13,5.563,5.625,5.469,5.625,229200,CHRW
CHRW,1998-08-14,5.516,5.563,5.469,5.56,81600,CHRW
CHRW,1998-08-17,5.75,5.813,5.5,5.5,251600,CHRW
CHRW,1998-08-18,5.985,5.985,5.75,5.81,376800,CHRW
CHRW,1998-08-19,5.891,6.125,5.782,5.97,640400,CHRW
CHRW,1998-08-20,6.032,6.094,5.875,5.88,178000,CHRW
CHRW,1998-08-21,6.063,6.094,5.844,6.09,157600,CHRW
CHRW,1998-08-24,5.938,6.063,5.875,5.97,19600,CHRW
CHRW,1998-08-25,6.032,6.047,5.875,5.88,354400,CHRW
