Symbol,Date,Close,High,Low,Open,Volume,Name
CMCSA,1998-05-29,5.625,5.823,5.6043,5.7733,577800,CMCSA
CMCSA,1998-06-01,5.5833,5.646,5.5417,5.5833,671400,CMCSA
CMCSA,1998-06-02,5.6357,5.6357,5.521,5.6133,892800,CMCSA
CMCSA,1998-06-03,5.594,5.7083,5.5627,5.6467,1897200,CMCSA
CMCSA,1998-06-04,5.6667,5.6667,5.5417,5.5633,731400,CMCSA
CMCSA,1998-06-05,5.646,5.698,5.5417,5.6667,579600,CMCSA
CMCSA,1998-06-08,5.6667,5.698,5.5833,5.5833,565200,CMCSA
CMCSA,1998-06-09,5.6043,5.7083,5.5523,5.6467,583200,CMCSA
CMCSA,1998-06-10,5.6667,5.7293,5.4897,5.5233,911400,CMCSA
CMCSA,1998-06-11,5.5,5.6667,5.4793,5.6667,8666400,CMCSA
CMCSA,1998-06-12,5.5627,5.5627,5.4377,5.5233,2004600,CMCSA
CMCSA,1998-06-15,5.4793,5.5417,5.4793,5.48,580800,CMCSA
CMCSA,1998-06-16,5.7813,5.7917,5.521,5.5433,3064200,CMCSA
CMCSA,1998-06-17,5.823,5.9273,5.7607,5.8333,1913400,CMCSA
CMCSA,1998-06-18,6.0523,6.1357,5.7917,5.7933,3085800,CMCSA
CMCSA,1998-06-19,6.271,6.271,6.0313,6.1067,2018400,CMCSA
CMCSA,1998-06-22,6.2293,6.271,6.0627,6.25,2255400,CMCSA
CMCSA,1998-06-23,6.625,6.7293,6.219,6.23,6321600,CMCSA
CMCSA,1998-06-24,6.7396,7.2708,6.5938,6.8125,10158000,CMCSA
CMCSA,1998-06-25,6.4377,6.9583,6.4167,6.72,2412600,CMCSA
CMCSA,1998-06-26,6.4583,6.5417,6.2917,6.4067,2292600,CMCSA
CMCSA,1998-06-29,6.75,6.75,6.448,6.48,1290600,CMCSA
CMCSA,1998-06-30,6.625,6.8333,6.5833,6.7733,1608000,CMCSA
CMCSA,1998-07-01,7.0,7.021,6.646,6.6767,1693800,CMCSA
CMCSA,1998-07-02,6.9793,7.2917,6.9167,7.0,4590000,CMCSA
