Symbol,Date,Close,High,Low,Open,Volume,Name
CMG,2006-01-26,44.0,48.28,39.51,45.0,13213600,CMG
CMG,2006-01-27,42.2,44.9,41.75,44.88,1150800,CMG
CMG,2006-01-30,44.8,45.51,41.25,42.2,735600,CMG
CMG,2006-01-31,47.52,49.3,45.38,45.5,1110600,CMG
CMG,2006-02-01,46.56,49.24,45.25,48.9,606700,CMG
CMG,2006-02-02,44.75,47.91,44.26,47.9,396500,CMG
CMG,2006-02-03,46.55,46.56,44.25,44.85,245300,CMG
CMG,2006-02-06,47.71,48.0,46.0,47.48,349600,CMG
CMG,2006-02-07,46.28,47.75,45.25,47.71,267200,CMG
CMG,2006-02-08,45.74,46.6,45.04,45.85,174400,CMG
CMG,2006-02-09,44.05,46.0,43.08,45.78,220300,CMG
CMG,2006-02-10,42.31,43.26,41.5,43.25,375500,CMG
CMG,2006-02-13,41.48,42.55,41.0,41.75,199100,CMG
CMG,2006-02-14,43.0,43.26,41.19,41.45,197900,CMG
CMG,2006-02-15,42.7,43.299,42.22,43.1,98100,CMG
CMG,2006-02-16,44.45,44.7,42.53,43.75,293000,CMG
CMG,2006-02-17,43.85,45.0,43.85,44.25,138000,CMG
CMG,2006-02-20,43.85,45.0,43.85,44.25,0,CMG
CMG,2006-02-21,43.1,44.06,42.81,44.0,68100,CMG
CMG,2006-02-22,43.87,44.15,42.85,43.0,95900,CMG
CMG,2006-02-23,45.8,45.99,44.75,45.1,249300,CMG
CMG,2006-02-24,46.67,46.75,45.8,45.9,138300,CMG
CMG,2006-02-27,46.53,46.95,46.18,46.95,100800,CMG
CMG,2006-02-28,45.6,46.53,45.6,46.53,87500,CMG
CMG,2006-03-01,45.5,46.2,44.6,45.64,190100,CMG
CMG,2006-03-02,45.75,46.31,45.07,45.5,229000,CMG
CMG,2006-03-03,45.48,46.29,45.13,45.75,89100,CMG
CMG,2006-03-06,45.79,46.1,45.03,45.6,168900,CMG
CMG,2006-03-07,45.0,45.25,44.25,44.5,326000,CMG
CMG,2006-03-08,42.5,44.85,42.2,44.85,306500,CMG
CMG,2006-03-09,41.46,42.9,41.25,42.75,161500,CMG
CMG,2006-03-10,42.11,42.88,40.89,41.4,313900,CMG
CMG,2006-03-13,43.41,43.7499,42.36,42.36,186700,CMG
CMG,2006-03-14,48.7,49.15,45.95,46.29,1255500,CMG
CMG,2006-03-15,52.01,52.75,47.85,48.0,1142100,CMG
CMG,2006-03-16,55.05,56.75,51.89,52.0,1697600,CMG
CMG,2006-03-17,53.86,55.5,53.42,55.5,396200,CMG
CMG,2006-03-20,50.09,53.86,50.05,53.86,862700,CMG
CMG,2006-03-21,52.0,52.35,50.2001,50.26,360100,CMG
CMG,2006-03-22,54.8,54.85,52.95,52.95,573600,CMG
CMG,2006-03-23,53.88,55.1,53.0,55.0,505499,CMG
CMG,2006-03-24,54.51,54.85,53.61,54.0,276400,CMG
CMG,2006-03-27,54.09,54.45,53.3,54.25,220900,CMG
CMG,2006-03-28,53.2,54.1,52.95,54.1,175600,CMG
CMG,2006-03-29,53.93,54.45,53.0,53.45,148000,CMG
CMG,2006-03-30,55.41,55.5,53.85,54.03,209400,CMG
CMG,2006-03-31,55.39,56.5,54.6,55.2,678900,CMG
CMG,2006-04-03,56.98,57.49,55.2,55.56,370100,CMG
