Symbol,Date,Close,High,Low,Open,Volume,Name
COP,1998-05-29,19.0819,19.1772,18.796,19.1772,1506448,COP
COP,1998-06-01,18.7246,19.0104,18.6769,18.939,1449254,COP
COP,1998-06-02,19.0104,19.0104,18.7484,18.939,1331194,COP
COP,1998-06-03,18.8437,19.0819,18.8198,18.9628,1110290,COP
COP,1998-06-04,19.1772,19.2248,18.7246,18.796,1090876,COP
COP,1998-06-05,19.7251,19.7251,19.1772,19.1772,1017941,COP
COP,1998-06-08,19.5107,19.6298,19.4154,19.6298,1626344,COP
COP,1998-06-09,19.3439,19.5345,19.2963,19.5107,835866,COP
COP,1998-06-10,19.0581,19.4154,19.0581,19.2487,991180,COP
COP,1998-06-11,18.5102,19.0819,18.4863,19.0581,1312829,COP
COP,1998-06-12,18.5102,18.8198,18.0813,18.5102,2291679,COP
COP,1998-06-15,18.4387,18.8198,18.4149,18.4625,1203951,COP
COP,1998-06-16,18.6769,18.6769,18.3196,18.5102,1588040,COP
COP,1998-06-17,19.2248,19.3678,18.8198,18.8198,1339327,COP
COP,1998-06-18,19.0343,19.201,18.9628,19.201,836915,COP
COP,1998-06-19,18.7246,19.0581,18.6769,19.0343,1287905,COP
COP,1998-06-22,18.9628,19.1772,18.5102,18.5102,906439,COP
COP,1998-06-23,19.0104,19.1772,18.9628,19.0104,850295,COP
COP,1998-06-24,18.8913,19.1057,18.6769,19.0581,2332607,COP
COP,1998-06-25,18.7484,19.0343,18.6531,19.0104,1526911,COP
COP,1998-06-26,18.7007,18.8675,18.6769,18.796,1202639,COP
COP,1998-06-29,18.4387,18.7246,18.3672,18.7246,2135577,COP
COP,1998-06-30,18.3672,18.5816,18.2958,18.534,1722891,COP
COP,1998-07-01,18.6293,18.6769,18.4387,18.4387,1750701,COP
COP,1998-07-02,18.796,18.8198,18.6531,18.7722,1468144,COP
COP,1998-07-03,18.796,18.8198,18.6531,18.7722,0,COP
COP,1998-07-06,18.8675,18.8675,18.7484,18.796,951565,COP
COP,1998-07-07,18.5102,18.8437,18.4863,18.7722,980949,COP
