Symbol,Date,Close,High,Low,Open,Volume,Name
COST,1998-05-29,28.938,29.438,28.438,28.5,5755400,COST
COST,1998-06-01,28.313,28.938,28.125,28.85,3371200,COST
COST,1998-06-02,28.75,28.938,28.563,28.63,4468400,COST
COST,1998-06-03,28.907,29.813,28.625,28.88,4936000,COST
COST,1998-06-04,29.282,29.563,29.0,29.07,4059800,COST
COST,1998-06-05,29.219,29.407,29.063,29.25,1997400,COST
COST,1998-06-08,30.157,30.313,29.125,29.13,3648000,COST
COST,1998-06-09,29.938,30.375,29.563,30.35,3365800,COST
COST,1998-06-10,29.938,30.625,29.25,29.82,3860400,COST
COST,1998-06-11,29.938,30.625,29.813,29.94,3252200,COST
COST,1998-06-12,30.0,30.063,29.625,30.0,3749400,COST
COST,1998-06-15,29.594,29.907,29.5,29.57,1573600,COST
COST,1998-06-16,29.25,29.844,28.75,29.82,6504000,COST
COST,1998-06-17,29.875,30.032,29.063,29.28,5789000,COST
COST,1998-06-18,31.032,31.438,29.75,29.82,5113800,COST
COST,1998-06-19,30.938,31.563,30.563,31.07,2875800,COST
COST,1998-06-22,31.094,31.125,30.5,30.94,2115000,COST
COST,1998-06-23,31.375,31.813,31.063,31.07,2727600,COST
COST,1998-06-24,30.938,31.5,30.75,31.44,2476400,COST
COST,1998-06-25,31.219,31.438,30.844,30.97,1753800,COST
COST,1998-06-26,31.532,32.125,31.125,31.25,2688400,COST
COST,1998-06-29,31.61,32.055,31.438,31.57,2434400,COST
COST,1998-06-30,31.532,31.688,31.0,31.38,4041600,COST
COST,1998-07-01,30.782,31.625,30.625,31.53,3903800,COST
COST,1998-07-02,30.75,31.375,30.688,31.25,1764000,COST
COST,1998-07-03,30.75,31.375,30.688,31.25,0,COST
COST,1998-07-06,31.532,31.532,30.719,31.03,2782200,COST
COST,1998-07-07,31.657,32.094,31.594,31.75,2060000,COST
COST,1998-07-08,31.969,32.0,31.469,31.75,2039600,COST
COST,1998-07-09,31.625,32.5,31.625,32.0,2267400,COST
COST,1998-07-10,31.719,32.313,30.875,31.69,3948600,COST
COST,1998-07-13,31.688,31.875,31.063,31.69,1220600,COST
COST,1998-07-14,32.407,32.438,31.25,31.69,2470200,COST
COST,1998-07-15,31.907,32.438,31.594,32.25,1630800,COST
COST,1998-07-16,31.844,31.938,31.188,31.91,2829400,COST
COST,1998-07-17,32.094,32.125,31.75,31.97,3402000,COST
COST,1998-07-20,32.438,32.532,31.938,32.13,2462600,COST
COST,1998-07-21,32.25,32.844,32.063,32.5,1974600,COST
COST,1998-07-22,32.5,32.875,32.188,32.25,1894800,COST
COST,1998-07-23,31.875,32.563,31.875,32.56,3180200,COST
COST,1998-07-24,31.063,31.5,30.25,31.5,6582600,COST
COST,1998-07-27,30.563,30.875,29.5,30.69,3738400,COST
COST,1998-07-28,29.532,30.75,29.532,30.5,2906600,COST
COST,1998-07-29,28.813,30.188,28.813,29.94,3113000,COST
COST,1998-07-30,29.735,29.875,29.0,29.25,3803600,COST
COST,1998-07-31,28.375,30.063,28.375,29.75,2828400,COST
COST,1998-08-03,27.844,28.5,27.438,28.35,5344800,COST
COST,1998-08-04,26.688,28.125,26.188,28.07,6594600,COST
COST,1998-08-05,27.313,27.375,25.938,26.57,7090600,COST
COST,1998-08-06,27.266,27.5,26.25,27.19,4307600,COST
COST,1998-08-07,28.688,28.938,27.532,27.69,6028800,COST
COST,1998-08-10,29.313,29.563,28.438,28.66,4448800,COST
COST,1998-08-11,28.875,29.188,28.438,28.5,5186600,COST
COST,1998-08-12,28.625,29.125,28.313,28.97,5657000,COST
COST,1998-08-13,28.344,28.75,28.125,28.57,4101000,COST
COST,1998-08-14,27.625,29.25,27.594,28.57,3628800,COST
COST,1998-08-17,27.625,27.813,27.375,27.66,3244400,COST
COST,1998-08-18,29.688,29.844,27.719,27.75,3876000,COST
COST,1998-08-19,29.375,29.969,29.0,29.75,4143600,COST
COST,1998-08-20,29.219,29.407,28.469,29.407,3453600,COST
COST,1998-08-21,28.625,28.875,27.969,28.82,3185400,COST
COST,1998-08-24,28.75,29.125,28.313,28.88,2543200,COST
COST,1998-08-25,28.032,29.094,27.938,28.88,3974000,COST
COST,1998-08-26,28.75,28.969,27.625,27.91,4843000,COST
COST,1998-08-27,27.657,28.75,27.563,28.13,6469600,COST
COST,1998-08-28,26.532,27.938,26.469,27.69,4985200,COST
COST,1998-08-31,23.532,26.938,23.5,26.75,6479400,COST
COST,1998-09-01,24.875,25.25,23.594,23.63,10547000,COST
COST,1998-09-02,22.532,25.375,22.5,25.19,26026000,COST
COST,1998-09-03,24.969,25.188,23.313,23.5,20460000,COST
COST,1998-09-04,24.875,26.157,23.813,25.38,7448000,COST
COST,1998-09-07,24.875,26.157,23.813,25.38,0,COST
COST,1998-09-08,27.688,27.813,25.625,26.13,9867600,COST
COST,1998-09-09,27.0938,28.375,26.6875,27.7031,6153600,COST
COST,1998-09-10,25.813,26.313,25.0,26.313,6643000,COST
COST,1998-09-11,25.907,25.907,25.0,25.88,3732600,COST
COST,1998-09-14,26.1562,27.4375,25.875,25.875,4074600,COST
COST,1998-09-15,26.25,26.625,25.907,26.19,3352400,COST
COST,1998-09-16,27.563,28.0,26.375,26.63,5793000,COST
COST,1998-09-17,26.625,27.3125,26.625,27.3125,2852600,COST
COST,1998-09-18,26.563,27.25,26.563,27.03,3480400,COST
COST,1998-09-21,26.688,26.813,25.875,26.25,2756400,COST
COST,1998-09-22,25.938,27.125,25.938,27.125,3656600,COST
COST,1998-09-23,26.875,26.875,25.75,26.25,5786000,COST
COST,1998-09-24,25.157,27.125,24.625,26.47,8148199,COST
COST,1998-09-25,24.813,25.032,24.094,24.91,8211000,COST
COST,1998-09-28,24.969,26.438,24.938,25.25,5156000,COST
COST,1998-09-29,24.25,25.375,24.125,25.32,6019200,COST
COST,1998-09-30,23.688,24.282,23.063,24.25,6409600,COST
COST,1998-10-01,22.25,23.063,21.5,23.063,10325800,COST
COST,1998-10-02,22.188,22.625,20.875,22.38,9697000,COST
COST,1998-10-05,22.157,22.25,20.625,22.25,5512600,COST
COST,1998-10-06,23.0,23.25,22.0625,22.1719,5103800,COST
COST,1998-10-07,23.032,23.563,22.75,22.82,4888000,COST
COST,1998-10-08,22.438,23.188,20.938,22.25,6532200,COST
COST,1998-10-09,23.5,23.594,21.875,22.63,4730200,COST
COST,1998-10-12,24.063,24.657,23.875,24.1,3556400,COST
COST,1998-10-13,23.313,24.188,23.266,23.75,3829000,COST
COST,1998-10-14,23.469,23.844,23.188,23.19,5970400,COST
COST,1998-10-15,25.157,25.188,23.0,23.44,5621400,COST
COST,1998-10-16,25.969,26.5,25.313,25.38,7040200,COST
COST,1998-10-19,27.407,27.563,26.719,26.75,9703600,COST
COST,1998-10-20,28.157,28.875,27.813,27.82,8022800,COST
COST,1998-10-21,28.188,28.469,27.313,28.1,3813000,COST
COST,1998-10-22,29.0,29.094,27.75,28.44,3160000,COST
COST,1998-10-23,28.563,29.407,28.5,28.82,2492400,COST
COST,1998-10-26,27.782,28.75,27.594,28.75,3180400,COST
COST,1998-10-27,27.282,28.188,27.282,28.0,3772600,COST
COST,1998-10-28,27.844,27.875,27.0,27.13,3382000,COST
COST,1998-10-29,28.094,28.407,27.688,27.94,2985000,COST
COST,1998-10-30,28.375,29.188,28.063,28.25,2838400,COST
COST,1998-11-02,29.375,29.407,28.875,28.94,2067800,COST
COST,1998-11-03,28.469,29.5,28.438,29.5,2120600,COST
COST,1998-11-04,29.875,29.938,28.938,29.0,2591800,COST
COST,1998-11-05,31.375,31.625,29.25,29.53,5939000,COST
COST,1998-11-06,31.0,31.438,30.5,31.438,4363200,COST
COST,1998-11-09,30.0,30.938,29.813,30.938,3275400,COST
COST,1998-11-10,29.0,29.813,28.625,29.75,5462000,COST
COST,1998-11-11,28.719,29.313,28.25,29.25,4566800,COST
COST,1998-11-12,28.4688,28.875,28.375,28.7344,3862800,COST
COST,1998-11-13,29.25,29.313,28.25,28.6,3607400,COST
COST,1998-11-16,30.157,30.188,29.469,29.47,5209400,COST
COST,1998-11-17,30.094,30.25,29.688,30.07,3288600,COST
COST,1998-11-18,30.344,30.5,29.532,30.1,1974800,COST
COST,1998-11-19,30.938,31.0,30.407,30.5,2823600,COST
COST,1998-11-20,30.844,31.313,30.75,31.313,1537000,COST
COST,1998-11-23,31.125,31.407,30.938,31.0,2012600,COST
COST,1998-11-24,30.25,31.188,30.219,31.188,3029600,COST
COST,1998-11-25,30.25,31.188,30.219,31.188,0,COST
COST,1998-11-26,30.25,31.188,30.219,31.188,0,COST
COST,1998-11-27,31.875,31.875,31.0,31.875,1861800,COST
COST,1998-11-30,31.375,32.438,31.375,32.0,5392400,COST
COST,1998-12-01,31.313,31.688,30.813,31.0,3030000,COST
COST,1998-12-02,30.344,31.344,30.188,31.344,4227400,COST
COST,1998-12-03,28.688,30.688,28.688,30.57,5327200,COST
COST,1998-12-04,30.25,30.4375,29.3125,30.25,4186000,COST
COST,1998-12-07,31.125,31.125,30.438,30.6,2501400,COST
COST,1998-12-08,32.625,33.875,30.907,31.13,7152000,COST
COST,1998-12-09,33.407,33.594,32.375,32.72,4511400,COST
