Symbol,Date,Close,High,Low,Open,Volume,Name
COTY,2013-06-13,17.36,17.52,16.9,17.5,46263348,COTY
COTY,2013-06-14,17.52,17.55,17.2,17.45,9049475,COTY
COTY,2013-06-17,17.39,17.65,17.31,17.61,5489446,COTY
COTY,2013-06-18,17.3,17.42,17.16,17.39,6717150,COTY
COTY,2013-06-19,17.19,17.35,16.4,17.25,7128541,COTY
COTY,2013-06-20,16.75,16.85,16.31,16.8,2785129,COTY
COTY,2013-06-21,16.99,17.07,16.5,16.75,2542810,COTY
COTY,2013-06-24,16.61,16.82,16.46,16.8,1206074,COTY
COTY,2013-06-25,16.75,16.88,16.55,16.7,1074754,COTY
COTY,2013-06-26,17.02,17.14,16.8,16.8,3420816,COTY
COTY,2013-06-27,17.24,17.24,16.97,17.07,1773717,COTY
COTY,2013-06-28,17.18,17.23,16.91,17.2,1904541,COTY
COTY,2013-07-01,17.18,17.25,17.07,17.18,1188797,COTY
COTY,2013-07-02,17.26,17.35,17.1,17.18,665253,COTY
COTY,2013-07-03,17.25,17.28,17.14,17.2,331958,COTY
COTY,2013-07-04,17.25,17.25,17.25,17.25,0,COTY
COTY,2013-07-05,17.26,17.31,17.19,17.3,573335,COTY
COTY,2013-07-08,17.27,17.34,17.02,17.34,855895,COTY
COTY,2013-07-09,17.38,17.4,17.24,17.25,521298,COTY
COTY,2013-07-10,17.39,17.48,17.3,17.4,520664,COTY
COTY,2013-07-11,17.45,17.49,17.26,17.45,990136,COTY
COTY,2013-07-12,17.5,17.52,17.35,17.4,1258583,COTY
COTY,2013-07-15,17.18,17.55,17.12,17.5,243629,COTY
COTY,2013-07-16,17.32,17.34,17.2,17.29,508082,COTY
COTY,2013-07-17,17.3,17.4,17.05,17.13,995956,COTY
COTY,2013-07-18,17.15,17.43,17.11,17.35,682723,COTY
COTY,2013-07-19,17.08,17.27,17.05,17.15,599409,COTY
COTY,2013-07-22,16.95,17.08,16.93,17.08,461964,COTY
COTY,2013-07-23,17.06,17.22,16.85,17.15,1619436,COTY
COTY,2013-07-24,17.13,17.22,16.9201,17.18,373549,COTY
COTY,2013-07-25,17.35,17.4,16.97,17.06,743772,COTY
COTY,2013-07-26,17.11,17.34,17.0,17.32,311711,COTY
COTY,2013-07-29,17.22,17.26,16.91,17.05,401237,COTY
COTY,2013-07-30,17.13,17.2897,17.01,17.25,530998,COTY
COTY,2013-07-31,17.19,17.3,17.02,17.15,291337,COTY
COTY,2013-08-01,17.27,17.39,17.12,17.27,579765,COTY
COTY,2013-08-02,17.26,17.36,17.07,17.34,345380,COTY
COTY,2013-08-05,17.48,17.54,17.17,17.25,1976874,COTY
COTY,2013-08-06,17.51,17.74,17.28,17.46,1701997,COTY
COTY,2013-08-07,17.28,17.5,17.1,17.5,801931,COTY
COTY,2013-08-08,16.81,17.36,16.65,17.28,1275551,COTY
COTY,2013-08-09,16.94,17.11,16.7,16.77,381289,COTY
COTY,2013-08-12,16.96,17.05,16.85,16.85,276203,COTY
COTY,2013-08-13,16.59,17.07,16.55,16.93,508162,COTY
COTY,2013-08-14,16.76,16.76,16.33,16.62,742518,COTY
COTY,2013-08-15,16.99,17.07,16.45,16.71,611005,COTY
COTY,2013-08-16,16.89,17.0,16.739,16.9,238795,COTY
COTY,2013-08-19,16.99,17.0,16.86,16.92,109813,COTY
COTY,2013-08-20,16.99,17.02,16.9,16.98,228626,COTY
COTY,2013-08-21,16.84,17.08,16.82,17.02,237689,COTY
COTY,2013-08-22,16.78,16.96,16.71,16.88,253467,COTY
COTY,2013-08-23,16.58,16.86,16.5,16.8,229411,COTY
COTY,2013-08-26,16.53,16.7,16.5,16.57,154773,COTY
COTY,2013-08-27,15.91,16.51,15.79,16.43,521200,COTY
COTY,2013-08-28,15.63,15.96,15.31,15.96,651316,COTY
COTY,2013-08-29,16.01,16.01,15.47,15.6,571110,COTY
COTY,2013-08-30,16.3,16.35,15.85,15.97,421981,COTY
COTY,2013-09-02,16.3,16.3,16.3,16.3,0,COTY
COTY,2013-09-03,16.14,16.36,16.06,16.3,268291,COTY
COTY,2013-09-04,16.21,16.225,16.02,16.15,228359,COTY
COTY,2013-09-05,16.01,16.2,15.92,16.15,1042886,COTY
COTY,2013-09-06,15.8,16.1299,15.73,15.98,285973,COTY
COTY,2013-09-09,15.56,15.81,15.43,15.75,491999,COTY
COTY,2013-09-10,15.44,15.65,15.36,15.62,907334,COTY
COTY,2013-09-11,15.43,15.5,15.28,15.39,669497,COTY
COTY,2013-09-12,15.41,15.49,15.35,15.45,691608,COTY
COTY,2013-09-13,15.87,15.92,15.47,15.48,1190932,COTY
COTY,2013-09-16,16.25,16.34,15.82,15.94,1173226,COTY
COTY,2013-09-17,15.64,16.4767,14.99,16.25,4292946,COTY
COTY,2013-09-18,15.56,15.59,15.21,15.21,2002920,COTY
COTY,2013-09-19,15.74,15.81,15.36,15.56,2296557,COTY
COTY,2013-09-20,15.85,15.85,15.46,15.68,970323,COTY
COTY,2013-09-23,15.73,15.95,15.51,15.75,1582159,COTY
COTY,2013-09-24,15.64,15.75,14.46,15.64,2822554,COTY
COTY,2013-09-25,15.51,15.77,15.37,15.65,267211,COTY
COTY,2013-09-26,15.62,15.85,15.39,15.44,463020,COTY
COTY,2013-09-27,15.98,15.99,15.39,15.55,865266,COTY
COTY,2013-09-30,16.21,16.45,15.82,15.89,4901042,COTY
COTY,2013-10-01,16.03,16.38,15.82,16.3,1016480,COTY
COTY,2013-10-02,16.06,16.51,15.92,16.51,963813,COTY
COTY,2013-10-03,16.02,16.2,15.9,16.2,1609802,COTY
COTY,2013-10-04,16.0,16.12,15.92,16.1,604888,COTY
COTY,2013-10-07,16.0,16.05,15.67,16.01,1069864,COTY
COTY,2013-10-08,15.92,16.05,15.86,15.91,1009368,COTY
COTY,2013-10-09,15.8,15.83,15.35,15.65,479325,COTY
COTY,2013-10-10,15.99,16.15,15.86,15.89,835421,COTY
COTY,2013-10-11,16.36,16.45,16.03,16.03,2727067,COTY
COTY,2013-10-14,16.3,16.52,16.14,16.31,543247,COTY
COTY,2013-10-15,16.0,16.39,15.93,16.17,1126880,COTY
COTY,2013-10-16,16.16,16.27,15.97,16.0,829657,COTY
COTY,2013-10-17,16.15,16.2,16.0,16.14,326421,COTY
COTY,2013-10-18,16.29,16.41,16.11,16.29,593049,COTY
COTY,2013-10-21,16.31,16.5,16.15,16.32,520495,COTY
COTY,2013-10-22,16.09,16.53,16.06,16.29,644412,COTY
COTY,2013-10-23,16.11,16.26,15.98,16.11,320110,COTY
COTY,2013-10-24,15.96,16.2401,15.63,16.07,735737,COTY
COTY,2013-10-25,15.95,16.0,15.65,15.9,892568,COTY
COTY,2013-10-28,15.85,16.0,15.5175,15.9,1631092,COTY
COTY,2013-10-29,15.72,15.96,15.67,15.84,646368,COTY
COTY,2013-10-30,15.75,15.92,15.68,15.8,776428,COTY
COTY,2013-10-31,15.38,15.88,15.13,15.75,994589,COTY
COTY,2013-11-01,15.51,15.555,15.15,15.35,509194,COTY
COTY,2013-11-04,15.41,15.69,15.24,15.49,926506,COTY
COTY,2013-11-05,15.28,15.44,15.04,15.35,746286,COTY
COTY,2013-11-06,15.4,15.48,15.21,15.38,1167534,COTY
COTY,2013-11-07,15.11,16.2,14.63,15.37,2337286,COTY
COTY,2013-11-08,14.99,15.22,14.81,15.06,1731376,COTY
COTY,2013-11-11,15.22,15.26,14.95,15.03,574976,COTY
COTY,2013-11-12,15.26,15.28,15.0,15.26,582010,COTY
COTY,2013-11-13,15.44,15.48,15.06,15.21,665202,COTY
COTY,2013-11-14,15.63,15.65,15.26,15.47,629682,COTY
COTY,2013-11-15,15.73,15.98,15.36,15.5,2026180,COTY
COTY,2013-11-18,15.49,15.84,15.44,15.71,1511644,COTY
COTY,2013-11-19,15.54,15.66,15.41,15.41,464415,COTY
COTY,2013-11-20,15.41,15.88,15.3,15.65,763287,COTY
COTY,2013-11-21,15.9,16.13,15.41,15.45,654315,COTY
COTY,2013-11-22,16.09,16.12,15.79,15.95,510166,COTY
COTY,2013-11-25,16.19,16.25,16.061,16.11,312711,COTY
COTY,2013-11-26,16.19,16.39,16.1,16.25,463375,COTY
COTY,2013-11-27,16.52,16.63,16.23,16.24,420470,COTY
COTY,2013-11-28,16.52,16.52,16.52,16.52,0,COTY
COTY,2013-11-29,16.42,16.68,16.2,16.21,459767,COTY
COTY,2013-12-02,16.12,16.48,16.05,16.38,516707,COTY
COTY,2013-12-03,16.2,16.37,15.88,16.04,672202,COTY
COTY,2013-12-04,16.06,16.21,15.84,16.21,312064,COTY
COTY,2013-12-05,16.05,16.11,16.0,16.0,211101,COTY
COTY,2013-12-06,15.57,16.11,15.392,16.11,842215,COTY
COTY,2013-12-09,15.69,15.73,15.33,15.6,576691,COTY
COTY,2013-12-10,15.53,15.7,15.38,15.66,659314,COTY
COTY,2013-12-11,15.55,15.73,15.42,15.5,651961,COTY
COTY,2013-12-12,15.63,15.65,15.46,15.47,342582,COTY
COTY,2013-12-13,15.25,15.26,14.81,15.15,1607398,COTY
COTY,2013-12-16,15.17,15.37,15.01,15.3,1235678,COTY
COTY,2013-12-17,15.06,15.27,15.04,15.14,419657,COTY
COTY,2013-12-18,15.09,15.16,14.99,15.05,425924,COTY
COTY,2013-12-19,15.18,15.2,15.0,15.05,366526,COTY
COTY,2013-12-20,15.11,15.24,14.95,15.15,725670,COTY
COTY,2013-12-23,15.06,15.24,14.8,15.21,1639120,COTY
COTY,2013-12-24,15.02,15.25,14.97,14.99,307360,COTY
COTY,2013-12-25,15.02,15.02,15.02,15.02,0,COTY
COTY,2013-12-26,14.99,15.21,14.97,15.08,280144,COTY
COTY,2013-12-27,15.49,15.57,15.1,15.2,1028993,COTY
COTY,2013-12-30,15.41,15.51,15.13,15.42,568912,COTY
COTY,2013-12-31,15.25,15.585,15.25,15.42,481750,COTY
COTY,2014-01-01,15.25,15.25,15.25,15.25,0,COTY
COTY,2014-01-02,15.57,15.62,15.16,15.27,783829,COTY
COTY,2014-01-03,15.58,15.78,15.51,15.54,465133,COTY
COTY,2014-01-06,15.2,15.69,15.05,15.68,839349,COTY
COTY,2014-01-07,15.19,15.34,14.94,15.06,498721,COTY
COTY,2014-01-08,15.1,15.25,14.86,15.11,694508,COTY
COTY,2014-01-09,15.16,15.3,14.9883,15.18,573148,COTY
COTY,2014-01-10,15.16,15.2,14.98,15.17,259359,COTY
COTY,2014-01-13,15.03,15.23,14.97,15.07,457430,COTY
COTY,2014-01-14,15.14,15.23,15.0,15.1,353904,COTY
COTY,2014-01-15,15.3,15.35,15.01,15.07,435030,COTY
COTY,2014-01-16,15.43,15.56,15.13,15.22,672735,COTY
COTY,2014-01-17,14.71,14.97,14.6,14.92,1497765,COTY
COTY,2014-01-20,14.71,14.71,14.71,14.71,0,COTY
COTY,2014-01-21,14.41,14.7399,14.28,14.67,1237501,COTY
COTY,2014-01-22,14.42,14.47,14.02,14.24,1114714,COTY
COTY,2014-01-23,14.47,14.525,13.67,14.2,1578968,COTY
COTY,2014-01-24,13.91,14.49,13.6,14.43,1269780,COTY
COTY,2014-01-27,13.58,14.355,13.4801,13.85,1417228,COTY
COTY,2014-01-28,13.89,14.01,13.587,13.77,1122897,COTY
COTY,2014-01-29,13.41,13.79,13.395,13.71,1052957,COTY
COTY,2014-01-30,13.5,13.74,13.38,13.41,628569,COTY
COTY,2014-01-31,13.49,13.67,13.3502,13.42,803259,COTY
COTY,2014-02-03,13.29,13.83,13.13,13.45,1217788,COTY
COTY,2014-02-04,13.42,14.439,12.96,14.3,1906916,COTY
COTY,2014-02-05,13.36,13.44,12.83,13.44,1112124,COTY
COTY,2014-02-06,13.51,13.77,13.32,13.72,849798,COTY
COTY,2014-02-07,13.25,13.63,13.19,13.53,542674,COTY
COTY,2014-02-10,13.25,13.36,13.15,13.21,478073,COTY
COTY,2014-02-11,13.25,13.31,13.16,13.28,620006,COTY
COTY,2014-02-12,13.42,13.5,13.12,13.24,557409,COTY
COTY,2014-02-13,13.72,13.77,13.31,13.41,665267,COTY
COTY,2014-02-14,14.74,15.5,14.03,14.03,2970144,COTY
COTY,2014-02-17,14.74,14.74,14.74,14.74,0,COTY
COTY,2014-02-18,14.19,14.83,14.1,14.74,1338349,COTY
COTY,2014-02-19,14.11,14.28,13.98,14.1,643638,COTY
COTY,2014-02-20,14.55,14.89,14.23,14.47,1206879,COTY
COTY,2014-02-21,14.47,14.7999,14.39,14.54,618286,COTY
COTY,2014-02-24,14.69,14.95,14.49,14.5,1000258,COTY
COTY,2014-02-25,14.83,15.04,14.73,14.76,1135041,COTY
COTY,2014-02-26,14.8,15.48,14.74,14.81,4069397,COTY
COTY,2014-02-27,14.71,15.25,14.6,14.73,962023,COTY
COTY,2014-02-28,14.85,15.0,14.62,14.71,772061,COTY
COTY,2014-03-03,14.91,15.12,14.76,14.8,644332,COTY
COTY,2014-03-04,15.07,15.26,14.9601,14.98,621499,COTY
COTY,2014-03-05,15.01,15.27,14.88,15.1,722697,COTY
COTY,2014-03-06,15.08,15.19,14.94,15.0,848996,COTY
COTY,2014-03-07,15.62,15.8,14.98,15.0,2312181,COTY
COTY,2014-03-10,15.85,15.92,15.3,15.6,1266185,COTY
COTY,2014-03-11,15.21,15.8,15.11,15.78,1291890,COTY
COTY,2014-03-12,15.45,15.68,15.12,15.2,1567477,COTY
COTY,2014-03-13,15.23,15.5856,15.07,15.52,771394,COTY
COTY,2014-03-14,14.92,15.25,14.73,14.9,2607503,COTY
COTY,2014-03-17,15.16,15.24,14.89,15.01,758287,COTY
COTY,2014-03-18,15.21,15.26,15.08,15.14,1107706,COTY
COTY,2014-03-19,15.06,15.265,14.97,15.16,1350115,COTY
COTY,2014-03-20,15.04,15.1,14.9,15.0,652482,COTY
COTY,2014-03-21,15.17,15.24,15.0,15.04,1228961,COTY
COTY,2014-03-24,15.09,15.24,14.99,15.01,606195,COTY
COTY,2014-03-25,15.03,15.2,14.89,15.1,747458,COTY
COTY,2014-03-26,14.9,15.07,14.8,15.0,904026,COTY
COTY,2014-03-27,14.93,15.005,14.77,14.84,542881,COTY
COTY,2014-03-28,14.99,15.05,14.89,14.95,693871,COTY
COTY,2014-03-31,14.98,15.02,14.86,15.02,1327294,COTY
COTY,2014-04-01,15.0,15.16,14.87,14.98,1405931,COTY
COTY,2014-04-02,15.0,15.09,14.85,15.01,1917308,COTY
COTY,2014-04-03,15.11,15.23,14.99,15.06,1752154,COTY
COTY,2014-04-04,15.21,15.24,15.1,15.14,1867522,COTY
COTY,2014-04-07,15.19,15.24,15.14,15.15,1052944,COTY
COTY,2014-04-08,15.27,15.38,15.2,15.24,954149,COTY
COTY,2014-04-09,15.32,15.35,15.23,15.23,515507,COTY
COTY,2014-04-10,15.53,15.68,15.25,15.35,594050,COTY
COTY,2014-04-11,15.38,15.58,15.16,15.51,740249,COTY
COTY,2014-04-14,15.59,15.74,15.39,15.49,968801,COTY
COTY,2014-04-15,15.61,15.78,15.5,15.74,1233755,COTY
COTY,2014-04-16,15.75,15.78,15.54,15.72,822349,COTY
COTY,2014-04-17,15.75,15.81,15.51,15.78,429388,COTY
COTY,2014-04-18,15.75,15.75,15.75,15.75,0,COTY
COTY,2014-04-21,15.66,15.79,15.575,15.72,301150,COTY
COTY,2014-04-22,15.65,15.76,15.57,15.65,546656,COTY
COTY,2014-04-23,15.76,15.825,15.61,15.71,732019,COTY
COTY,2014-04-24,15.63,15.8,15.575,15.78,435303,COTY
COTY,2014-04-25,15.63,15.7,15.49,15.5,765297,COTY
COTY,2014-04-28,15.92,16.11,15.61,15.64,1241762,COTY
COTY,2014-04-29,15.89,16.16,15.89,15.92,684358,COTY
COTY,2014-04-30,16.05,16.06,15.845,15.92,896153,COTY
COTY,2014-05-01,16.04,16.175,15.82,15.99,752497,COTY
COTY,2014-05-02,16.36,16.39,15.99,16.07,454971,COTY
COTY,2014-05-05,16.15,16.35,16.011,16.35,403051,COTY
COTY,2014-05-06,15.83,16.0,15.78,16.0,398172,COTY
COTY,2014-05-07,15.88,15.94,15.69,15.82,525611,COTY
COTY,2014-05-08,15.75,16.07,15.64,15.82,667976,COTY
COTY,2014-05-09,15.71,15.95,15.69,15.78,662708,COTY
COTY,2014-05-12,15.84,16.03,15.77,15.78,1546181,COTY
COTY,2014-05-13,15.44,15.59,15.23,15.59,2401577,COTY
COTY,2014-05-14,15.77,16.5,15.75,16.43,2258240,COTY
COTY,2014-05-15,15.97,16.23,15.78,16.09,1220817,COTY
COTY,2014-05-16,16.08,16.13,15.76,15.94,1945789,COTY
COTY,2014-05-19,16.2,16.21,15.902,16.0,744605,COTY
COTY,2014-05-20,16.2,16.23,16.06,16.12,519221,COTY
COTY,2014-05-21,16.17,16.298,16.07,16.25,530526,COTY
COTY,2014-05-22,16.43,16.48,16.1,16.2,745562,COTY
COTY,2014-05-23,16.38,16.44,16.28,16.29,420540,COTY
COTY,2014-05-26,16.38,16.38,16.38,16.38,0,COTY
COTY,2014-05-27,16.58,16.605,16.28,16.35,718803,COTY
COTY,2014-05-28,16.54,16.65,16.49,16.58,467977,COTY
COTY,2014-05-29,16.51,16.62,16.49,16.57,382080,COTY
COTY,2014-05-30,16.68,16.71,16.4,16.42,507667,COTY
COTY,2014-06-02,16.61,16.75,16.52,16.63,302089,COTY
COTY,2014-06-03,16.91,16.95,16.56,16.77,1108098,COTY
COTY,2014-06-04,16.92,16.92,16.7,16.75,576107,COTY
COTY,2014-06-05,16.89,16.98,16.66,16.98,622940,COTY
COTY,2014-06-06,17.85,17.92,17.0,17.0,1408209,COTY
COTY,2014-06-09,17.8,18.95,17.6,18.53,1417094,COTY
COTY,2014-06-10,17.44,17.9,17.29,17.86,939125,COTY
COTY,2014-06-11,17.22,17.36,16.56,16.57,821337,COTY
COTY,2014-06-12,17.11,17.3,16.99,17.17,633960,COTY
COTY,2014-06-13,17.11,17.29,16.89,17.06,909855,COTY
COTY,2014-06-16,16.97,17.18,16.92,17.18,674597,COTY
