Symbol,Date,Close,High,Low,Open,Volume,Name
CPB,1998-05-29,54.5,55.375,54.438,54.44,500299,CPB
CPB,1998-06-01,54.875,55.0,54.125,54.44,608600,CPB
CPB,1998-06-02,55.938,56.313,55.188,55.38,969600,CPB
CPB,1998-06-03,56.313,56.813,55.688,56.44,706200,CPB
CPB,1998-06-04,56.438,56.563,55.313,55.94,529700,CPB
CPB,1998-06-05,57.0,57.0,56.0,56.69,597200,CPB
CPB,1998-06-08,56.0,57.125,55.813,57.125,896800,CPB
CPB,1998-06-09,56.5,56.5,55.875,56.0,564700,CPB
CPB,1998-06-10,56.125,57.063,55.938,56.25,608000,CPB
CPB,1998-06-11,56.25,56.625,55.688,56.13,531900,CPB
CPB,1998-06-12,55.625,56.188,55.063,56.13,674600,CPB
CPB,1998-06-15,55.313,56.188,55.0,55.13,500900,CPB
CPB,1998-06-16,54.625,54.938,53.125,53.75,791900,CPB
CPB,1998-06-17,55.938,56.125,53.688,54.38,1034200,CPB
CPB,1998-06-18,55.0,55.938,54.5,55.69,603400,CPB
CPB,1998-06-19,53.75,54.875,53.563,54.69,877300,CPB
CPB,1998-06-22,53.438,54.438,53.188,53.81,583300,CPB
CPB,1998-06-23,53.563,53.938,53.063,53.75,523700,CPB
CPB,1998-06-24,53.625,53.688,52.5,53.31,716700,CPB
CPB,1998-06-25,54.125,55.25,53.5,53.63,520700,CPB
CPB,1998-06-26,54.5,54.688,53.688,54.13,339400,CPB
CPB,1998-06-29,53.563,55.0,53.125,54.88,348400,CPB
CPB,1998-06-30,53.125,53.563,52.813,53.56,725300,CPB
CPB,1998-07-01,53.5,53.688,52.938,53.13,813300,CPB
CPB,1998-07-02,52.5,53.313,52.375,52.5,697200,CPB
CPB,1998-07-03,52.5,53.313,52.375,52.5,0,CPB
CPB,1998-07-06,53.5,53.5,52.25,52.38,769400,CPB
CPB,1998-07-07,53.313,54.25,53.125,53.5,499100,CPB
CPB,1998-07-08,53.25,53.688,52.625,53.25,724900,CPB
CPB,1998-07-09,53.25,53.25,52.438,53.0,579300,CPB
CPB,1998-07-10,53.75,54.188,53.063,53.063,710400,CPB
CPB,1998-07-13,53.0,53.938,52.625,53.88,570100,CPB
CPB,1998-07-14,54.688,54.875,53.625,54.0,1054400,CPB
CPB,1998-07-15,55.125,55.5,54.563,55.0,1004999,CPB
CPB,1998-07-16,55.438,55.5,54.438,55.19,346800,CPB
CPB,1998-07-17,54.813,55.313,54.0,55.31,502800,CPB
CPB,1998-07-20,54.5,54.875,54.188,54.875,379000,CPB
CPB,1998-07-21,53.813,54.75,53.5,54.5,493700,CPB
CPB,1998-07-22,54.188,54.25,53.375,53.56,476100,CPB
CPB,1998-07-23,53.125,53.688,52.375,53.63,463600,CPB
CPB,1998-07-24,53.875,53.938,52.5,53.13,449900,CPB
CPB,1998-07-27,54.625,54.688,53.5,53.81,422900,CPB
CPB,1998-07-28,53.563,54.563,52.563,54.38,446600,CPB
CPB,1998-07-29,53.875,53.938,53.313,53.81,633600,CPB
CPB,1998-07-30,54.25,54.375,53.625,53.88,582300,CPB
CPB,1998-07-31,54.0,54.25,53.375,54.0,1355900,CPB
CPB,1998-08-03,55.563,56.313,53.5,54.06,819300,CPB
CPB,1998-08-04,53.875,55.563,53.875,55.56,747200,CPB
CPB,1998-08-05,52.0,54.0,50.875,53.88,803800,CPB
CPB,1998-08-06,51.188,52.375,51.0,52.0,622600,CPB
CPB,1998-08-07,50.313,50.688,50.0,50.25,628400,CPB
CPB,1998-08-10,50.813,51.0,49.625,50.06,691900,CPB
CPB,1998-08-11,50.375,50.875,49.75,50.875,667400,CPB
CPB,1998-08-12,51.75,51.938,50.5,50.5,428600,CPB
