Symbol,Date,Close,High,Low,Open,Volume,Name
CVS,1998-05-29,17.547,17.75,17.422,17.67,2039600,CVS
CVS,1998-06-01,17.75,17.907,17.485,17.61,2039600,CVS
CVS,1998-06-02,18.047,18.157,17.875,18.13,2175200,CVS
CVS,1998-06-03,18.047,18.219,17.985,18.08,2192800,CVS
CVS,1998-06-04,18.079,18.172,17.907,18.0,2655600,CVS
CVS,1998-06-05,18.25,18.407,18.219,18.25,1806000,CVS
CVS,1998-06-08,18.922,18.969,18.25,18.26,2377200,CVS
CVS,1998-06-09,18.985,19.125,18.519,18.92,2112400,CVS
CVS,1998-06-10,18.954,19.094,18.625,18.63,2689600,CVS
CVS,1998-06-11,19.079,19.141,18.969,18.99,1540400,CVS
CVS,1998-06-12,18.5,19.125,18.438,19.05,1942800,CVS
CVS,1998-06-15,18.704,18.938,18.5,18.5,2064800,CVS
CVS,1998-06-16,18.563,18.594,18.282,18.44,1561800,CVS
CVS,1998-06-17,18.657,19.094,18.532,18.66,2354800,CVS
CVS,1998-06-18,19.125,19.157,18.563,18.72,2383200,CVS
CVS,1998-06-19,18.938,19.282,18.844,19.28,1852400,CVS
CVS,1998-06-22,19.094,19.219,18.969,19.13,1036200,CVS
CVS,1998-06-23,19.375,19.438,19.063,19.16,2143400,CVS
CVS,1998-06-24,19.344,19.375,18.875,19.32,2682000,CVS
CVS,1998-06-25,19.813,19.813,19.25,19.32,2101200,CVS
CVS,1998-06-26,19.063,19.75,19.063,19.75,9793000,CVS
CVS,1998-06-29,19.625,19.688,19.094,19.094,1912200,CVS
CVS,1998-06-30,19.469,19.688,19.375,19.63,1398400,CVS
CVS,1998-07-01,19.625,19.625,19.375,19.5,1609400,CVS
CVS,1998-07-02,19.563,19.625,19.375,19.625,1034800,CVS
CVS,1998-07-03,19.563,19.625,19.375,19.625,0,CVS
CVS,1998-07-06,20.219,20.219,19.563,19.63,1728400,CVS
CVS,1998-07-07,20.625,20.719,20.094,20.22,3601400,CVS
CVS,1998-07-08,20.938,20.938,20.657,20.75,2830600,CVS
CVS,1998-07-09,20.125,20.907,20.094,20.907,3000400,CVS
CVS,1998-07-10,20.938,21.407,20.157,20.19,2758200,CVS
CVS,1998-07-13,22.438,22.5,21.032,21.032,2748000,CVS
CVS,1998-07-14,21.969,22.0,21.657,22.0,1678400,CVS
CVS,1998-07-15,22.157,22.5,21.907,21.97,1689800,CVS
CVS,1998-07-16,22.469,22.469,21.907,22.19,1391000,CVS
CVS,1998-07-17,22.25,22.625,22.25,22.625,905000,CVS
CVS,1998-07-20,22.219,22.75,22.063,22.38,1045199,CVS
CVS,1998-07-21,21.719,22.344,21.5,22.34,1719200,CVS
CVS,1998-07-22,21.563,21.844,21.188,21.82,2658400,CVS
CVS,1998-07-23,21.188,21.688,21.157,21.5,1534200,CVS
CVS,1998-07-24,21.407,21.407,20.907,21.25,1148800,CVS
CVS,1998-07-27,21.25,21.407,20.75,21.38,1079400,CVS
CVS,1998-07-28,21.094,21.469,20.5,21.22,1336600,CVS
CVS,1998-07-29,20.469,21.5,20.25,21.09,2851200,CVS
CVS,1998-07-30,20.813,21.094,20.5,20.69,3141800,CVS
CVS,1998-07-31,20.5,20.938,20.407,20.75,1185400,CVS
CVS,1998-08-03,20.844,20.875,20.375,20.63,1302600,CVS
CVS,1998-08-04,19.969,21.032,19.938,20.88,2076800,CVS
CVS,1998-08-05,20.313,20.813,19.75,19.94,1884000,CVS
CVS,1998-08-06,21.313,21.5,20.375,20.38,1777200,CVS
CVS,1998-08-07,21.719,22.313,21.0,21.34,1517200,CVS
CVS,1998-08-10,21.75,21.875,21.313,21.66,1277600,CVS
