Symbol,Date,Close,High,Low,Open,Volume,Name
CVX,1998-05-29,39.938,40.375,39.813,39.94,2130800,CVX
CVX,1998-06-01,39.5,39.938,39.282,39.938,1718400,CVX
CVX,1998-06-02,39.438,39.75,39.219,39.69,3395600,CVX
CVX,1998-06-03,39.469,39.938,39.344,39.44,2155200,CVX
CVX,1998-06-04,40.063,40.594,39.688,39.72,2565000,CVX
CVX,1998-06-05,41.25,41.25,40.313,40.313,2049799,CVX
CVX,1998-06-08,40.5,41.282,40.375,41.25,1379400,CVX
CVX,1998-06-09,40.0,40.657,40.0,40.63,1763400,CVX
CVX,1998-06-10,39.719,40.563,39.563,40.03,3089000,CVX
CVX,1998-06-11,39.032,40.125,38.782,40.125,2311600,CVX
CVX,1998-06-12,40.688,40.688,38.782,39.15,3628800,CVX
CVX,1998-06-15,39.719,40.375,39.719,40.25,2744200,CVX
CVX,1998-06-16,40.625,40.625,39.563,39.75,2662600,CVX
CVX,1998-06-17,41.844,42.219,40.782,40.94,3031000,CVX
CVX,1998-06-18,40.969,41.844,40.875,41.844,1708400,CVX
CVX,1998-06-19,40.657,41.219,40.563,41.19,2594600,CVX
CVX,1998-06-22,40.875,41.469,40.75,40.78,1986800,CVX
CVX,1998-06-23,42.032,42.063,41.438,41.63,2007800,CVX
CVX,1998-06-24,42.0,42.469,41.657,42.38,2786200,CVX
CVX,1998-06-25,42.094,42.625,41.907,42.44,2642800,CVX
CVX,1998-06-26,41.813,42.25,41.782,42.1,1513200,CVX
CVX,1998-06-29,41.25,41.875,41.219,41.75,1372000,CVX
CVX,1998-06-30,41.875,42.188,41.313,42.0,2440200,CVX
CVX,1998-07-01,42.469,42.5,41.875,42.0,3087200,CVX
CVX,1998-07-02,42.563,42.969,42.188,42.44,2357000,CVX
CVX,1998-07-03,42.563,42.969,42.188,42.44,0,CVX
CVX,1998-07-06,42.313,42.563,42.032,42.56,1786000,CVX
CVX,1998-07-07,41.25,41.907,41.032,41.88,2537200,CVX
CVX,1998-07-08,41.594,41.875,41.313,41.44,1531200,CVX
CVX,1998-07-09,40.5,41.532,40.282,41.5,2114200,CVX
CVX,1998-07-10,40.938,41.094,40.25,40.75,1939800,CVX
CVX,1998-07-13,40.438,41.0,40.0,41.0,2679000,CVX
CVX,1998-07-14,41.094,41.344,40.5,40.5,2316000,CVX
CVX,1998-07-15,41.469,41.719,40.782,41.1,2436000,CVX
CVX,1998-07-16,41.563,41.719,41.282,41.56,1511400,CVX
CVX,1998-07-17,41.407,41.688,41.344,41.63,1448400,CVX
CVX,1998-07-20,41.0,41.469,40.782,41.44,1791800,CVX
CVX,1998-07-21,41.407,41.657,41.157,41.19,1977600,CVX
CVX,1998-07-22,42.063,42.188,41.063,41.47,3206000,CVX
CVX,1998-07-23,40.782,42.219,40.688,42.19,2272200,CVX
CVX,1998-07-24,41.5,41.657,40.938,41.5,2362600,CVX
CVX,1998-07-27,42.75,42.75,41.344,41.4,4986800,CVX
CVX,1998-07-28,42.782,43.0,42.0,42.72,4824600,CVX
CVX,1998-07-29,42.782,42.938,42.282,42.75,3903200,CVX
CVX,1998-07-30,42.657,43.157,42.407,42.85,2848800,CVX
CVX,1998-07-31,41.313,42.407,41.25,42.4,2920600,CVX
CVX,1998-08-03,40.563,41.313,40.282,41.31,3019200,CVX
CVX,1998-08-04,39.157,41.125,39.157,41.125,3763200,CVX
CVX,1998-08-05,39.344,39.344,38.032,39.28,3888200,CVX
CVX,1998-08-06,38.469,39.344,38.032,39.22,2500400,CVX
CVX,1998-08-07,38.688,39.938,38.375,38.47,3493400,CVX
