Symbol,Date,Close,High,Low,Open,Volume,Name
DAL,2007-04-26,22.79,23.25,22.65,23.25,2422400,DAL
DAL,2007-04-27,20.91,21.51,20.85,21.51,3045100,DAL
DAL,2007-04-30,20.45,20.7,20.01,20.7,2933400,DAL
DAL,2007-05-01,19.91,20.35,19.05,20.35,5399700,DAL
DAL,2007-05-02,20.4,20.75,19.55,20.75,4067800,DAL
DAL,2007-05-03,20.72,21.95,20.55,21.75,6336000,DAL
DAL,2007-05-04,20.98,21.35,20.7,21.25,5436500,DAL
DAL,2007-05-07,20.36,21.29,20.2,21.2,2645400,DAL
DAL,2007-05-08,19.63,20.0,19.3,20.0,4166100,DAL
DAL,2007-05-09,19.79,20.2,19.63,19.75,7541100,DAL
DAL,2007-05-10,19.7,19.99,19.55,19.79,3169700,DAL
DAL,2007-05-11,19.3,19.8,19.11,19.71,3539400,DAL
DAL,2007-05-14,18.89,19.39,18.75,19.15,1924800,DAL
DAL,2007-05-15,18.2,18.85,18.15,18.65,3438700,DAL
DAL,2007-05-16,18.34,18.48,18.02,18.06,2552700,DAL
DAL,2007-05-17,19.02,19.75,18.67,18.8,8979000,DAL
DAL,2007-05-18,19.31,19.49,18.54,19.47,6510200,DAL
DAL,2007-05-21,19.0,19.34,19.0,19.2,2077700,DAL
DAL,2007-05-22,19.48,19.52,19.0,19.1,4014700,DAL
DAL,2007-05-23,19.21,19.7,19.1,19.5,2387100,DAL
DAL,2007-05-24,19.02,19.33,18.85,19.21,2362000,DAL
DAL,2007-05-25,18.76,19.05,18.69,19.02,895000,DAL
DAL,2007-05-28,18.76,19.05,18.69,19.02,0,DAL
DAL,2007-05-29,19.09,19.2,18.85,18.91,2878500,DAL
DAL,2007-05-30,18.98,19.15,18.81,19.05,2829200,DAL
DAL,2007-05-31,19.05,19.28,19.03,19.15,3435200,DAL
DAL,2007-06-01,19.55,19.8,19.05,19.1,2299100,DAL
DAL,2007-06-04,18.84,19.05,18.69,18.7,5692100,DAL
DAL,2007-06-05,18.95,19.04,18.73,18.85,4476800,DAL
DAL,2007-06-06,18.93,18.93,18.65,18.7,2594300,DAL
DAL,2007-06-07,18.48,18.85,18.15,18.77,3062500,DAL
DAL,2007-06-08,18.83,18.83,18.2,18.2,1411400,DAL
DAL,2007-06-11,18.38,18.82,18.22,18.55,1840419,DAL
DAL,2007-06-12,18.4,18.7,18.02,18.15,8551200,DAL
DAL,2007-06-13,18.64,18.7,18.36,18.48,3107700,DAL
DAL,2007-06-14,18.9,19.01,18.425,18.5,8069699,DAL
DAL,2007-06-15,18.88,19.14,18.45,18.89,3269700,DAL
DAL,2007-06-18,18.54,18.9,18.5,18.65,1289900,DAL
DAL,2007-06-19,18.87,19.07,18.55,18.59,3111500,DAL
DAL,2007-06-20,19.36,19.49,18.82,19.0,4008499,DAL
DAL,2007-06-21,19.6,19.6,19.2,19.2,3985700,DAL
DAL,2007-06-22,19.75,19.85,19.37,19.5,10607600,DAL
DAL,2007-06-25,19.43,19.74,19.11,19.69,1973900,DAL
DAL,2007-06-26,19.49,19.66,19.27,19.5,2237000,DAL
DAL,2007-06-27,19.42,19.59,19.13,19.4,2216000,DAL
DAL,2007-06-28,19.67,19.89,19.6225,19.75,2547200,DAL
DAL,2007-06-29,19.7,19.83,19.51,19.55,2020700,DAL
DAL,2007-07-02,19.58,19.76,19.53,19.57,1831600,DAL
DAL,2007-07-03,20.25,20.26,19.71,19.71,2960900,DAL
DAL,2007-07-04,20.25,20.26,19.71,19.71,0,DAL
DAL,2007-07-05,20.52,20.73,19.92,20.01,2613500,DAL
DAL,2007-07-06,20.83,20.9,20.38,20.55,1966900,DAL
DAL,2007-07-09,21.33,21.39,20.855,20.94,2839400,DAL
DAL,2007-07-10,20.65,21.25,20.53,21.18,2367068,DAL
DAL,2007-07-11,20.12,20.59,20.0,20.18,2383300,DAL
DAL,2007-07-12,20.43,20.63,20.11,20.43,3454400,DAL
DAL,2007-07-13,20.5,20.54,20.08,20.35,1747100,DAL
DAL,2007-07-16,20.94,21.0,20.31,20.45,2885500,DAL
DAL,2007-07-17,21.19,21.25,20.78,21.0,4380400,DAL
DAL,2007-07-18,21.37,21.8,21.15,21.79,9007419,DAL
DAL,2007-07-19,21.51,21.8,21.4,21.48,8636300,DAL
DAL,2007-07-20,21.4,21.58,21.0,21.41,4248400,DAL
DAL,2007-07-23,21.11,21.5,21.01,21.4,4397370,DAL
DAL,2007-07-24,21.33,21.6,20.73,21.15,6099100,DAL
DAL,2007-07-25,20.78,21.31,20.45,21.3,2165800,DAL
DAL,2007-07-26,19.36,20.56,18.87,20.56,9754300,DAL
DAL,2007-07-27,18.59,19.72,18.37,19.71,4562800,DAL
DAL,2007-07-30,18.05,18.59,17.32,18.5,8926900,DAL
DAL,2007-07-31,17.82,18.54,17.72,18.28,3582900,DAL
DAL,2007-08-01,18.35,18.65,17.18,18.0,7081400,DAL
DAL,2007-08-02,18.88,19.5,18.26,18.67,7341100,DAL
DAL,2007-08-03,18.7,19.17,18.19,18.88,3400300,DAL
DAL,2007-08-06,18.02,19.0,17.71,18.94,5609000,DAL
DAL,2007-08-07,18.45,18.77,17.85,17.85,2723649,DAL
DAL,2007-08-08,18.49,18.85,18.05,18.38,2724100,DAL
DAL,2007-08-09,17.87,18.13,17.65,18.04,3313900,DAL
DAL,2007-08-10,17.56,17.61,16.95,17.5,2953700,DAL
DAL,2007-08-13,17.29,18.05,17.18,17.65,2048299,DAL
DAL,2007-08-14,16.97,17.579,15.96,17.29,5720400,DAL
DAL,2007-08-15,15.75,16.95,15.02,16.85,3538800,DAL
DAL,2007-08-16,15.92,16.2,14.94,15.25,6308400,DAL
DAL,2007-08-17,16.0,16.6,15.02,16.55,4152000,DAL
DAL,2007-08-20,16.08,16.65,15.86,16.1,1933600,DAL
DAL,2007-08-21,17.71,17.83,15.95,16.01,5527200,DAL
DAL,2007-08-22,18.1,18.65,17.64,18.15,4717500,DAL
DAL,2007-08-23,18.0,18.15,17.55,18.0,2271800,DAL
DAL,2007-08-24,18.24,18.28,17.62,17.79,983600,DAL
DAL,2007-08-27,17.7,18.23,17.5,17.61,1321100,DAL
DAL,2007-08-28,17.35,17.68,17.23,17.55,1241100,DAL
DAL,2007-08-29,17.36,17.64,17.31,17.46,1092700,DAL
DAL,2007-08-30,16.98,17.3,16.82,17.05,1210500,DAL
DAL,2007-08-31,16.88,17.27,16.82,17.05,1240900,DAL
DAL,2007-09-03,16.88,17.27,16.82,17.05,0,DAL
DAL,2007-09-04,17.53,17.68,16.9701,17.04,1993738,DAL
DAL,2007-09-05,17.62,17.98,17.5,17.5,1847900,DAL
DAL,2007-09-06,18.07,18.3,17.26,17.75,2205500,DAL
DAL,2007-09-07,17.62,17.74,17.39,17.58,1533800,DAL
DAL,2007-09-10,17.44,17.99,17.26,17.73,2483600,DAL
DAL,2007-09-11,17.69,17.9,17.31,17.4,2066700,DAL
DAL,2007-09-12,17.15,17.65,17.06,17.65,2217800,DAL
DAL,2007-09-13,17.59,17.62,17.16,17.31,1365600,DAL
DAL,2007-09-14,17.65,17.7,17.27,17.34,873900,DAL
DAL,2007-09-17,17.15,17.67,17.11,17.57,939100,DAL
DAL,2007-09-18,17.45,17.56,16.87,17.35,1800800,DAL
DAL,2007-09-19,18.29,18.34,17.5,17.5,3483975,DAL
DAL,2007-09-20,17.72,18.18,17.64,18.17,1631700,DAL
DAL,2007-09-21,17.56,18.19,17.46,18.19,1767400,DAL
DAL,2007-09-24,16.03,17.57,16.01,17.52,5239100,DAL
DAL,2007-09-25,17.08,17.08,15.9,16.0,3471300,DAL
DAL,2007-09-26,17.87,17.95,16.95,17.15,4915580,DAL
DAL,2007-09-27,17.82,18.04,17.57,17.93,1443000,DAL
DAL,2007-09-28,17.95,17.96,17.27,17.6,1505000,DAL
DAL,2007-10-01,18.22,18.33,17.81,18.0,2277692,DAL
DAL,2007-10-02,18.98,19.0,18.37,18.4,2982300,DAL
DAL,2007-10-03,19.28,19.29,18.51,19.03,3078400,DAL
DAL,2007-10-04,18.61,19.55,18.4,19.12,4998500,DAL
DAL,2007-10-05,19.19,19.7,18.63,18.63,3334700,DAL
DAL,2007-10-08,19.48,19.66,19.1105,19.12,1546800,DAL
DAL,2007-10-09,19.59,19.78,19.21,19.42,1839151,DAL
DAL,2007-10-10,19.63,19.69,19.22,19.25,2416600,DAL
DAL,2007-10-11,19.39,19.6799,19.24,19.64,2948600,DAL
DAL,2007-10-12,19.96,19.98,19.08,19.25,2331592,DAL
DAL,2007-10-15,20.0,20.0,19.17,19.78,3955300,DAL
DAL,2007-10-16,20.08,20.5,19.3,20.25,7945800,DAL
DAL,2007-10-17,20.4,20.56,20.03,20.36,5631583,DAL
