Symbol,Date,Close,High,Low,Open,Volume,Name
DOV,1998-05-29,24.8024,24.885,24.389,24.723,430906,DOV
DOV,1998-06-01,24.2236,25.0094,24.0583,24.8024,347446,DOV
DOV,1998-06-02,24.4717,24.8024,24.2653,24.3063,712280,DOV
DOV,1998-06-03,24.5543,25.0504,24.5133,24.637,1072881,DOV
DOV,1998-06-04,24.7197,24.8024,24.3063,24.5114,640311,DOV
DOV,1998-06-05,24.637,24.8024,24.5133,24.7627,612945,DOV
DOV,1998-06-08,24.4717,24.9267,24.4307,24.8024,470973,DOV
DOV,1998-06-09,24.389,24.5543,24.141,24.3063,284549,DOV
DOV,1998-06-10,24.141,24.7614,24.1,24.3063,497734,DOV
DOV,1998-06-11,23.9346,24.5133,23.9346,24.141,804509,DOV
DOV,1998-06-12,24.0173,24.348,23.6039,24.0153,732540,DOV
DOV,1998-06-15,23.6039,23.9756,23.5622,23.9359,400667,DOV
DOV,1998-06-16,23.5622,23.6866,23.0252,23.6846,437407,DOV
DOV,1998-06-17,24.1826,24.5133,23.6449,23.6449,827793,DOV
DOV,1998-06-18,24.2236,24.3063,23.9756,24.2666,437559,DOV
DOV,1998-06-19,23.9346,24.2653,23.9346,24.227,1030244,DOV
DOV,1998-06-22,24.0173,24.141,23.8103,23.85,390234,DOV
DOV,1998-06-23,23.5622,24.1826,23.2316,24.1013,1157248,DOV
DOV,1998-06-24,24.0173,24.1,23.1489,23.4002,750533,DOV
DOV,1998-06-25,23.1489,23.8103,21.9914,22.3221,2391152,DOV
DOV,1998-06-26,22.6118,23.0662,22.4465,23.0662,2875279,DOV
DOV,1998-06-29,22.7772,23.0662,22.6528,22.6528,1209410,DOV
DOV,1998-06-30,22.6528,23.0252,22.5291,22.7785,1220296,DOV
DOV,1998-07-01,23.1079,23.1079,22.6945,22.9042,1050655,DOV
DOV,1998-07-02,23.1905,23.3559,22.9009,23.0232,588149,DOV
DOV,1998-07-03,23.1905,23.3559,22.9009,23.0232,0,DOV
DOV,1998-07-06,22.6528,22.8182,22.4875,22.8182,1489877,DOV
DOV,1998-07-07,22.8182,23.0252,22.6945,22.7785,717572,DOV
DOV,1998-07-08,22.9835,23.1079,22.5702,22.8182,838982,DOV
DOV,1998-07-09,22.4875,22.9425,22.3638,22.9042,798462,DOV
DOV,1998-07-10,22.2811,22.5702,22.1984,22.5272,891900,DOV
DOV,1998-07-13,21.8261,22.1984,21.7024,22.1171,1090722,DOV
DOV,1998-07-14,21.9088,21.9914,21.7024,21.8261,777143,DOV
DOV,1998-07-15,21.2474,21.7851,20.9167,21.7851,1693537,DOV
DOV,1998-07-16,21.7434,21.7434,21.082,21.33,1227856,DOV
DOV,1998-07-17,22.4465,22.4465,21.7024,21.7864,1321597,DOV
DOV,1998-07-20,22.7355,23.1489,22.4465,22.4478,1479143,DOV
DOV,1998-07-21,22.0741,22.7355,22.0331,22.6528,786668,DOV
DOV,1998-07-22,22.1984,22.4048,21.6607,22.0774,695195,DOV
DOV,1998-07-23,21.33,22.1984,21.33,22.1965,1029639,DOV
DOV,1998-07-24,21.041,21.4954,20.834,21.3697,949808,DOV
DOV,1998-07-27,20.7103,21.041,20.2969,20.9993,716967,DOV
DOV,1998-07-28,20.1726,20.834,19.7182,20.7083,985037,DOV
DOV,1998-07-29,19.9662,20.2143,19.6765,20.1726,713339,DOV
DOV,1998-07-30,19.8419,20.5033,19.3875,19.8022,1243278,DOV
DOV,1998-07-31,19.2222,20.0489,19.1805,20.0072,1101154,DOV
DOV,1998-08-03,19.0568,19.5112,18.6845,19.2665,1522838,DOV
DOV,1998-08-04,17.8994,19.3458,17.6097,19.1011,1953593,DOV
DOV,1998-08-05,18.7671,19.1395,18.1474,18.2281,1357582,DOV
DOV,1998-08-06,18.3127,19.4702,18.1884,19.4318,973999,DOV
DOV,1998-08-07,18.6018,19.4285,18.3538,18.4794,1228461,DOV
DOV,1998-08-10,17.982,18.6845,17.9404,18.4397,725434,DOV
DOV,1998-08-11,17.9404,18.3127,17.527,17.613,852136,DOV
DOV,1998-08-12,18.2301,18.5191,17.8167,17.8577,651802,DOV
