Symbol,Date,Close,High,Low,Open,Volume,Name
DRE,1998-05-29,22.625,22.625,22.438,22.5,166800,DRE
DRE,1998-06-01,22.625,22.688,22.438,22.44,57800,DRE
DRE,1998-06-02,22.563,22.75,22.5,22.63,170000,DRE
DRE,1998-06-03,22.563,22.688,22.5,22.56,94900,DRE
DRE,1998-06-04,22.563,22.625,22.25,22.5,134000,DRE
DRE,1998-06-05,22.375,22.688,22.375,22.688,98500,DRE
DRE,1998-06-08,21.938,22.375,21.813,22.375,298200,DRE
DRE,1998-06-09,21.938,22.125,21.875,21.94,464500,DRE
DRE,1998-06-10,22.0,22.5,21.938,21.94,105100,DRE
DRE,1998-06-11,22.25,22.375,21.875,22.25,183200,DRE
DRE,1998-06-12,22.313,22.375,22.125,22.19,215000,DRE
DRE,1998-06-15,22.0,22.313,21.938,22.06,402500,DRE
DRE,1998-06-16,22.125,22.25,21.938,22.13,108600,DRE
DRE,1998-06-17,22.375,22.625,22.0,22.0,122700,DRE
DRE,1998-06-18,22.5,22.688,22.313,22.313,87600,DRE
DRE,1998-06-19,22.0,22.375,22.0,22.25,82600,DRE
DRE,1998-06-22,22.375,22.625,22.0,22.0,74700,DRE
DRE,1998-06-23,22.5,22.625,22.375,22.38,219500,DRE
DRE,1998-06-24,22.563,22.625,22.5,22.5,150500,DRE
DRE,1998-06-25,22.625,22.625,22.5,22.5625,131000,DRE
DRE,1998-06-26,22.5,23.125,22.375,22.5,251800,DRE
DRE,1998-06-29,23.188,23.25,22.5,22.5,106400,DRE
DRE,1998-06-30,23.625,24.25,23.188,23.25,245000,DRE
DRE,1998-07-01,23.313,23.688,23.063,23.63,124900,DRE
DRE,1998-07-02,23.188,23.625,23.063,23.31,304000,DRE
DRE,1998-07-03,23.188,23.625,23.063,23.31,0,DRE
DRE,1998-07-06,23.5,23.813,22.938,22.94,116700,DRE
DRE,1998-07-07,23.625,24.0,23.5,23.5,125500,DRE
DRE,1998-07-08,23.688,23.875,23.625,23.69,55300,DRE
DRE,1998-07-09,23.813,24.188,23.688,23.69,52000,DRE
DRE,1998-07-10,24.313,24.313,23.438,23.81,155100,DRE
DRE,1998-07-13,24.3125,24.3125,23.875,24.125,124200,DRE
DRE,1998-07-14,24.0,24.125,23.875,23.88,173300,DRE
DRE,1998-07-15,23.938,24.188,23.875,24.0,290300,DRE
DRE,1998-07-16,24.0,24.125,23.813,23.94,179700,DRE
DRE,1998-07-17,23.875,23.938,23.75,23.88,53100,DRE
DRE,1998-07-20,23.688,23.875,23.625,23.63,78000,DRE
DRE,1998-07-21,23.5,23.75,23.375,23.75,132300,DRE
DRE,1998-07-22,23.563,23.75,23.375,23.38,251900,DRE
DRE,1998-07-23,23.313,23.5,23.188,23.38,127000,DRE
DRE,1998-07-24,22.813,23.375,22.813,23.06,364000,DRE
DRE,1998-07-27,22.188,22.75,22.0,22.56,207100,DRE
DRE,1998-07-28,21.875,22.188,21.75,22.188,236000,DRE
DRE,1998-07-29,21.938,22.125,21.813,21.813,211600,DRE
DRE,1998-07-30,21.938,22.0,21.813,21.813,114100,DRE
DRE,1998-07-31,21.4375,21.75,21.1875,21.6875,190000,DRE
DRE,1998-08-03,20.813,21.438,20.75,21.13,92000,DRE
DRE,1998-08-04,20.125,21.625,20.0,21.625,311900,DRE
DRE,1998-08-05,19.813,20.188,19.5,19.88,263600,DRE
DRE,1998-08-06,20.5,20.938,19.563,19.563,224200,DRE
DRE,1998-08-07,21.5,21.5,20.563,20.63,195500,DRE
DRE,1998-08-10,21.438,21.5,21.375,21.5,111400,DRE
DRE,1998-08-11,21.25,21.375,20.875,21.31,112500,DRE
DRE,1998-08-12,21.313,21.5,20.813,20.813,202200,DRE
DRE,1998-08-13,21.063,21.5,20.875,21.31,366800,DRE
DRE,1998-08-14,21.75,21.75,21.0,21.0,2228000,DRE
DRE,1998-08-17,21.688,21.75,21.563,21.75,121200,DRE
DRE,1998-08-18,21.625,22.063,21.5,21.69,232700,DRE
