Symbol,Date,Close,High,Low,Open,Volume,Name
EA,1998-05-29,10.875,11.219,10.813,11.16,1766400,EA
EA,1998-06-01,10.641,11.094,10.594,10.75,2754400,EA
EA,1998-06-02,11.157,11.25,10.641,10.88,2901600,EA
EA,1998-06-03,10.844,11.25,10.657,11.25,1946400,EA
EA,1998-06-04,11.188,11.188,10.782,10.85,2370400,EA
EA,1998-06-05,11.141,11.204,10.938,11.19,1134800,EA
EA,1998-06-08,11.313,11.469,11.125,11.13,4695600,EA
EA,1998-06-09,11.36,11.563,11.282,11.31,2468800,EA
EA,1998-06-10,11.329,11.532,11.219,11.31,2163200,EA
EA,1998-06-11,11.5,11.5,11.063,11.31,3531200,EA
EA,1998-06-12,11.875,12.032,11.438,11.47,9442400,EA
EA,1998-06-15,11.465,12.188,11.438,11.81,4415600,EA
EA,1998-06-16,12.219,12.219,11.5,11.56,5024800,EA
EA,1998-06-17,12.5,12.625,12.188,12.22,5932400,EA
EA,1998-06-18,12.422,12.594,12.063,12.44,4537600,EA
EA,1998-06-19,12.375,12.532,12.297,12.5,3038000,EA
EA,1998-06-22,13.125,13.141,12.188,12.35,5418000,EA
EA,1998-06-23,13.063,13.188,12.891,13.188,2767200,EA
EA,1998-06-24,13.625,13.688,12.907,13.03,5464000,EA
EA,1998-06-25,13.282,13.688,13.25,13.61,3965600,EA
EA,1998-06-26,13.063,13.25,12.907,13.19,2287200,EA
EA,1998-06-29,13.711,13.75,13.0,13.03,2983200,EA
EA,1998-06-30,13.5,13.688,13.313,13.688,2728800,EA
EA,1998-07-01,13.844,14.016,13.422,13.5,3630800,EA
EA,1998-07-02,13.563,13.938,13.438,13.86,3232400,EA
EA,1998-07-03,13.563,13.938,13.438,13.86,0,EA
EA,1998-07-06,13.594,13.704,13.407,13.6,2586000,EA
EA,1998-07-07,13.313,13.579,13.094,13.5,4209200,EA
EA,1998-07-08,13.188,13.313,12.907,13.22,3269600,EA
EA,1998-07-09,13.61,13.719,13.188,13.19,3111600,EA
EA,1998-07-10,13.563,13.75,13.125,13.63,2419600,EA
EA,1998-07-13,13.672,13.782,13.407,13.53,2414400,EA
EA,1998-07-14,13.438,13.719,13.25,13.63,2096800,EA
EA,1998-07-15,13.563,13.813,13.422,13.5,2798400,EA
EA,1998-07-16,13.204,13.625,13.141,13.56,2978400,EA
EA,1998-07-17,13.625,13.782,13.016,13.22,5134000,EA
EA,1998-07-20,13.938,13.938,13.375,13.6,4447200,EA
EA,1998-07-21,13.766,14.063,13.661,13.91,4212800,EA
EA,1998-07-22,13.844,13.891,13.407,13.7,3696800,EA
EA,1998-07-23,13.157,14.282,13.094,14.22,6725200,EA
EA,1998-07-24,12.782,13.157,12.5,13.157,4168800,EA
EA,1998-07-27,12.313,12.813,11.813,12.78,8082400,EA
EA,1998-07-28,13.25,13.563,12.094,12.33,7829600,EA
EA,1998-07-29,12.704,13.438,12.641,13.31,6654000,EA
EA,1998-07-30,12.875,12.907,12.625,12.75,3069600,EA
EA,1998-07-31,12.664,12.907,12.625,12.907,2822000,EA
EA,1998-08-03,12.516,12.782,12.032,12.69,6027200,EA
EA,1998-08-04,11.813,12.625,11.704,12.58,7603200,EA
EA,1998-08-05,11.75,12.422,11.579,11.78,4106800,EA
EA,1998-08-06,12.375,12.5,11.625,11.75,4148399,EA
EA,1998-08-07,12.329,12.75,12.204,12.44,2977600,EA
EA,1998-08-10,12.094,12.375,12.094,12.375,1212400,EA
EA,1998-08-11,11.7812,12.125,11.7188,12.125,612000,EA
EA,1998-08-12,12.204,12.282,11.875,11.89,2533200,EA
EA,1998-08-13,12.125,12.469,11.969,12.22,1891200,EA
EA,1998-08-14,12.172,12.344,11.969,12.19,1450400,EA
EA,1998-08-17,12.938,12.938,12.063,12.063,4008000,EA
EA,1998-08-18,13.36,13.516,13.0,13.1,5826000,EA
EA,1998-08-19,12.532,13.563,12.5,13.41,3480000,EA
EA,1998-08-20,12.844,13.047,12.532,12.61,2696800,EA
EA,1998-08-21,12.407,12.813,11.954,12.81,4358800,EA
EA,1998-08-24,12.0,12.563,11.907,12.47,2251200,EA
EA,1998-08-25,12.375,12.5,12.032,12.25,3603200,EA
EA,1998-08-26,12.11,12.282,11.969,12.19,3756800,EA
EA,1998-08-27,11.25,12.0,11.157,11.94,6411200,EA
EA,1998-08-28,10.766,11.375,10.344,11.35,5020800,EA
EA,1998-08-31,9.532,10.907,9.5,10.85,4726400,EA
EA,1998-09-01,11.032,11.032,9.344,9.63,9868400,EA
EA,1998-09-02,10.797,11.282,10.641,11.0,3984400,EA
