Symbol,Date,Close,High,Low,Open,Volume,Name
EMN,1998-05-29,33.5,33.719,33.469,33.47,282200,EMN
EMN,1998-06-01,33.25,33.6565,33.0625,33.375,291400,EMN
EMN,1998-06-02,32.7815,33.3125,32.6565,33.25,184200,EMN
EMN,1998-06-03,32.5,33.0,32.25,32.875,320000,EMN
EMN,1998-06-04,32.469,32.6875,32.25,32.5,207600,EMN
EMN,1998-06-05,33.375,33.375,32.4375,32.47,324200,EMN
EMN,1998-06-08,33.219,33.4065,33.0315,33.375,143600,EMN
EMN,1998-06-09,33.625,34.125,33.094,33.22,328800,EMN
EMN,1998-06-10,33.3125,33.9375,33.2815,33.595,344000,EMN
EMN,1998-06-11,32.594,33.219,32.4375,32.595,173800,EMN
EMN,1998-06-12,31.969,32.7815,31.844,32.47,192800,EMN
EMN,1998-06-15,31.094,31.9065,31.094,31.655,457600,EMN
EMN,1998-06-16,31.0315,31.344,30.875,31.125,332600,EMN
EMN,1998-06-17,31.969,32.3125,31.2815,31.345,219800,EMN
EMN,1998-06-18,31.9065,32.3125,31.719,31.94,167600,EMN
EMN,1998-06-19,31.375,32.0625,31.3125,31.78,249800,EMN
EMN,1998-06-22,31.0,31.469,31.0,31.375,222800,EMN
EMN,1998-06-23,30.625,31.0,30.3125,31.0,323400,EMN
EMN,1998-06-24,30.969,31.0,30.5,30.625,288800,EMN
EMN,1998-06-25,30.844,31.4065,30.844,31.0,269800,EMN
EMN,1998-06-26,31.219,31.25,30.5315,30.97,248600,EMN
EMN,1998-06-29,31.0,31.75,30.9375,31.315,266200,EMN
EMN,1998-06-30,31.125,31.375,31.0315,31.125,452000,EMN
EMN,1998-07-01,30.875,31.0938,30.3125,31.0938,652200,EMN
EMN,1998-07-02,31.125,31.219,30.875,31.0,508399,EMN
EMN,1998-07-03,31.125,31.219,30.875,31.0,0,EMN
EMN,1998-07-06,31.094,31.125,30.9375,31.0,185200,EMN
EMN,1998-07-07,30.75,31.219,30.719,31.095,361800,EMN
EMN,1998-07-08,30.3125,30.6875,30.0315,30.625,326000,EMN
EMN,1998-07-09,30.469,30.5625,30.125,30.19,429400,EMN
