Symbol,Date,Close,High,Low,Open,Volume,Name
EMR,1998-05-29,30.375,30.625,30.0,30.19,1023800,EMR
EMR,1998-06-01,30.594,30.75,30.125,30.345,784400,EMR
EMR,1998-06-02,30.5,31.25,30.4065,31.19,1002999,EMR
EMR,1998-06-03,30.375,30.7815,30.3125,30.595,646600,EMR
EMR,1998-06-04,30.219,30.4375,29.875,30.25,993600,EMR
EMR,1998-06-05,30.9375,30.9375,30.25,30.405,1169600,EMR
EMR,1998-06-08,30.625,30.9065,30.094,30.815,915600,EMR
EMR,1998-06-09,30.719,30.75,30.125,30.53,1020799,EMR
EMR,1998-06-10,30.4375,30.719,30.1565,30.5,1488600,EMR
EMR,1998-06-11,29.75,30.344,29.5625,30.315,1482200,EMR
EMR,1998-06-12,30.5,30.5315,29.2815,29.72,1914200,EMR
EMR,1998-06-15,30.594,31.125,30.2815,30.44,2481600,EMR
EMR,1998-06-16,30.5315,30.7815,30.25,30.625,1560800,EMR
EMR,1998-06-17,31.2815,31.375,30.5625,30.625,1179200,EMR
EMR,1998-06-18,31.5315,31.719,30.9375,31.405,1012000,EMR
EMR,1998-06-19,30.5,31.5315,30.2345,31.53,1746000,EMR
EMR,1998-06-22,30.375,30.7815,30.375,30.47,852400,EMR
EMR,1998-06-23,30.2815,30.5,30.0315,30.19,1725800,EMR
EMR,1998-06-24,30.594,30.719,30.1875,30.375,1031800,EMR
EMR,1998-06-25,30.219,30.7815,30.1875,30.625,1130400,EMR
EMR,1998-06-26,30.5,30.5315,29.969,29.97,1715400,EMR
EMR,1998-06-29,30.4375,30.969,30.375,30.5,1081200,EMR
EMR,1998-06-30,30.1875,30.25,29.9375,30.065,1943000,EMR
EMR,1998-07-01,30.375,30.375,29.75,30.19,2141000,EMR
EMR,1998-07-02,30.219,30.2815,29.875,30.25,837800,EMR
EMR,1998-07-03,30.219,30.2815,29.875,30.25,0,EMR
EMR,1998-07-06,30.1875,30.2815,29.875,30.22,1166800,EMR
EMR,1998-07-07,29.625,30.1565,29.5,29.875,1453000,EMR
EMR,1998-07-08,29.844,30.1565,29.5,29.625,1344000,EMR
EMR,1998-07-09,30.2815,30.5315,29.469,29.47,2066600,EMR
EMR,1998-07-10,31.094,31.2815,30.2815,30.2815,2629200,EMR
EMR,1998-07-13,31.1565,31.1875,30.9065,31.0,719200,EMR
EMR,1998-07-14,31.5315,31.594,31.0315,31.0315,2183800,EMR
EMR,1998-07-15,31.375,31.7815,31.25,31.5,1372200,EMR
EMR,1998-07-16,31.094,31.2815,30.875,31.25,2531600,EMR
EMR,1998-07-17,31.125,31.125,30.5625,31.065,1333800,EMR
EMR,1998-07-20,30.969,31.219,30.7815,30.905,1399400,EMR
EMR,1998-07-21,30.5625,31.0315,30.5315,30.97,1995000,EMR
EMR,1998-07-22,30.25,30.969,30.1875,30.565,1836200,EMR
EMR,1998-07-23,30.0625,30.4375,29.844,30.25,1009400,EMR
