Symbol,Date,Close,High,Low,Open,Volume,Name
EW,2000-03-27,4.125,4.1562,3.8125,4.125,3675600,EW
EW,2000-03-28,4.0156,4.125,4.0,4.0156,1077600,EW
EW,2000-03-29,4.0,4.0312,3.9531,4.0,437200,EW
EW,2000-03-30,3.8438,4.0,3.8438,3.8438,1883600,EW
EW,2000-03-31,3.3906,3.7344,3.3906,3.3906,7919600,EW
EW,2000-04-03,3.4375,3.5625,3.4375,3.4375,11486800,EW
EW,2000-04-04,3.5,3.5782,3.0938,3.5325,13376800,EW
EW,2000-04-05,3.4845,3.5625,3.4532,3.47,6220800,EW
EW,2000-04-06,3.5782,3.5938,3.4688,3.5,7181200,EW
EW,2000-04-07,3.5938,3.8125,3.5938,3.5938,12750000,EW
EW,2000-04-10,3.6406,3.75,3.625,3.6875,4675200,EW
EW,2000-04-11,3.5781,3.6562,3.5625,3.5781,6352000,EW
EW,2000-04-12,3.6094,3.6406,3.5469,3.5469,7816400,EW
EW,2000-04-13,3.5781,3.6562,3.5781,3.5781,6654400,EW
EW,2000-04-14,3.6094,3.6094,3.5625,3.6094,2491200,EW
EW,2000-04-17,3.5625,3.5938,3.5156,3.5938,2910800,EW
EW,2000-04-18,3.5156,3.625,3.4844,3.6094,2772000,EW
EW,2000-04-19,3.5938,3.6562,3.4844,3.6094,4533600,EW
EW,2000-04-20,3.6562,3.6719,3.5625,3.5781,3690400,EW
EW,2000-04-21,3.6562,3.6719,3.5625,3.5781,0,EW
EW,2000-04-24,3.5625,3.6562,3.5312,3.5781,3725600,EW
EW,2000-04-25,3.7656,3.7812,3.4688,3.5781,4501600,EW
EW,2000-04-26,3.8281,4.125,3.75,3.7812,4988000,EW
EW,2000-04-27,3.7031,3.7656,3.6406,3.7656,3923200,EW
EW,2000-04-28,3.75,3.75,3.6406,3.75,3281600,EW
EW,2000-05-01,3.6875,3.75,3.625,3.75,4207600,EW
EW,2000-05-02,3.6406,3.75,3.6094,3.75,2612800,EW
EW,2000-05-03,3.5625,3.625,3.5156,3.5469,4095200,EW
EW,2000-05-04,3.6875,3.6875,3.5625,3.5938,3555600,EW
EW,2000-05-05,3.7812,3.8438,3.5625,3.5938,1626800,EW
EW,2000-05-08,3.8125,3.875,3.7969,3.8438,1382000,EW
EW,2000-05-09,3.75,3.8594,3.75,3.8594,1285600,EW
EW,2000-05-10,3.7969,3.8438,3.7188,3.75,704400,EW
EW,2000-05-11,3.7344,3.8125,3.6875,3.7969,2197200,EW
EW,2000-05-12,3.9219,3.9219,3.7344,3.7344,696800,EW
EW,2000-05-15,4.0938,4.1875,3.7344,3.7344,1195200,EW
EW,2000-05-16,4.125,4.2344,4.0781,4.125,1155600,EW
EW,2000-05-17,4.0,4.125,3.9531,4.125,1370400,EW
EW,2000-05-18,3.8906,4.0312,3.8594,4.0,1384800,EW
EW,2000-05-19,3.8281,3.9062,3.8281,3.8906,580400,EW
EW,2000-05-22,3.8906,3.9062,3.8281,3.8906,337600,EW
EW,2000-05-23,3.9062,3.9688,3.875,3.875,583600,EW
EW,2000-05-24,4.1094,4.1875,3.9062,3.9062,2089600,EW
EW,2000-05-25,4.3281,4.4062,4.2031,4.3125,2493200,EW
EW,2000-05-26,4.5,4.5156,4.3281,4.3594,2050399,EW
EW,2000-05-29,4.5,4.5156,4.3281,4.3594,0,EW
EW,2000-05-30,4.9375,4.9531,4.5156,4.5312,3364400,EW
EW,2000-05-31,5.0781,5.1562,4.5156,4.5312,2828800,EW
EW,2000-06-01,4.9688,5.0312,4.8594,5.0156,1318000,EW
EW,2000-06-02,4.7969,4.9688,4.6719,4.9688,1233600,EW
EW,2000-06-05,4.5625,4.9688,4.5312,4.9688,1758400,EW
EW,2000-06-06,4.2812,4.9688,4.2031,4.9688,3836800,EW
EW,2000-06-07,4.625,4.6562,4.2031,4.6562,2304400,EW
