Symbol,Date,Close,High,Low,Open,Volume,Name
EXC,1998-05-29,14.125,14.125,13.907,14.125,3117200,EXC
EXC,1998-06-01,14.407,14.5,14.063,14.07,2147000,EXC
EXC,1998-06-02,14.313,14.438,14.219,14.41,1166800,EXC
EXC,1998-06-03,14.344,14.438,14.25,14.38,2036000,EXC
EXC,1998-06-04,14.063,14.25,14.0,14.22,2320400,EXC
EXC,1998-06-05,14.032,14.188,13.969,14.03,825200,EXC
EXC,1998-06-08,14.0,14.282,14.0,14.16,1549200,EXC
EXC,1998-06-09,14.219,14.25,14.032,14.07,1272600,EXC
EXC,1998-06-10,14.563,14.719,14.125,14.16,2636200,EXC
EXC,1998-06-11,14.969,15.0,14.563,14.57,1700200,EXC
EXC,1998-06-12,14.875,15.0,14.75,14.91,1454800,EXC
EXC,1998-06-15,15.032,15.313,14.719,14.82,1656200,EXC
EXC,1998-06-16,14.657,14.938,14.532,14.91,1071200,EXC
EXC,1998-06-17,14.719,14.719,14.282,14.66,1243200,EXC
EXC,1998-06-18,14.813,14.969,14.719,14.78,1855200,EXC
EXC,1998-06-19,14.625,14.813,14.438,14.813,1198800,EXC
EXC,1998-06-22,14.469,14.782,14.407,14.63,785200,EXC
EXC,1998-06-23,14.438,14.625,14.375,14.41,703400,EXC
EXC,1998-06-24,14.407,14.469,14.219,14.38,2684400,EXC
EXC,1998-06-25,14.25,14.438,14.157,14.38,1049600,EXC
EXC,1998-06-26,14.25,14.375,14.125,14.32,569800,EXC
EXC,1998-06-29,14.5,14.563,14.219,14.22,1430800,EXC
EXC,1998-06-30,14.594,14.782,14.5,14.57,2130800,EXC
EXC,1998-07-01,14.782,14.844,14.688,14.69,2378800,EXC
EXC,1998-07-02,14.969,15.0,14.657,14.66,1772800,EXC
EXC,1998-07-03,14.969,15.0,14.657,14.66,0,EXC
EXC,1998-07-06,14.75,15.0,14.719,15.0,1167400,EXC
EXC,1998-07-07,14.782,15.0,14.782,14.782,1264400,EXC
EXC,1998-07-08,14.719,14.844,14.688,14.844,527800,EXC
EXC,1998-07-09,14.625,14.75,14.563,14.6,946000,EXC
EXC,1998-07-10,14.75,14.844,14.469,14.57,987000,EXC
EXC,1998-07-13,14.5,14.75,14.407,14.69,629200,EXC
EXC,1998-07-14,14.438,14.75,14.375,14.75,1589600,EXC
EXC,1998-07-15,14.469,14.469,14.282,14.44,614600,EXC
EXC,1998-07-16,14.407,14.438,14.25,14.38,1194400,EXC
EXC,1998-07-17,14.563,14.625,14.407,14.5,1086000,EXC
EXC,1998-07-20,14.594,14.625,14.438,14.57,800200,EXC
EXC,1998-07-21,14.688,14.688,14.469,14.66,896600,EXC
EXC,1998-07-22,14.813,14.875,14.657,14.69,1007200,EXC
EXC,1998-07-23,14.75,14.844,14.5,14.75,1031600,EXC
EXC,1998-07-24,14.75,14.844,14.657,14.75,1126000,EXC
EXC,1998-07-27,14.782,14.907,14.625,14.75,500000,EXC
EXC,1998-07-28,14.813,14.938,14.75,14.78,703200,EXC
EXC,1998-07-29,14.969,14.969,14.844,14.88,683200,EXC
EXC,1998-07-30,15.094,15.157,14.938,14.97,942200,EXC
EXC,1998-07-31,14.969,15.125,14.907,15.125,1005800,EXC
EXC,1998-08-03,15.0,15.063,14.594,14.88,1955000,EXC
EXC,1998-08-04,14.907,15.125,14.875,15.1,1871000,EXC
EXC,1998-08-05,14.782,14.875,14.5,14.82,745000,EXC
EXC,1998-08-06,14.782,14.813,14.532,14.66,778200,EXC
EXC,1998-08-07,15.0,15.063,14.625,14.78,1328000,EXC
EXC,1998-08-10,14.938,15.094,14.75,14.88,996600,EXC
EXC,1998-08-11,14.969,15.0,14.75,14.82,706600,EXC
EXC,1998-08-12,15.532,15.625,15.032,15.1,2531000,EXC
EXC,1998-08-13,15.407,15.657,15.094,15.5,1499200,EXC
EXC,1998-08-14,15.5,15.719,15.344,15.44,1451200,EXC
EXC,1998-08-17,15.719,15.813,15.594,15.6,1424200,EXC
EXC,1998-08-18,15.844,15.844,15.563,15.66,5086400,EXC
EXC,1998-08-19,15.688,15.75,15.5,15.75,14754400,EXC
EXC,1998-08-20,15.657,15.719,15.5,15.63,1822600,EXC
EXC,1998-08-21,15.938,15.969,15.438,15.57,3286400,EXC
EXC,1998-08-24,16.032,16.094,15.907,16.0,1533600,EXC
EXC,1998-08-25,16.032,16.188,15.938,16.09,1248600,EXC
EXC,1998-08-26,16.438,16.5,16.157,16.25,2020400,EXC
EXC,1998-08-27,16.563,16.813,16.25,16.25,1806000,EXC
EXC,1998-08-28,17.094,17.188,16.407,16.5,1933800,EXC
EXC,1998-08-31,17.125,17.563,17.063,17.07,4137200,EXC
EXC,1998-09-01,16.907,17.25,16.344,17.13,2654600,EXC
EXC,1998-09-02,16.032,16.75,15.875,16.59,2628400,EXC
EXC,1998-09-03,15.938,16.219,15.782,15.94,2905200,EXC
EXC,1998-09-04,15.907,16.125,15.688,15.94,1423000,EXC
EXC,1998-09-07,15.907,16.125,15.688,15.94,0,EXC
EXC,1998-09-08,16.344,16.438,15.875,15.97,2016800,EXC
EXC,1998-09-09,16.188,16.375,16.032,16.375,1674800,EXC
EXC,1998-09-10,16.344,16.375,15.75,16.13,2480200,EXC
EXC,1998-09-11,16.563,16.719,16.063,16.34,1511800,EXC
EXC,1998-09-14,16.594,16.657,16.407,16.53,749200,EXC
EXC,1998-09-15,16.844,16.844,16.532,16.532,1555600,EXC
EXC,1998-09-16,16.938,16.938,16.563,16.69,1678800,EXC
EXC,1998-09-17,17.0,17.0,16.625,16.82,1996600,EXC
EXC,1998-09-18,17.063,17.313,16.938,17.0,3327800,EXC
EXC,1998-09-21,17.157,17.219,16.938,17.09,1058200,EXC
EXC,1998-09-22,17.063,17.375,17.0,17.09,2421800,EXC
EXC,1998-09-23,17.125,17.157,16.875,17.157,1978800,EXC
EXC,1998-09-24,16.75,17.188,16.344,17.0,3910600,EXC
EXC,1998-09-25,17.063,17.313,16.75,16.75,1881400,EXC
EXC,1998-09-28,17.188,17.25,16.907,17.03,1317200,EXC
EXC,1998-09-29,17.344,17.344,17.063,17.25,1091000,EXC
EXC,1998-09-30,18.375,18.375,17.5,17.5,3238800,EXC
EXC,1998-10-01,18.469,18.594,18.25,18.38,4230400,EXC
EXC,1998-10-02,18.688,19.0,18.5,18.5,3163200,EXC
EXC,1998-10-05,18.75,18.782,18.344,18.75,2762600,EXC
EXC,1998-10-06,19.375,19.5,18.782,18.82,3733000,EXC
EXC,1998-10-07,19.875,19.938,19.344,19.5,5530600,EXC
EXC,1998-10-08,20.344,20.5,19.625,19.75,5381000,EXC
EXC,1998-10-09,19.875,20.313,19.438,20.313,9281600,EXC
EXC,1998-10-12,19.188,20.0,18.75,20.0,3565800,EXC
EXC,1998-10-13,19.657,19.813,19.375,19.44,2803600,EXC
EXC,1998-10-14,19.532,20.063,19.438,19.66,3146400,EXC
EXC,1998-10-15,19.375,19.532,19.032,19.53,4106600,EXC
EXC,1998-10-16,19.0,19.407,18.875,19.407,2398800,EXC
EXC,1998-10-19,19.219,19.469,19.094,19.13,2350400,EXC
EXC,1998-10-20,19.532,19.813,19.313,19.34,6006600,EXC
EXC,1998-10-21,19.407,19.719,19.375,19.59,4085600,EXC
EXC,1998-10-22,19.625,19.844,19.407,19.41,3701000,EXC
EXC,1998-10-23,19.375,19.719,19.375,19.63,2642400,EXC
EXC,1998-10-26,19.032,19.563,19.032,19.41,2546200,EXC
EXC,1998-10-27,18.875,19.25,18.625,19.22,1395600,EXC
EXC,1998-10-28,19.125,19.188,18.938,19.0,3708200,EXC
EXC,1998-10-29,19.063,19.219,18.875,19.19,3611000,EXC
EXC,1998-10-30,19.375,19.563,19.032,19.07,1785800,EXC
EXC,1998-11-02,19.532,19.625,19.282,19.282,2095600,EXC
EXC,1998-11-03,19.875,19.969,19.563,19.59,1559400,EXC
EXC,1998-11-04,19.969,20.188,19.782,20.13,1699600,EXC
EXC,1998-11-05,19.875,20.094,19.782,19.91,2270200,EXC
EXC,1998-11-06,19.938,19.969,19.782,19.82,1527800,EXC
EXC,1998-11-09,20.157,20.25,19.938,19.94,1347600,EXC
EXC,1998-11-10,20.313,20.344,20.094,20.094,6409800,EXC
EXC,1998-11-11,20.219,20.313,20.063,20.313,1966200,EXC
EXC,1998-11-12,20.313,20.344,20.094,20.16,6409800,EXC
EXC,1998-11-13,20.25,20.407,20.094,20.16,517200,EXC
EXC,1998-11-16,20.469,20.469,20.063,20.13,887200,EXC
EXC,1998-11-17,20.5,20.813,20.313,20.44,1435000,EXC
EXC,1998-11-18,20.5,20.657,20.438,20.53,1655400,EXC
EXC,1998-11-19,20.516,20.657,20.375,20.57,1565800,EXC
