Symbol,Date,Close,High,Low,Open,Volume,Name
EXPD,1998-05-29,5.0,5.008,4.9065,4.97,1104800,EXPD
EXPD,1998-06-01,4.844,4.9375,4.844,4.9375,1156000,EXPD
EXPD,1998-06-02,4.9065,4.9535,4.844,4.905,1032799,EXPD
EXPD,1998-06-03,5.0315,5.0625,4.891,4.97,605600,EXPD
EXPD,1998-06-04,5.0625,5.125,4.969,5.11,1540800,EXPD
EXPD,1998-06-05,5.172,5.172,5.0315,5.065,296800,EXPD
EXPD,1998-06-08,5.047,5.1875,5.0315,5.1875,592800,EXPD
EXPD,1998-06-09,5.1095,5.125,5.047,5.065,607200,EXPD
EXPD,1998-06-10,5.055,5.094,5.047,5.065,1089600,EXPD
EXPD,1998-06-11,5.016,5.0315,4.969,5.015,1400800,EXPD
EXPD,1998-06-12,5.016,5.016,4.9375,4.97,1143200,EXPD
EXPD,1998-06-15,4.875,4.9375,4.797,4.9375,407200,EXPD
EXPD,1998-06-16,4.9845,5.0,4.8125,4.815,332000,EXPD
EXPD,1998-06-17,5.047,5.059,4.9845,4.985,1819200,EXPD
EXPD,1998-06-18,4.922,5.047,4.922,5.0,262400,EXPD
EXPD,1998-06-19,5.0315,5.047,4.969,4.97,1199200,EXPD
EXPD,1998-06-22,5.047,5.047,5.0,5.005,688000,EXPD
EXPD,1998-06-23,5.266,5.297,5.016,5.016,1360000,EXPD
EXPD,1998-06-24,5.297,5.297,5.219,5.28,464000,EXPD
EXPD,1998-06-25,5.258,5.297,5.219,5.28,1320000,EXPD
EXPD,1998-06-26,5.2815,5.422,5.2035,5.3,1120800,EXPD
EXPD,1998-06-29,5.3285,5.3285,5.1875,5.19,618400,EXPD
EXPD,1998-06-30,5.5,5.5,5.1875,5.33,322400,EXPD
EXPD,1998-07-01,5.4531,5.4844,5.3438,5.4844,673600,EXPD
EXPD,1998-07-02,5.5625,5.5625,5.344,5.345,715200,EXPD
EXPD,1998-07-03,5.5625,5.5625,5.344,5.345,0,EXPD
EXPD,1998-07-06,5.6875,5.719,5.469,5.53,603200,EXPD
EXPD,1998-07-07,5.625,5.9535,5.5625,5.565,1372000,EXPD
EXPD,1998-07-08,5.6875,5.8125,5.594,5.8125,88800,EXPD
EXPD,1998-07-09,5.7035,5.7345,5.5625,5.625,164000,EXPD
EXPD,1998-07-10,5.547,5.75,5.547,5.735,264000,EXPD
EXPD,1998-07-13,5.4065,5.7035,5.391,5.7035,1322400,EXPD
EXPD,1998-07-14,5.375,5.4375,5.3285,5.375,1136800,EXPD
EXPD,1998-07-15,5.547,5.547,5.3125,5.345,628800,EXPD
EXPD,1998-07-16,5.5315,5.594,5.422,5.425,230400,EXPD
EXPD,1998-07-17,5.625,5.6565,5.4535,5.595,284800,EXPD
EXPD,1998-07-20,5.6565,5.7815,5.5785,5.655,696000,EXPD
EXPD,1998-07-21,5.625,5.7815,5.5,5.78,206400,EXPD
EXPD,1998-07-22,5.469,5.625,5.4375,5.625,923200,EXPD
EXPD,1998-07-23,5.4375,5.5625,5.4065,5.485,302400,EXPD
EXPD,1998-07-24,5.4375,5.5,5.4375,5.47,62400,EXPD
EXPD,1998-07-27,5.4375,5.594,5.094,5.594,437600,EXPD
EXPD,1998-07-28,5.125,5.4535,5.094,5.345,977600,EXPD
EXPD,1998-07-29,5.141,5.25,5.094,5.125,2059200,EXPD
EXPD,1998-07-30,5.1562,5.1875,5.0312,5.1875,2073600,EXPD
EXPD,1998-07-31,4.9845,5.1875,4.9375,5.1875,1656800,EXPD
EXPD,1998-08-03,4.844,4.9455,4.75,4.945,1668800,EXPD
EXPD,1998-08-04,4.875,5.25,4.7895,5.0,2174400,EXPD
EXPD,1998-08-05,4.6095,4.9375,4.5315,4.83,3737600,EXPD
EXPD,1998-08-06,4.7425,4.75,4.5625,4.69,6046400,EXPD
EXPD,1998-08-07,4.7035,4.7815,4.6565,4.78,5085600,EXPD
EXPD,1998-08-10,4.6175,4.75,4.555,4.72,2275200,EXPD
EXPD,1998-08-11,4.5,4.5625,4.469,4.5625,850400,EXPD
EXPD,1998-08-12,4.641,4.6875,4.5625,4.64,1988000,EXPD
EXPD,1998-08-13,4.5235,4.6175,4.5235,4.615,1472800,EXPD
EXPD,1998-08-14,4.375,4.5785,4.297,4.5785,2297600,EXPD
EXPD,1998-08-17,4.3438,4.4688,4.2812,4.3828,3456000,EXPD
EXPD,1998-08-18,4.4535,4.547,4.344,4.39,1424800,EXPD
EXPD,1998-08-19,4.25,4.5312,4.25,4.4375,2234400,EXPD
EXPD,1998-08-20,4.2305,4.375,4.1094,4.2734,1297600,EXPD
EXPD,1998-08-21,4.219,4.266,4.137,4.19,2097600,EXPD
EXPD,1998-08-24,4.258,4.297,4.227,4.265,1491200,EXPD
EXPD,1998-08-25,4.2345,4.3595,4.2345,4.33,314400,EXPD
EXPD,1998-08-26,4.297,4.3125,4.2035,4.22,1535200,EXPD
EXPD,1998-08-27,4.18,4.25,4.1095,4.19,3312800,EXPD
