Symbol,Date,Close,High,Low,Open,Volume,Name
FFIV,1999-06-04,7.4375,7.922,5.0625,7.4375,7386600,FFIV
FFIV,1999-06-07,7.75,8.3125,7.3125,7.75,1234600,FFIV
FFIV,1999-06-08,9.844,10.1875,7.75,9.844,1477200,FFIV
FFIV,1999-06-09,9.6875,10.594,9.3125,10.0,1332600,FFIV
FFIV,1999-06-10,8.594,9.844,8.5,9.69,545600,FFIV
FFIV,1999-06-11,8.0,8.6875,7.9375,8.625,446200,FFIV
FFIV,1999-06-14,7.625,8.0,7.25,7.97,503600,FFIV
FFIV,1999-06-15,7.75,8.0625,7.4375,7.44,384400,FFIV
FFIV,1999-06-16,8.344,8.9375,7.8125,7.875,135400,FFIV
FFIV,1999-06-17,10.0315,10.4065,8.375,8.44,814000,FFIV
FFIV,1999-06-18,9.3125,11.0625,9.2815,10.25,428600,FFIV
FFIV,1999-06-21,9.75,10.875,9.5,9.6875,410400,FFIV
FFIV,1999-06-22,9.875,10.25,9.625,10.25,207600,FFIV
FFIV,1999-06-23,9.3125,9.8125,9.125,9.75,337800,FFIV
FFIV,1999-06-24,9.0,9.3125,8.5625,9.22,198200,FFIV
FFIV,1999-06-25,11.3125,11.6875,8.844,9.0,1423000,FFIV
FFIV,1999-06-28,13.9375,14.5,11.5,12.0,1403200,FFIV
FFIV,1999-06-29,15.75,18.25,12.875,14.03,2018200,FFIV
FFIV,1999-06-30,20.5,22.5625,16.0,16.0,2313600,FFIV
FFIV,1999-07-01,19.25,23.0,19.0,20.75,1578400,FFIV
FFIV,1999-07-02,18.5,19.9375,17.0,18.94,1060600,FFIV
FFIV,1999-07-05,18.5,19.9375,17.0,18.94,0,FFIV
FFIV,1999-07-06,20.7815,21.3125,18.0625,18.375,736800,FFIV
FFIV,1999-07-07,19.719,21.5,18.75,20.815,587400,FFIV
FFIV,1999-07-08,21.969,22.0,20.25,21.97,672000,FFIV
FFIV,1999-07-09,25.375,25.9375,22.0,22.0,1105600,FFIV
