Symbol,Date,Close,High,Low,Open,Volume,Name
FITB,1998-05-29,32.833,33.083,32.5,32.77,636000,FITB
FITB,1998-06-01,33.333,33.542,32.833,32.89,409500,FITB
FITB,1998-06-02,33.375,33.833,33.0,33.44,429900,FITB
FITB,1998-06-03,32.333,33.75,32.333,33.68,325800,FITB
FITB,1998-06-04,32.625,32.667,31.667,32.6,916950,FITB
FITB,1998-06-05,33.25,33.25,32.833,32.94,819750,FITB
FITB,1998-06-08,33.083,33.75,33.0,33.68,769650,FITB
FITB,1998-06-09,32.959,33.333,32.75,33.18,631650,FITB
FITB,1998-06-10,33.75,34.125,32.833,32.98,439350,FITB
FITB,1998-06-11,33.625,34.125,33.25,33.77,813150,FITB
FITB,1998-06-12,33.625,33.667,32.875,33.667,443400,FITB
FITB,1998-06-15,34.0,34.083,32.917,33.39,1353600,FITB
FITB,1998-06-16,34.667,34.667,33.75,34.1,1552950,FITB
FITB,1998-06-17,35.583,35.583,34.583,34.77,918300,FITB
FITB,1998-06-18,36.042,36.417,35.417,35.44,1479600,FITB
FITB,1998-06-19,36.833,36.917,35.917,35.98,1587000,FITB
FITB,1998-06-22,37.833,38.583,36.667,36.69,1632000,FITB
FITB,1998-06-23,38.75,38.75,37.583,38.19,1220400,FITB
FITB,1998-06-24,40.875,40.917,38.542,39.15,1789350,FITB
FITB,1998-06-25,40.333,41.333,39.583,41.23,1264050,FITB
FITB,1998-06-26,40.5,40.709,39.917,40.02,842100,FITB
FITB,1998-06-29,40.333,41.459,40.0,40.48,1207500,FITB
FITB,1998-06-30,42.0,42.083,40.0,40.27,1176300,FITB
FITB,1998-07-01,42.333,42.375,40.75,41.69,904500,FITB
FITB,1998-07-02,42.042,42.333,40.709,42.333,932700,FITB
FITB,1998-07-03,42.042,42.333,40.709,42.333,0,FITB
FITB,1998-07-06,42.0417,42.3333,40.7083,42.3125,932700,FITB
FITB,1998-07-07,41.459,42.25,41.0,41.69,909900,FITB
FITB,1998-07-08,43.167,43.292,41.083,41.52,1456500,FITB
FITB,1998-07-09,42.083,43.0,41.833,42.61,1834200,FITB
FITB,1998-07-10,42.75,43.0,41.917,42.11,1181700,FITB
FITB,1998-07-13,42.042,42.75,41.583,42.69,602250,FITB
FITB,1998-07-14,43.75,43.75,41.667,42.27,2009700,FITB
FITB,1998-07-15,43.75,43.75,41.6667,42.0833,2009700,FITB
FITB,1998-07-16,43.5,43.542,42.667,43.02,2579550,FITB
FITB,1998-07-17,43.917,43.959,43.083,43.44,1355250,FITB
FITB,1998-07-20,43.333,43.917,43.0,43.61,1461150,FITB
FITB,1998-07-21,41.9167,43.3333,41.75,43.3333,1612050,FITB
FITB,1998-07-22,41.292,42.333,41.125,42.11,2077950,FITB
FITB,1998-07-23,41.063,41.709,40.417,41.35,1206900,FITB
FITB,1998-07-24,40.5,41.333,39.583,41.333,1396950,FITB
FITB,1998-07-27,40.0,40.25,39.5833,40.25,688200,FITB
FITB,1998-07-28,39.25,40.0,37.959,39.94,1118400,FITB
FITB,1998-07-29,39.542,39.75,39.25,39.52,1195350,FITB
FITB,1998-07-30,41.0,41.083,39.5,39.52,1338600,FITB
FITB,1998-07-31,41.5,41.5,40.333,41.02,950250,FITB
FITB,1998-08-03,41.375,42.0,41.083,41.52,1511400,FITB
FITB,1998-08-04,39.979,41.583,39.5,41.52,1878900,FITB
FITB,1998-08-05,39.667,40.0,38.959,39.89,936900,FITB
FITB,1998-08-06,39.75,40.0,39.292,39.69,365250,FITB
FITB,1998-08-07,39.583,39.959,39.25,39.69,606150,FITB
FITB,1998-08-10,39.0,39.5833,38.5833,39.5833,811200,FITB
FITB,1998-08-11,37.667,38.667,37.292,38.52,938250,FITB
FITB,1998-08-12,38.75,38.875,37.833,37.94,987750,FITB
FITB,1998-08-13,37.5,38.75,37.25,38.44,1251750,FITB
FITB,1998-08-14,37.437,38.0,37.209,37.85,1108200,FITB
FITB,1998-08-17,39.125,39.167,37.125,37.69,796050,FITB
FITB,1998-08-18,39.667,39.833,38.75,39.11,549450,FITB
FITB,1998-08-19,39.042,40.0,38.833,39.44,432300,FITB
FITB,1998-08-20,39.0,39.1667,38.4167,39.0833,516750,FITB
FITB,1998-08-21,38.083,39.0,37.959,38.52,1265550,FITB
FITB,1998-08-24,38.667,39.125,38.167,38.19,450150,FITB
FITB,1998-08-25,38.667,39.583,37.583,38.85,704400,FITB
FITB,1998-08-26,38.667,39.167,37.833,37.85,682050,FITB
FITB,1998-08-27,37.979,38.667,37.833,38.52,1384350,FITB
FITB,1998-08-28,37.937,38.417,37.375,38.19,1394250,FITB
FITB,1998-08-31,35.459,38.333,35.417,38.27,1437750,FITB
FITB,1998-09-01,35.667,35.792,33.375,35.52,1721700,FITB
FITB,1998-09-02,34.063,37.083,33.917,35.64,846150,FITB
FITB,1998-09-03,34.0833,34.5833,32.8333,34.0625,1161000,FITB
FITB,1998-09-04,34.5,35.0,33.125,34.44,771600,FITB
FITB,1998-09-07,34.5,35.0,33.125,34.44,0,FITB
FITB,1998-09-08,37.7917,37.8333,34.5833,34.5833,1315950,FITB
FITB,1998-09-09,37.125,37.833,36.333,37.61,876600,FITB
FITB,1998-09-10,36.0,36.6667,35.5,36.6667,787050,FITB
FITB,1998-09-11,37.292,37.333,34.583,35.94,864750,FITB
FITB,1998-09-14,38.667,39.583,37.25,37.85,739800,FITB
FITB,1998-09-15,40.167,40.25,38.083,38.44,1014000,FITB
FITB,1998-09-16,40.042,41.0,38.667,40.44,1176450,FITB
FITB,1998-09-17,39.167,39.583,38.25,39.02,629850,FITB
FITB,1998-09-18,39.959,40.167,39.083,39.19,1642950,FITB
FITB,1998-09-21,40.833,40.833,38.5,39.11,906750,FITB
FITB,1998-09-22,41.833,41.917,40.5,40.85,1122150,FITB
FITB,1998-09-23,42.833,42.959,41.75,42.02,1059300,FITB
FITB,1998-09-24,42.333,43.25,41.25,42.69,857250,FITB
FITB,1998-09-25,42.4167,42.5833,41.2083,42.375,768000,FITB
FITB,1998-09-28,40.8333,43.25,40.8333,41.0833,674250,FITB
FITB,1998-09-29,40.833,41.667,39.75,40.52,638400,FITB
FITB,1998-09-30,38.333,40.417,38.125,40.39,675300,FITB
FITB,1998-10-01,36.959,38.083,36.5,37.94,746400,FITB
FITB,1998-10-02,39.625,40.083,36.209,36.85,1608150,FITB
FITB,1998-10-05,39.167,39.5,38.0,39.19,1296750,FITB
FITB,1998-10-06,38.6667,40.3333,37.1667,39.1875,1202850,FITB
FITB,1998-10-07,36.583,39.0,36.5,38.11,1086000,FITB
FITB,1998-10-08,37.4167,37.5,33.5417,36.625,1171200,FITB
FITB,1998-10-09,38.667,39.0,37.0,38.35,1364400,FITB
FITB,1998-10-12,40.833,41.5,39.083,39.35,2250300,FITB
FITB,1998-10-13,40.125,41.333,39.333,40.35,1271700,FITB
FITB,1998-10-14,40.667,41.167,39.667,40.11,1356000,FITB
FITB,1998-10-15,42.687,43.167,39.5,40.85,2426400,FITB
FITB,1998-10-16,43.959,44.583,42.833,43.65,2810550,FITB
FITB,1998-10-19,43.667,44.125,42.833,43.78,823200,FITB
FITB,1998-10-20,43.667,45.0,43.583,44.19,1157100,FITB
FITB,1998-10-21,43.209,43.75,42.417,43.69,935100,FITB
FITB,1998-10-22,42.9792,43.25,42.2083,43.25,1292250,FITB
FITB,1998-10-23,42.833,43.083,42.333,42.85,1008599,FITB
FITB,1998-10-26,43.417,44.083,42.833,43.69,953850,FITB
FITB,1998-10-27,43.083,43.75,42.5,43.61,637500,FITB
FITB,1998-10-28,43.209,43.417,42.5,42.69,761700,FITB
FITB,1998-10-29,43.542,43.667,42.583,43.02,658350,FITB
FITB,1998-10-30,44.167,44.333,43.709,43.94,622500,FITB
FITB,1998-11-02,45.0,45.083,43.833,44.69,1155000,FITB
FITB,1998-11-03,44.292,44.833,43.583,44.82,649800,FITB
FITB,1998-11-04,45.583,45.917,44.333,44.44,1002750,FITB
FITB,1998-11-05,47.667,48.167,45.083,45.23,3384900,FITB
FITB,1998-11-06,47.959,48.25,46.833,47.52,1463850,FITB
FITB,1998-11-09,46.125,47.9167,46.0,47.9167,1272600,FITB
FITB,1998-11-10,45.125,46.125,45.0833,46.125,604950,FITB
FITB,1998-11-11,44.959,45.5,44.083,45.36,1105200,FITB
FITB,1998-11-12,44.3333,45.0833,44.1667,44.9167,922200,FITB
FITB,1998-11-13,44.25,44.5,43.917,44.36,1142250,FITB
FITB,1998-11-16,45.209,45.75,44.583,44.69,1129200,FITB
FITB,1998-11-17,45.667,46.5,45.167,45.19,1285500,FITB
FITB,1998-11-18,45.542,46.25,44.417,45.86,351150,FITB
FITB,1998-11-19,46.333,46.459,45.375,45.4,657900,FITB
FITB,1998-11-20,46.8333,46.9167,46.3333,46.8333,864750,FITB
FITB,1998-11-23,46.917,47.5,46.667,46.86,855300,FITB
FITB,1998-11-24,46.417,47.417,46.333,46.61,528300,FITB
FITB,1998-11-25,46.1,46.1,45.48,46.06,0,FITB
FITB,1998-11-26,46.1,46.1,45.48,46.06,0,FITB
FITB,1998-11-27,45.8542,46.5,45.6667,46.5,179850,FITB
FITB,1998-11-30,44.25,45.5,44.209,45.4,597000,FITB
FITB,1998-12-01,44.25,44.333,43.5,43.86,373950,FITB
FITB,1998-12-02,45.896,45.917,43.583,43.86,1047150,FITB
FITB,1998-12-03,45.083,46.083,44.833,45.69,471600,FITB
FITB,1998-12-04,46.75,46.75,45.083,45.44,530100,FITB
FITB,1998-12-07,46.604,46.75,46.209,46.69,395250,FITB
FITB,1998-12-08,45.875,46.75,45.75,46.36,1019849,FITB
FITB,1998-12-09,46.459,46.667,45.75,45.86,512100,FITB
FITB,1998-12-10,45.917,46.417,45.667,46.02,949950,FITB
FITB,1998-12-11,46.125,46.583,45.875,46.02,521250,FITB
FITB,1998-12-14,45.292,46.25,45.042,45.98,618000,FITB
FITB,1998-12-15,46.667,46.667,45.167,45.32,637800,FITB
FITB,1998-12-16,46.417,46.667,46.0,46.52,632700,FITB
FITB,1998-12-17,46.333,46.667,46.25,46.44,893400,FITB
FITB,1998-12-18,46.625,46.75,46.417,46.56,1261350,FITB
FITB,1998-12-21,47.125,47.417,46.459,46.52,840000,FITB
FITB,1998-12-22,46.4583,47.3333,46.4167,47.1458,810450,FITB
FITB,1998-12-23,47.667,47.833,46.459,46.65,940650,FITB
FITB,1998-12-24,47.875,48.0,47.625,47.69,398400,FITB
FITB,1998-12-25,47.875,48.0,47.625,47.69,0,FITB
FITB,1998-12-28,48.625,49.083,47.917,48.11,985500,FITB
FITB,1998-12-29,48.917,49.083,47.833,48.61,591150,FITB
FITB,1998-12-30,48.667,49.417,48.583,48.94,597750,FITB
FITB,1998-12-31,47.542,49.083,47.375,48.61,1085700,FITB
FITB,1999-01-01,47.542,49.083,47.375,48.61,0,FITB
FITB,1999-01-04,47.583,48.0,47.167,47.44,1296750,FITB
FITB,1999-01-05,47.854,47.959,47.292,47.52,773550,FITB
FITB,1999-01-06,50.292,50.292,47.833,47.86,783450,FITB
FITB,1999-01-07,49.167,49.583,48.417,49.36,542250,FITB
FITB,1999-01-08,48.583,49.083,47.75,48.94,444900,FITB
FITB,1999-01-11,48.0,48.5,47.833,48.02,489150,FITB
FITB,1999-01-12,47.0,48.0208,46.0833,48.0208,540150,FITB
FITB,1999-01-13,46.417,46.833,45.209,45.65,641250,FITB
FITB,1999-01-14,43.1667,46.6667,43.0833,46.6667,829500,FITB
FITB,1999-01-15,46.75,46.875,43.9167,46.75,1460400,FITB
FITB,1999-01-18,46.75,46.875,43.9167,46.75,0,FITB
FITB,1999-01-19,45.375,47.75,45.333,47.44,939600,FITB
FITB,1999-01-20,45.209,45.667,44.333,45.65,738900,FITB
FITB,1999-01-21,45.417,45.833,44.25,44.94,1312650,FITB
FITB,1999-01-22,45.4167,45.4167,44.0,44.5,623550,FITB
FITB,1999-01-25,45.167,45.167,43.75,44.69,574500,FITB
FITB,1999-01-26,44.542,45.417,44.209,44.94,740700,FITB
