Symbol,Date,Close,High,Low,Open,Volume,Name
FLS,1998-05-29,9.7083,9.8543,9.6667,9.8133,423600,FLS
FLS,1998-06-01,9.8333,9.8543,9.7083,9.71,197400,FLS
FLS,1998-06-02,9.6667,9.8543,9.625,9.8533,334200,FLS
FLS,1998-06-03,9.8333,9.8543,9.6667,9.6667,125099,FLS
FLS,1998-06-04,9.5417,9.875,9.5,9.8333,318600,FLS
FLS,1998-06-05,9.4377,9.625,9.4377,9.6033,152100,FLS
FLS,1998-06-08,9.4793,9.5417,9.4793,9.52,225300,FLS
FLS,1998-06-09,9.5,9.6043,9.5,9.5633,142200,FLS
FLS,1998-06-10,9.3127,9.5833,9.25,9.52,365700,FLS
FLS,1998-06-11,8.9793,9.271,8.9583,9.27,367500,FLS
FLS,1998-06-12,8.646,8.6667,8.4167,8.4367,1026899,FLS
FLS,1998-06-15,8.5627,8.7083,8.5,8.6267,441900,FLS
FLS,1998-06-16,8.646,8.7083,8.5833,8.6467,857400,FLS
FLS,1998-06-17,8.5627,8.7293,8.5627,8.6667,899700,FLS
FLS,1998-06-18,8.5833,8.625,8.4583,8.5633,672000,FLS
FLS,1998-06-19,8.5627,8.646,8.5417,8.6267,423000,FLS
FLS,1998-06-22,8.5833,8.5833,8.521,8.5633,360600,FLS
FLS,1998-06-23,8.625,8.646,8.4793,8.5433,567900,FLS
FLS,1998-06-24,8.5,8.625,8.5,8.625,644100,FLS
FLS,1998-06-25,8.2293,8.5417,8.1667,8.5,403500,FLS
FLS,1998-06-26,8.4167,8.4583,8.2917,8.2933,197100,FLS
FLS,1998-06-29,8.375,8.5,8.2917,8.46,317700,FLS
FLS,1998-06-30,8.2083,8.4793,8.0833,8.3533,671100,FLS
FLS,1998-07-01,8.396,8.5,8.1877,8.1877,135000,FLS
FLS,1998-07-02,8.3543,8.4377,8.1667,8.4167,274800,FLS
FLS,1998-07-03,8.3543,8.4377,8.1667,8.4167,0,FLS
FLS,1998-07-06,8.146,8.396,8.1043,8.396,212700,FLS
FLS,1998-07-07,8.1043,8.2917,8.1043,8.1467,583200,FLS
FLS,1998-07-08,8.1877,8.1877,8.021,8.1033,222300,FLS
FLS,1998-07-09,8.0,8.1667,8.0,8.1467,219000,FLS
FLS,1998-07-10,7.771,8.021,7.75,8.02,632100,FLS
FLS,1998-07-13,7.6877,7.7917,7.6667,7.77,381900,FLS
FLS,1998-07-14,7.646,7.8333,7.646,7.75,299100,FLS
FLS,1998-07-15,7.5417,7.6877,7.5417,7.6867,366900,FLS
FLS,1998-07-16,7.6877,7.6877,7.4583,7.5833,304200,FLS
FLS,1998-07-17,7.9167,7.9167,7.75,7.75,302700,FLS
FLS,1998-07-20,7.7293,8.0417,7.7293,8.0,486300,FLS
FLS,1998-07-21,7.625,7.75,7.6043,7.75,622800,FLS
FLS,1998-07-22,7.6667,7.6667,7.5833,7.6033,375900,FLS
FLS,1998-07-23,7.625,7.75,7.6043,7.73,147900,FLS
FLS,1998-07-24,7.5417,7.625,7.521,7.5833,161700,FLS
FLS,1998-07-27,7.4377,7.5833,7.4167,7.5633,483300,FLS
FLS,1998-07-28,7.3543,7.5,7.3543,7.48,330000,FLS
FLS,1998-07-29,7.3333,7.3543,7.3127,7.3333,740100,FLS
FLS,1998-07-30,7.3127,7.3543,7.2917,7.3333,1762200,FLS
FLS,1998-07-31,7.271,7.3333,7.271,7.2933,510600,FLS
FLS,1998-08-03,7.25,7.3333,7.1877,7.2933,835800,FLS
FLS,1998-08-04,7.3333,7.3333,7.2083,7.27,818100,FLS
FLS,1998-08-05,7.5,7.625,7.271,7.271,514499,FLS
FLS,1998-08-06,7.396,7.4793,7.3333,7.46,852300,FLS
FLS,1998-08-07,7.4793,7.5,7.375,7.46,816900,FLS
FLS,1998-08-10,7.4167,7.4793,7.375,7.4793,335700,FLS
FLS,1998-08-11,7.1667,7.3543,7.1043,7.3333,360900,FLS
FLS,1998-08-12,7.146,7.271,7.0833,7.21,909000,FLS
FLS,1998-08-13,7.2293,7.271,7.1667,7.1667,381300,FLS
FLS,1998-08-14,7.0833,7.3333,7.0833,7.3133,489000,FLS
FLS,1998-08-17,7.125,7.2083,6.9583,6.98,217200,FLS
FLS,1998-08-18,7.1043,7.1877,7.0,7.1867,388500,FLS
FLS,1998-08-19,6.9377,7.1667,6.8333,7.1467,280200,FLS
FLS,1998-08-20,6.8333,6.9167,6.8333,6.8967,400200,FLS
FLS,1998-08-21,6.875,6.875,6.521,6.7933,504299,FLS
FLS,1998-08-24,6.9167,6.9793,6.875,6.8767,326400,FLS
FLS,1998-08-25,7.0417,7.0627,6.896,6.98,545400,FLS
FLS,1998-08-26,6.771,6.9793,6.75,6.96,175500,FLS
FLS,1998-08-27,6.2917,6.6043,6.271,6.6033,124200,FLS
FLS,1998-08-28,6.271,6.3543,6.25,6.2933,1200900,FLS
FLS,1998-08-31,6.25,6.3127,6.0,6.3127,374400,FLS
FLS,1998-09-01,6.2293,6.271,6.0627,6.25,352200,FLS
FLS,1998-09-02,6.2083,6.396,6.1877,6.25,616800,FLS
FLS,1998-09-03,5.9583,6.125,5.9167,6.125,369300,FLS
FLS,1998-09-04,6.0417,6.1043,5.9167,6.0433,786600,FLS
FLS,1998-09-07,6.0417,6.1043,5.9167,6.0433,0,FLS
FLS,1998-09-08,6.25,6.25,6.0833,6.0833,862800,FLS
FLS,1998-09-09,6.271,6.3543,6.0833,6.25,906900,FLS
FLS,1998-09-10,6.1667,6.2917,6.146,6.2917,312000,FLS
FLS,1998-09-11,6.271,6.2917,6.1667,6.1667,235500,FLS
FLS,1998-09-14,6.5,6.521,6.3333,6.3333,81600,FLS
FLS,1998-09-15,6.396,6.4583,6.3127,6.4367,629100,FLS
FLS,1998-09-16,6.521,6.521,6.396,6.3967,95100,FLS
FLS,1998-09-17,6.3333,6.4377,6.3333,6.4367,158700,FLS
FLS,1998-09-18,6.3333,6.4167,6.3127,6.4167,332700,FLS
FLS,1998-09-21,6.25,6.3333,6.1667,6.3333,175800,FLS
FLS,1998-09-22,6.25,6.3333,6.25,6.2933,148200,FLS
FLS,1998-09-23,6.3543,6.3543,6.25,6.3133,257699,FLS
FLS,1998-09-24,6.2917,6.396,6.2917,6.3333,313200,FLS
FLS,1998-09-25,6.625,6.6667,6.2917,6.2933,200100,FLS
FLS,1998-09-28,6.4377,6.5833,6.3333,6.5633,287400,FLS
FLS,1998-09-29,6.6043,6.625,6.4377,6.4377,414300,FLS
FLS,1998-09-30,6.75,6.75,6.521,6.6033,134400,FLS
FLS,1998-10-01,6.2917,6.6667,6.2917,6.6667,99900,FLS
FLS,1998-10-02,6.2293,6.2917,6.1667,6.2917,336000,FLS
FLS,1998-10-05,6.2083,6.2293,6.1043,6.21,80100,FLS
FLS,1998-10-06,6.146,6.2293,6.0,6.2293,233700,FLS
FLS,1998-10-07,6.0,6.2293,6.0,6.21,207900,FLS
FLS,1998-10-08,6.1043,6.1043,5.875,6.0433,92400,FLS
FLS,1998-10-09,5.9793,6.0833,5.6877,6.0833,286500,FLS
FLS,1998-10-12,5.9377,6.0,5.9167,5.98,136800,FLS
FLS,1998-10-13,5.8127,5.9583,5.7917,5.9583,554700,FLS
FLS,1998-10-14,6.0417,6.0627,5.771,5.7933,166800,FLS
FLS,1998-10-15,6.25,6.25,6.0417,6.0633,182100,FLS
FLS,1998-10-16,6.3333,6.4377,6.25,6.25,281700,FLS
FLS,1998-10-19,6.4167,6.4793,6.3333,6.3333,405900,FLS
FLS,1998-10-20,6.5,6.5417,6.4167,6.4167,240900,FLS
FLS,1998-10-21,6.7083,6.7083,6.5,6.5,315000,FLS
FLS,1998-10-22,6.75,6.7917,6.625,6.73,572700,FLS
FLS,1998-10-23,6.5627,6.7083,6.5,6.5,379800,FLS
FLS,1998-10-26,6.5,6.6043,6.3127,6.6033,526800,FLS
FLS,1998-10-27,6.0627,6.5833,5.896,6.4167,426900,FLS
FLS,1998-10-28,5.9377,6.125,5.8333,6.125,456300,FLS
FLS,1998-10-29,5.9583,6.0,5.9377,5.9377,176700,FLS
FLS,1998-10-30,6.0,6.1667,5.9583,5.98,301500,FLS
FLS,1998-11-02,6.1667,6.1667,6.0627,6.0633,149100,FLS
FLS,1998-11-03,5.9377,6.2293,5.9377,6.1867,387600,FLS
FLS,1998-11-04,5.9793,6.0,5.9167,5.9167,336000,FLS
FLS,1998-11-05,5.9793,6.021,5.9583,5.98,342900,FLS
FLS,1998-11-06,6.0,6.0,5.875,6.0,537600,FLS
FLS,1998-11-09,5.9167,6.0,5.8543,6.0,220200,FLS
FLS,1998-11-10,5.9377,5.9793,5.9377,5.9793,306000,FLS
FLS,1998-11-11,5.8127,5.9583,5.75,5.9583,123600,FLS
FLS,1998-11-12,5.9377,5.9793,5.9377,5.9793,306000,FLS
FLS,1998-11-13,5.7917,5.896,5.75,5.75,120300,FLS
FLS,1998-11-16,5.9167,5.9167,5.7917,5.8767,339000,FLS
FLS,1998-11-17,5.896,5.9793,5.7293,5.9167,426900,FLS
FLS,1998-11-18,5.875,5.896,5.7917,5.8767,110100,FLS
FLS,1998-11-19,5.8127,5.896,5.7293,5.8533,126000,FLS
FLS,1998-11-20,5.75,5.8333,5.7083,5.77,211500,FLS
FLS,1998-11-23,5.75,5.9167,5.75,5.8533,421200,FLS
FLS,1998-11-24,5.8333,5.875,5.771,5.8333,739200,FLS
FLS,1998-11-25,5.8542,5.8542,5.7708,5.8542,341400,FLS
FLS,1998-11-26,5.8542,5.8542,5.7708,5.8542,0,FLS
FLS,1998-11-27,5.896,5.9377,5.8543,5.8543,27300,FLS
FLS,1998-11-30,5.9167,6.0,5.896,5.96,214800,FLS
FLS,1998-12-01,5.8543,5.9583,5.8333,5.9167,924600,FLS
FLS,1998-12-02,5.771,5.8543,5.7083,5.8333,408000,FLS
FLS,1998-12-03,5.771,5.8543,5.7293,5.8133,925200,FLS
FLS,1998-12-04,5.625,5.7917,5.625,5.75,1241700,FLS
FLS,1998-12-07,5.646,5.6877,5.5833,5.6467,276600,FLS
FLS,1998-12-08,5.6043,5.6667,5.5417,5.6267,243000,FLS
FLS,1998-12-09,5.6667,5.7083,5.646,5.6467,228600,FLS
FLS,1998-12-10,5.5417,5.6667,5.521,5.6667,412800,FLS
FLS,1998-12-11,5.5833,5.7083,5.5,5.5,660900,FLS
FLS,1998-12-14,5.521,5.5833,5.521,5.5833,192000,FLS
FLS,1998-12-15,5.5833,5.6667,5.521,5.521,267300,FLS
FLS,1998-12-16,5.6667,5.7083,5.5627,5.7083,682500,FLS
FLS,1998-12-17,5.4793,5.7083,5.4583,5.6467,828600,FLS
FLS,1998-12-18,5.375,5.5417,5.2917,5.48,608100,FLS
FLS,1998-12-21,5.3333,5.4377,5.2917,5.3967,551400,FLS
FLS,1998-12-22,5.2083,5.3333,5.125,5.3333,714300,FLS
FLS,1998-12-23,5.3333,5.4583,5.2293,5.23,519300,FLS
FLS,1998-12-24,5.3127,5.3333,5.271,5.3333,214800,FLS
FLS,1998-12-25,5.3127,5.3333,5.271,5.3333,0,FLS
FLS,1998-12-28,5.3333,5.4167,5.3333,5.3333,459600,FLS
FLS,1998-12-29,5.3333,5.3333,5.271,5.3333,189900,FLS
FLS,1998-12-30,5.4167,5.4167,5.2293,5.25,574500,FLS
FLS,1998-12-31,5.521,5.521,5.375,5.4167,590100,FLS
FLS,1999-01-01,5.521,5.521,5.375,5.4167,0,FLS
FLS,1999-01-04,5.625,5.7293,5.5417,5.5433,355200,FLS
FLS,1999-01-05,5.5627,5.7083,5.4793,5.6667,319500,FLS
FLS,1999-01-06,5.4583,5.6043,5.4583,5.6033,552600,FLS
FLS,1999-01-07,5.4583,5.5,5.4583,5.48,210000,FLS
FLS,1999-01-08,5.5,5.5,5.3127,5.3767,554700,FLS
FLS,1999-01-11,5.4377,5.4377,5.3543,5.3767,355500,FLS
FLS,1999-01-12,5.271,5.4167,5.271,5.4167,324000,FLS
FLS,1999-01-13,5.396,5.4167,5.25,5.25,357300,FLS
FLS,1999-01-14,5.3543,5.4167,5.3333,5.4167,120000,FLS
FLS,1999-01-15,5.4377,5.4377,5.3543,5.3543,456300,FLS
FLS,1999-01-18,5.4377,5.4377,5.3543,5.3543,0,FLS
FLS,1999-01-19,5.4793,5.4793,5.4377,5.4793,80700,FLS
FLS,1999-01-20,5.4377,5.4793,5.3333,5.4793,171300,FLS
