Symbol,Date,Close,High,Low,Open,Volume,Name
GE,1998-05-29,27.793,28.313,27.521,28.22,11775600,GE
GE,1998-06-01,27.625,27.979,27.354,27.77,10706100,GE
GE,1998-06-02,27.582,27.896,27.438,27.77,10388100,GE
GE,1998-06-03,27.105,27.625,27.083,27.52,10549500,GE
GE,1998-06-04,27.813,27.813,26.958,27.08,12337500,GE
GE,1998-06-05,28.25,28.271,27.625,27.85,11987700,GE
GE,1998-06-08,28.145,28.354,28.083,28.22,9100500,GE
GE,1998-06-09,28.27,28.396,27.958,27.99,8890800,GE
GE,1998-06-10,28.418,28.938,28.063,28.063,16544699,GE
GE,1998-06-11,28.063,28.5,27.875,28.31,12916200,GE
GE,1998-06-12,28.418,28.542,27.896,27.97,15249900,GE
GE,1998-06-15,27.957,28.708,27.917,28.22,14454600,GE
GE,1998-06-16,28.418,28.458,28.021,28.12,14512500,GE
GE,1998-06-17,29.188,29.333,28.667,28.7,18631500,GE
GE,1998-06-18,29.313,29.458,29.063,29.12,12705300,GE
GE,1998-06-19,29.0,29.563,28.896,29.28,20469900,GE
GE,1998-06-22,28.707,29.188,28.688,28.93,10782300,GE
GE,1998-06-23,29.375,29.438,28.875,28.97,10456200,GE
GE,1998-06-24,29.938,30.083,29.208,29.3,13860600,GE
GE,1998-06-25,29.918,30.042,29.729,29.89,10908900,GE
GE,1998-06-26,30.02,30.146,29.875,29.95,8299200,GE
GE,1998-06-29,30.293,30.583,30.167,30.167,9311700,GE
GE,1998-06-30,30.293,30.667,30.125,30.28,14156400,GE
GE,1998-07-01,30.395,30.625,30.021,30.53,13235400,GE
GE,1998-07-02,30.313,30.417,30.146,30.37,6412800,GE
GE,1998-07-03,30.313,30.417,30.146,30.37,0,GE
GE,1998-07-06,30.625,30.708,30.146,30.18,8689500,GE
GE,1998-07-07,30.875,31.146,30.667,30.7,12386100,GE
GE,1998-07-08,31.105,31.125,30.771,30.97,12421800,GE
GE,1998-07-09,31.375,32.063,31.042,31.042,16084800,GE
GE,1998-07-10,31.27,31.438,31.0,31.41,15665100,GE
GE,1998-07-13,31.188,31.667,31.188,31.64,14945400,GE
GE,1998-07-14,31.688,31.792,31.229,31.229,13654500,GE
GE,1998-07-15,31.355,31.688,31.188,31.6,14076300,GE
GE,1998-07-16,31.918,32.083,31.417,31.47,13650600,GE
GE,1998-07-17,32.23,32.292,31.917,31.97,14434800,GE
GE,1998-07-20,31.832,32.208,31.542,32.15,12813600,GE
GE,1998-07-21,30.98,31.979,30.708,31.84,15714300,GE
GE,1998-07-22,30.457,30.792,30.167,30.68,27495600,GE
GE,1998-07-23,30.0,30.542,29.938,30.32,14278500,GE
GE,1998-07-24,30.563,30.75,29.958,30.24,16580100,GE
GE,1998-07-27,30.668,30.917,30.146,30.3,13032000,GE
GE,1998-07-28,30.27,30.75,29.875,30.53,15168900,GE
GE,1998-07-29,29.832,30.583,29.75,30.47,12235500,GE
GE,1998-07-30,30.438,30.646,30.021,30.05,12618000,GE
GE,1998-07-31,29.813,30.896,29.354,30.41,17604600,GE
GE,1998-08-03,29.832,30.354,29.542,29.542,13227000,GE
GE,1998-08-04,28.48,30.229,28.479,30.2,22959900,GE
GE,1998-08-05,28.918,29.479,28.5,28.62,24063300,GE
GE,1998-08-06,29.605,29.729,28.896,28.896,16370700,GE
GE,1998-08-07,29.375,30.104,29.25,29.95,15484500,GE
GE,1998-08-10,29.27,29.729,29.167,29.32,10573800,GE
GE,1998-08-11,29.105,29.313,28.563,28.72,16824300,GE
GE,1998-08-12,29.793,29.875,29.271,29.47,13018800,GE
GE,1998-08-13,29.293,29.958,29.292,29.62,12845100,GE
GE,1998-08-14,29.145,29.813,28.875,29.28,14112300,GE
GE,1998-08-17,29.77,29.813,28.833,28.99,14268600,GE
GE,1998-08-18,30.25,30.438,29.792,30.438,12873900,GE
GE,1998-08-19,30.418,30.646,30.208,30.37,10716000,GE
GE,1998-08-20,30.145,30.521,30.063,30.07,10938000,GE
GE,1998-08-21,29.875,29.938,29.021,29.89,17678100,GE
GE,1998-08-24,29.918,30.063,29.688,29.8,11147400,GE
GE,1998-08-25,30.105,30.563,29.688,30.03,11889000,GE
GE,1998-08-26,30.145,30.292,29.542,29.82,13203000,GE
GE,1998-08-27,28.855,29.813,28.438,29.68,25088400,GE
GE,1998-08-28,28.625,29.313,28.167,28.91,26559300,GE
GE,1998-08-31,26.668,28.792,26.667,28.62,29250300,GE
GE,1998-09-01,27.563,28.167,26.0,26.97,32909399,GE
GE,1998-09-02,26.793,28.083,26.688,27.79,20950500,GE
GE,1998-09-03,25.918,26.646,25.667,26.41,30305400,GE
GE,1998-09-04,25.293,26.479,24.208,26.31,32076900,GE
GE,1998-09-07,25.293,26.479,24.208,26.31,0,GE
GE,1998-09-08,27.293,27.458,26.0,27.31,28976400,GE
GE,1998-09-09,26.73,27.75,26.5,27.31,21677700,GE
GE,1998-09-10,25.688,26.146,25.042,25.89,33091200,GE
GE,1998-09-11,26.418,26.604,25.083,25.45,26205600,GE
GE,1998-09-14,26.375,26.958,26.25,26.62,22624200,GE
GE,1998-09-15,26.02,26.146,25.5,26.1,23133600,GE
GE,1998-09-16,26.625,27.167,26.125,27.14,35243100,GE
GE,1998-09-17,26.082,26.333,25.813,25.85,19200600,GE
GE,1998-09-18,25.957,26.146,25.688,26.02,23898900,GE
GE,1998-09-21,26.418,26.458,25.042,25.06,20469600,GE
GE,1998-09-22,26.625,26.875,26.417,26.81,15402900,GE
GE,1998-09-23,28.02,28.083,26.813,26.97,22077900,GE
GE,1998-09-24,27.25,27.979,26.729,27.47,21726900,GE
GE,1998-09-25,27.688,27.979,26.667,26.72,19488300,GE
GE,1998-09-28,27.855,28.292,27.583,27.83,15898500,GE
GE,1998-09-29,27.625,28.438,27.104,28.08,15638400,GE
GE,1998-09-30,26.52,27.354,26.167,27.31,20179500,GE
GE,1998-10-01,25.188,26.125,24.875,25.99,29722200,GE
