Symbol,Date,Close,High,Low,Open,Volume,Name
HBI,2006-08-16,4.875,5.25,4.875,5.25,55600,HBI
HBI,2006-08-17,4.5,4.75,4.4375,4.75,1796400,HBI
HBI,2006-08-18,4.5625,4.625,4.5,4.5,442000,HBI
HBI,2006-08-21,4.745,4.745,4.6,4.6,13600,HBI
HBI,2006-08-22,4.7625,4.8625,4.75,4.75,450400,HBI
HBI,2006-08-23,4.775,4.7875,4.75,4.765,138000,HBI
HBI,2006-08-24,4.8125,4.8125,4.75,4.775,1754000,HBI
HBI,2006-08-25,4.8125,4.8125,4.81,4.8125,946000,HBI
HBI,2006-08-28,4.7675,4.8075,4.765,4.765,1005200,HBI
HBI,2006-08-29,4.77,4.77,4.7675,4.77,1129200,HBI
HBI,2006-08-30,4.7775,4.825,4.7775,4.8,3385200,HBI
HBI,2006-08-31,4.95,4.95,4.79,4.79,2696000,HBI
HBI,2006-09-01,4.925,4.95,4.925,4.95,1018799,HBI
HBI,2006-09-04,4.925,4.95,4.925,4.95,0,HBI
HBI,2006-09-05,4.95,4.9725,4.8625,4.895,49077200,HBI
HBI,2006-09-06,5.2775,5.335,4.8875,4.95,30563600,HBI
HBI,2006-09-07,5.525,5.71,5.1375,5.28,20912000,HBI
HBI,2006-09-08,5.515,5.68,5.4025,5.4775,14903200,HBI
HBI,2006-09-11,5.435,5.4925,5.375,5.3775,20133600,HBI
HBI,2006-09-12,5.4825,5.5125,5.3625,5.4225,8184400,HBI
HBI,2006-09-13,5.6375,5.8,5.5025,5.5025,12218800,HBI
HBI,2006-09-14,5.4525,5.625,5.4175,5.5625,5515200,HBI
HBI,2006-09-15,5.3175,5.46,5.3,5.4275,7919600,HBI
HBI,2006-09-18,5.415,5.4375,5.3175,5.375,3601600,HBI
HBI,2006-09-19,5.35,5.625,5.3075,5.3875,3757600,HBI
HBI,2006-09-20,5.55,5.565,5.34,5.345,2532400,HBI
HBI,2006-09-21,5.5,5.5,5.425,5.425,2767600,HBI
HBI,2006-09-22,5.535,5.555,5.415,5.4425,1448800,HBI
HBI,2006-09-25,5.5675,5.6275,5.4625,5.48,3187200,HBI
HBI,2006-09-26,5.625,5.625,5.5925,5.6,1690000,HBI
HBI,2006-09-27,5.65,5.6725,5.45,5.465,4552400,HBI
HBI,2006-09-28,5.6125,5.7325,5.5725,5.5875,2999600,HBI
HBI,2006-09-29,5.6275,5.66,5.5525,5.6375,3169600,HBI
HBI,2006-10-02,5.6225,5.6525,5.575,5.595,2193600,HBI
HBI,2006-10-03,5.6275,5.6825,5.58,5.645,2606800,HBI
HBI,2006-10-04,5.675,5.7725,5.5625,5.6,2997600,HBI
HBI,2006-10-05,5.7875,5.8175,5.65,5.65,4518000,HBI
HBI,2006-10-06,5.73,5.785,5.69,5.755,1576000,HBI
HBI,2006-10-09,5.745,5.7825,5.6625,5.7,992800,HBI
HBI,2006-10-10,5.67,5.7125,5.5975,5.6325,3554800,HBI
HBI,2006-10-11,5.6625,5.69,5.5875,5.675,3731200,HBI
HBI,2006-10-12,5.75,5.8725,5.72,5.835,6090000,HBI
