Symbol,Date,Close,High,Low,Open,Volume,Name
HIG,1998-05-29,55.032,55.438,54.563,54.57,550400,HIG
HIG,1998-06-01,55.157,55.344,54.782,55.1,892600,HIG
HIG,1998-06-02,55.875,55.938,54.938,54.94,628000,HIG
HIG,1998-06-03,54.5,56.094,54.282,55.82,629000,HIG
HIG,1998-06-04,54.0,55.188,54.0,54.63,449200,HIG
HIG,1998-06-05,54.25,54.469,53.75,54.13,1803200,HIG
HIG,1998-06-08,54.844,55.0,54.219,54.22,339000,HIG
HIG,1998-06-09,55.844,55.969,54.844,54.85,480800,HIG
HIG,1998-06-10,56.188,56.594,55.5,55.5,515599,HIG
HIG,1998-06-11,54.532,56.188,54.5,56.07,520800,HIG
HIG,1998-06-12,53.969,54.875,53.875,54.57,1010799,HIG
HIG,1998-06-15,52.875,54.032,52.625,53.97,463000,HIG
HIG,1998-06-16,52.594,52.969,52.25,52.969,609400,HIG
HIG,1998-06-17,53.0,53.25,52.25,52.25,744800,HIG
HIG,1998-06-18,52.5,53.188,52.5,53.13,412400,HIG
HIG,1998-06-19,52.375,52.563,51.313,51.5,1416000,HIG
HIG,1998-06-22,52.594,53.188,52.407,52.41,641200,HIG
HIG,1998-06-23,52.563,53.25,52.532,52.72,435800,HIG
HIG,1998-06-24,52.875,53.125,52.375,52.63,577200,HIG
HIG,1998-06-25,53.782,54.0,52.875,52.88,833600,HIG
HIG,1998-06-26,54.157,54.813,53.875,53.88,410200,HIG
HIG,1998-06-29,55.657,55.907,54.063,54.07,493600,HIG
HIG,1998-06-30,57.188,57.313,55.657,55.66,941400,HIG
HIG,1998-07-01,57.469,57.594,56.719,57.44,907200,HIG
HIG,1998-07-02,57.282,57.625,57.0,57.47,321200,HIG
HIG,1998-07-03,57.282,57.625,57.0,57.47,0,HIG
HIG,1998-07-06,59.188,59.563,57.563,57.57,306000,HIG
HIG,1998-07-07,58.813,59.219,58.75,59.219,444400,HIG
HIG,1998-07-08,58.657,59.125,58.657,58.82,497200,HIG
HIG,1998-07-09,59.0,59.094,58.313,58.47,895400,HIG
HIG,1998-07-10,58.407,59.0,58.375,58.88,522000,HIG
HIG,1998-07-13,58.657,58.875,58.188,58.5,816600,HIG
HIG,1998-07-14,59.563,59.938,58.532,58.532,693200,HIG
HIG,1998-07-15,59.563,59.782,58.938,59.32,674000,HIG
HIG,1998-07-16,58.063,60.0,58.0,59.75,501600,HIG
HIG,1998-07-17,58.938,59.0,58.25,58.81,478500,HIG
HIG,1998-07-20,58.125,58.813,57.75,58.69,174900,HIG
HIG,1998-07-21,58.313,58.625,57.938,58.06,541700,HIG
HIG,1998-07-22,55.75,57.875,55.5,57.875,493800,HIG
HIG,1998-07-23,53.125,55.813,53.0,55.75,533900,HIG
HIG,1998-07-24,52.688,53.813,52.438,53.38,520599,HIG
HIG,1998-07-27,54.188,54.75,52.688,52.69,702500,HIG
HIG,1998-07-28,52.125,54.125,51.813,54.125,354100,HIG
HIG,1998-07-29,52.5,53.188,52.125,52.44,466200,HIG
HIG,1998-07-30,53.25,53.375,52.75,52.75,804400,HIG
HIG,1998-07-31,52.063,53.125,51.75,53.06,544100,HIG
HIG,1998-08-03,52.563,53.0,51.875,52.13,447400,HIG
HIG,1998-08-04,50.875,52.313,50.625,52.31,611000,HIG
HIG,1998-08-05,50.563,50.875,49.75,50.5,644600,HIG
HIG,1998-08-06,50.813,51.438,50.563,51.0,519900,HIG
HIG,1998-08-07,50.813,51.25,50.063,50.94,377800,HIG
HIG,1998-08-10,50.0,50.75,49.875,50.38,399400,HIG
HIG,1998-08-11,49.625,49.938,48.5,49.63,493600,HIG
HIG,1998-08-12,51.313,51.75,49.875,49.88,431500,HIG
HIG,1998-08-13,51.063,51.875,50.5,50.88,331800,HIG
HIG,1998-08-14,49.75,51.438,49.125,51.38,442200,HIG
HIG,1998-08-17,50.438,50.625,49.5,49.5,443800,HIG
HIG,1998-08-18,51.188,51.813,50.375,50.38,564500,HIG
HIG,1998-08-19,51.313,51.625,50.813,51.5,496400,HIG
HIG,1998-08-20,52.188,52.625,52.0,52.0,820900,HIG
HIG,1998-08-21,51.563,52.688,51.063,52.25,604600,HIG
HIG,1998-08-24,52.0,52.625,51.313,51.56,201900,HIG
HIG,1998-08-25,51.313,53.0,51.063,51.88,260600,HIG
HIG,1998-08-26,49.938,51.188,49.625,51.06,430300,HIG
HIG,1998-08-27,47.188,49.438,46.75,48.94,566900,HIG
HIG,1998-08-28,46.688,48.0,46.625,46.94,442300,HIG
HIG,1998-08-31,44.75,47.563,44.438,47.06,383100,HIG
HIG,1998-09-01,45.813,45.813,44.313,45.0,553900,HIG
HIG,1998-09-02,46.813,47.313,45.563,45.563,448200,HIG
HIG,1998-09-03,45.188,46.125,44.688,46.125,582400,HIG
HIG,1998-09-04,44.938,46.25,44.688,45.19,658400,HIG
HIG,1998-09-07,44.938,46.25,44.688,45.19,0,HIG
HIG,1998-09-08,46.75,46.813,45.063,45.31,407900,HIG
HIG,1998-09-09,47.375,47.938,46.938,47.5,387200,HIG
HIG,1998-09-10,47.75,48.125,46.5,47.13,1120500,HIG
HIG,1998-09-11,47.625,47.875,47.0,47.13,677500,HIG
HIG,1998-09-14,51.0,51.0,48.313,48.5,495500,HIG
HIG,1998-09-15,51.938,52.313,50.875,51.25,593300,HIG
HIG,1998-09-16,52.0,52.25,51.5,52.13,896000,HIG
HIG,1998-09-17,51.563,52.313,51.375,51.5,850000,HIG
HIG,1998-09-18,51.125,51.375,50.688,51.31,970900,HIG
HIG,1998-09-21,50.0,50.813,49.375,50.0,270800,HIG
HIG,1998-09-22,50.063,51.063,49.75,50.25,434900,HIG
HIG,1998-09-23,51.625,51.625,50.0,50.13,320600,HIG
HIG,1998-09-24,50.438,51.813,50.125,51.56,416500,HIG
HIG,1998-09-25,49.75,50.125,49.5,49.63,268300,HIG
HIG,1998-09-28,48.75,50.125,48.563,49.75,321400,HIG
HIG,1998-09-29,49.25,50.063,48.5,49.25,554300,HIG
HIG,1998-09-30,47.438,49.375,47.188,48.5,585100,HIG
HIG,1998-10-01,46.375,48.625,46.313,47.31,589600,HIG
HIG,1998-10-02,46.625,47.688,46.375,46.63,640200,HIG
HIG,1998-10-05,44.375,46.688,44.188,46.63,616700,HIG
HIG,1998-10-06,44.375,45.125,44.375,44.88,394200,HIG
HIG,1998-10-07,40.063,44.625,38.75,44.13,898100,HIG
HIG,1998-10-08,38.188,40.938,37.625,40.938,1246700,HIG
HIG,1998-10-09,41.563,42.563,38.188,38.19,616100,HIG
HIG,1998-10-12,42.938,43.438,41.688,42.0,390500,HIG
HIG,1998-10-13,44.0,44.25,42.438,43.0,437500,HIG
HIG,1998-10-14,45.5,45.938,43.563,43.63,604600,HIG
HIG,1998-10-15,48.625,48.875,44.75,45.0,434400,HIG
HIG,1998-10-16,47.938,48.563,46.75,48.5,857100,HIG
HIG,1998-10-19,48.0,48.188,47.563,48.0,326300,HIG
HIG,1998-10-20,49.5,50.0,48.188,48.19,882100,HIG
HIG,1998-10-21,49.688,49.813,48.563,49.5,499300,HIG
HIG,1998-10-22,49.563,49.75,49.063,49.44,934800,HIG
HIG,1998-10-23,49.313,49.5,49.0,49.38,569700,HIG
HIG,1998-10-26,48.75,49.125,48.375,49.06,423300,HIG
HIG,1998-10-27,50.813,51.563,49.875,50.0,557500,HIG
HIG,1998-10-28,51.188,51.625,50.438,50.81,334800,HIG
HIG,1998-10-29,51.5,51.563,50.625,51.06,509200,HIG
HIG,1998-10-30,53.125,53.5,52.0,52.5,349700,HIG
HIG,1998-11-02,53.938,54.063,52.688,53.38,288400,HIG
HIG,1998-11-03,54.563,54.813,52.625,53.69,311300,HIG
HIG,1998-11-04,54.438,54.813,53.875,54.56,517400,HIG
HIG,1998-11-05,54.188,54.375,53.125,54.25,511700,HIG
HIG,1998-11-06,53.438,54.313,53.0,54.19,421000,HIG
HIG,1998-11-09,53.25,54.25,52.75,53.19,1073500,HIG
HIG,1998-11-10,52.188,53.25,52.188,53.25,452700,HIG
HIG,1998-11-11,52.313,52.938,52.063,52.19,520800,HIG
HIG,1998-11-12,52.188,53.25,52.188,53.25,452700,HIG
HIG,1998-11-13,52.563,52.625,52.0,52.0,315900,HIG
HIG,1998-11-16,52.875,53.563,52.5,52.88,315800,HIG
HIG,1998-11-17,53.125,53.875,52.688,52.75,495500,HIG
HIG,1998-11-18,52.563,53.063,52.438,53.06,377000,HIG
HIG,1998-11-19,53.188,53.188,52.188,52.38,523599,HIG
HIG,1998-11-20,54.063,54.25,52.75,53.19,1052800,HIG
HIG,1998-11-23,57.5,57.563,55.625,56.0,1643200,HIG
HIG,1998-11-24,57.75,58.813,57.5,57.5,1281200,HIG
HIG,1998-11-25,57.75,58.813,57.5,57.5,0,HIG
HIG,1998-11-26,57.75,58.813,57.5,57.5,0,HIG
HIG,1998-11-27,56.063,56.5,56.063,56.25,113900,HIG
HIG,1998-11-30,55.188,56.75,54.875,55.38,710600,HIG
HIG,1998-12-01,54.813,55.563,54.5,55.13,381400,HIG
HIG,1998-12-02,53.625,54.0,53.125,53.5,900500,HIG
HIG,1998-12-03,54.0,54.25,53.125,53.13,820900,HIG
HIG,1998-12-04,54.625,55.0,54.063,54.063,424400,HIG
HIG,1998-12-07,54.563,54.688,53.625,54.0,488000,HIG
HIG,1998-12-08,55.25,55.375,53.438,53.81,854200,HIG
HIG,1998-12-09,55.375,55.813,55.25,55.25,419600,HIG
HIG,1998-12-10,55.063,55.125,54.688,54.75,576400,HIG
HIG,1998-12-11,55.0,55.125,54.0,54.81,521499,HIG
HIG,1998-12-14,52.75,54.5,52.563,54.5,348600,HIG
HIG,1998-12-15,53.625,54.0,53.188,53.5,554500,HIG
HIG,1998-12-16,52.625,54.063,51.938,53.88,322700,HIG
HIG,1998-12-17,57.25,57.375,52.688,52.69,467100,HIG
HIG,1998-12-18,55.938,56.0,55.25,55.75,697600,HIG
HIG,1998-12-21,56.75,56.75,55.625,55.81,583200,HIG
HIG,1998-12-22,56.25,56.688,55.875,56.31,536100,HIG
HIG,1998-12-23,56.875,57.188,56.25,56.44,359900,HIG
HIG,1998-12-24,56.438,57.0,56.375,56.75,220900,HIG
HIG,1998-12-25,56.438,57.0,56.375,56.75,0,HIG
HIG,1998-12-28,56.313,56.938,56.188,56.69,262400,HIG
HIG,1998-12-29,56.313,56.688,56.0,56.5,315600,HIG
HIG,1998-12-30,55.813,56.25,55.625,56.25,395100,HIG
HIG,1998-12-31,54.875,55.938,54.438,55.938,529500,HIG
HIG,1999-01-01,54.875,55.938,54.438,55.938,0,HIG
HIG,1999-01-04,55.25,55.438,54.75,54.75,480500,HIG
HIG,1999-01-05,54.813,55.25,54.25,55.13,509800,HIG
HIG,1999-01-06,55.375,55.625,54.438,54.75,603700,HIG
HIG,1999-01-07,54.625,55.125,54.625,55.125,395000,HIG
HIG,1999-01-08,55.5,55.75,54.688,54.88,626800,HIG
HIG,1999-01-11,54.438,55.188,53.625,54.63,574400,HIG
HIG,1999-01-12,52.5,53.063,52.125,52.5,733800,HIG
HIG,1999-01-13,51.688,52.938,51.563,52.44,574800,HIG
HIG,1999-01-14,51.125,52.0,50.875,51.44,503299,HIG
HIG,1999-01-15,52.0,52.0,51.375,51.75,462400,HIG
HIG,1999-01-18,52.0,52.0,51.375,51.75,0,HIG
HIG,1999-01-19,51.375,52.313,50.625,51.63,382100,HIG
HIG,1999-01-20,51.188,51.938,50.875,51.69,482100,HIG
HIG,1999-01-21,48.813,51.188,48.813,50.94,420000,HIG
HIG,1999-01-22,48.313,49.188,48.125,49.06,439200,HIG
HIG,1999-01-25,48.75,48.813,48.063,48.56,487700,HIG
HIG,1999-01-26,51.625,51.75,49.688,49.88,683100,HIG
HIG,1999-01-27,50.688,52.313,50.438,51.88,522400,HIG
HIG,1999-01-28,51.688,51.813,51.125,51.19,710000,HIG
HIG,1999-01-29,51.938,52.188,50.875,51.69,471600,HIG
HIG,1999-02-01,50.563,51.813,50.5,51.69,511300,HIG
HIG,1999-02-02,50.0,51.125,49.438,50.5,677700,HIG
HIG,1999-02-03,50.625,50.813,49.688,50.0,471100,HIG
HIG,1999-02-04,50.75,51.625,50.625,50.63,761000,HIG
HIG,1999-02-05,50.625,51.0,50.063,51.0,415800,HIG
HIG,1999-02-08,50.438,50.875,50.25,50.63,370600,HIG
HIG,1999-02-09,50.813,51.25,50.25,50.44,456600,HIG
HIG,1999-02-10,50.75,50.75,49.688,50.75,475800,HIG
HIG,1999-02-11,51.0,51.313,50.438,50.5,679200,HIG
HIG,1999-02-12,50.438,51.125,49.875,51.0,527100,HIG
HIG,1999-02-15,50.438,51.125,49.875,51.0,0,HIG
HIG,1999-02-16,51.375,51.813,50.375,50.44,1008100,HIG
HIG,1999-02-17,50.438,51.75,50.25,51.38,894300,HIG
HIG,1999-02-18,51.0,51.625,50.75,51.25,1129300,HIG
HIG,1999-02-19,52.188,52.188,50.813,51.0,1466200,HIG
HIG,1999-02-22,53.438,53.625,51.813,51.94,859100,HIG
HIG,1999-02-23,54.375,54.375,52.625,53.56,964600,HIG
HIG,1999-02-24,54.125,56.0,54.063,55.25,1038300,HIG
HIG,1999-02-25,53.813,54.188,53.438,53.63,784000,HIG
HIG,1999-02-26,54.063,54.438,53.875,53.88,597500,HIG
HIG,1999-03-01,54.25,54.375,53.625,54.06,611900,HIG
HIG,1999-03-02,56.125,56.5,54.5,54.5,724000,HIG
HIG,1999-03-03,54.313,56.5,53.5,56.13,930800,HIG
HIG,1999-03-04,54.0,54.75,53.063,54.75,603400,HIG
HIG,1999-03-05,54.0,55.75,53.125,54.63,1219500,HIG
HIG,1999-03-08,54.75,55.25,54.063,54.13,1143800,HIG
HIG,1999-03-09,55.438,55.5,54.063,54.5,862300,HIG
HIG,1999-03-10,55.875,55.875,54.375,55.44,271700,HIG
HIG,1999-03-11,53.938,55.563,53.5,55.5,683300,HIG
HIG,1999-03-12,55.063,55.438,54.375,54.38,293100,HIG
HIG,1999-03-15,56.813,56.938,54.813,55.19,609000,HIG
HIG,1999-03-16,56.25,56.813,55.875,56.75,863000,HIG
