Symbol,Date,Close,High,Low,Open,Volume,Name
HON,1998-05-29,44.4771,45.1064,44.2453,44.4771,423208,HON
HON,1998-06-01,44.1128,44.3778,43.2518,44.3115,809607,HON
HON,1998-06-02,44.444,44.6427,44.1128,44.2453,583822,HON
HON,1998-06-03,44.6096,45.3051,44.6096,44.709,353210,HON
HON,1998-06-04,44.8083,44.9408,44.146,44.4771,241977,HON
HON,1998-06-05,44.709,45.0401,44.444,44.9408,272048,HON
HON,1998-06-08,45.5369,45.7687,44.5765,44.5765,293168,HON
HON,1998-06-09,45.6363,45.7025,45.3051,45.5369,270841,HON
HON,1998-06-10,44.0135,45.6031,43.8479,45.6031,273255,HON
HON,1998-06-11,41.761,43.0665,41.3881,42.7553,1365773,HON
HON,1998-06-12,42.4238,43.02,42.0264,42.0595,422404,HON
HON,1998-06-15,41.8939,42.2582,41.6621,42.1258,321932,HON
HON,1998-06-16,41.2316,42.192,41.066,42.192,323742,HON
HON,1998-06-17,42.457,42.5232,41.8608,42.2582,878499,HON
HON,1998-06-18,43.1855,43.2849,42.2251,42.2582,519758,HON
HON,1998-06-19,43.318,43.4505,42.6556,43.0862,627772,HON
HON,1998-06-22,43.6161,43.7817,43.318,43.318,413754,HON
HON,1998-06-23,44.9739,45.0401,43.6161,43.6492,603937,HON
HON,1998-06-24,45.0401,45.0401,44.5103,45.007,363569,HON
HON,1998-06-25,45.272,45.3051,44.3115,45.0401,485462,HON
HON,1998-06-26,44.7752,45.1726,44.6096,45.0401,843701,HON
HON,1998-06-29,44.2122,45.2388,44.2122,45.007,222164,HON
HON,1998-06-30,44.1224,44.371,42.7553,43.1928,1325242,HON
HON,1998-07-01,44.5765,44.8414,44.2453,44.5765,398668,HON
HON,1998-07-02,45.0401,45.0401,44.2784,44.6427,199837,HON
HON,1998-07-03,45.0401,45.0401,44.2784,44.6427,0,HON
HON,1998-07-06,44.9408,45.7356,44.7752,45.3051,599210,HON
HON,1998-07-07,45.5369,45.57,45.0733,45.0733,394545,HON
HON,1998-07-08,46.2986,46.2986,45.5369,45.6363,444831,HON
HON,1998-07-09,46.3648,46.6298,45.4375,46.0337,594785,HON
HON,1998-07-10,46.8947,46.8947,46.3648,46.3648,509097,HON
HON,1998-07-13,46.2655,46.8285,46.2324,46.696,217336,HON
HON,1998-07-14,46.5967,46.7623,46.2986,46.4311,286731,HON
HON,1998-07-15,47.6896,47.7889,46.398,46.398,361457,HON
HON,1998-07-16,45.241,45.428,44.6196,45.3007,1359034,HON
HON,1998-07-17,44.5434,45.3713,44.1791,45.1726,1198722,HON
HON,1998-07-20,44.4771,44.7421,44.3115,44.709,600316,HON
HON,1998-07-21,43.4505,44.1791,43.4505,44.0466,449458,HON
HON,1998-07-22,42.3245,43.6492,41.8608,43.5167,603333,HON
HON,1998-07-23,41.9271,42.9206,41.4965,42.5894,423108,HON
HON,1998-07-24,41.8939,42.3245,41.3972,41.6621,385996,HON
HON,1998-07-27,41.9933,42.0927,40.7348,41.629,270439,HON
HON,1998-07-28,42.8212,43.02,41.8608,42.2582,1151151,HON
HON,1998-07-29,42.8544,42.9206,42.4238,42.8212,606954,HON
HON,1998-07-30,44.146,44.2453,43.0531,43.1855,815943,HON
HON,1998-07-31,44.4109,44.709,44.2122,44.444,844405,HON
HON,1998-08-03,44.3778,44.5103,44.0135,44.3778,362664,HON
HON,1998-08-04,44.146,44.6427,44.1128,44.6427,898212,HON
HON,1998-08-05,36.7894,38.778,35.6708,38.778,10344474,HON
HON,1998-08-06,36.6651,37.038,35.982,36.2923,5701851,HON
HON,1998-08-07,36.9137,37.1006,36.2923,36.7298,3463512,HON
HON,1998-08-10,36.0437,37.5351,35.6092,37.038,3114526,HON
HON,1998-08-11,35.2363,35.982,34.8008,35.7355,1773694,HON
HON,1998-08-12,35.9194,36.168,35.6092,36.168,3167930,HON
HON,1998-08-13,36.6651,36.7894,35.9194,35.9244,2150237,HON
HON,1998-08-14,36.8521,37.1623,36.3549,36.8491,1909467,HON
