Symbol,Date,Close,High,Low,Open,Volume,Name
HP,1998-05-29,9.3105,9.495,9.034,9.2,573314,HP
HP,1998-06-01,8.988,9.2415,8.965,9.15,602877,HP
HP,1998-06-02,9.172,9.2185,8.8955,9.015,481106,HP
HP,1998-06-03,8.7115,9.1495,8.665,9.06,485987,HP
HP,1998-06-04,9.2415,9.495,8.8495,8.8496,822818,HP
HP,1998-06-05,9.3335,9.472,9.172,9.265,685051,HP
HP,1998-06-08,9.08,9.172,9.011,9.0339,913401,HP
HP,1998-06-09,8.919,9.103,8.7805,8.99,439070,HP
HP,1998-06-10,8.504,8.8495,8.4345,8.765,1029743,HP
HP,1998-06-11,8.2735,8.596,8.2505,8.44,639758,HP
HP,1998-06-12,8.458,8.458,8.066,8.235,828787,HP
HP,1998-06-15,7.951,8.458,7.951,8.395,569791,HP
HP,1998-06-16,8.2045,8.412,7.951,8.412,1305828,HP
HP,1998-06-17,8.458,8.5845,8.3885,8.3886,806820,HP
HP,1998-06-18,8.066,8.596,7.951,8.44,989337,HP
HP,1998-06-19,8.066,8.2275,7.9275,7.9277,1200599,HP
HP,1998-06-22,8.527,8.7575,8.1815,8.7575,1040323,HP
HP,1998-06-23,8.965,8.988,8.527,8.988,2147630,HP
HP,1998-06-24,8.8495,9.2645,8.7345,9.015,1121951,HP
HP,1998-06-25,8.3195,8.919,8.2505,8.785,654131,HP
HP,1998-06-26,8.3885,8.55,8.3195,8.395,664440,HP
HP,1998-06-29,8.596,8.7115,8.3885,8.4117,525585,HP
HP,1998-06-30,8.2043,8.8035,8.2043,8.7113,489516,HP
HP,1998-07-01,8.665,8.873,8.481,8.873,1058219,HP
HP,1998-07-02,8.919,8.9415,8.573,8.573,339813,HP
HP,1998-07-03,8.919,8.9415,8.573,8.573,0,HP
HP,1998-07-06,8.665,8.8955,8.596,8.835,377507,HP
HP,1998-07-07,8.3885,8.9415,8.3885,8.875,1097275,HP
HP,1998-07-08,8.412,8.573,8.3425,8.35,961130,HP
HP,1998-07-09,8.2735,8.481,8.2045,8.395,399477,HP
HP,1998-07-10,8.2735,8.458,8.2735,8.2965,494397,HP
HP,1998-07-13,8.2734,8.3886,7.9277,8.2504,586605,HP
HP,1998-07-14,8.619,9.034,8.573,8.785,1073678,HP
HP,1998-07-15,8.988,9.08,8.6425,8.988,1094292,HP
HP,1998-07-16,8.7575,8.988,8.6885,8.925,327335,HP
HP,1998-07-17,8.919,9.011,8.7575,9.011,373171,HP
HP,1998-07-20,8.3425,8.9415,8.2965,8.875,533990,HP
HP,1998-07-21,8.112,8.4345,8.112,8.33,554875,HP
HP,1998-07-22,8.412,8.412,8.02,8.1,595010,HP
HP,1998-07-23,7.974,8.481,7.951,8.42,528023,HP
HP,1998-07-24,7.7895,8.2965,7.7665,8.1,652236,HP
HP,1998-07-27,7.8815,8.02,7.7435,7.92,487343,HP
HP,1998-07-28,7.7665,7.974,7.7665,7.87,400291,HP
HP,1998-07-29,7.7435,7.9275,7.6285,7.71,618607,HP
HP,1998-07-30,7.8815,7.997,7.859,7.87,750681,HP
HP,1998-07-31,7.559,7.8815,7.559,7.825,462935,HP
