Symbol,Date,Close,High,Low,Open,Volume,Name
ICE,2005-11-16,7.85,8.842,7.712,7.8,97629000,ICE
ICE,2005-11-17,7.05,8.35,6.8,8.06,34283000,ICE
ICE,2005-11-18,7.0,7.398,6.902,7.188,12798000,ICE
ICE,2005-11-21,7.18,7.192,6.964,7.05,6374500,ICE
ICE,2005-11-22,6.99,7.092,6.86,7.09,6535500,ICE
ICE,2005-11-23,6.79,6.99,6.31,6.94,12420500,ICE
ICE,2005-11-24,6.79,6.99,6.31,6.94,0,ICE
ICE,2005-11-25,6.83,6.89,6.73,6.75,1316000,ICE
ICE,2005-11-28,6.66,6.78,6.51,6.78,3155000,ICE
ICE,2005-11-29,6.394,6.698,6.254,6.66,4457500,ICE
ICE,2005-11-30,6.46,6.482,6.32,6.42,3894500,ICE
ICE,2005-12-01,7.0,7.04,6.43,6.46,5687500,ICE
ICE,2005-12-02,7.22,7.26,6.98,7.0,5119500,ICE
ICE,2005-12-05,7.362,7.49,7.236,7.236,4592500,ICE
ICE,2005-12-06,7.316,7.522,7.29,7.362,3202500,ICE
ICE,2005-12-07,7.09,7.33,6.9,7.33,2473000,ICE
ICE,2005-12-08,7.2,7.27,7.11,7.14,1822000,ICE
ICE,2005-12-09,7.24,7.292,7.156,7.2,803500,ICE
ICE,2005-12-12,7.29,7.3,7.21,7.29,953500,ICE
ICE,2005-12-13,7.118,7.288,7.102,7.288,1843000,ICE
ICE,2005-12-14,7.0,7.14,6.96,7.1,1422000,ICE
ICE,2005-12-15,6.8,6.99,6.73,6.99,3273000,ICE
ICE,2005-12-16,6.838,6.898,6.7,6.77,7937500,ICE
ICE,2005-12-19,6.874,6.88,6.772,6.8,2240500,ICE
ICE,2005-12-20,6.988,7.082,6.88,6.924,2423500,ICE
ICE,2005-12-21,6.958,7.0,6.91,6.98,916500,ICE
ICE,2005-12-22,6.94,6.958,6.86,6.958,1171000,ICE
ICE,2005-12-23,6.85,6.938,6.812,6.89,985000,ICE
ICE,2005-12-26,6.85,6.938,6.812,6.89,0,ICE
ICE,2005-12-27,7.05,7.09,6.9,6.9,1214000,ICE
ICE,2005-12-28,7.016,7.09,7.006,7.05,581000,ICE
ICE,2005-12-29,7.228,7.244,6.98,6.98,1076500,ICE
ICE,2005-12-30,7.27,7.27,7.09,7.25,923500,ICE
ICE,2006-01-02,7.27,7.27,7.09,7.25,0,ICE
ICE,2006-01-03,7.572,7.65,7.2,7.3,2983000,ICE
ICE,2006-01-04,7.38,7.58,7.272,7.58,1177000,ICE
ICE,2006-01-05,7.862,7.948,7.64,7.64,3471500,ICE
ICE,2006-01-06,8.064,8.08,7.82,7.85,2306500,ICE
ICE,2006-01-09,8.722,8.858,8.18,8.2,8578500,ICE
ICE,2006-01-10,9.202,9.36,8.672,8.672,8667500,ICE
ICE,2006-01-11,9.384,9.64,9.07,9.298,7555500,ICE
ICE,2006-01-12,8.792,9.57,8.652,9.468,4812500,ICE
ICE,2006-01-13,8.91,8.922,8.6,8.742,2010500,ICE
ICE,2006-01-16,8.91,8.922,8.6,8.742,0,ICE
ICE,2006-01-17,9.276,9.4,9.0,9.1,2601500,ICE
