Symbol,Date,Close,High,Low,Open,Volume,Name
INTC,1998-05-29,17.86,18.5,17.766,18.41,77181600,INTC
INTC,1998-06-01,17.0,17.5,16.907,17.28,110815600,INTC
INTC,1998-06-02,17.313,17.36,17.047,17.25,72040400,INTC
INTC,1998-06-03,16.485,17.672,16.414,17.53,104560000,INTC
INTC,1998-06-04,17.047,17.25,16.704,16.91,82716000,INTC
INTC,1998-06-05,17.454,17.485,16.938,17.3,58800000,INTC
INTC,1998-06-08,17.329,17.5,16.938,17.49,70268800,INTC
INTC,1998-06-09,17.547,17.594,17.157,17.3,51892800,INTC
INTC,1998-06-10,17.141,17.563,17.079,17.45,48829600,INTC
INTC,1998-06-11,17.141,17.344,17.032,17.2,43135600,INTC
INTC,1998-06-12,17.11,17.125,16.485,17.11,71950000,INTC
INTC,1998-06-15,16.719,17.188,16.704,16.81,53224000,INTC
INTC,1998-06-16,17.454,17.469,16.782,16.94,68256000,INTC
INTC,1998-06-17,17.313,17.735,17.157,17.47,69139200,INTC
INTC,1998-06-18,17.422,17.571,17.063,17.28,41883600,INTC
INTC,1998-06-19,17.5,18.0,17.094,17.66,68714400,INTC
INTC,1998-06-22,18.454,18.594,17.422,17.47,79901200,INTC
INTC,1998-06-23,18.813,18.938,18.485,18.69,75097200,INTC
INTC,1998-06-24,19.344,19.375,18.317,18.77,76740400,INTC
INTC,1998-06-25,18.907,19.407,18.782,19.31,55333600,INTC
INTC,1998-06-26,19.094,19.282,18.75,18.89,42892800,INTC
INTC,1998-06-29,18.954,19.313,18.688,19.22,44950000,INTC
INTC,1998-06-30,18.532,18.844,18.375,18.7,50639200,INTC
INTC,1998-07-01,18.797,18.844,18.11,18.67,69999600,INTC
INTC,1998-07-02,18.313,18.782,18.297,18.64,40156800,INTC
INTC,1998-07-03,18.313,18.782,18.297,18.64,0,INTC
INTC,1998-07-06,18.371,18.485,18.063,18.14,35431200,INTC
INTC,1998-07-07,18.782,18.829,18.141,18.28,54048400,INTC
INTC,1998-07-08,19.579,19.75,18.891,18.91,87264000,INTC
INTC,1998-07-09,19.938,20.094,19.329,19.39,96105200,INTC
INTC,1998-07-10,19.938,20.125,19.563,19.88,57318000,INTC
INTC,1998-07-13,20.594,20.875,19.875,19.94,76238400,INTC
INTC,1998-07-14,20.172,20.844,20.094,20.67,88619200,INTC
INTC,1998-07-15,21.0625,21.25,20.2188,21.0625,166339600,INTC
INTC,1998-07-16,21.063,21.219,20.75,21.0,67307200,INTC
INTC,1998-07-17,20.782,20.985,20.61,20.97,50119200,INTC
INTC,1998-07-20,20.438,20.766,20.391,20.6,37534400,INTC
INTC,1998-07-21,20.407,21.204,20.297,20.34,79948000,INTC
INTC,1998-07-22,20.594,20.875,20.157,20.16,65858000,INTC
INTC,1998-07-23,20.641,21.235,20.36,20.42,85392400,INTC
INTC,1998-07-24,20.766,21.0,20.407,20.69,58432000,INTC
INTC,1998-07-27,21.516,21.532,20.438,20.56,84244000,INTC
INTC,1998-07-28,21.407,22.063,21.375,21.7,117541200,INTC
INTC,1998-07-29,21.157,21.735,21.11,21.6,56993600,INTC
INTC,1998-07-30,21.907,21.938,21.25,21.42,57916400,INTC
INTC,1998-07-31,21.11,21.969,21.063,21.83,47991600,INTC
INTC,1998-08-03,21.204,21.532,20.782,20.91,55863600,INTC
INTC,1998-08-04,20.485,21.5,20.407,21.35,77435600,INTC
INTC,1998-08-05,21.032,21.172,20.282,20.52,91454000,INTC
INTC,1998-08-06,21.75,21.891,20.75,20.75,94523200,INTC
INTC,1998-08-07,21.672,22.266,21.594,21.97,81461600,INTC
INTC,1998-08-10,21.657,21.938,21.422,21.56,49170800,INTC
INTC,1998-08-11,21.141,21.344,20.954,21.06,72759200,INTC
INTC,1998-08-12,21.407,21.5,21.094,21.38,55206000,INTC
INTC,1998-08-13,21.313,21.75,21.125,21.47,65313999,INTC
INTC,1998-08-14,21.547,21.688,21.391,21.49,62301600,INTC
INTC,1998-08-17,22.391,22.438,21.438,21.44,95816400,INTC
INTC,1998-08-18,22.86,23.157,22.344,22.36,119445200,INTC
INTC,1998-08-19,22.391,23.063,22.313,22.99,67517200,INTC
INTC,1998-08-20,21.5,22.063,21.282,21.75,133814000,INTC
INTC,1998-08-21,21.235,21.422,20.594,21.14,116136000,INTC
INTC,1998-08-24,21.157,21.621,20.868,21.3,84225200,INTC
INTC,1998-08-25,21.106,21.469,20.922,21.38,52442400,INTC
INTC,1998-08-26,20.75,21.125,20.547,20.67,52515200,INTC
INTC,1998-08-27,19.938,20.516,19.188,20.34,133453200,INTC
INTC,1998-08-28,19.25,20.141,18.938,19.59,94425200,INTC
INTC,1998-08-31,17.797,19.36,17.735,19.22,104269200,INTC
INTC,1998-09-01,19.0,19.1875,17.4375,18.3125,107158000,INTC
INTC,1998-09-02,18.719,19.485,18.516,19.08,84634400,INTC
INTC,1998-09-03,19.188,19.688,18.641,18.77,107758800,INTC
INTC,1998-09-04,19.563,19.719,19.032,19.42,64649199,INTC
INTC,1998-09-07,19.563,19.719,19.032,19.42,0,INTC
INTC,1998-09-08,20.477,20.5,19.844,20.28,82997200,INTC
INTC,1998-09-09,20.3125,21.1562,20.2812,20.2812,91489200,INTC
INTC,1998-09-10,19.766,20.157,19.36,19.94,76448800,INTC
INTC,1998-09-11,21.235,21.266,20.485,20.81,150069600,INTC
INTC,1998-09-14,21.454,21.641,21.141,21.19,67960000,INTC
INTC,1998-09-15,21.454,21.532,21.079,21.25,47314000,INTC
INTC,1998-09-16,21.266,21.704,20.922,21.52,45172000,INTC
INTC,1998-09-17,20.75,21.454,20.594,20.72,56425200,INTC
INTC,1998-09-18,20.75,20.985,20.5,20.8,50590400,INTC
INTC,1998-09-21,21.157,21.157,20.157,20.31,39437600,INTC
INTC,1998-09-22,20.891,21.313,20.77,21.27,40890800,INTC
INTC,1998-09-23,21.766,21.766,20.969,21.03,67713600,INTC
INTC,1998-09-24,21.329,22.032,21.094,21.69,62716000,INTC
INTC,1998-09-25,22.079,22.188,21.0,21.16,69434800,INTC
INTC,1998-09-28,21.75,22.25,21.547,22.11,60137200,INTC
INTC,1998-09-29,22.125,22.157,21.688,21.85,52740000,INTC
INTC,1998-09-30,21.438,22.0,21.407,21.83,45350000,INTC
INTC,1998-10-01,20.86,21.36,20.516,21.06,61390000,INTC
INTC,1998-10-02,20.969,21.25,20.313,20.7,59277600,INTC
INTC,1998-10-05,20.141,20.922,19.454,20.64,78511200,INTC
INTC,1998-10-06,19.907,20.813,19.641,20.64,82609600,INTC
INTC,1998-10-07,19.766,20.282,19.625,19.72,82892800,INTC
INTC,1998-10-08,19.61,20.094,18.954,19.2,120242400,INTC
INTC,1998-10-09,20.954,21.063,19.844,19.92,87274400,INTC
INTC,1998-10-12,21.36,21.469,20.985,21.22,62338000,INTC
INTC,1998-10-13,20.891,21.36,20.485,21.13,100670000,INTC
INTC,1998-10-14,20.641,21.063,20.532,20.69,110875600,INTC
INTC,1998-10-15,21.141,21.313,20.375,20.58,73806000,INTC
INTC,1998-10-16,20.938,21.375,20.891,21.3,76636400,INTC
INTC,1998-10-19,21.25,21.282,20.657,20.78,59394800,INTC
INTC,1998-10-20,21.141,21.813,21.125,21.44,83376400,INTC
INTC,1998-10-21,21.766,21.782,21.157,21.3,57198800,INTC
INTC,1998-10-22,21.844,21.969,21.391,21.55,47807200,INTC
INTC,1998-10-23,21.813,22.235,21.594,21.64,56875200,INTC
INTC,1998-10-26,22.235,22.266,21.625,21.77,49740400,INTC
INTC,1998-10-27,21.829,22.438,21.813,22.36,52743200,INTC
INTC,1998-10-28,22.305,22.375,21.688,21.7,48928800,INTC
INTC,1998-10-29,22.438,22.657,22.141,22.16,73024000,INTC
INTC,1998-10-30,22.297,22.704,22.282,22.5,47807600,INTC
INTC,1998-11-02,22.954,23.0,22.391,22.44,52581200,INTC
INTC,1998-11-03,22.61,22.954,22.422,22.8,51114800,INTC
INTC,1998-11-04,23.704,23.75,22.766,22.91,109783600,INTC
INTC,1998-11-05,23.5,23.625,23.313,23.5,58649600,INTC
INTC,1998-11-06,23.86,23.969,23.391,23.45,65113200,INTC
INTC,1998-11-09,24.0,24.016,23.36,23.72,47546400,INTC
INTC,1998-11-10,24.391,24.875,23.922,24.1,85900400,INTC
INTC,1998-11-11,25.922,26.094,25.407,25.41,126157600,INTC
INTC,1998-11-12,25.6719,26.2656,25.3438,25.6719,70999600,INTC
INTC,1998-11-13,25.938,26.219,25.344,25.35,59891600,INTC
INTC,1998-11-16,26.719,26.75,26.266,26.3,49547600,INTC
INTC,1998-11-17,27.125,27.5,26.407,26.56,58458400,INTC
INTC,1998-11-18,27.469,27.719,27.063,27.13,51940800,INTC
INTC,1998-11-19,28.219,28.797,27.688,27.7,94157600,INTC
INTC,1998-11-20,28.016,28.532,27.766,28.47,67536400,INTC
INTC,1998-11-23,28.391,28.969,27.641,27.97,57492000,INTC
INTC,1998-11-24,27.61,28.563,27.594,28.13,46309600,INTC
INTC,1998-11-25,27.61,28.563,27.594,28.13,0,INTC
INTC,1998-11-26,27.61,28.563,27.594,28.13,0,INTC
INTC,1998-11-27,27.5,27.563,27.25,27.33,17278400,INTC
INTC,1998-11-30,26.907,28.055,26.875,27.67,63109600,INTC
INTC,1998-12-01,28.75,28.75,26.422,26.45,76924400,INTC
INTC,1998-12-02,28.391,28.75,27.844,28.49,64597200,INTC
INTC,1998-12-03,27.375,29.282,27.219,28.39,78229200,INTC
INTC,1998-12-04,29.0781,29.125,28.2812,29.0781,69512000,INTC
INTC,1998-12-07,29.735,29.875,29.094,29.16,51060800,INTC
INTC,1998-12-08,30.016,31.0,29.797,30.06,99456000,INTC
INTC,1998-12-09,29.797,30.375,29.579,30.31,50253200,INTC
INTC,1998-12-10,28.657,30.032,28.563,29.64,61700800,INTC
INTC,1998-12-11,29.11,29.313,28.375,28.63,54904800,INTC
INTC,1998-12-14,27.8906,28.875,27.7969,27.8906,60818400,INTC
INTC,1998-12-15,28.9844,29.0586,28.0,28.9844,69064000,INTC
INTC,1998-12-16,28.532,29.25,28.344,29.13,44630800,INTC
INTC,1998-12-17,29.219,29.36,28.688,28.72,39876800,INTC
INTC,1998-12-18,30.0,30.141,29.719,29.95,63232800,INTC
INTC,1998-12-21,30.672,31.0,29.985,30.13,38858400,INTC
INTC,1998-12-22,29.766,30.688,29.563,30.6,46193200,INTC
INTC,1998-12-23,31.25,31.25,30.344,31.25,79882800,INTC
INTC,1998-12-24,31.25,31.547,30.891,31.2,17438000,INTC
INTC,1998-12-25,31.25,31.547,30.891,31.2,0,INTC
INTC,1998-12-28,30.532,31.422,30.5,31.42,27866000,INTC
INTC,1998-12-29,30.266,31.0,30.094,30.53,40452000,INTC
INTC,1998-12-30,29.797,30.735,29.766,30.13,41480400,INTC
INTC,1998-12-31,29.641,30.157,29.563,29.94,29049600,INTC
INTC,1999-01-01,29.641,30.157,29.563,29.94,0,INTC
INTC,1999-01-04,30.204,30.782,29.922,29.99,65404799,INTC
INTC,1999-01-05,30.813,31.282,30.0,30.13,65437600,INTC
INTC,1999-01-06,32.375,32.4375,31.0625,32.375,107311600,INTC
INTC,1999-01-07,32.313,32.75,31.875,31.91,54447200,INTC
INTC,1999-01-08,32.422,32.875,32.032,32.78,43911600,INTC
INTC,1999-01-11,34.9375,35.3438,32.7188,34.9375,105040000,INTC
INTC,1999-01-12,33.891,35.625,33.625,35.56,103784800,INTC
INTC,1999-01-13,34.75,35.5312,32.75,34.0,118809200,INTC
INTC,1999-01-14,33.4375,35.0,33.375,33.4375,82390800,INTC
INTC,1999-01-15,33.844,34.188,33.5,33.56,63951200,INTC
INTC,1999-01-18,33.844,34.188,33.5,33.56,0,INTC
INTC,1999-01-19,34.844,34.907,33.75,34.36,43452000,INTC
INTC,1999-01-20,34.563,35.922,34.407,35.22,61501600,INTC
INTC,1999-01-21,33.375,34.4062,33.0625,33.375,63926400,INTC
INTC,1999-01-22,32.219,33.188,32.125,32.69,87444000,INTC
INTC,1999-01-25,32.657,32.813,31.641,32.47,59519200,INTC
INTC,1999-01-26,34.2344,34.25,32.9062,34.2344,68130000,INTC
INTC,1999-01-27,33.188,34.375,33.157,34.16,57336400,INTC
INTC,1999-01-28,34.297,34.657,33.75,34.28,83810000,INTC
INTC,1999-01-29,35.235,35.282,34.094,34.47,57246400,INTC
INTC,1999-02-01,34.4688,35.1719,34.25,34.4688,52246000,INTC
INTC,1999-02-02,33.657,34.516,33.188,34.5,59651200,INTC
INTC,1999-02-03,34.672,34.75,33.204,33.38,57020000,INTC
INTC,1999-02-04,32.5312,34.25,32.5,32.5312,86413200,INTC
INTC,1999-02-05,31.891,33.125,30.672,32.94,135056400,INTC
INTC,1999-02-08,33.0,33.407,31.844,32.47,69634800,INTC
