Symbol,Date,Close,High,Low,Open,Volume,Name
INTU,1998-05-29,7.896,8.104,7.896,8.035,3113400,INTU
INTU,1998-06-01,7.823,8.021,7.771,7.91,8377200,INTU
INTU,1998-06-02,7.802,7.9585,7.6875,7.825,4798800,INTU
INTU,1998-06-03,7.5625,7.8645,7.521,7.805,3248400,INTU
INTU,1998-06-04,7.677,7.7605,7.5,7.555,2835600,INTU
INTU,1998-06-05,7.6665,7.875,7.5415,7.7,3612600,INTU
INTU,1998-06-08,7.646,7.6665,7.5835,7.64,2676000,INTU
INTU,1998-06-09,7.6665,7.729,7.5625,7.575,4096199,INTU
INTU,1998-06-10,7.9065,8.104,7.5625,7.575,8833800,INTU
INTU,1998-06-11,7.9375,8.0,7.771,7.89,3160200,INTU
INTU,1998-06-12,8.104,8.104,7.6665,7.96,4552200,INTU
INTU,1998-06-15,8.198,8.4165,7.9585,7.97,7083600,INTU
INTU,1998-06-16,8.3645,8.375,8.125,8.2,3388800,INTU
INTU,1998-06-17,8.5315,8.7085,8.344,8.39,7326000,INTU
INTU,1998-06-18,8.5415,8.6665,8.479,8.535,4605000,INTU
INTU,1998-06-19,8.375,8.646,8.3125,8.64,4377600,INTU
INTU,1998-06-22,9.0417,9.1042,8.3125,8.6042,11181012,INTU
INTU,1998-06-23,9.5835,9.75,9.0415,9.055,13527600,INTU
INTU,1998-06-24,10.323,10.3855,9.5625,9.575,11158200,INTU
INTU,1998-06-25,9.7605,10.875,9.7085,10.54,11895000,INTU
INTU,1998-06-26,10.354,10.5,9.5835,9.72,7404000,INTU
INTU,1998-06-29,10.354,10.5415,10.021,10.325,4963200,INTU
INTU,1998-06-30,10.2085,10.4585,10.2085,10.315,5214000,INTU
INTU,1998-07-01,10.6875,10.6875,10.2604,10.2708,3715800,INTU
INTU,1998-07-02,10.344,10.771,10.2605,10.615,4273200,INTU
INTU,1998-07-03,10.344,10.771,10.2605,10.615,0,INTU
INTU,1998-07-06,10.3437,10.7708,10.2604,10.625,4273200,INTU
INTU,1998-07-07,10.125,10.1875,10.0,10.055,2377800,INTU
INTU,1998-07-08,10.3125,10.354,9.8335,9.99,3539400,INTU
INTU,1998-07-09,10.5,10.8335,10.25,10.365,3136200,INTU
INTU,1998-07-10,10.2915,10.5835,10.2605,10.45,957000,INTU
INTU,1998-07-13,10.6665,10.6665,10.0415,10.315,4948200,INTU
INTU,1998-07-14,10.604,10.854,10.521,10.655,4021800,INTU
INTU,1998-07-15,10.521,10.771,10.427,10.555,2232600,INTU
INTU,1998-07-16,10.75,10.9585,10.521,10.555,4604400,INTU
INTU,1998-07-17,10.6875,10.896,10.521,10.885,3590400,INTU
INTU,1998-07-20,10.8335,11.021,10.604,10.635,3783000,INTU
INTU,1998-07-21,11.0835,11.323,10.8335,10.845,4574400,INTU
INTU,1998-07-22,10.9585,11.146,10.7915,11.01,2413800,INTU
INTU,1998-07-23,10.2815,11.0,10.2085,10.99,4070400,INTU
INTU,1998-07-24,9.802,10.5835,9.7085,10.385,4071600,INTU
INTU,1998-07-27,9.4165,9.7915,8.8125,9.7,14731200,INTU
