Symbol,Date,Close,High,Low,Open,Volume,Name
IP,1998-05-29,45.3502,46.7058,45.3502,46.2769,1016661,IP
IP,1998-06-01,46.2749,46.4593,45.5966,45.7248,1474935,IP
IP,1998-06-02,46.3361,47.2608,45.9663,46.5234,1250059,IP
IP,1998-06-03,46.3361,47.5073,46.0896,46.829,695322,IP
IP,1998-06-04,46.9522,46.9522,45.9663,46.4642,549360,IP
IP,1998-06-05,46.7679,47.0755,46.2749,46.9572,721796,IP
IP,1998-06-08,47.0755,47.5073,46.7058,47.1346,761659,IP
IP,1998-06-09,46.2749,46.829,46.2128,46.829,827996,IP
IP,1998-06-10,45.5355,46.4593,45.3502,46.3361,1314570,IP
IP,1998-06-11,44.1799,45.782,43.6249,45.5375,1267809,IP
IP,1998-06-12,44.3032,44.4875,43.2552,44.246,1062103,IP
IP,1998-06-15,43.3173,44.1799,42.7011,44.177,1480514,IP
IP,1998-06-16,43.0087,45.1037,42.5779,45.1037,1439332,IP
IP,1998-06-17,43.9335,44.2411,42.8855,42.9446,1835022,IP
IP,1998-06-18,43.5638,44.734,43.3173,44.3052,1127528,IP
IP,1998-06-19,43.3784,43.9335,43.1941,43.5657,1301079,IP
IP,1998-06-22,43.0087,43.6249,42.8855,43.6249,1054394,IP
IP,1998-06-23,42.8244,43.4405,42.5158,43.3784,1172057,IP
IP,1998-06-24,42.9476,43.2552,41.8996,43.132,865324,IP
IP,1998-06-25,42.639,43.5017,42.4547,42.9446,1008750,IP
IP,1998-06-26,43.2552,43.4405,42.5779,42.7672,1507698,IP
IP,1998-06-29,42.2693,43.6249,42.1461,43.3784,1914951,IP
IP,1998-06-30,42.3926,42.3926,41.8996,42.3926,1932601,IP
IP,1998-07-01,42.7011,43.132,42.1461,42.6982,1992446,IP
IP,1998-07-02,42.7623,43.2552,42.0229,42.5207,1448563,IP
IP,1998-07-03,42.7623,43.2552,42.0229,42.5207,0,IP
IP,1998-07-06,43.132,43.132,42.7623,42.8855,894942,IP
IP,1998-07-07,42.9476,43.0708,42.5158,42.8855,1447346,IP
IP,1998-07-08,43.132,43.4405,43.0708,43.2601,1281706,IP
IP,1998-07-09,42.7623,43.2552,42.5158,43.2552,1687133,IP
IP,1998-07-10,42.7011,42.8855,42.5158,42.7672,1106430,IP
IP,1998-07-13,42.2693,43.132,41.9617,43.0137,1358693,IP
IP,1998-07-14,42.9476,43.4405,42.3314,42.5207,2496567,IP
IP,1998-07-15,42.3926,43.132,42.0229,43.0728,1729430,IP
IP,1998-07-16,44.1799,44.4875,42.8855,43.2601,1745051,IP
IP,1998-07-17,44.3643,44.8572,44.1178,44.6108,1253102,IP
IP,1998-07-20,44.734,45.1658,44.6729,44.9854,1225309,IP
IP,1998-07-21,44.734,45.3502,44.734,45.3502,1260810,IP
IP,1998-07-22,44.734,44.9194,44.5496,44.7981,976900,IP
IP,1998-07-23,43.3784,44.9805,43.1941,44.9805,1480616,IP
IP,1998-07-24,42.8855,44.0567,42.2693,43.9995,1036542,IP
IP,1998-07-27,43.3173,43.3173,42.4547,42.8855,799899,IP
IP,1998-07-28,42.3314,43.6249,41.7764,43.3784,1068595,IP
IP,1998-07-29,41.7153,42.8244,41.592,42.5799,791379,IP
IP,1998-07-30,43.0087,43.3784,42.3926,43.3784,1524739,IP
IP,1998-07-31,43.9946,43.9946,43.0708,43.2601,1671309,IP
IP,1998-08-03,44.3643,44.9805,43.9946,44.4925,1881174,IP
IP,1998-08-04,42.3926,44.8572,42.1461,44.8572,1305542,IP
IP,1998-08-05,42.3926,43.0708,41.6532,42.4517,1017676,IP
IP,1998-08-06,42.0229,42.639,41.6532,42.4517,833474,IP
IP,1998-08-07,42.639,43.2552,41.8996,43.1911,946470,IP
IP,1998-08-10,43.4405,43.5638,42.8244,43.3784,1538229,IP
IP,1998-08-11,42.0229,43.3173,41.8385,43.3173,1286879,IP
IP,1998-08-12,42.5158,42.639,42.0229,42.5207,785090,IP
IP,1998-08-13,42.4547,42.8244,42.2693,42.5207,540231,IP
IP,1998-08-14,41.1602,42.8855,39.9279,42.5799,1473718,IP
IP,1998-08-17,41.1602,41.4067,40.4208,40.9137,898999,IP
IP,1998-08-18,42.2082,42.3926,40.9137,41.1011,798986,IP
IP,1998-08-19,42.2082,42.8855,42.0229,42.639,1062408,IP
IP,1998-08-20,41.7764,42.4547,41.3456,42.3926,1393180,IP
IP,1998-08-21,40.9137,41.1602,39.9279,41.0419,1546040,IP
IP,1998-08-24,42.2693,42.3926,40.6062,41.4067,1577991,IP
IP,1998-08-25,42.3314,42.9476,41.9617,42.8855,1098416,IP
IP,1998-08-26,40.4208,42.1461,40.0511,42.0869,1602842,IP
IP,1998-08-27,38.8809,39.6203,38.5112,39.2476,1716447,IP
IP,1998-08-28,38.4491,39.5582,38.1415,38.942,1047598,IP
IP,1998-08-31,36.4773,38.8809,36.4162,38.8237,1484876,IP
IP,1998-09-01,37.2788,37.7718,34.9985,34.9985,1841210,IP
IP,1998-09-02,37.7097,38.5112,37.0935,38.2026,1921849,IP
IP,1998-09-03,38.1415,38.1415,36.847,37.7097,1047396,IP
IP,1998-09-04,39.0652,39.2506,37.9561,38.1434,1331509,IP
IP,1998-09-07,39.0652,39.2506,37.9561,38.1434,0,IP
IP,1998-09-08,41.7153,42.1461,39.7435,39.9279,2156159,IP
IP,1998-09-09,41.6532,41.9617,41.037,41.7123,1798608,IP
IP,1998-09-10,40.6673,41.4067,40.1132,41.4067,1138584,IP
IP,1998-09-11,41.0991,41.4067,39.99,40.549,1244175,IP
IP,1998-09-14,41.7764,42.4547,41.592,41.6532,1027413,IP
IP,1998-09-15,43.687,43.9946,41.6532,41.8996,1765135,IP
IP,1998-09-16,43.8714,44.3032,43.0087,43.8122,1770206,IP
IP,1998-09-17,43.0087,44.6108,42.2082,43.8122,1053076,IP
IP,1998-09-18,42.9476,43.687,42.2082,43.6249,1220542,IP
IP,1998-09-21,42.9476,43.5638,41.9617,42.639,940181,IP
IP,1998-09-22,43.7481,43.8102,42.9476,43.1911,769267,IP
IP,1998-09-23,44.6729,44.6729,43.687,44.3052,967467,IP
IP,1998-09-24,46.2128,46.7679,44.6729,44.6729,2301918,IP
IP,1998-09-25,47.7537,47.9381,45.7199,45.8431,1969826,IP
IP,1998-09-28,48.3699,48.6775,47.0143,47.3219,2713938,IP
IP,1998-09-29,48.3078,48.4931,47.4452,48.3669,2469789,IP
IP,1998-09-30,45.9663,47.7537,45.5355,47.7537,1003881,IP
IP,1998-10-01,44.2411,45.5355,43.9335,45.1629,1527579,IP
IP,1998-10-02,44.6729,45.2891,43.8714,43.9305,1047497,IP
IP,1998-10-05,45.1658,45.5966,44.4264,45.2319,1683887,IP
IP,1998-10-06,44.9194,47.0143,44.8572,47.0143,954077,IP
IP,1998-10-07,44.4875,46.2749,43.9946,44.5516,971017,IP
IP,1998-10-08,43.3784,43.9335,42.5779,43.8714,1143351,IP
IP,1998-10-09,45.3502,45.3502,43.3784,43.8122,1398861,IP
IP,1998-10-12,45.4123,46.1517,45.0426,45.5966,1054800,IP
IP,1998-10-13,45.4123,46.0896,44.734,45.7248,1230888,IP
IP,1998-10-14,44.1799,44.7961,43.8102,44.1178,1269534,IP
IP,1998-10-15,45.2891,45.4734,42.8855,43.9305,1178447,IP
IP,1998-10-16,46.6441,46.6441,45.3502,45.535,1005098,IP
IP,1998-10-19,47.6916,47.877,46.0896,46.3361,968075,IP
IP,1998-10-20,47.877,48.4931,47.1987,48.3078,1419553,IP
IP,1998-10-21,47.384,48.0002,47.2608,47.3219,876075,IP
IP,1998-10-22,46.5214,47.6305,45.8431,47.6275,539724,IP
IP,1998-10-23,44.9194,46.5214,44.4875,46.5214,513250,IP
IP,1998-10-26,45.1037,46.2128,44.9194,45.4093,534652,IP
IP,1998-10-27,44.0567,45.5355,43.1941,45.5355,803957,IP
IP,1998-10-28,43.8714,44.6729,43.3173,43.8714,364955,IP
IP,1998-10-29,43.687,44.0567,43.0087,44.0567,856803,IP
IP,1998-10-30,45.782,46.7679,44.2411,44.246,1364881,IP
IP,1998-11-02,44.5496,45.2891,44.1799,44.8572,1091620,IP
IP,1998-11-03,45.2891,45.5355,44.3643,44.3643,1466516,IP
IP,1998-11-04,44.6729,45.7199,44.4875,45.5966,1539345,IP
IP,1998-11-05,45.8431,46.0896,44.3643,44.4235,1833501,IP
IP,1998-11-06,45.4734,45.782,44.6729,45.782,1345913,IP
IP,1998-11-09,45.1037,45.5966,44.6729,45.5375,765818,IP
IP,1998-11-10,45.2891,46.0896,44.6108,44.9164,1421379,IP
IP,1998-11-11,43.8714,45.6588,43.3173,45.5375,933892,IP
IP,1998-11-12,45.2891,46.0896,44.6108,46.0896,1421379,IP
IP,1998-11-13,44.2411,44.4875,42.7011,43.132,712870,IP
IP,1998-11-16,44.6108,44.8572,44.1178,44.246,911678,IP
IP,1998-11-17,44.6729,44.9805,43.687,44.246,917460,IP
IP,1998-11-18,45.1037,45.5355,44.2411,44.4925,1250261,IP
IP,1998-11-19,44.6108,45.3502,44.2411,45.2319,786612,IP
IP,1998-11-20,45.3502,45.5966,44.6729,45.2319,626043,IP
IP,1998-11-23,45.1658,45.7199,44.5496,45.7199,1359809,IP
IP,1998-11-24,43.3784,46.1517,42.639,45.1037,4177513,IP
IP,1998-11-25,42.4542,42.9471,41.7764,42.8855,2167012,IP
IP,1998-11-26,42.4542,42.9471,41.7764,42.8855,0,IP
IP,1998-11-27,42.5158,42.8855,41.6532,42.8855,737822,IP
IP,1998-11-30,42.8244,43.2552,42.3314,42.5207,1759150,IP
IP,1998-12-01,43.5638,43.6249,42.7623,42.8263,3354183,IP
IP,1998-12-02,43.1941,43.3784,42.639,43.2601,1345000,IP
IP,1998-12-03,42.8244,43.3784,42.2693,42.9446,1738762,IP
IP,1998-12-04,42.8855,43.1941,42.5779,42.8263,1705188,IP
IP,1998-12-07,43.0708,43.3784,42.639,43.1911,861266,IP
IP,1998-12-08,42.2082,43.0708,42.1461,42.3926,1602031,IP
IP,1998-12-09,41.8996,42.8244,41.6532,42.2743,1092026,IP
IP,1998-12-10,40.7905,41.8385,40.4208,41.7123,1114544,IP
IP,1998-12-11,40.1132,41.2834,39.6203,40.7264,1147003,IP
IP,1998-12-14,40.9759,41.592,40.2976,40.3025,1386790,IP
IP,1998-12-15,41.592,41.8385,40.4829,40.7264,1686119,IP
IP,1998-12-16,40.7905,41.4683,40.1743,41.4067,1133614,IP
IP,1998-12-17,40.9137,40.9759,40.1132,40.48,1687234,IP
IP,1998-12-18,41.1602,41.3456,40.544,41.3456,1736429,IP
IP,1998-12-21,42.3314,43.0708,41.5299,41.6532,1590366,IP
IP,1998-12-22,42.1461,42.5779,41.8996,42.3926,1002664,IP
IP,1998-12-23,42.3926,42.8244,42.2082,42.8244,908331,IP
IP,1998-12-24,42.7623,42.8244,42.3926,42.639,405731,IP
IP,1998-12-25,42.7623,42.8244,42.3926,42.639,0,IP
IP,1998-12-28,43.0708,43.3173,42.3926,43.3173,1036035,IP
IP,1998-12-29,43.9335,44.1178,42.639,43.0728,1290023,IP
IP,1998-12-30,43.132,43.7481,43.132,43.7481,670370,IP
IP,1998-12-31,44.1799,44.8572,43.2552,43.5657,1459010,IP
IP,1999-01-01,44.1799,44.8572,43.2552,43.5657,0,IP
IP,1999-01-04,41.5299,44.4875,40.8526,43.7531,4151141,IP
IP,1999-01-05,42.2082,43.2552,41.1602,41.3475,3102223,IP
IP,1999-01-06,42.7011,42.8855,42.2693,42.7672,2034033,IP
IP,1999-01-07,41.9617,43.0708,41.8996,42.0278,2071462,IP
IP,1999-01-08,44.8572,45.3502,42.2082,42.3334,5268019,IP
IP,1999-01-11,45.3502,46.2749,44.5496,44.9164,3764073,IP
IP,1999-01-12,45.8431,46.2749,44.6108,45.3502,3975053,IP
IP,1999-01-13,43.9946,44.4875,42.7623,44.3643,2747310,IP
IP,1999-01-14,43.5017,44.4875,43.3173,43.8714,1733893,IP
IP,1999-01-15,44.2411,44.3643,43.6249,43.8122,1493092,IP
IP,1999-01-18,44.2411,44.3643,43.6249,43.8122,0,IP
IP,1999-01-19,42.7623,44.1799,41.4067,43.9995,1805607,IP
IP,1999-01-20,40.4208,42.3926,40.4208,42.3926,2526997,IP
IP,1999-01-21,41.7153,41.8385,39.4349,40.4208,3124133,IP
IP,1999-01-22,40.4208,41.7153,39.9279,41.7123,1573731,IP
IP,1999-01-25,41.4688,42.1461,40.4208,40.7954,1559530,IP
IP,1999-01-26,42.3926,42.5158,41.2834,41.8405,1435884,IP
IP,1999-01-27,40.2976,42.8855,40.1743,42.3926,1319642,IP
IP,1999-01-28,39.497,40.4208,39.497,39.987,1563993,IP
IP,1999-01-29,39.0041,40.2365,38.942,39.6814,1698493,IP
IP,1999-02-01,39.4349,40.4208,39.3738,40.4208,1799622,IP
IP,1999-02-02,40.6062,40.8526,39.7435,39.7435,2780377,IP
IP,1999-02-03,40.9759,41.2223,40.3597,40.4208,2171272,IP
IP,1999-02-04,43.5638,44.6108,41.1602,41.2194,3584841,IP
IP,1999-02-05,44.0567,44.734,43.132,43.5066,2233552,IP
IP,1999-02-08,42.5779,44.3032,42.1461,44.177,1843137,IP
IP,1999-02-09,41.8385,42.639,41.592,42.3334,1318729,IP
IP,1999-02-10,41.592,42.3926,41.2223,42.3926,1486803,IP
IP,1999-02-11,40.7905,41.4688,39.8667,41.4658,1830559,IP
IP,1999-02-12,42.085,42.085,41.2834,41.8996,1512770,IP
IP,1999-02-15,42.085,42.085,41.2834,41.8996,0,IP
IP,1999-02-16,41.3456,43.0087,41.1602,41.8996,1565616,IP
IP,1999-02-17,39.9279,41.592,39.7435,41.3475,1512567,IP
IP,1999-02-18,41.0991,41.4067,40.1743,40.3025,1524942,IP
IP,1999-02-19,41.4688,41.7153,41.0991,41.3475,1548170,IP
IP,1999-02-22,42.5779,42.7623,41.4688,41.7813,1140004,IP
IP,1999-02-23,42.3314,42.8244,42.2693,42.3926,1145786,IP
IP,1999-02-24,42.2082,43.5017,42.2082,42.5799,1619173,IP
IP,1999-02-25,41.6532,42.5779,41.1602,42.3334,1281300,IP
IP,1999-02-26,41.4067,43.8714,41.2834,42.2743,2459747,IP
IP,1999-03-01,40.3597,42.0229,40.0511,41.7123,2906255,IP
IP,1999-03-02,39.8046,40.7294,39.7435,40.7264,2264388,IP
IP,1999-03-03,39.7435,40.4208,39.6814,40.056,1441057,IP
IP,1999-03-04,39.497,40.3597,39.4349,39.987,1332219,IP
IP,1999-03-05,39.8046,40.1743,39.2506,39.987,1727909,IP
IP,1999-03-08,40.4829,40.6673,39.4349,40.056,1597061,IP
IP,1999-03-09,40.2365,41.2223,40.1132,40.8546,1729329,IP
IP,1999-03-10,41.0991,41.2834,40.0511,40.7264,1458706,IP
IP,1999-03-11,40.7294,41.3456,40.2976,41.1602,1329582,IP
IP,1999-03-12,41.2834,41.8385,40.4829,40.8546,1682061,IP
IP,1999-03-15,42.7011,43.2552,41.5299,41.594,2051277,IP
IP,1999-03-16,43.0087,43.3173,42.4547,43.1911,1471689,IP
IP,1999-03-17,43.8102,44.3032,42.2693,43.0728,1715230,IP
IP,1999-03-18,44.9194,45.7199,43.5017,43.5066,2107167,IP
IP,1999-03-19,45.4123,46.5825,45.1037,45.9023,2862436,IP
IP,1999-03-22,45.8431,46.2749,44.8572,45.1037,1395209,IP
IP,1999-03-23,44.6108,45.4123,44.6108,45.1037,1062205,IP
IP,1999-03-24,43.9946,44.734,43.8714,44.3643,1051352,IP
IP,1999-03-25,44.6729,45.1658,44.1799,44.6108,1283024,IP
IP,1999-03-26,43.6249,44.5496,43.5017,44.5496,1081883,IP
IP,1999-03-29,43.5638,44.8572,43.5638,43.5657,1529608,IP
IP,1999-03-30,41.7153,43.3784,41.6532,43.3784,2403858,IP
IP,1999-03-31,41.592,42.8244,41.2834,41.8996,2341274,IP
IP,1999-04-01,42.8855,43.1941,42.085,42.2052,1979665,IP
IP,1999-04-02,42.8855,43.1941,42.085,42.2052,0,IP
IP,1999-04-05,42.8855,43.8714,42.7623,43.0137,1778625,IP
IP,1999-04-06,43.0087,43.3784,42.5779,42.8263,1500598,IP
IP,1999-04-07,43.4405,43.5638,42.7623,43.3193,1824270,IP
IP,1999-04-08,43.3173,43.6555,42.4547,43.4376,1597162,IP
IP,1999-04-09,43.5638,43.9335,42.7011,42.7672,2513507,IP
IP,1999-04-12,45.7199,48.5543,43.6249,43.6249,4146069,IP
IP,1999-04-13,47.9381,48.8007,46.5214,46.829,6172496,IP
IP,1999-04-14,51.5119,52.9907,48.2467,48.3078,7995549,IP
IP,1999-04-15,54.5927,55.2089,51.9437,53.2372,10949275,IP
IP,1999-04-16,54.223,55.0857,53.9766,54.3512,5188394,IP
IP,1999-04-19,54.9624,58.6595,54.223,54.3512,6888815,IP
IP,1999-04-20,52.9907,54.5316,52.7442,54.5287,3714269,IP
IP,1999-04-21,52.6831,53.4836,52.3134,52.7442,2728950,IP
IP,1999-04-22,52.5599,53.176,51.5119,52.7442,3868955,IP
IP,1999-04-23,54.3463,54.3463,52.5599,52.6259,3855261,IP
IP,1999-04-26,55.0246,55.5786,53.9766,54.1047,2695376,IP
IP,1999-04-27,54.9624,55.6407,54.716,55.1498,3313102,IP
IP,1999-04-28,56.5645,56.811,54.6549,54.716,3131943,IP
IP,1999-04-29,55.4554,56.6266,52.5599,56.6266,2935062,IP
IP,1999-04-30,52.5599,55.5786,51.6351,55.4554,3677044,IP
IP,1999-05-03,54.5927,55.6407,52.1902,52.4978,2960319,IP
IP,1999-05-04,55.0246,56.811,54.0387,54.716,3598129,IP
IP,1999-05-05,55.7018,56.1337,54.5316,54.5316,2275342,IP
IP,1999-05-06,57.0574,57.6125,54.3463,54.716,2242579,IP
IP,1999-05-07,56.318,57.366,55.5786,56.5694,2898445,IP
IP,1999-05-10,55.3321,57.2428,54.9013,55.7018,2653180,IP
IP,1999-05-11,53.1139,55.6407,53.0528,55.3371,2561282,IP
IP,1999-05-12,53.4836,53.7301,51.2654,52.8724,1894360,IP
IP,1999-05-13,52.621,53.6069,52.2513,53.2372,1548271,IP
IP,1999-05-14,52.3745,53.9766,51.8205,52.4978,2257389,IP
IP,1999-05-17,52.2513,53.7301,52.2513,52.2513,1835022,IP
IP,1999-05-18,51.8816,52.4978,50.6492,52.0048,2004009,IP
IP,1999-05-19,53.2372,53.9154,51.8816,52.0048,2674481,IP
IP,1999-05-20,54.0387,54.6549,53.2993,53.9174,1574137,IP
IP,1999-05-21,54.223,54.9013,53.2993,54.1639,2383571,IP
IP,1999-05-24,54.7781,55.5175,54.2851,55.3371,2205455,IP
IP,1999-05-25,54.1619,55.9483,53.7301,54.8441,2161636,IP
IP,1999-05-26,53.4225,54.716,53.2372,53.9766,1671614,IP
IP,1999-05-27,51.9437,54.1619,51.5119,53.7301,1693726,IP
IP,1999-05-28,49.2937,51.8205,48.8007,51.5119,2468673,IP
IP,1999-05-31,49.2937,51.8205,48.8007,51.5119,0,IP
IP,1999-06-01,52.0048,52.0048,49.5401,49.8458,3768130,IP
IP,1999-06-02,53.0528,53.2372,51.3275,52.0048,2036366,IP
IP,1999-06-03,51.6972,53.4225,50.6492,53.0498,1620796,IP
IP,1999-06-04,49.7255,51.5119,49.7255,51.5119,2125627,IP
IP,1999-06-07,49.2937,50.8346,49.2325,50.2795,2900980,IP
IP,1999-06-08,49.6022,50.5881,49.1093,49.2937,2323320,IP
IP,1999-06-09,51.3275,51.9437,50.7114,51.2654,1995996,IP
IP,1999-06-10,52.9907,53.6069,50.2795,51.571,2164679,IP
IP,1999-06-11,51.5119,53.8533,51.2654,52.9907,1808041,IP
IP,1999-06-14,53.669,54.223,51.574,53.2372,1465401,IP
IP,1999-06-15,55.0857,55.4554,53.7301,54.0357,1939397,IP
IP,1999-06-16,54.716,55.0857,53.8533,55.0857,1940005,IP
IP,1999-06-17,52.5599,54.9013,52.0669,54.716,2076534,IP
IP,1999-06-18,54.4084,54.5927,52.7442,53.7301,1832993,IP
IP,1999-06-21,53.7301,54.4084,53.1139,54.4084,945253,IP
IP,1999-06-22,51.8816,53.4225,51.2654,53.2372,1522000,IP
IP,1999-06-23,52.6831,54.0998,52.6831,53.2372,1617651,IP
IP,1999-06-24,52.2513,52.8063,50.8957,52.6851,1795159,IP
IP,1999-06-25,51.5119,52.621,51.0811,52.4978,871815,IP
IP,1999-06-28,50.526,51.7584,50.4028,51.2654,1383747,IP
IP,1999-06-29,52.0048,52.0048,50.1563,50.6542,1751543,IP
IP,1999-06-30,49.5401,52.4366,49.5401,50.2795,2668496,IP
IP,1999-07-01,49.0472,50.5881,48.8007,49.6683,3010731,IP
IP,1999-07-02,50.2795,51.0811,49.5401,50.0331,2079577,IP
IP,1999-07-05,50.2795,51.0811,49.5401,50.0331,0,IP
IP,1999-07-06,49.9098,51.6351,49.9098,51.0189,1603248,IP
IP,1999-07-07,51.0811,51.5119,50.4028,50.7725,1669889,IP
IP,1999-07-08,51.2043,51.8205,51.1422,51.4527,1845267,IP
IP,1999-07-09,51.0189,51.7584,50.8957,51.2654,2550225,IP
IP,1999-07-12,52.7442,53.6069,51.4508,52.0048,2118831,IP
IP,1999-07-13,52.2513,53.6069,50.8346,51.0781,2565846,IP
IP,1999-07-14,53.2993,53.9154,52.3134,52.3134,1538635,IP
IP,1999-07-15,51.0189,54.0998,50.5881,53.5428,1911401,IP
IP,1999-07-16,52.6831,52.9907,51.0811,51.2063,1437405,IP
IP,1999-07-19,52.1281,52.4366,51.3887,51.3936,780323,IP
IP,1999-07-20,53.2993,54.223,52.0048,52.1921,2035454,IP
IP,1999-07-21,53.6069,54.6549,53.2993,53.3653,2065681,IP
IP,1999-07-22,53.9766,54.716,53.2372,53.3653,1161812,IP
IP,1999-07-23,53.8533,54.1619,53.2372,54.1047,1368532,IP
IP,1999-07-26,53.2372,54.1619,53.0528,53.4836,902752,IP
IP,1999-07-27,52.8675,53.2993,52.3134,52.9907,1325220,IP
IP,1999-07-28,52.4978,53.2372,51.2654,51.2654,950426,IP
IP,1999-07-29,51.574,53.1139,51.574,52.3795,1434261,IP
IP,1999-07-30,50.2795,51.6351,50.2795,51.1471,2024093,IP
IP,1999-08-02,50.6492,51.4508,49.3558,49.6683,1734604,IP
IP,1999-08-03,51.2654,51.6972,50.1563,50.1612,1136555,IP
IP,1999-08-04,54.1619,55.271,52.5599,52.9907,2997545,IP
IP,1999-08-05,54.4695,54.716,52.621,54.1047,1653863,IP
IP,1999-08-06,52.8063,54.4084,52.7442,54.223,1879044,IP
IP,1999-08-09,49.5401,52.9907,49.5401,52.7442,2992473,IP
IP,1999-08-10,49.7866,50.8957,49.6634,49.6683,3023004,IP
IP,1999-08-11,51.82,52.0664,49.8482,50.2795,977407,IP
IP,1999-08-12,52.9907,54.223,52.1281,52.2513,1764932,IP
IP,1999-08-13,53.2372,54.1619,52.9907,52.9907,896463,IP
IP,1999-08-16,52.4978,53.176,52.1281,53.176,838241,IP
IP,1999-08-17,53.6069,54.5316,52.5599,53.0498,1333132,IP
IP,1999-08-18,52.0048,53.7301,51.6351,53.4836,1100648,IP
IP,1999-08-19,53.2372,53.4836,51.3275,51.3936,1303717,IP
IP,1999-08-20,53.6069,53.7922,52.5599,52.9907,968075,IP
IP,1999-08-23,53.669,54.5927,53.1139,54.1047,1231902,IP
IP,1999-08-24,52.1902,53.4225,51.5119,53.2372,1481224,IP
IP,1999-08-25,50.2184,51.2043,49.7866,51.2043,2322001,IP
IP,1999-08-26,50.7725,51.574,50.1563,50.526,2288630,IP
IP,1999-08-27,50.3417,51.5119,49.8487,50.7725,1347941,IP
IP,1999-08-30,49.1704,50.5881,48.6164,50.526,1404642,IP
IP,1999-08-31,46.3982,48.431,46.3361,47.8149,4991918,IP
IP,1999-09-01,47.9381,48.9861,47.1376,47.5684,3360573,IP
IP,1999-09-02,48.8628,49.6022,47.877,47.943,2218033,IP
IP,1999-09-03,49.7866,50.2184,49.1704,49.2937,1016053,IP
IP,1999-09-06,49.7866,50.2184,49.1704,49.2937,0,IP
IP,1999-09-07,50.0952,50.7114,48.8628,48.8628,1250667,IP
IP,1999-09-08,49.6634,50.7114,49.6022,50.0922,1819604,IP
IP,1999-09-09,50.3417,51.0811,49.6022,50.4077,2011718,IP
IP,1999-09-10,50.5881,51.4508,50.3417,50.526,1838572,IP
IP,1999-09-13,53.0528,53.669,50.7725,50.8316,3252648,IP
IP,1999-09-14,50.8957,53.9766,50.8957,52.8034,2509855,IP
