Symbol,Date,Close,High,Low,Open,Volume,Name
IVV,2000-05-15,145.24,,,,0,IVV
IVV,2000-05-16,146.6,,,,0,IVV
IVV,2000-05-17,144.79,,,,0,IVV
IVV,2000-05-18,143.74,,,,0,IVV
IVV,2000-05-19,140.69,,,,0,IVV
IVV,2000-05-22,139.81,,,,0,IVV
IVV,2000-05-23,137.69,,,,0,IVV
IVV,2000-05-24,139.75,140.0625,136.6563,140.0625,400000,IVV
IVV,2000-05-25,138.4688,140.9063,137.875,140.4063,69300,IVV
IVV,2000-05-26,137.8438,138.75,137.0,138.75,236900,IVV
IVV,2000-05-29,137.8438,138.75,137.0,138.75,0,IVV
IVV,2000-05-30,142.4375,142.4375,137.0,140.4063,110700,IVV
IVV,2000-05-31,142.7813,143.625,141.875,141.875,215900,IVV
IVV,2000-06-01,145.0625,145.0625,143.625,143.9063,128700,IVV
IVV,2000-06-02,147.9375,148.4375,147.4688,148.3125,105200,IVV
IVV,2000-06-05,146.9688,147.6563,146.6875,147.6563,192100,IVV
IVV,2000-06-06,146.2188,147.1875,145.6875,146.4375,208700,IVV
IVV,2000-06-07,147.1875,147.4375,145.6563,146.2188,84900,IVV
IVV,2000-06-08,146.6563,147.8125,145.9375,147.8125,248100,IVV
IVV,2000-06-09,146.125,147.5156,145.875,147.5156,20000,IVV
IVV,2000-06-12,144.8594,146.625,144.8594,146.625,17400,IVV
IVV,2000-06-13,146.75,147.25,144.5,145.0,40300,IVV
IVV,2000-06-14,147.6563,148.375,147.125,147.75,349400,IVV
IVV,2000-06-15,147.6563,148.25,146.6094,147.6875,338500,IVV
IVV,2000-06-16,147.0625,148.625,146.4688,148.625,855600,IVV
IVV,2000-06-19,148.5156,149.0313,146.5,148.625,160000,IVV
IVV,2000-06-20,147.7031,148.6406,147.2969,148.625,182600,IVV
IVV,2000-06-21,147.8594,148.1563,147.2969,148.1563,137400,IVV
IVV,2000-06-22,145.4688,147.4375,145.0,147.4375,181800,IVV
IVV,2000-06-23,144.3438,145.875,144.0,145.5,238100,IVV
IVV,2000-06-26,146.0625,146.0625,144.8125,145.5,23700,IVV
IVV,2000-06-27,145.25,146.2969,145.25,145.8125,40300,IVV
IVV,2000-06-28,145.9219,146.9063,145.3125,145.3125,51000,IVV
IVV,2000-06-29,144.1563,145.25,143.5625,144.6406,47600,IVV
IVV,2000-06-30,145.4844,145.4844,143.9844,143.9844,16000,IVV
IVV,2000-07-03,147.1406,147.1406,145.4688,145.5,7000,IVV
IVV,2000-07-04,147.1406,147.1406,145.4688,145.5,0,IVV
IVV,2000-07-05,145.0938,146.3594,144.75,146.2656,27100,IVV
IVV,2000-07-06,145.8125,146.125,144.2188,144.875,40000,IVV
IVV,2000-07-07,147.9688,148.5,146.375,146.375,62600,IVV
IVV,2000-07-10,147.7188,148.6563,147.6563,147.6563,73500,IVV
IVV,2000-07-11,148.2813,148.8281,147.25,147.25,39700,IVV
IVV,2000-07-12,149.0938,149.9375,148.875,149.25,2642000,IVV
IVV,2000-07-13,149.5938,150.2813,149.1406,149.7188,970600,IVV
IVV,2000-07-14,150.9844,151.125,150.25,150.25,156600,IVV
IVV,2000-07-17,150.8906,151.875,150.5938,150.5938,427800,IVV
IVV,2000-07-18,149.8125,150.5,149.375,150.4688,762800,IVV
IVV,2000-07-19,148.4063,150.5,148.4063,150.4688,119000,IVV
