Symbol,Date,Close,High,Low,Open,Volume,Name
JPM,1998-05-29,45.313,45.855,45.25,45.75,3043500,JPM
JPM,1998-06-01,44.688,45.417,44.479,44.73,4259100,JPM
JPM,1998-06-02,45.646,45.813,45.042,45.38,4966800,JPM
JPM,1998-06-03,45.209,45.667,45.209,45.667,2846400,JPM
JPM,1998-06-04,45.833,45.833,44.542,45.23,3780600,JPM
JPM,1998-06-05,46.75,46.792,45.459,45.75,4904400,JPM
JPM,1998-06-08,47.771,48.25,46.438,46.77,6431700,JPM
JPM,1998-06-09,47.188,47.729,47.0,47.5,3669600,JPM
JPM,1998-06-10,47.333,48.042,46.833,47.07,5072700,JPM
JPM,1998-06-11,46.688,47.667,46.667,47.36,5758200,JPM
JPM,1998-06-12,46.292,46.833,45.479,46.71,5007900,JPM
JPM,1998-06-15,45.459,46.417,44.709,44.73,4272450,JPM
JPM,1998-06-16,45.167,45.75,44.5,45.48,4976850,JPM
JPM,1998-06-17,46.417,47.333,45.042,45.06,5015250,JPM
JPM,1998-06-18,46.292,46.625,45.917,46.44,2963850,JPM
JPM,1998-06-19,46.917,47.292,46.5,47.02,5336400,JPM
JPM,1998-06-22,46.209,46.917,45.917,46.19,3447900,JPM
JPM,1998-06-23,46.792,47.333,45.875,45.9,3244500,JPM
JPM,1998-06-24,48.75,49.125,46.625,46.98,4714350,JPM
JPM,1998-06-25,48.25,50.0,48.042,48.52,7767600,JPM
JPM,1998-06-26,48.833,48.917,47.5,48.4,3526950,JPM
JPM,1998-06-29,50.417,50.417,49.0,49.23,4407900,JPM
JPM,1998-06-30,50.333,51.0,49.75,50.23,4780500,JPM
JPM,1998-07-01,50.417,51.125,50.167,50.69,4994700,JPM
JPM,1998-07-02,50.292,50.5,50.042,50.36,3544800,JPM
JPM,1998-07-03,50.292,50.5,50.042,50.36,0,JPM
JPM,1998-07-06,51.333,51.375,50.75,50.86,6373950,JPM
JPM,1998-07-07,50.0,50.583,49.583,50.36,6861000,JPM
JPM,1998-07-08,49.083,50.5,49.083,50.11,7517100,JPM
JPM,1998-07-09,49.083,50.417,49.083,49.65,4625550,JPM
JPM,1998-07-10,49.667,49.667,49.083,49.19,3151500,JPM
JPM,1998-07-13,49.583,50.083,49.209,50.03,2900100,JPM
JPM,1998-07-14,50.333,50.625,49.792,49.86,4642650,JPM
JPM,1998-07-15,50.125,51.0,49.583,50.49,4216050,JPM
JPM,1998-07-16,50.0,50.0,49.375,49.86,3378600,JPM
JPM,1998-07-17,49.959,50.25,49.833,49.94,3141450,JPM
JPM,1998-07-20,50.0,50.833,49.583,50.03,3585900,JPM
JPM,1998-07-21,47.667,50.625,47.583,50.32,4608300,JPM
JPM,1998-07-22,48.625,49.083,47.833,48.36,5004300,JPM
JPM,1998-07-23,48.75,49.667,48.667,48.69,5294250,JPM
JPM,1998-07-24,49.083,49.5,48.042,48.94,6094350,JPM
JPM,1998-07-27,49.167,49.833,48.042,48.11,4491900,JPM
JPM,1998-07-28,48.917,49.583,48.459,49.19,5570250,JPM
JPM,1998-07-29,48.375,49.5,48.292,48.98,3484050,JPM
JPM,1998-07-30,49.75,50.0,48.75,48.94,3697500,JPM
JPM,1998-07-31,50.417,51.709,50.0,50.03,7758450,JPM
JPM,1998-08-03,49.875,50.709,49.792,50.45,4420800,JPM
JPM,1998-08-04,46.417,50.459,46.417,50.19,6974550,JPM
JPM,1998-08-05,47.583,47.875,45.792,47.32,5957550,JPM
JPM,1998-08-06,47.667,47.709,46.459,47.36,5556900,JPM
JPM,1998-08-07,46.125,48.25,46.0,47.73,5194200,JPM
JPM,1998-08-10,45.667,46.209,45.167,46.02,3980100,JPM
JPM,1998-08-11,43.833,44.709,42.417,44.69,7264950,JPM
JPM,1998-08-12,44.125,44.917,43.333,44.65,5290950,JPM
JPM,1998-08-13,42.75,44.375,42.667,43.94,5388300,JPM
JPM,1998-08-14,42.917,43.917,42.459,43.52,4210650,JPM
JPM,1998-08-17,44.333,44.542,42.417,42.73,3960450,JPM
JPM,1998-08-18,46.125,46.375,44.375,44.44,5225550,JPM
JPM,1998-08-19,45.25,46.917,45.209,46.9,5025000,JPM
JPM,1998-08-20,43.583,45.083,43.417,45.02,4448100,JPM
JPM,1998-08-21,42.459,42.583,40.042,42.35,11849850,JPM
JPM,1998-08-24,42.709,43.5,42.167,42.85,4651650,JPM
JPM,1998-08-25,42.75,44.083,42.25,43.65,4913400,JPM
JPM,1998-08-26,42.833,43.583,41.667,42.02,4763700,JPM
JPM,1998-08-27,38.75,41.0,38.667,40.39,13659450,JPM
JPM,1998-08-28,37.667,40.25,36.792,39.77,11808450,JPM
JPM,1998-08-31,35.0,39.0,34.833,37.85,11796600,JPM
JPM,1998-09-01,36.583,37.083,33.333,35.35,11699850,JPM
JPM,1998-09-02,36.583,38.625,36.083,36.77,10603350,JPM
JPM,1998-09-03,32.833,35.375,32.667,34.02,12779700,JPM
JPM,1998-09-04,30.25,30.667,29.667,30.667,3871944,JPM
JPM,1998-09-07,30.25,30.667,29.667,30.667,0,JPM
JPM,1998-09-08,31.417,33.292,30.25,33.292,18159300,JPM
JPM,1998-09-09,29.75,30.959,29.042,30.959,12054450,JPM
JPM,1998-09-10,28.5,28.833,27.0,28.68,15442800,JPM
JPM,1998-09-11,30.667,31.0,26.709,27.27,15846300,JPM
JPM,1998-09-14,30.833,32.625,30.583,31.27,10117050,JPM
JPM,1998-09-15,32.75,32.792,29.75,29.77,13748550,JPM
JPM,1998-09-16,33.292,34.209,32.375,33.35,11266950,JPM
JPM,1998-09-17,31.917,32.333,30.833,30.85,9901800,JPM
JPM,1998-09-18,31.625,31.959,31.0,31.39,9158100,JPM
JPM,1998-09-21,31.209,31.333,29.333,30.35,7048200,JPM
JPM,1998-09-22,30.75,31.667,30.5,31.39,6589500,JPM
JPM,1998-09-23,33.417,33.5,31.0,31.02,9460500,JPM
JPM,1998-09-24,30.917,32.917,30.333,32.35,11739300,JPM
JPM,1998-09-25,30.333,30.959,29.042,29.68,15015450,JPM
JPM,1998-09-28,29.709,31.875,29.709,30.94,8926350,JPM
JPM,1998-09-29,30.0,31.167,28.667,30.64,19520700,JPM
JPM,1998-09-30,28.75,30.292,28.25,29.85,16407000,JPM
JPM,1998-10-01,27.151,29.167,27.0,28.35,11554650,JPM
