Symbol,Date,Close,High,Low,Open,Volume,Name
JWN,1998-05-29,18.016,18.407,17.907,17.91,1601600,JWN
JWN,1998-06-01,18.407,18.75,18.0,18.0,4043599,JWN
JWN,1998-06-02,18.344,18.657,18.157,18.47,2040400,JWN
JWN,1998-06-03,17.875,18.375,17.782,18.25,1558800,JWN
JWN,1998-06-04,18.235,18.313,17.563,17.91,2254000,JWN
JWN,1998-06-05,18.782,18.844,18.079,18.19,3643600,JWN
JWN,1998-06-08,19.032,19.469,18.704,18.75,3545200,JWN
JWN,1998-06-09,18.579,18.938,18.344,18.89,3677600,JWN
JWN,1998-06-10,18.11,19.219,18.094,18.59,4841600,JWN
JWN,1998-06-11,17.844,18.375,17.625,18.14,3085600,JWN
JWN,1998-06-12,17.782,18.125,17.125,17.88,4225600,JWN
JWN,1998-06-15,17.125,17.625,17.0,17.5,3218400,JWN
JWN,1998-06-16,17.375,17.657,16.907,17.31,3458400,JWN
JWN,1998-06-17,17.938,18.063,17.344,17.5,2100800,JWN
JWN,1998-06-18,17.766,18.282,17.75,17.97,1388400,JWN
JWN,1998-06-19,17.657,18.25,17.516,18.03,1997600,JWN
JWN,1998-06-22,17.844,18.0,17.594,17.72,1446000,JWN
JWN,1998-06-23,17.594,17.844,17.532,17.84,2640000,JWN
JWN,1998-06-24,18.11,18.125,17.532,17.532,4092800,JWN
JWN,1998-06-25,18.485,18.782,18.094,18.094,3025600,JWN
JWN,1998-06-26,18.688,18.844,18.438,18.44,2294400,JWN
JWN,1998-06-29,19.235,19.282,18.735,18.84,2405200,JWN
JWN,1998-06-30,19.313,19.5,19.188,19.44,4104800,JWN
JWN,1998-07-01,19.25,19.657,18.75,19.32,2279600,JWN
JWN,1998-07-02,19.125,19.5,19.0,19.44,781600,JWN
JWN,1998-07-03,19.125,19.5,19.0,19.44,0,JWN
JWN,1998-07-06,19.625,20.188,19.313,19.5,1807400,JWN
JWN,1998-07-07,19.469,20.188,19.438,19.88,974400,JWN
JWN,1998-07-08,19.625,19.875,19.063,19.82,1217400,JWN
JWN,1998-07-09,18.75,19.219,17.719,18.88,6278000,JWN
JWN,1998-07-10,18.063,18.938,17.438,18.938,2894000,JWN
JWN,1998-07-13,18.25,18.5,17.938,18.32,1242800,JWN
JWN,1998-07-14,18.438,18.719,18.219,18.32,1168400,JWN
JWN,1998-07-15,17.938,18.813,17.875,18.75,1198400,JWN
JWN,1998-07-16,18.75,18.938,17.688,18.0,1307800,JWN
JWN,1998-07-17,18.688,19.282,18.532,18.88,841800,JWN
JWN,1998-07-20,18.282,18.844,18.125,18.63,878400,JWN
JWN,1998-07-21,17.438,18.344,17.375,18.34,1513400,JWN
JWN,1998-07-22,17.438,18.063,17.375,17.5,1659600,JWN
JWN,1998-07-23,15.907,17.469,15.75,17.469,3366800,JWN
JWN,1998-07-24,15.625,16.532,15.438,16.07,3325600,JWN
JWN,1998-07-27,16.282,16.5,15.407,15.56,4521400,JWN
JWN,1998-07-28,16.188,17.063,15.875,16.47,3498000,JWN
JWN,1998-07-29,15.438,16.5,15.063,16.5,2108600,JWN
JWN,1998-07-30,15.907,16.188,15.625,15.69,3299800,JWN
JWN,1998-07-31,15.61,16.125,15.438,15.94,2141800,JWN
JWN,1998-08-03,15.625,15.875,15.188,15.63,1449200,JWN
JWN,1998-08-04,14.407,15.938,14.063,15.88,2037599,JWN
JWN,1998-08-05,15.188,15.313,14.157,14.63,2757600,JWN
JWN,1998-08-06,15.25,16.344,15.0,15.13,3860400,JWN
JWN,1998-08-07,15.438,16.188,15.188,15.25,2956200,JWN
JWN,1998-08-10,16.032,16.5,15.438,15.63,3872600,JWN
JWN,1998-08-11,15.375,16.0,15.032,15.63,2552000,JWN
JWN,1998-08-12,16.094,17.0,15.625,15.75,2427400,JWN
JWN,1998-08-13,17.547,18.25,17.313,17.59,7354000,JWN
JWN,1998-08-14,17.75,17.938,17.688,17.82,6945000,JWN
JWN,1998-08-17,18.313,18.563,17.625,17.82,5508600,JWN
JWN,1998-08-18,19.5,19.75,18.313,18.44,6341000,JWN
JWN,1998-08-19,19.063,19.5,18.75,19.44,2642800,JWN
JWN,1998-08-20,19.219,19.563,18.875,19.0,3047000,JWN
JWN,1998-08-21,18.969,19.188,18.375,19.188,3139200,JWN
JWN,1998-08-24,18.75,19.375,17.969,19.19,6678400,JWN
JWN,1998-08-25,18.813,19.188,18.5,18.88,2188800,JWN
JWN,1998-08-26,17.532,18.625,17.125,18.57,3973400,JWN
JWN,1998-08-27,16.75,17.438,16.0,17.32,3623600,JWN
JWN,1998-08-28,16.219,17.5,16.125,16.75,1971800,JWN
JWN,1998-08-31,14.969,16.719,14.875,16.38,2379400,JWN
JWN,1998-09-01,13.532,15.188,12.438,15.188,21283800,JWN
JWN,1998-09-02,13.938,14.344,13.688,13.81,7541600,JWN
JWN,1998-09-03,13.625,14.407,13.438,13.94,3927200,JWN
JWN,1998-09-04,13.125,14.0,12.75,13.88,2012200,JWN
JWN,1998-09-07,13.125,14.0,12.75,13.88,0,JWN
JWN,1998-09-08,14.219,14.563,14.0,14.19,2924600,JWN
JWN,1998-09-09,13.563,14.438,13.438,14.38,4306600,JWN
JWN,1998-09-10,12.969,13.313,12.688,13.31,3089200,JWN
JWN,1998-09-11,13.438,13.563,12.875,13.19,2702800,JWN
JWN,1998-09-14,14.469,14.813,13.688,13.81,2782600,JWN
JWN,1998-09-15,15.344,15.688,14.813,15.0,3495000,JWN
JWN,1998-09-16,15.5,15.75,15.344,15.72,2523800,JWN
JWN,1998-09-17,14.813,15.219,14.563,15.219,1462200,JWN
JWN,1998-09-18,15.0,15.375,14.625,14.85,2065999,JWN
JWN,1998-09-21,14.563,14.875,14.188,14.81,1577600,JWN
JWN,1998-09-22,13.813,14.813,13.782,14.69,2029599,JWN
JWN,1998-09-23,13.313,14.0,13.157,14.0,3813400,JWN
JWN,1998-09-24,12.688,13.375,12.688,13.35,2593600,JWN
JWN,1998-09-25,12.844,13.188,12.688,12.75,3578400,JWN
JWN,1998-09-28,12.5,13.157,12.438,13.06,3248200,JWN
JWN,1998-09-29,11.032,12.563,11.0,12.56,6628400,JWN
JWN,1998-09-30,12.375,12.407,11.063,11.22,6096800,JWN
JWN,1998-10-01,11.969,12.688,11.563,12.0,5099600,JWN
JWN,1998-10-02,12.875,13.094,12.0,12.13,3687000,JWN
JWN,1998-10-05,12.813,13.063,12.438,12.56,2678800,JWN
JWN,1998-10-06,13.125,13.625,13.0,13.06,2284200,JWN
JWN,1998-10-07,12.75,13.625,12.313,13.13,1662400,JWN
JWN,1998-10-08,12.032,12.344,11.688,12.25,2001000,JWN
JWN,1998-10-09,12.032,12.688,11.875,12.38,2118600,JWN
JWN,1998-10-12,12.688,13.125,12.25,12.5,1736400,JWN
JWN,1998-10-13,12.563,13.438,12.5,12.63,1827800,JWN
JWN,1998-10-14,12.75,12.969,12.594,12.69,1485800,JWN
JWN,1998-10-15,13.875,14.188,12.719,12.88,3290400,JWN
JWN,1998-10-16,14.5,14.813,13.938,14.38,1911400,JWN
JWN,1998-10-19,14.469,14.813,14.0,14.35,1076000,JWN
JWN,1998-10-20,13.313,14.563,13.313,14.5,2302000,JWN
JWN,1998-10-21,13.625,13.657,12.813,13.38,2059600,JWN
JWN,1998-10-22,13.407,13.75,13.063,13.75,2257200,JWN
JWN,1998-10-23,13.063,13.563,12.813,13.44,2744200,JWN
JWN,1998-10-26,13.313,13.563,13.0,13.06,1267800,JWN
JWN,1998-10-27,12.563,14.0,12.563,13.56,1988800,JWN
JWN,1998-10-28,12.594,13.25,12.5,12.63,1598000,JWN
JWN,1998-10-29,13.563,13.735,12.594,12.75,1770000,JWN
JWN,1998-10-30,13.657,14.157,13.5,13.63,1387200,JWN
JWN,1998-11-02,14.125,14.25,13.532,13.88,903600,JWN
JWN,1998-11-03,13.75,14.563,13.688,14.13,1415800,JWN
JWN,1998-11-04,15.219,15.219,14.094,14.15,3751600,JWN
JWN,1998-11-05,14.938,15.125,14.375,14.88,2110600,JWN
JWN,1998-11-06,15.313,15.813,14.719,14.94,1902400,JWN
JWN,1998-11-09,15.75,16.282,14.75,15.15,3334200,JWN
JWN,1998-11-10,15.0,16.313,14.938,15.44,3228400,JWN
JWN,1998-11-11,15.375,15.938,15.063,15.22,3037000,JWN
JWN,1998-11-12,15.0,16.313,14.938,16.0,3228400,JWN
JWN,1998-11-13,17.313,17.5,16.75,16.88,3323400,JWN
JWN,1998-11-16,17.063,17.625,16.563,17.32,1287800,JWN
JWN,1998-11-17,17.125,17.563,16.5,17.07,2478000,JWN
JWN,1998-11-18,17.25,17.375,16.688,17.25,770200,JWN
JWN,1998-11-19,16.875,17.25,16.594,17.16,1266200,JWN
JWN,1998-11-20,17.907,18.0,16.875,17.38,2601200,JWN
JWN,1998-11-23,19.469,19.563,17.875,18.03,3344600,JWN
JWN,1998-11-24,18.407,19.438,18.188,19.32,3461400,JWN
JWN,1998-11-25,18.407,19.438,18.188,19.32,0,JWN
JWN,1998-11-26,18.407,19.438,18.188,19.32,0,JWN
JWN,1998-11-27,18.75,19.188,18.563,19.188,512399,JWN
JWN,1998-11-30,18.625,19.344,18.625,19.0,1999000,JWN
JWN,1998-12-01,18.5,18.875,17.938,18.57,2176800,JWN
JWN,1998-12-02,18.0,18.563,17.25,18.563,2124400,JWN
JWN,1998-12-03,16.625,18.344,16.563,17.94,1458000,JWN
JWN,1998-12-04,17.438,17.938,16.844,16.844,2131800,JWN
JWN,1998-12-07,17.438,17.594,17.0,17.25,1185200,JWN
JWN,1998-12-08,16.282,17.5,15.782,17.38,2957000,JWN
