Symbol,Date,Close,High,Low,Open,Volume,Name
KEY,1998-05-29,38.014,38.452,37.951,38.19,497605,KEY
KEY,1998-06-01,37.951,38.264,37.387,37.88,520059,KEY
KEY,1998-06-02,37.951,38.64,37.889,38.5,564272,KEY
KEY,1998-06-03,36.823,37.889,36.698,37.75,351996,KEY
KEY,1998-06-04,37.513,37.825,35.759,36.56,1227246,KEY
KEY,1998-06-05,37.763,37.825,37.074,37.69,820459,KEY
KEY,1998-06-08,38.201,39.078,37.576,37.94,1049202,KEY
KEY,1998-06-09,37.45,39.078,37.074,37.88,941418,KEY
KEY,1998-06-10,36.698,37.45,36.636,37.31,1514072,KEY
KEY,1998-06-11,36.385,37.012,36.072,36.81,1134930,KEY
KEY,1998-06-12,36.949,37.199,36.323,36.5,752096,KEY
KEY,1998-06-15,35.821,36.636,35.696,36.0,1228343,KEY
KEY,1998-06-16,35.446,36.01,34.507,35.75,1728543,KEY
KEY,1998-06-17,36.197,36.385,35.696,36.385,1451597,KEY
KEY,1998-06-18,35.696,36.511,35.696,36.19,560379,KEY
KEY,1998-06-19,35.134,35.383,34.883,35.06,1229741,KEY
KEY,1998-06-22,35.134,35.759,34.883,35.13,948403,KEY
KEY,1998-06-23,35.321,36.072,35.07,35.38,982834,KEY
KEY,1998-06-24,36.511,36.511,35.446,35.5,891817,KEY
KEY,1998-06-25,36.26,36.949,36.197,36.88,597405,KEY
KEY,1998-06-26,35.696,36.072,35.509,35.509,617864,KEY
KEY,1998-06-29,36.448,36.448,35.821,36.448,665569,KEY
KEY,1998-06-30,35.696,36.698,35.446,36.56,736627,KEY
KEY,1998-07-01,36.197,36.197,35.446,36.197,1226248,KEY
KEY,1998-07-02,36.574,36.636,35.572,36.636,1014470,KEY
KEY,1998-07-03,36.574,36.636,35.572,36.636,0,KEY
KEY,1998-07-06,36.636,36.761,36.072,36.56,1217764,KEY
KEY,1998-07-07,36.574,36.823,36.448,36.448,807485,KEY
KEY,1998-07-08,36.887,36.949,36.26,36.5,1420958,KEY
KEY,1998-07-09,36.6875,37.0,36.5,36.875,638000,KEY
KEY,1998-07-10,36.574,36.761,36.072,36.31,609282,KEY
KEY,1998-07-13,36.197,36.574,35.947,36.31,586228,KEY
KEY,1998-07-14,36.636,36.698,36.072,36.698,1065569,KEY
KEY,1998-07-15,36.385,36.636,35.947,36.5,976448,KEY
KEY,1998-07-16,38.076,38.14,36.26,36.44,1615369,KEY
KEY,1998-07-17,38.702,39.58,37.638,38.06,2868563,KEY
KEY,1998-07-20,37.7,38.64,37.262,38.5,1081038,KEY
KEY,1998-07-21,36.887,37.825,36.574,37.25,1233034,KEY
KEY,1998-07-22,36.698,37.387,36.511,36.94,1056487,KEY
KEY,1998-07-23,35.885,36.949,35.885,36.63,678643,KEY
KEY,1998-07-24,35.885,36.323,35.07,36.06,828543,KEY
KEY,1998-07-27,35.008,35.509,34.319,35.0,1234032,KEY
KEY,1998-07-28,34.444,34.632,33.379,34.25,1328343,KEY
KEY,1998-07-29,34.883,35.258,34.193,35.258,1167465,KEY
KEY,1998-07-30,34.57,35.509,34.319,35.0,1083633,KEY
KEY,1998-07-31,34.068,35.008,33.442,34.5,1114272,KEY
KEY,1998-08-03,34.132,34.444,33.63,33.94,1147605,KEY
KEY,1998-08-04,32.0,34.3125,31.8125,34.3125,1174600,KEY
KEY,1998-08-05,33.066,33.505,31.751,32.25,1381038,KEY
KEY,1998-08-06,33.379,33.692,32.69,32.75,926248,KEY
KEY,1998-08-07,33.066,33.63,32.69,33.38,781038,KEY
KEY,1998-08-10,32.189,32.815,31.751,32.75,750200,KEY
KEY,1998-08-11,31.501,31.813,29.873,30.88,1336128,KEY
KEY,1998-08-12,32.315,32.941,31.564,32.941,1041817,KEY
KEY,1998-08-13,31.939,32.69,31.751,32.25,638823,KEY
KEY,1998-08-14,30.875,32.503,30.436,32.13,884431,KEY
KEY,1998-08-17,31.375,31.375,30.06,30.5,727844,KEY
KEY,1998-08-18,32.128,32.252,31.375,32.252,721956,KEY
KEY,1998-08-19,31.564,32.628,31.25,32.38,905688,KEY
KEY,1998-08-20,30.937,31.126,30.749,31.0,704192,KEY
KEY,1998-08-21,29.747,30.373,28.996,30.25,1365070,KEY
KEY,1998-08-24,30.185,30.686,29.873,30.25,797804,KEY
KEY,1998-08-25,30.248,31.062,30.124,30.63,1090020,KEY
KEY,1998-08-26,30.06,30.373,29.434,29.69,1016467,KEY
KEY,1998-08-27,28.558,29.747,28.307,29.5,1430339,KEY
KEY,1998-08-28,27.931,29.684,27.931,28.5,1434830,KEY
KEY,1998-08-31,25.552,28.495,25.552,28.13,1183433,KEY
KEY,1998-09-01,28.495,28.807,24.799,25.63,1820259,KEY
KEY,1998-09-02,28.495,29.747,28.12,28.44,1586727,KEY
KEY,1998-09-03,27.367,28.181,27.179,27.75,885628,KEY
KEY,1998-09-04,27.242,28.244,26.303,27.69,870160,KEY
KEY,1998-09-07,27.242,28.244,26.303,27.69,0,KEY
KEY,1998-09-08,29.56,29.684,28.181,28.75,911178,KEY
KEY,1998-09-09,29.122,29.809,29.058,29.56,1448303,KEY
KEY,1998-09-10,28.056,28.244,27.054,27.5,1482136,KEY
KEY,1998-09-11,29.873,29.873,26.992,27.0,1456088,KEY
KEY,1998-09-14,30.436,30.937,30.185,30.38,1344112,KEY
KEY,1998-09-15,31.688,31.751,30.185,30.25,1535229,KEY
KEY,1998-09-16,32.064,32.628,31.626,32.25,2273753,KEY
KEY,1998-09-17,31.187,31.626,30.686,30.75,683333,KEY
KEY,1998-09-18,31.313,31.564,31.187,31.564,1217066,KEY
KEY,1998-09-21,31.062,31.25,30.311,30.5,536428,KEY
KEY,1998-09-22,31.375,31.877,31.187,31.25,674052,KEY
KEY,1998-09-23,32.628,32.628,31.375,31.44,908483,KEY
KEY,1998-09-24,32.628,33.004,31.564,32.5,1206088,KEY
KEY,1998-09-25,32.002,32.503,31.564,32.503,1300100,KEY
KEY,1998-09-28,30.624,32.941,30.185,31.88,1396607,KEY
KEY,1998-09-29,30.686,31.062,29.935,30.81,1043412,KEY
KEY,1998-09-30,28.933,30.562,28.682,30.25,858183,KEY
KEY,1998-10-01,27.618,28.871,27.618,28.63,1256188,KEY
KEY,1998-10-02,29.497,29.56,27.242,28.5,947006,KEY
KEY,1998-10-05,28.558,28.871,26.741,28.75,1302894,KEY
KEY,1998-10-06,27.118,29.309,26.929,29.0,981936,KEY
KEY,1998-10-07,26.116,27.305,24.612,27.0,1283433,KEY
KEY,1998-10-08,24.988,25.552,23.422,25.5,1633833,KEY
KEY,1998-10-09,26.491,26.616,25.114,25.25,1198403,KEY
KEY,1998-10-12,26.616,27.68,26.616,27.13,904591,KEY
KEY,1998-10-13,26.365,26.929,26.052,26.56,1206288,KEY
KEY,1998-10-14,26.616,27.367,26.052,26.56,857984,KEY
KEY,1998-10-15,28.244,28.933,26.24,26.56,1723553,KEY
KEY,1998-10-16,31.187,31.813,28.745,29.38,3219761,KEY
KEY,1998-10-19,30.562,31.501,30.124,31.13,947206,KEY
KEY,1998-10-20,31.877,32.064,30.749,32.064,1692016,KEY
KEY,1998-10-21,31.375,31.939,31.313,31.81,1265968,KEY
KEY,1998-10-22,31.062,31.313,29.935,31.25,913074,KEY
KEY,1998-10-23,29.622,31.187,29.622,31.13,539022,KEY
KEY,1998-10-26,29.56,30.311,29.058,29.88,556886,KEY
KEY,1998-10-27,28.244,29.998,27.869,29.81,1320160,KEY
KEY,1998-10-28,28.682,28.871,27.556,28.19,952695,KEY
KEY,1998-10-29,29.246,29.497,28.495,28.81,567665,KEY
KEY,1998-10-30,30.373,30.373,29.56,29.56,931138,KEY
KEY,1998-11-02,31.0,31.813,30.811,31.5,1141118,KEY
KEY,1998-11-03,31.564,31.751,30.937,31.38,934531,KEY
KEY,1998-11-04,31.813,32.315,31.501,32.0,978243,KEY
KEY,1998-11-05,32.377,32.377,31.25,31.5,635828,KEY
