Symbol,Date,Close,High,Low,Open,Volume,Name
KIM,1998-05-29,12.98,12.98,12.813,12.88,421500,KIM
KIM,1998-06-01,13.0,13.021,12.917,12.94,453000,KIM
KIM,1998-06-02,12.917,13.042,12.896,13.0,327600,KIM
KIM,1998-06-03,12.813,12.917,12.813,12.917,217500,KIM
KIM,1998-06-04,12.917,12.938,12.792,12.81,302400,KIM
KIM,1998-06-05,12.917,12.98,12.896,12.92,139500,KIM
KIM,1998-06-08,12.834,12.917,12.834,12.9,266400,KIM
KIM,1998-06-09,12.917,12.917,12.813,12.85,251100,KIM
KIM,1998-06-10,12.959,13.0,12.834,12.88,250199,KIM
KIM,1998-06-11,12.855,12.938,12.75,12.938,205500,KIM
KIM,1998-06-12,12.688,12.855,12.667,12.85,315300,KIM
KIM,1998-06-15,12.646,12.667,12.459,12.63,173100,KIM
KIM,1998-06-16,12.563,12.625,12.5,12.5,264600,KIM
KIM,1998-06-17,12.605,12.646,12.563,12.646,211800,KIM
KIM,1998-06-18,12.563,12.625,12.563,12.625,218400,KIM
KIM,1998-06-19,12.48,12.667,12.438,12.65,864000,KIM
KIM,1998-06-22,12.438,12.542,12.375,12.38,493800,KIM
KIM,1998-06-23,12.48,12.5,12.438,12.46,291900,KIM
KIM,1998-06-24,12.605,12.646,12.48,12.48,372000,KIM
KIM,1998-06-25,12.792,12.813,12.584,12.584,605400,KIM
KIM,1998-06-26,13.084,13.084,12.792,12.792,463200,KIM
KIM,1998-06-29,13.313,13.334,13.063,13.08,463500,KIM
KIM,1998-06-30,13.667,13.667,13.209,13.29,640500,KIM
KIM,1998-07-01,13.375,13.605,13.23,13.6,388500,KIM
KIM,1998-07-02,13.584,13.667,13.355,13.42,508499,KIM
KIM,1998-07-03,13.584,13.667,13.355,13.42,0,KIM
KIM,1998-07-06,13.688,13.875,13.667,13.71,696000,KIM
KIM,1998-07-07,13.521,13.834,13.521,13.77,680100,KIM
KIM,1998-07-08,13.23,13.584,13.23,13.46,427800,KIM
KIM,1998-07-09,13.146,13.292,13.146,13.27,193200,KIM
KIM,1998-07-10,13.146,13.188,13.084,13.1,165600,KIM
KIM,1998-07-13,13.355,13.396,13.042,13.08,257699,KIM
KIM,1998-07-14,13.48,13.5,13.25,13.33,443400,KIM
KIM,1998-07-15,13.396,13.5,13.25,13.44,170100,KIM
KIM,1998-07-16,13.375,13.459,13.25,13.31,215100,KIM
KIM,1998-07-17,13.313,13.375,13.209,13.375,217200,KIM
KIM,1998-07-20,13.25,13.355,13.167,13.33,162300,KIM
KIM,1998-07-21,13.042,13.355,13.042,13.33,159000,KIM
KIM,1998-07-22,12.853,13.125,12.834,13.06,1400100,KIM
KIM,1998-07-23,12.792,12.855,12.771,12.83,102000,KIM
KIM,1998-07-24,12.646,12.813,12.625,12.81,846900,KIM
KIM,1998-07-27,12.5,12.625,12.48,12.625,216600,KIM
KIM,1998-07-28,12.375,12.542,12.375,12.54,386400,KIM
KIM,1998-07-29,12.292,12.417,12.25,12.33,548700,KIM
KIM,1998-07-30,12.334,12.417,12.292,12.292,171600,KIM
KIM,1998-07-31,12.334,12.584,12.063,12.25,617100,KIM
KIM,1998-08-03,12.25,12.334,12.25,12.31,264000,KIM
KIM,1998-08-04,11.834,12.292,11.834,12.27,456900,KIM
KIM,1998-08-05,11.667,12.063,11.584,11.75,264300,KIM
KIM,1998-08-06,11.813,12.084,11.625,11.63,364500,KIM
KIM,1998-08-07,12.355,12.5,11.834,11.88,1155000,KIM
KIM,1998-08-10,12.375,12.48,12.355,12.355,210000,KIM
KIM,1998-08-11,12.292,12.375,12.105,12.23,247200,KIM
KIM,1998-08-12,12.459,12.5,12.313,12.313,190200,KIM
KIM,1998-08-13,12.459,12.459,12.292,12.38,600900,KIM
KIM,1998-08-14,12.667,12.75,12.5,12.5,786000,KIM
KIM,1998-08-17,12.646,12.709,12.542,12.709,435300,KIM
KIM,1998-08-18,12.646,12.667,12.5,12.56,440700,KIM
KIM,1998-08-19,12.542,12.667,12.521,12.56,313200,KIM
KIM,1998-08-20,12.542,12.625,12.521,12.625,81300,KIM
KIM,1998-08-21,12.521,12.521,12.355,12.42,607200,KIM
KIM,1998-08-24,12.355,12.646,12.292,12.5,433500,KIM
KIM,1998-08-25,12.813,13.084,12.334,12.334,271800,KIM
KIM,1998-08-26,12.667,12.792,12.584,12.73,178200,KIM
KIM,1998-08-27,12.625,12.73,12.584,12.63,538800,KIM
KIM,1998-08-28,12.48,12.667,12.375,12.65,354600,KIM
KIM,1998-08-31,11.834,12.521,11.834,12.48,939000,KIM
KIM,1998-09-01,12.0,12.188,11.834,11.88,668100,KIM
KIM,1998-09-02,11.98,12.021,11.917,11.98,468900,KIM
KIM,1998-09-03,11.813,11.98,11.75,11.94,673200,KIM
KIM,1998-09-04,11.917,11.917,11.709,11.81,417900,KIM
KIM,1998-09-07,11.917,11.917,11.709,11.81,0,KIM
KIM,1998-09-08,11.834,12.105,11.792,12.0,87600,KIM
KIM,1998-09-09,12.063,12.063,11.792,11.792,103800,KIM
KIM,1998-09-10,11.896,12.105,11.792,12.0,322800,KIM
KIM,1998-09-11,11.855,12.0,11.709,11.96,278100,KIM
KIM,1998-09-14,11.771,11.917,11.709,11.9,186000,KIM
KIM,1998-09-15,11.896,11.896,11.709,11.79,188100,KIM
KIM,1998-09-16,12.167,12.209,11.938,11.96,425400,KIM
KIM,1998-09-17,12.209,12.209,11.938,12.04,182100,KIM
KIM,1998-09-18,12.73,12.73,12.146,12.46,315600,KIM
KIM,1998-09-21,12.792,12.959,12.625,12.67,203700,KIM
