Symbol,Date,Close,High,Low,Open,Volume,Name
KO,1998-05-29,39.1875,39.844,39.1875,39.625,5249000,KO
KO,1998-06-01,39.75,39.875,39.219,39.315,4791800,KO
KO,1998-06-02,39.8125,40.094,39.594,39.815,6249600,KO
KO,1998-06-03,39.719,39.969,39.3125,39.845,4311200,KO
KO,1998-06-04,40.094,40.1875,39.3125,39.72,5252800,KO
KO,1998-06-05,41.0315,41.0315,40.0625,40.19,6373400,KO
KO,1998-06-08,40.5315,41.375,40.4065,41.0,5750800,KO
KO,1998-06-09,40.8125,41.219,40.375,40.565,4434600,KO
KO,1998-06-10,40.625,41.125,40.4065,40.5,4824600,KO
KO,1998-06-11,39.8125,40.6565,39.7815,40.5,4921800,KO
KO,1998-06-12,40.344,40.5,39.625,39.815,6615600,KO
KO,1998-06-15,39.6565,40.594,39.6565,40.22,7135400,KO
KO,1998-06-16,39.5,39.5625,38.875,39.405,8235400,KO
KO,1998-06-17,40.1565,40.844,39.4375,39.655,9051800,KO
KO,1998-06-18,40.6875,40.8125,40.0625,40.065,5445600,KO
KO,1998-06-19,40.1875,40.844,39.969,40.655,9234000,KO
KO,1998-06-22,40.5625,40.9375,40.094,40.095,4806400,KO
KO,1998-06-23,41.2815,41.375,40.4065,40.625,6769000,KO
KO,1998-06-24,42.0625,42.1875,41.0,41.19,6937600,KO
KO,1998-06-25,42.4375,43.25,41.9065,42.125,9885000,KO
KO,1998-06-26,42.9065,43.094,42.375,42.44,8196000,KO
KO,1998-06-29,43.0,43.4065,42.969,43.22,5123800,KO
KO,1998-06-30,42.75,43.094,42.5315,42.78,5523000,KO
KO,1998-07-01,42.875,42.9065,42.375,42.845,4725000,KO
KO,1998-07-02,42.6875,42.7815,42.125,42.75,3124400,KO
KO,1998-07-03,42.6875,42.7815,42.125,42.75,0,KO
KO,1998-07-06,43.375,43.5625,42.5,42.69,4839200,KO
KO,1998-07-07,42.969,43.8125,42.875,43.375,5350400,KO
KO,1998-07-08,43.594,43.6875,42.844,42.905,3905800,KO
KO,1998-07-09,43.344,43.6875,42.75,43.315,5358600,KO
