Symbol,Date,Close,High,Low,Open,Volume,Name
L,1998-05-29,15.125,15.1667,15.0627,15.0733,931200,L
L,1998-06-01,15.0833,15.146,15.021,15.0833,1105200,L
L,1998-06-02,14.9167,15.0833,14.9063,15.0833,1347600,L
L,1998-06-03,14.8543,15.0523,14.7813,14.96,823200,L
L,1998-06-04,14.948,15.073,14.7813,14.8133,684600,L
L,1998-06-05,15.094,15.1357,14.9273,14.99,783600,L
L,1998-06-08,15.25,15.4063,15.1563,15.1567,1956600,L
L,1998-06-09,15.1667,15.4377,15.1667,15.25,1248000,L
L,1998-06-10,14.844,15.3543,14.75,15.1267,1062600,L
L,1998-06-11,14.7083,14.875,14.5833,14.6767,1143600,L
L,1998-06-12,14.7813,14.8333,14.5,14.71,804600,L
L,1998-06-15,14.6043,14.75,14.5107,14.74,1431000,L
L,1998-06-16,14.5833,14.698,14.4897,14.5633,1089000,L
L,1998-06-17,15.0107,15.1147,14.6043,14.6067,1025400,L
L,1998-06-18,14.9377,15.25,14.8647,15.1267,1768800,L
L,1998-06-19,14.719,14.9273,14.594,14.8967,1548600,L
L,1998-06-22,14.6667,14.9167,14.6357,14.75,1089000,L
L,1998-06-23,14.5,14.8543,14.4793,14.76,922200,L
L,1998-06-24,14.6667,14.6773,14.219,14.46,1410000,L
L,1998-06-25,14.6043,14.7293,14.5833,14.6467,984600,L
L,1998-06-26,14.5,14.8647,14.4167,14.6267,876000,L
L,1998-06-29,14.5,14.5417,14.3333,14.5,1351200,L
L,1998-06-30,14.521,14.5523,14.4377,14.5,1851000,L
L,1998-07-01,14.7397,14.7397,14.396,14.5333,1253400,L
L,1998-07-02,14.8023,14.823,14.7083,14.73,652800,L
L,1998-07-03,14.8023,14.823,14.7083,14.73,0,L
L,1998-07-06,15.0,15.0313,14.698,14.76,910800,L
L,1998-07-07,14.9063,15.25,14.8543,14.98,1309800,L
L,1998-07-08,14.875,15.0,14.771,14.9167,1321800,L
L,1998-07-09,14.6773,14.875,14.6043,14.875,1138200,L
L,1998-07-10,14.521,14.771,14.521,14.71,682800,L
L,1998-07-13,14.3023,14.573,14.2607,14.5333,886800,L
L,1998-07-14,14.3023,14.4167,14.2607,14.2833,1511400,L
L,1998-07-15,14.25,14.3857,14.1043,14.26,1768800,L
L,1998-07-16,14.3127,14.344,14.1667,14.21,585600,L
L,1998-07-17,14.1877,14.3333,14.146,14.3333,888600,L
L,1998-07-20,14.198,14.396,14.0523,14.1667,751200,L
L,1998-07-21,14.0627,14.2083,14.0523,14.1767,1039199,L
L,1998-07-22,14.1147,14.219,14.0417,14.0733,2895000,L
L,1998-07-23,13.875,14.219,13.8333,14.21,2089799,L
L,1998-07-24,13.7293,13.9897,13.698,13.9167,1830600,L
L,1998-07-27,13.7813,13.8647,13.6667,13.73,1696800,L
L,1998-07-28,13.5833,13.7813,13.4583,13.74,1299000,L
L,1998-07-29,13.5417,13.6043,13.3543,13.6033,621000,L
L,1998-07-30,13.646,13.75,13.5,13.5,1792200,L
L,1998-07-31,13.4377,13.7083,13.3647,13.6567,678000,L
L,1998-08-03,13.3543,13.5417,13.2917,13.3967,658200,L
L,1998-08-04,13.271,13.521,13.0523,13.3667,1431600,L
L,1998-08-05,13.4377,13.5,13.0,13.25,2662800,L
L,1998-08-06,13.7397,13.8333,13.396,13.3967,1307400,L
L,1998-08-07,13.844,13.9167,13.75,13.8767,1717800,L
L,1998-08-10,13.75,13.9273,13.719,13.8433,862800,L
L,1998-08-11,13.8543,13.896,13.6667,13.73,1207200,L
L,1998-08-12,14.1357,14.1563,13.8543,13.8667,1371600,L
L,1998-08-13,14.4793,14.5107,14.125,14.1267,2449200,L
L,1998-08-14,14.5313,14.823,14.448,14.51,3629400,L
L,1998-08-17,14.5417,14.5833,14.4063,14.5,1196400,L
L,1998-08-18,14.698,14.7293,14.4377,14.5,1176000,L
L,1998-08-19,14.771,14.8333,14.7083,14.74,742800,L
L,1998-08-20,14.823,15.0833,14.6877,14.7733,1493400,L
L,1998-08-21,14.7083,14.7607,14.3333,14.76,1459200,L
L,1998-08-24,14.5107,14.896,14.344,14.73,804000,L
L,1998-08-25,14.4273,14.6563,14.271,14.5333,1260600,L
L,1998-08-26,14.3333,14.4377,14.125,14.2933,1045800,L
L,1998-08-27,14.2083,14.396,14.073,14.3333,2948400,L
L,1998-08-28,14.1773,14.3333,14.125,14.1667,1630200,L
L,1998-08-31,14.0627,14.25,13.9583,14.1767,2941200,L
L,1998-09-01,13.7397,14.0523,13.7293,13.98,2529000,L
L,1998-09-02,13.7083,13.9377,13.698,13.9167,1357800,L
L,1998-09-03,13.698,13.7813,13.4377,13.69,754800,L
L,1998-09-04,13.7083,13.9063,13.5833,13.7733,1477200,L
L,1998-09-07,13.7083,13.9063,13.5833,13.7733,0,L
L,1998-09-08,13.9167,13.9793,13.75,13.75,1455600,L
L,1998-09-09,14.0313,14.1147,13.7813,13.9167,1156800,L
L,1998-09-10,13.7917,14.0,13.625,13.99,1644600,L
L,1998-09-11,13.9897,14.073,13.6773,13.7,1604400,L
L,1998-09-14,13.9273,14.0833,13.9063,14.0233,1842000,L
L,1998-09-15,13.7083,13.896,13.5833,13.8333,1179600,L
L,1998-09-16,14.396,14.396,13.6877,13.71,2671800,L
L,1998-09-17,14.0833,14.5417,14.021,14.3967,757800,L
L,1998-09-18,14.3127,14.4583,14.1563,14.1667,3418800,L
L,1998-09-21,14.1563,14.2397,13.9167,14.21,3760800,L
L,1998-09-22,14.1667,14.4793,13.9583,14.1567,2646600,L
L,1998-09-23,14.4167,14.4167,14.25,14.25,1464600,L
L,1998-09-24,14.219,14.375,14.1877,14.3567,882600,L
L,1998-09-25,14.219,14.25,13.9897,14.22,816600,L
L,1998-09-28,14.344,14.5107,14.2397,14.24,1227600,L
L,1998-09-29,14.5,14.6043,14.3333,14.3867,616200,L
L,1998-09-30,14.3857,14.4583,14.0523,14.4583,696600,L
L,1998-10-01,13.7293,14.1877,13.6667,14.0233,940200,L
L,1998-10-02,13.9793,14.146,13.7293,13.7733,1068600,L
L,1998-10-05,14.5417,14.5417,14.073,14.25,2019000,L
L,1998-10-06,14.396,14.823,14.2917,14.51,1046400,L
L,1998-10-07,14.021,14.6563,13.8543,14.4067,884400,L
L,1998-10-08,14.0523,14.2083,13.771,13.7933,2215200,L
L,1998-10-09,14.3333,14.469,13.9583,14.1067,1494600,L
L,1998-10-12,14.344,14.4897,14.1667,14.4167,618600,L
L,1998-10-13,14.198,14.4063,14.125,14.3867,373200,L
L,1998-10-14,13.969,14.25,13.9377,14.21,1156800,L
L,1998-10-15,14.1667,14.3023,13.7917,13.9267,968400,L
L,1998-10-16,14.4167,14.4167,14.219,14.3333,1867200,L
L,1998-10-19,14.7397,14.875,14.3333,14.3333,1746600,L
L,1998-10-20,15.2917,15.2917,14.75,14.8333,1801200,L
L,1998-10-21,15.323,15.4377,15.271,15.2733,2386800,L
L,1998-10-22,15.3857,15.396,15.198,15.2933,539400,L
L,1998-10-23,15.3023,15.3857,15.1667,15.3857,756600,L
L,1998-10-26,15.2083,15.4793,15.1877,15.3433,933000,L
L,1998-10-27,15.25,15.4793,15.1043,15.3333,1141200,L
L,1998-10-28,15.2397,15.5417,15.219,15.2933,884400,L
L,1998-10-29,15.5833,15.6147,15.3023,15.3033,1821000,L
L,1998-10-30,15.6563,15.844,15.5523,15.5833,1594800,L
L,1998-11-02,15.625,15.771,15.4793,15.6167,1681800,L
L,1998-11-03,15.521,15.6877,15.4583,15.6667,733200,L
L,1998-11-04,15.6563,15.7917,15.469,15.5233,2365800,L
L,1998-11-05,15.698,15.8127,15.5313,15.6467,1761600,L
L,1998-11-06,15.823,15.896,15.6563,15.6567,1353600,L
L,1998-11-09,15.7917,15.9273,15.7607,15.8433,1278000,L
L,1998-11-10,16.4167,16.4167,15.9167,15.98,3330000,L
L,1998-11-11,16.4167,16.7813,16.2607,16.5,1562400,L
L,1998-11-12,16.4167,16.4167,15.9167,16.3767,3330000,L
L,1998-11-13,16.6773,16.7397,16.5107,16.6367,567600,L
L,1998-11-16,16.6043,17.073,16.5833,16.7733,1390800,L
L,1998-11-17,16.5833,16.771,16.5627,16.5633,1235400,L
L,1998-11-18,16.5417,16.6357,16.344,16.5833,1320000,L
L,1998-11-19,16.594,16.6563,16.5,16.5833,808200,L
L,1998-11-20,16.8857,16.896,16.573,16.69,1057800,L
L,1998-11-23,17.396,17.396,16.844,16.844,1338600,L
L,1998-11-24,17.3857,17.6773,17.3023,17.5633,1187400,L
L,1998-11-25,17.025,17.1083,16.8,17.0767,0,L
L,1998-11-26,17.025,17.1083,16.8,17.0767,0,L
L,1998-11-27,16.9793,17.2917,16.9063,17.2917,457800,L
L,1998-11-30,16.6667,17.396,16.6357,17.3133,1912800,L
L,1998-12-01,16.7293,16.875,16.5627,16.6267,1302600,L
L,1998-12-02,16.625,16.7397,16.5833,16.7397,1120800,L
L,1998-12-03,16.646,16.9583,16.5313,16.6467,1272600,L
L,1998-12-04,16.9793,17.0,16.646,16.69,1332600,L
L,1998-12-07,16.844,16.9377,16.8023,16.9377,1010999,L
L,1998-12-08,16.646,16.823,16.469,16.823,1328400,L
L,1998-12-09,16.5833,16.646,16.4273,16.6367,1108200,L
L,1998-12-10,16.0833,16.5833,16.0833,16.5833,1381200,L
L,1998-12-11,15.9793,15.9897,15.7607,15.8767,1504200,L
L,1998-12-14,15.8647,16.125,15.8647,16.0,982200,L
L,1998-12-15,16.1563,16.2397,15.8333,15.8767,1173000,L
L,1998-12-16,16.2397,16.2917,16.1147,16.1367,891600,L
L,1998-12-17,16.4897,16.4897,16.1773,16.25,789000,L
L,1998-12-18,16.323,16.5,16.25,16.5,7419000,L
L,1998-12-21,16.375,16.948,16.375,16.3767,1401600,L
L,1998-12-22,16.6043,16.6877,16.198,16.3567,999600,L
L,1998-12-23,16.323,16.6667,16.25,16.5833,1230000,L
L,1998-12-24,15.9793,16.219,15.7917,16.1667,1363800,L
L,1998-12-25,15.9793,16.219,15.7917,16.1667,0,L
L,1998-12-28,15.8647,16.0,15.625,16.0,2100000,L
L,1998-12-29,16.3647,16.5,15.3333,15.8333,1362600,L
L,1998-12-30,16.396,16.573,16.271,16.3333,867000,L
L,1998-12-31,16.375,16.573,16.271,16.3767,1709400,L
L,1999-01-01,16.375,16.573,16.271,16.3767,0,L
L,1999-01-04,16.3333,16.4377,16.271,16.4167,1740000,L
L,1999-01-05,16.6043,16.9583,16.2917,16.2933,1742400,L
L,1999-01-06,16.75,16.7813,16.5313,16.6067,2991000,L
L,1999-01-07,16.7397,16.844,16.625,16.6667,1320600,L
L,1999-01-08,17.2917,17.4167,16.75,16.8333,1664400,L
L,1999-01-11,17.0627,17.25,16.7397,17.24,1330800,L
L,1999-01-12,16.6357,17.0417,16.625,17.0233,1455000,L
L,1999-01-13,16.5523,16.75,16.4167,16.44,1390800,L
L,1999-01-14,16.1357,16.5417,16.1043,16.51,1639800,L
L,1999-01-15,15.8333,16.1357,15.7293,16.1357,1215000,L
L,1999-01-18,15.8333,16.1357,15.7293,16.1357,0,L
L,1999-01-19,15.6043,15.875,15.4273,15.8333,1245600,L
L,1999-01-20,15.073,15.6043,15.073,15.6043,1785000,L
L,1999-01-21,14.719,14.9793,14.7083,14.8333,6402000,L
L,1999-01-22,14.625,14.9793,14.6043,14.76,1885800,L
L,1999-01-25,14.6563,14.7293,14.573,14.6467,1460400,L
L,1999-01-26,14.4273,14.6667,14.2813,14.6567,1665000,L
L,1999-01-27,14.3647,14.6147,14.3543,14.46,640200,L
L,1999-01-28,14.1357,14.396,14.125,14.3567,1522200,L
L,1999-01-29,14.0313,14.1877,13.75,14.1667,2659200,L
L,1999-02-01,13.9273,14.198,13.9167,14.198,1904400,L
L,1999-02-02,13.8023,13.9167,13.625,13.8133,1409400,L
L,1999-02-03,14.2293,14.2607,13.7917,13.8033,2340000,L
L,1999-02-04,14.2607,14.375,14.0417,14.2733,2504400,L
L,1999-02-05,14.2607,14.5,14.2607,14.3333,2208600,L
L,1999-02-08,14.2607,14.3857,14.021,14.2933,1549200,L
L,1999-02-09,14.0523,14.2917,14.0,14.2833,1234200,L
L,1999-02-10,13.625,13.9063,13.5,13.8667,2031600,L
L,1999-02-11,13.3857,13.5313,13.2813,13.5,3384000,L
L,1999-02-12,12.9897,13.448,12.9377,13.4267,1868400,L
L,1999-02-15,12.9897,13.448,12.9377,13.4267,0,L
L,1999-02-16,13.146,13.25,13.0107,13.0333,1140000,L
L,1999-02-17,13.0833,13.219,13.0,13.0,1038000,L
L,1999-02-18,13.2293,13.3333,13.021,13.0633,1443600,L
L,1999-02-19,13.198,13.219,13.1043,13.1467,1809600,L
L,1999-02-22,13.3647,13.3647,13.1877,13.23,1154400,L
L,1999-02-23,13.2813,13.4167,13.2397,13.3767,1410600,L
L,1999-02-24,13.146,13.4167,13.0833,13.24,1253400,L
L,1999-02-25,13.0523,13.2083,12.8543,13.1033,1176000,L
L,1999-02-26,13.0313,13.146,12.9167,13.0,1070400,L
L,1999-03-01,13.0,13.0,12.719,12.8667,972600,L
L,1999-03-02,12.9167,12.9897,12.8543,12.96,1416000,L
L,1999-03-03,12.8543,12.9063,12.7083,12.9063,1456800,L
L,1999-03-04,12.8543,12.9063,12.7397,12.8333,2560800,L
L,1999-03-05,13.0627,13.1357,12.896,12.8967,733800,L
L,1999-03-08,13.344,13.4273,13.0417,13.0533,2242800,L
L,1999-03-09,13.594,13.7083,13.3857,13.3867,2506800,L
L,1999-03-10,13.7083,13.771,13.5417,13.5833,1467600,L
L,1999-03-11,13.6877,13.896,13.6043,13.69,1361400,L
L,1999-03-12,13.9167,13.9377,13.698,13.7,972000,L
L,1999-03-15,13.7083,13.8857,13.6357,13.8857,1555200,L
L,1999-03-16,13.7293,13.7293,13.5,13.6767,957000,L
L,1999-03-17,13.5627,13.771,13.5417,13.771,808800,L
L,1999-03-18,13.625,13.698,13.5313,13.5733,2619000,L
L,1999-03-19,13.3333,13.6563,13.3127,13.6563,2800200,L
L,1999-03-22,13.469,13.5417,13.323,13.3333,3009600,L
L,1999-03-23,13.1667,13.5107,13.1667,13.46,1228800,L
L,1999-03-24,13.4167,13.521,13.1877,13.21,1366200,L
L,1999-03-25,13.3333,13.3857,13.2917,13.3767,960600,L
L,1999-03-26,13.1563,13.3023,13.146,13.2933,1796400,L
L,1999-03-29,13.5417,13.6043,13.1563,13.1867,1579200,L
L,1999-03-30,13.094,13.5107,13.0833,13.51,1141800,L
L,1999-03-31,12.4377,13.125,12.4377,13.1167,5998800,L
L,1999-04-01,12.1667,12.4377,12.0417,12.4367,5814600,L
L,1999-04-02,12.1667,12.4377,12.0417,12.4367,0,L
L,1999-04-05,12.25,12.4377,12.1357,12.1667,3489600,L
L,1999-04-06,12.3127,12.5417,12.25,12.25,2086199,L
L,1999-04-07,11.875,12.271,11.7917,12.27,2025599,L
L,1999-04-08,11.844,11.948,11.7917,11.8433,1866600,L
L,1999-04-09,11.7083,11.8857,11.6877,11.8133,2241600,L
L,1999-04-12,11.7607,11.7917,11.5,11.6367,3498000,L
L,1999-04-13,11.8023,11.9897,11.7917,11.8767,2289600,L
L,1999-04-14,11.823,11.875,11.8023,11.8033,1075800,L
L,1999-04-15,12.3857,12.4793,11.844,11.8667,1674000,L
L,1999-04-16,12.323,12.3857,12.2083,12.27,1662600,L
L,1999-04-19,12.8647,12.875,12.5,12.5,1793400,L
L,1999-04-20,12.573,12.8647,12.5,12.8233,662400,L
L,1999-04-21,12.6357,12.719,12.4793,12.5733,659400,L
L,1999-04-22,12.8647,12.8647,12.5627,12.5833,1408200,L
L,1999-04-23,12.8333,12.9063,12.771,12.8867,544200,L
L,1999-04-26,12.3333,12.7917,12.3333,12.7917,1622400,L
L,1999-04-27,12.5833,12.646,12.25,12.4067,1931400,L
L,1999-04-28,12.3127,12.6667,12.2917,12.5833,1443600,L
L,1999-04-29,12.323,12.4063,12.1667,12.3333,943800,L
L,1999-04-30,12.198,12.4167,12.1043,12.4167,2277600,L
L,1999-05-03,12.1667,12.2293,12.125,12.1667,1583400,L
L,1999-05-04,12.4273,12.5417,12.0523,12.1867,1582800,L
L,1999-05-05,12.521,12.5833,12.3543,12.3867,901800,L
L,1999-05-06,12.5833,12.698,12.5107,12.52,2054399,L
L,1999-05-07,12.7813,12.9063,12.6043,12.6043,1242600,L
L,1999-05-10,13.1773,13.2083,12.7917,12.97,3013800,L
L,1999-05-11,13.25,13.4167,13.1147,13.1767,3031200,L
L,1999-05-12,13.3333,13.3857,13.1667,13.25,1674600,L
L,1999-05-13,13.6357,13.7083,13.3023,13.3033,1717200,L
L,1999-05-14,13.323,13.6563,13.219,13.6563,880800,L
L,1999-05-17,13.5,13.5417,13.3023,13.3233,1144800,L
L,1999-05-18,13.3543,13.4583,13.2607,13.4583,1288800,L
L,1999-05-19,13.6147,13.646,13.3647,13.3967,1237200,L
L,1999-05-20,13.8647,14.0313,13.7083,13.71,2402400,L
L,1999-05-21,13.6563,13.8333,13.646,13.8233,1104000,L
L,1999-05-24,13.2397,13.75,13.219,13.6567,1456200,L
L,1999-05-25,13.2917,13.4377,13.2917,13.3133,2018400,L
L,1999-05-26,13.3023,13.3023,13.146,13.3023,2985600,L
L,1999-05-27,13.3127,13.4167,13.146,13.26,1438800,L
L,1999-05-28,13.5523,13.573,13.2813,13.2833,1039199,L
L,1999-05-31,13.5523,13.573,13.2813,13.2833,0,L
L,1999-06-01,13.4583,13.5313,13.2397,13.5313,1553400,L
L,1999-06-02,13.2813,13.448,13.2293,13.3767,830400,L
L,1999-06-03,13.198,13.3333,13.1667,13.2833,741600,L
L,1999-06-04,13.375,13.396,13.198,13.23,565800,L
L,1999-06-07,13.4583,13.4897,13.2397,13.3333,424800,L
L,1999-06-08,13.2083,13.5107,13.1773,13.46,668400,L
L,1999-06-09,13.198,13.5,13.198,13.2,854400,L
L,1999-06-10,13.2607,13.4167,13.125,13.1567,961200,L
L,1999-06-11,13.3543,13.3857,13.2397,13.24,909600,L
L,1999-06-14,13.2813,13.4377,13.2813,13.3667,870600,L
L,1999-06-15,13.271,13.4377,13.271,13.3033,1309200,L
L,1999-06-16,13.3023,13.323,13.25,13.2933,1768800,L
L,1999-06-17,13.3023,13.3127,13.1667,13.24,1565400,L
L,1999-06-18,13.3333,13.3857,13.2293,13.23,1417200,L
L,1999-06-21,13.375,13.4377,13.2917,13.2933,1252200,L
L,1999-06-22,13.1563,13.396,13.146,13.3333,859800,L
L,1999-06-23,13.2917,13.3333,13.1043,13.1567,831600,L
L,1999-06-24,13.1357,13.1877,13.1357,13.1767,1509000,L
L,1999-06-25,13.0833,13.2917,13.0833,13.1267,1723200,L
L,1999-06-28,13.2083,13.2293,13.125,13.1267,1929600,L
L,1999-06-29,13.3333,13.3333,13.073,13.1867,1898400,L
L,1999-06-30,13.1877,13.323,13.125,13.3133,1350600,L
L,1999-07-01,13.198,13.25,13.146,13.1467,753600,L
L,1999-07-02,13.323,13.4063,13.2293,13.24,1058400,L
L,1999-07-05,13.323,13.4063,13.2293,13.24,0,L
L,1999-07-06,13.3127,13.3333,13.25,13.3333,1885200,L
L,1999-07-07,13.1773,13.323,13.1667,13.3133,1818600,L
L,1999-07-08,12.9897,13.1877,12.6667,12.6667,2171400,L
L,1999-07-09,13.1563,13.1877,13.0313,13.0333,1089600,L
L,1999-07-12,13.0107,13.1043,12.948,13.0933,840600,L
L,1999-07-13,12.9167,13.0417,12.8647,12.9067,708000,L
L,1999-07-14,12.7607,12.9377,12.6667,12.9367,931200,L
L,1999-07-15,12.6043,12.7917,12.5523,12.7917,882600,L
L,1999-07-16,12.5523,12.5833,12.4377,12.4377,1280400,L
L,1999-07-19,12.448,12.594,12.4167,12.5933,908400,L
L,1999-07-20,12.3127,12.7083,12.3127,12.45,1345800,L
L,1999-07-21,12.2813,12.4377,12.219,12.4067,725400,L
L,1999-07-22,12.2397,12.3543,12.2083,12.2833,1171800,L
L,1999-07-23,12.1147,12.25,12.094,12.21,964800,L
L,1999-07-26,12.125,12.25,12.073,12.0733,704400,L
L,1999-07-27,12.0,12.1877,11.948,12.1467,1918800,L
L,1999-07-28,12.021,12.021,11.9377,11.99,713400,L
L,1999-07-29,11.823,11.9583,11.75,11.9583,1329600,L
L,1999-07-30,11.6877,11.875,11.646,11.8433,1374000,L
L,1999-08-02,11.823,11.9377,11.6773,11.71,1286400,L
L,1999-08-03,11.823,11.948,11.7917,11.9067,1132200,L
L,1999-08-04,11.719,11.8647,11.6667,11.8333,1540800,L
L,1999-08-05,11.8333,11.896,11.6773,11.72,1414800,L
L,1999-08-06,12.0833,12.198,11.9897,12.1267,3610800,L
L,1999-08-09,12.2917,12.4167,12.1773,12.21,1987200,L
