Symbol,Date,Close,High,Low,Open,Volume,Name
LB,1998-05-29,15.421,15.682,15.015,15.0171,2372469,LB
LB,1998-06-01,15.392,15.682,15.335,15.4253,1154862,LB
LB,1998-06-02,15.595,15.714,15.33,15.3875,729173,LB
LB,1998-06-03,15.064,15.714,15.064,15.5104,926594,LB
LB,1998-06-04,15.241,15.359,15.123,15.123,584016,LB
LB,1998-06-05,15.566,15.714,15.241,15.2457,1619374,LB
LB,1998-06-08,16.186,16.186,15.655,15.6805,2334582,LB
LB,1998-06-09,16.068,16.246,15.95,16.1909,1328211,LB
LB,1998-06-10,15.862,16.275,15.862,16.0397,1368205,LB
LB,1998-06-11,15.477,15.95,15.419,15.8034,1118940,LB
LB,1998-06-12,15.094,15.33,15.005,15.3025,1944604,LB
LB,1998-06-15,14.385,15.064,14.385,15.064,1828645,LB
LB,1998-06-16,14.768,14.768,14.326,14.4423,2293955,LB
LB,1998-06-17,14.828,15.094,14.739,14.7732,825874,LB
LB,1998-06-18,15.123,15.153,14.917,14.9527,616600,LB
LB,1998-06-19,15.33,15.448,15.271,15.3592,1896994,LB
LB,1998-06-22,15.182,15.241,14.975,15.1512,702088,LB
LB,1998-06-23,15.537,15.714,15.271,15.3025,1481621,LB
LB,1998-06-24,15.684,15.744,15.477,15.482,612368,LB
LB,1998-06-25,15.684,15.95,15.684,15.7183,830106,LB
LB,1998-06-26,15.537,15.862,15.508,15.5955,1283354,LB
LB,1998-06-29,15.98,16.009,15.566,15.5671,1367780,LB
LB,1998-06-30,15.655,15.98,15.655,15.8979,938022,LB
LB,1998-07-01,15.832,15.95,15.566,15.775,1201041,LB
LB,1998-07-02,15.891,15.95,15.684,15.8601,551218,LB
LB,1998-07-03,15.891,15.95,15.684,15.8601,0,LB
LB,1998-07-06,16.068,16.157,15.773,15.8979,1333924,LB
LB,1998-07-07,15.773,16.098,15.744,16.0681,801540,LB
LB,1998-07-08,15.477,15.655,15.448,15.655,1049536,LB
LB,1998-07-09,15.123,15.419,15.005,15.3592,1665926,LB
LB,1998-07-10,15.064,15.212,15.005,15.1229,490275,LB
LB,1998-07-13,15.271,15.301,14.946,15.0378,424892,LB
