Symbol,Date,Close,High,Low,Open,Volume,Name
LNT,1998-05-29,15.0315,15.0315,15.0315,15.0315,306200,LNT
LNT,1998-06-01,15.5315,15.5625,15.0625,15.125,398000,LNT
LNT,1998-06-02,15.4375,15.75,15.375,15.5,183800,LNT
LNT,1998-06-03,15.469,15.5315,15.375,15.47,327000,LNT
LNT,1998-06-04,15.219,15.4375,15.1565,15.4375,290600,LNT
LNT,1998-06-05,15.3125,15.4375,15.219,15.22,102200,LNT
LNT,1998-06-08,15.5,15.5,15.3125,15.315,336200,LNT
LNT,1998-06-09,15.9065,15.75,15.4065,15.5,143600,LNT
LNT,1998-06-10,15.8125,15.9375,15.5625,15.595,172200,LNT
LNT,1998-06-11,15.6565,15.7815,15.6565,15.72,152200,LNT
LNT,1998-06-12,15.5315,15.7815,15.4375,15.655,90800,LNT
LNT,1998-06-15,15.344,15.625,15.3125,15.53,168000,LNT
LNT,1998-06-16,15.375,15.5,15.219,15.315,267400,LNT
LNT,1998-06-17,15.5,15.594,15.344,15.375,255199,LNT
LNT,1998-06-18,15.719,15.75,15.5,15.5,256799,LNT
LNT,1998-06-19,15.5315,15.5315,15.25,15.375,210400,LNT
LNT,1998-06-22,15.344,15.5315,15.3125,15.53,98200,LNT
LNT,1998-06-23,15.4065,15.5,15.375,15.5,189600,LNT
LNT,1998-06-24,15.3125,15.4065,15.094,15.375,160000,LNT
LNT,1998-06-25,15.3125,15.3125,15.0315,15.3125,162000,LNT
LNT,1998-06-26,15.25,15.25,14.875,15.19,369000,LNT
LNT,1998-06-29,15.3125,15.5,15.25,15.28,328000,LNT
LNT,1998-06-30,16.25,16.25,15.25,15.315,741400,LNT
LNT,1998-07-01,15.6875,16.0,15.5625,16.0,279800,LNT
LNT,1998-07-02,15.6875,15.8125,15.625,15.625,167800,LNT
LNT,1998-07-03,15.6875,15.8125,15.625,15.625,0,LNT
LNT,1998-07-06,15.5315,15.6875,15.4375,15.565,103600,LNT
LNT,1998-07-07,15.594,15.6565,15.375,15.44,255000,LNT
LNT,1998-07-08,15.5625,15.625,15.469,15.595,329600,LNT
LNT,1998-07-09,15.6875,15.6875,15.5,15.565,246200,LNT
LNT,1998-07-10,15.6875,15.6875,15.5,15.565,238800,LNT
LNT,1998-07-13,15.6875,15.6875,15.5,15.565,237800,LNT
LNT,1998-07-14,15.6565,15.6565,15.5625,15.595,95800,LNT
LNT,1998-07-15,15.6875,15.6875,15.5,15.595,391200,LNT
LNT,1998-07-16,15.6565,15.6565,15.5315,15.625,232200,LNT
LNT,1998-07-17,15.6565,15.6875,15.5,15.6875,80400,LNT
LNT,1998-07-20,15.75,15.75,15.5315,15.595,125400,LNT
LNT,1998-07-21,15.6875,15.7815,15.5315,15.78,169800,LNT
LNT,1998-07-22,15.594,15.719,15.4375,15.625,242200,LNT
LNT,1998-07-23,15.469,15.594,15.2815,15.594,89000,LNT
LNT,1998-07-24,15.3125,15.375,15.25,15.375,92400,LNT
LNT,1998-07-27,15.25,15.3125,15.1565,15.25,939400,LNT
LNT,1998-07-28,15.125,15.25,15.094,15.25,2147200,LNT
LNT,1998-07-29,14.969,14.969,14.844,14.845,272800,LNT
