Symbol,Date,Close,High,Low,Open,Volume,Name
LRCX,1998-05-29,7.938,8.208,7.917,8.2,2333100,LRCX
LRCX,1998-06-01,7.667,7.958,7.542,7.91,3603600,LRCX
LRCX,1998-06-02,7.604,7.792,7.583,7.66,1888800,LRCX
LRCX,1998-06-03,7.313,7.708,7.208,7.66,1869300,LRCX
LRCX,1998-06-04,7.49,7.5,7.167,7.37,3061200,LRCX
LRCX,1998-06-05,7.5,7.583,7.25,7.49,1401000,LRCX
LRCX,1998-06-08,7.229,7.75,7.229,7.49,1778400,LRCX
LRCX,1998-06-09,7.708,7.708,7.188,7.33,2764500,LRCX
LRCX,1998-06-10,7.208,7.583,7.0,7.45,4435500,LRCX
LRCX,1998-06-11,7.208,7.375,7.125,7.24,3381000,LRCX
LRCX,1998-06-12,6.8542,7.1667,6.6667,7.0,7381800,LRCX
LRCX,1998-06-15,6.75,7.208,6.625,6.81,3583800,LRCX
LRCX,1998-06-16,7.0417,7.0417,6.5625,6.7917,3250500,LRCX
LRCX,1998-06-17,6.708,7.25,6.646,7.08,3051900,LRCX
LRCX,1998-06-18,7.042,7.063,6.667,6.667,2567700,LRCX
LRCX,1998-06-19,6.8333,7.0625,6.7708,7.0521,1587600,LRCX
LRCX,1998-06-22,7.042,7.125,6.75,6.87,2924400,LRCX
LRCX,1998-06-23,7.375,7.625,7.0,7.04,4149899,LRCX
LRCX,1998-06-24,7.354,7.583,7.083,7.41,2514900,LRCX
LRCX,1998-06-25,7.2292,7.7917,7.2292,7.3333,4845600,LRCX
LRCX,1998-06-26,6.688,7.25,6.646,7.2,3700200,LRCX
LRCX,1998-06-29,6.688,6.938,6.625,6.79,2105700,LRCX
LRCX,1998-06-30,6.375,6.646,6.188,6.64,3515100,LRCX
LRCX,1998-07-01,6.479,6.5,6.25,6.45,1554000,LRCX
LRCX,1998-07-02,6.021,6.417,6.0,6.33,3155400,LRCX
LRCX,1998-07-03,6.021,6.417,6.0,6.33,0,LRCX
LRCX,1998-07-06,6.229,6.292,6.0,6.06,1402800,LRCX
LRCX,1998-07-07,6.396,6.417,5.917,6.16,3670200,LRCX
LRCX,1998-07-08,6.521,6.563,6.125,6.39,2174700,LRCX
LRCX,1998-07-09,6.396,6.542,6.292,6.51,1665600,LRCX
LRCX,1998-07-10,6.375,6.417,6.25,6.41,1249500,LRCX
LRCX,1998-07-13,6.479,6.479,6.083,6.33,2704800,LRCX
LRCX,1998-07-14,6.0,6.521,5.958,6.45,2024099,LRCX
LRCX,1998-07-15,6.583,6.646,6.042,6.042,3684900,LRCX
LRCX,1998-07-16,6.479,7.0,6.25,6.62,3888300,LRCX
LRCX,1998-07-17,6.271,6.458,6.25,6.26,2179800,LRCX
LRCX,1998-07-20,6.104,6.292,6.0,6.2,1119900,LRCX
LRCX,1998-07-21,6.25,6.458,6.021,6.1,4982400,LRCX
LRCX,1998-07-22,6.146,6.229,5.833,6.16,3556200,LRCX
LRCX,1998-07-23,6.021,6.208,5.875,6.14,1386300,LRCX
LRCX,1998-07-24,6.021,6.125,5.875,6.08,1632300,LRCX
LRCX,1998-07-27,5.708,6.042,5.625,6.04,3425400,LRCX
LRCX,1998-07-28,5.75,6.0,5.708,5.72,3229200,LRCX
LRCX,1998-07-29,5.646,6.167,5.25,5.6,8116199,LRCX
LRCX,1998-07-30,6.021,6.104,5.833,5.833,2577900,LRCX
LRCX,1998-07-31,5.979,6.208,5.917,6.01,2492100,LRCX
LRCX,1998-08-03,5.938,6.083,5.792,5.91,1461600,LRCX
LRCX,1998-08-04,6.333,6.417,5.979,6.04,3848700,LRCX
