Symbol,Date,Close,High,Low,Open,Volume,Name
MCHP,1998-05-29,7.259,7.741,7.259,7.69,1175512,MCHP
MCHP,1998-06-01,7.13,7.445,7.074,7.31,1951762,MCHP
MCHP,1998-06-02,7.297,7.463,7.093,7.23,2432700,MCHP
MCHP,1998-06-03,7.222,7.445,7.222,7.4,1324350,MCHP
MCHP,1998-06-04,7.407,7.5,7.185,7.27,1503900,MCHP
MCHP,1998-06-05,7.555,7.574,7.407,7.45,922387,MCHP
MCHP,1998-06-08,7.167,7.63,7.148,7.63,1957162,MCHP
MCHP,1998-06-09,7.074,7.167,6.963,7.167,1461712,MCHP
MCHP,1998-06-10,6.852,7.037,6.778,7.01,2022637,MCHP
MCHP,1998-06-11,6.593,6.852,6.519,6.852,2178562,MCHP
MCHP,1998-06-12,6.259,6.593,6.148,6.56,2604487,MCHP
MCHP,1998-06-15,6.445,6.63,6.111,6.23,1747912,MCHP
MCHP,1998-06-16,6.519,6.703,6.5,6.6,1598062,MCHP
MCHP,1998-06-17,6.333,6.722,6.185,6.66,2024325,MCHP
MCHP,1998-06-18,6.167,6.407,6.148,6.407,997987,MCHP
MCHP,1998-06-19,6.204,6.407,6.055,6.34,1233562,MCHP
MCHP,1998-06-22,6.6482,6.7407,6.0556,6.3333,2404346,MCHP
MCHP,1998-06-23,6.982,7.0,6.667,6.69,2224800,MCHP
MCHP,1998-06-24,7.593,7.667,7.0,7.04,3923437,MCHP
MCHP,1998-06-25,7.889,8.037,7.703,7.75,3841087,MCHP
MCHP,1998-06-26,7.926,8.074,7.778,7.82,2143125,MCHP
MCHP,1998-06-29,8.278,8.519,7.926,7.97,2877187,MCHP
MCHP,1998-06-30,7.741,8.148,7.63,8.12,3836025,MCHP
MCHP,1998-07-01,8.963,9.5185,8.8889,8.963,13436536,MCHP
MCHP,1998-07-02,8.741,8.963,8.593,8.963,13146975,MCHP
MCHP,1998-07-03,8.741,8.963,8.593,8.963,0,MCHP
MCHP,1998-07-06,8.7407,8.963,8.5926,8.963,13146961,MCHP
MCHP,1998-07-07,9.185,9.185,8.871,8.9,6061837,MCHP
MCHP,1998-07-08,9.426,9.481,9.222,9.34,5266012,MCHP
MCHP,1998-07-09,9.167,9.481,9.111,9.42,5089162,MCHP
MCHP,1998-07-10,9.185,9.593,8.778,9.12,6831337,MCHP
MCHP,1998-07-13,9.185,9.297,8.926,9.12,3043575,MCHP
MCHP,1998-07-14,8.889,9.185,8.889,9.16,3472537,MCHP
MCHP,1998-07-15,8.8889,9.1852,8.8889,9.1852,3472534,MCHP
MCHP,1998-07-16,9.722,10.037,9.259,9.27,4864050,MCHP
MCHP,1998-07-17,9.481,9.741,9.445,9.71,5087475,MCHP
MCHP,1998-07-20,9.426,9.649,9.407,9.49,4164412,MCHP
MCHP,1998-07-21,9.889,10.63,9.37,9.46,7708837,MCHP
MCHP,1998-07-22,9.574,10.0,9.555,9.83,3412800,MCHP
MCHP,1998-07-23,9.074,9.741,9.037,9.68,2677050,MCHP
MCHP,1998-07-24,9.297,9.463,9.0,9.06,2513700,MCHP
MCHP,1998-07-27,9.333,9.407,9.037,9.05,2402325,MCHP
MCHP,1998-07-28,9.352,9.759,9.297,9.36,1929487,MCHP
MCHP,1998-07-29,9.074,9.703,9.037,9.38,2081362,MCHP
MCHP,1998-07-30,9.445,9.5,9.111,9.16,1319625,MCHP
MCHP,1998-07-31,9.083,9.546,9.055,9.38,1780987,MCHP
MCHP,1998-08-03,8.759,9.111,8.481,9.05,2817112,MCHP
MCHP,1998-08-04,8.259,8.741,8.074,8.71,4603500,MCHP
MCHP,1998-08-05,8.111,8.593,7.963,8.23,2204550,MCHP
MCHP,1998-08-06,8.722,8.797,7.889,8.16,4080037,MCHP
MCHP,1998-08-07,9.13,9.352,8.852,8.9,3582225,MCHP
MCHP,1998-08-10,8.778,9.148,8.667,9.06,1495462,MCHP
MCHP,1998-08-11,8.519,8.741,8.185,8.741,1816762,MCHP
MCHP,1998-08-12,8.593,8.926,8.481,8.71,1672312,MCHP
MCHP,1998-08-13,8.241,8.667,8.148,8.64,2329425,MCHP
MCHP,1998-08-14,7.889,8.37,7.815,8.3,1593000,MCHP
MCHP,1998-08-17,8.297,8.37,7.741,7.79,3324712,MCHP
MCHP,1998-08-18,8.926,8.963,8.426,8.44,6273450,MCHP
MCHP,1998-08-19,8.667,9.093,8.5,9.05,3552525,MCHP
MCHP,1998-08-20,8.37,8.519,8.297,8.49,1069200,MCHP
MCHP,1998-08-21,7.703,8.315,7.703,8.315,3870112,MCHP
MCHP,1998-08-24,7.6111,8.037,7.4815,7.7037,2477246,MCHP
MCHP,1998-08-25,7.5648,8.0741,7.5556,7.6111,2617309,MCHP
MCHP,1998-08-26,7.148,7.481,7.037,7.481,3061800,MCHP
MCHP,1998-08-27,6.6852,7.1852,6.2593,6.6852,5634555,MCHP
MCHP,1998-08-28,6.722,6.963,6.445,6.9,8158387,MCHP
