Symbol,Date,Close,High,Low,Open,Volume,Name
MGM,1998-05-29,8.297,8.313,8.032,,433600,MGM
MGM,1998-06-01,8.157,8.266,8.157,,102800,MGM
MGM,1998-06-02,7.954,8.172,7.907,,316400,MGM
MGM,1998-06-03,7.985,8.063,7.969,,1136800,MGM
MGM,1998-06-04,7.938,7.985,7.891,,126400,MGM
MGM,1998-06-05,7.844,7.969,7.844,,405600,MGM
MGM,1998-06-08,7.797,7.969,7.766,,907600,MGM
MGM,1998-06-09,7.579,7.797,7.547,,702800,MGM
MGM,1998-06-10,7.516,7.579,7.485,,568000,MGM
MGM,1998-06-11,7.297,7.485,7.297,,1218800,MGM
MGM,1998-06-12,7.157,7.375,7.063,,1286000,MGM
MGM,1998-06-15,7.032,7.157,7.0,,806000,MGM
MGM,1998-06-16,6.985,7.157,6.985,,1354800,MGM
MGM,1998-06-17,6.954,7.032,6.954,,1346400,MGM
MGM,1998-06-18,6.844,6.985,6.829,,264000,MGM
MGM,1998-06-19,6.704,6.938,6.688,,2863200,MGM
MGM,1998-06-22,6.657,6.719,6.641,,582400,MGM
MGM,1998-06-23,8.047,8.079,7.563,,11743600,MGM
MGM,1998-06-24,7.907,7.969,7.829,,3762000,MGM
MGM,1998-06-25,8.0,8.0,7.844,,1825200,MGM
MGM,1998-06-26,7.891,7.985,7.891,,442000,MGM
MGM,1998-06-29,7.891,7.938,7.891,,530400,MGM
MGM,1998-06-30,7.891,7.922,7.844,,1138800,MGM
MGM,1998-07-01,8.047,8.047,7.891,,780000,MGM
MGM,1998-07-02,7.938,8.157,7.938,,1182000,MGM
MGM,1998-07-03,7.938,8.157,7.938,,0,MGM
MGM,1998-07-06,8.094,8.11,7.938,,1142000,MGM
MGM,1998-07-07,8.172,8.172,8.079,,364800,MGM
MGM,1998-07-08,8.204,8.219,8.141,,220400,MGM
MGM,1998-07-09,8.11,8.157,8.079,,779200,MGM
MGM,1998-07-10,8.141,8.157,8.094,,378800,MGM
MGM,1998-07-13,8.25,8.25,8.063,,1872400,MGM
MGM,1998-07-14,8.172,8.282,8.172,,1122800,MGM
MGM,1998-07-15,8.172,8.204,8.141,,546000,MGM
MGM,1998-07-16,8.204,8.235,8.157,,610800,MGM
MGM,1998-07-17,8.25,8.282,8.188,,603200,MGM
MGM,1998-07-20,8.329,8.344,8.188,,1215200,MGM
MGM,1998-07-21,8.36,8.375,8.297,,754400,MGM
MGM,1998-07-22,8.297,8.36,8.25,,342400,MGM
MGM,1998-07-23,8.188,8.313,8.188,,1463600,MGM
MGM,1998-07-24,8.235,8.25,8.125,,708000,MGM
MGM,1998-07-27,8.11,8.172,8.094,,730800,MGM
MGM,1998-07-28,8.047,8.157,8.047,,916800,MGM
MGM,1998-07-29,8.297,8.297,8.079,,1395600,MGM
MGM,1998-07-30,8.313,8.375,8.25,,922000,MGM
MGM,1998-07-31,8.297,8.375,8.25,8.3125,3299600,MGM
