Symbol,Date,Close,High,Low,Open,Volume,Name
MOS,1998-05-29,32.5,32.625,32.313,32.44,237400,MOS
MOS,1998-06-01,32.688,32.813,32.375,32.5,344500,MOS
MOS,1998-06-02,32.313,32.875,32.188,32.69,599000,MOS
MOS,1998-06-03,32.063,32.313,32.0,32.25,418300,MOS
MOS,1998-06-04,31.813,32.375,31.813,32.19,243900,MOS
MOS,1998-06-05,32.125,32.25,31.813,31.88,130500,MOS
MOS,1998-06-08,31.938,32.375,31.938,32.06,400100,MOS
MOS,1998-06-09,32.25,32.375,31.875,31.88,169200,MOS
MOS,1998-06-10,30.125,33.125,29.688,31.38,596800,MOS
MOS,1998-06-11,30.438,31.0,30.0,31.0,1291300,MOS
MOS,1998-06-12,30.875,31.063,30.375,30.38,631300,MOS
MOS,1998-06-15,30.5,30.875,30.25,30.875,230500,MOS
MOS,1998-06-16,30.875,31.0,30.75,30.75,450700,MOS
MOS,1998-06-17,30.313,31.375,30.25,30.88,401800,MOS
MOS,1998-06-18,30.688,30.875,30.438,30.44,241000,MOS
MOS,1998-06-19,30.875,30.938,30.688,30.69,237600,MOS
MOS,1998-06-22,30.5,30.875,30.5,30.875,165700,MOS
MOS,1998-06-23,30.375,30.688,30.0,30.5,580500,MOS
MOS,1998-06-24,29.563,30.5,29.5,30.5,380500,MOS
MOS,1998-06-25,29.688,30.0,29.5,29.63,300200,MOS
MOS,1998-06-26,29.875,30.0,29.625,29.63,210000,MOS
MOS,1998-06-29,29.5,30.0,29.375,29.63,314200,MOS
MOS,1998-06-30,30.125,30.438,29.375,29.38,249700,MOS
MOS,1998-07-01,30.063,30.313,30.0,30.25,305100,MOS
MOS,1998-07-02,30.188,30.375,30.031,30.19,234600,MOS
MOS,1998-07-03,30.188,30.375,30.031,30.19,0,MOS
MOS,1998-07-06,29.938,30.25,29.938,30.25,211000,MOS
MOS,1998-07-07,29.75,29.875,29.563,29.75,448500,MOS
MOS,1998-07-08,29.5,29.75,29.375,29.75,254500,MOS
MOS,1998-07-09,29.125,29.688,29.0,29.688,252800,MOS
MOS,1998-07-10,29.25,29.563,29.125,29.31,270100,MOS
MOS,1998-07-13,29.438,29.5,28.75,29.13,171700,MOS
MOS,1998-07-14,29.063,29.438,28.875,29.25,278300,MOS
MOS,1998-07-15,29.188,29.25,28.938,29.0,237600,MOS
MOS,1998-07-16,28.313,29.0,28.125,29.0,933500,MOS
MOS,1998-07-17,27.875,28.125,27.5,28.125,819800,MOS
MOS,1998-07-20,27.5,27.875,27.25,27.875,379100,MOS
MOS,1998-07-21,27.25,27.625,27.188,27.625,353900,MOS
MOS,1998-07-22,26.438,27.063,26.063,27.06,354600,MOS
MOS,1998-07-23,25.125,26.5,24.875,26.38,1182000,MOS
MOS,1998-07-24,25.438,25.5,24.25,25.44,857200,MOS
MOS,1998-07-27,25.625,25.938,25.438,25.5,1071100,MOS
MOS,1998-07-28,25.75,26.125,25.688,25.81,1006200,MOS
MOS,1998-07-29,26.125,26.188,25.688,25.94,528300,MOS
MOS,1998-07-30,26.063,26.313,26.0,26.25,329900,MOS
MOS,1998-07-31,25.563,26.063,25.563,26.0,355800,MOS
MOS,1998-08-03,25.0,25.563,24.5,25.56,509800,MOS
MOS,1998-08-04,24.0,25.0,23.875,25.0,484500,MOS
MOS,1998-08-05,24.313,24.375,23.625,24.0,415400,MOS
MOS,1998-08-06,24.75,24.813,24.0,24.13,249900,MOS
MOS,1998-08-07,24.875,25.0,24.75,25.0,204100,MOS
MOS,1998-08-10,24.438,24.688,24.0,24.5,580000,MOS
MOS,1998-08-11,23.125,24.188,22.875,24.188,236800,MOS
MOS,1998-08-12,23.0,23.813,22.938,23.38,1004200,MOS
MOS,1998-08-13,22.438,23.063,22.438,23.0,440400,MOS
MOS,1998-08-14,22.25,22.625,22.0,22.44,236400,MOS
MOS,1998-08-17,21.938,22.813,21.688,22.38,359300,MOS
MOS,1998-08-18,22.0,22.5,21.938,22.31,825900,MOS
MOS,1998-08-19,21.563,22.0,21.438,22.0,363800,MOS
MOS,1998-08-20,20.813,21.688,20.688,21.688,320800,MOS
MOS,1998-08-21,19.125,20.813,18.125,20.81,947500,MOS
MOS,1998-08-24,19.0,19.188,18.75,19.13,1159300,MOS
MOS,1998-08-25,19.0,19.438,18.75,19.38,506600,MOS
MOS,1998-08-26,18.938,19.0,18.625,19.0,755300,MOS
MOS,1998-08-27,19.0,19.125,18.438,18.69,877500,MOS
MOS,1998-08-28,18.188,19.0,18.188,18.75,558200,MOS
MOS,1998-08-31,18.375,18.5,18.0,18.06,810000,MOS
MOS,1998-09-01,18.688,19.0,17.813,18.0,918700,MOS
MOS,1998-09-02,19.438,19.813,18.938,18.94,464500,MOS
MOS,1998-09-03,20.625,20.625,18.938,19.25,666600,MOS
MOS,1998-09-04,20.813,21.313,20.625,20.63,527500,MOS
MOS,1998-09-07,20.813,21.313,20.625,20.63,0,MOS
MOS,1998-09-08,22.688,22.813,20.813,20.813,1528800,MOS
MOS,1998-09-09,22.0,22.688,21.75,22.63,456600,MOS
MOS,1998-09-10,21.25,21.25,19.75,20.5,816700,MOS
MOS,1998-09-11,21.188,21.313,20.625,21.25,138500,MOS
MOS,1998-09-14,20.563,21.375,20.375,21.375,767400,MOS
MOS,1998-09-15,20.313,20.563,20.25,20.56,227700,MOS
MOS,1998-09-16,20.25,21.25,20.063,20.5,725000,MOS
