Symbol,Date,Close,High,Low,Open,Volume,Name
MSFT,1998-05-29,21.204,21.625,21.016,21.5998,34029200,MSFT
MSFT,1998-06-01,20.938,21.153,20.782,20.9645,42436800,MSFT
MSFT,1998-06-02,21.375,21.485,20.969,21.0202,38570800,MSFT
MSFT,1998-06-03,21.047,21.61,20.625,21.4661,36004400,MSFT
MSFT,1998-06-04,21.516,21.532,20.907,21.1205,33717600,MSFT
MSFT,1998-06-05,21.563,21.625,21.188,21.4661,34431600,MSFT
MSFT,1998-06-08,21.422,21.579,21.25,21.4103,18886400,MSFT
MSFT,1998-06-09,21.766,21.891,21.313,21.3323,35690400,MSFT
MSFT,1998-06-10,21.5,22.094,21.469,21.6555,33277600,MSFT
MSFT,1998-06-11,21.329,21.782,21.282,21.6109,41271200,MSFT
MSFT,1998-06-12,21.438,21.532,21.0,21.2209,41309600,MSFT
MSFT,1998-06-15,21.485,21.829,21.141,21.1763,42641600,MSFT
MSFT,1998-06-16,22.485,22.485,21.375,21.5775,61111200,MSFT
MSFT,1998-06-17,22.766,23.094,22.438,22.4803,76147600,MSFT
MSFT,1998-06-18,22.797,22.938,22.594,22.7032,39228400,MSFT
MSFT,1998-06-19,23.672,23.688,22.875,23.3719,91175600,MSFT
MSFT,1998-06-22,23.954,23.985,23.422,23.684,48969600,MSFT
MSFT,1998-06-23,25.188,25.5,23.813,23.9515,124675200,MSFT
MSFT,1998-06-24,26.235,26.282,24.985,25.4227,105724800,MSFT
MSFT,1998-06-25,25.391,26.719,25.344,26.4703,88969600,MSFT
MSFT,1998-06-26,26.11,26.157,25.5,25.5676,55680400,MSFT
MSFT,1998-06-29,26.86,26.922,26.313,26.37,65906000,MSFT
MSFT,1998-06-30,27.094,27.141,26.157,26.3143,77010000,MSFT
MSFT,1998-07-01,27.344,27.532,26.797,27.284,53423600,MSFT
MSFT,1998-07-02,26.813,27.282,26.782,27.2059,27278800,MSFT
MSFT,1998-07-03,26.813,27.282,26.782,27.2059,0,MSFT
MSFT,1998-07-06,26.954,27.016,26.344,26.7155,35307600,MSFT
MSFT,1998-07-07,26.985,27.204,26.625,26.9719,32368000,MSFT
MSFT,1998-07-08,27.469,27.532,26.688,27.0276,41553600,MSFT
MSFT,1998-07-09,27.75,28.0,27.438,27.4957,43690000,MSFT
MSFT,1998-07-10,28.297,28.313,27.469,27.7855,45396800,MSFT
MSFT,1998-07-13,29.407,29.563,28.407,28.5322,69155200,MSFT
MSFT,1998-07-14,29.125,29.688,28.875,29.5576,56972400,MSFT
MSFT,1998-07-15,29.344,29.5,28.907,29.0003,48690000,MSFT
MSFT,1998-07-16,29.344,29.719,29.157,29.513,65125200,MSFT
MSFT,1998-07-17,29.485,29.907,28.985,29.435,83054800,MSFT
MSFT,1998-07-20,29.25,29.875,29.063,29.5465,45708400,MSFT
MSFT,1998-07-21,28.204,29.75,28.125,29.2233,74605200,MSFT
MSFT,1998-07-22,29.188,29.313,27.969,27.9973,71681600,MSFT
MSFT,1998-07-23,28.25,29.375,28.25,29.0784,51029600,MSFT
MSFT,1998-07-24,28.454,28.907,28.11,28.4319,60221600,MSFT
MSFT,1998-07-27,29.188,29.188,27.672,28.287,58998000,MSFT
MSFT,1998-07-28,28.063,29.219,28.0,29.0003,78373200,MSFT
MSFT,1998-07-29,27.672,28.657,27.516,28.3093,59598800,MSFT
MSFT,1998-07-30,28.36,28.407,27.688,27.9861,72746400,MSFT
MSFT,1998-07-31,27.485,28.383,27.485,28.2313,53681200,MSFT
MSFT,1998-08-03,27.11,27.719,26.844,27.284,73566400,MSFT
MSFT,1998-08-04,26.125,27.407,26.047,27.1614,91412000,MSFT
MSFT,1998-08-05,26.008,26.813,25.375,26.0357,119670400,MSFT
MSFT,1998-08-06,26.719,26.735,25.907,25.9354,68308000,MSFT
MSFT,1998-08-07,26.469,26.875,26.266,26.8604,54944000,MSFT
MSFT,1998-08-10,26.11,26.579,26.11,26.4481,46763200,MSFT
MSFT,1998-08-11,25.86,26.25,25.5,25.7236,60966400,MSFT
MSFT,1998-08-12,26.266,26.364,25.75,26.0803,53760000,MSFT
MSFT,1998-08-13,25.985,26.5,25.938,26.0357,51193200,MSFT
MSFT,1998-08-14,26.0,26.266,25.875,26.1694,29566400,MSFT
MSFT,1998-08-17,26.829,26.844,25.75,25.8796,54009200,MSFT
MSFT,1998-08-18,27.813,27.954,26.844,26.9719,70534000,MSFT
MSFT,1998-08-19,27.641,28.188,27.563,28.0641,55669200,MSFT
MSFT,1998-08-20,28.141,28.188,27.422,27.5292,49747600,MSFT
MSFT,1998-08-21,27.657,27.969,27.188,27.7855,59511200,MSFT
MSFT,1998-08-24,27.594,28.0,27.5,27.5737,26246800,MSFT
MSFT,1998-08-25,28.204,28.422,27.782,27.8412,58022400,MSFT
MSFT,1998-08-26,28.141,28.438,27.719,27.8078,44796000,MSFT
MSFT,1998-08-27,27.25,28.188,27.063,27.6406,74845200,MSFT
MSFT,1998-08-28,26.313,27.407,26.188,27.061,72730000,MSFT
MSFT,1998-08-31,23.985,26.625,24.125,26.2251,132757600,MSFT
MSFT,1998-09-01,25.3125,25.4375,23.625,24.5,137625600,MSFT
MSFT,1998-09-02,25.141,26.063,25.063,25.4561,63400800,MSFT
MSFT,1998-09-03,24.8125,25.1875,24.5625,25.1328,65081599,MSFT
MSFT,1998-09-04,24.157,25.063,23.985,24.9211,50890000,MSFT
MSFT,1998-09-07,24.157,25.063,23.985,24.9211,0,MSFT
MSFT,1998-09-08,25.4922,25.5,24.7656,24.7656,55947200,MSFT
MSFT,1998-09-09,25.563,26.329,25.407,25.5676,65456800,MSFT
MSFT,1998-09-10,25.188,25.282,24.672,24.9991,60758000,MSFT
MSFT,1998-09-11,26.063,26.157,25.0,25.2778,58989200,MSFT
MSFT,1998-09-14,26.5,26.766,25.954,26.2363,45086800,MSFT
MSFT,1998-09-15,27.079,27.11,26.25,26.4703,49366800,MSFT
MSFT,1998-09-16,27.047,27.125,26.532,26.9719,42864800,MSFT
MSFT,1998-09-17,26.235,26.969,26.204,26.3255,44968400,MSFT
MSFT,1998-09-18,26.344,26.563,26.079,26.5595,47352000,MSFT
