Symbol,Date,Close,High,Low,Open,Volume,Name
MSI,1998-05-29,64.7745,65.6919,64.7008,65.4872,1870190,MSI
MSI,1998-06-01,63.55,64.5452,62.4073,63.4804,2959315,MSI
MSI,1998-06-02,64.1643,65.0817,63.3247,64.0947,2552334,MSI
MSI,1998-06-03,62.1043,64.7745,61.8708,64.6271,2334199,MSI
MSI,1998-06-04,62.9439,63.3247,61.9486,61.965,1893919,MSI
MSI,1998-06-05,62.2558,64.4674,62.178,63.3575,4776157,MSI
MSI,1998-06-08,63.55,63.7056,62.4688,62.866,1659828,MSI
MSI,1998-06-09,63.3247,64.0865,63.0954,63.4804,2166792,MSI
MSI,1998-06-10,61.2606,63.0954,61.2606,62.866,1854235,MSI
MSI,1998-06-11,60.1917,61.4899,59.733,61.105,2365210,MSI
MSI,1998-06-12,61.2606,61.4162,59.5814,60.122,2421585,MSI
MSI,1998-06-15,59.9623,61.8708,59.8845,60.9002,1782642,MSI
MSI,1998-06-16,61.1869,61.1869,59.5814,60.204,2004214,MSI
MSI,1998-06-17,60.0401,61.9486,59.8845,61.5964,1795815,MSI
MSI,1998-06-18,61.1869,61.3384,59.3521,59.3521,1929102,MSI
MSI,1998-06-19,60.8019,61.4899,60.2695,61.4326,1399963,MSI
MSI,1998-06-22,62.178,62.2558,60.1917,60.9821,1602471,MSI
MSI,1998-06-23,63.55,64.0087,62.6367,62.6613,2586291,MSI
MSI,1998-06-24,66.38,66.6871,64.3199,64.3404,3172132,MSI
MSI,1998-06-25,64.7008,67.1458,64.623,66.3882,2328472,MSI
MSI,1998-06-26,64.1643,65.3111,63.935,64.6271,1115469,MSI
MSI,1998-06-29,65.8435,65.9991,64.3199,64.4223,1988995,MSI
MSI,1998-06-30,64.2421,65.6141,63.55,65.4872,1729376,MSI
MSI,1998-07-01,64.7008,64.7008,63.7834,64.1766,1597315,MSI
MSI,1998-07-02,63.6278,64.2421,63.3247,64.0947,1234192,MSI
MSI,1998-07-03,63.6278,64.2421,63.3247,64.0947,0,MSI
MSI,1998-07-06,65.4626,65.6919,64.1643,64.1643,2021642,MSI
MSI,1998-07-07,67.2196,67.2196,64.9261,65.4053,3033362,MSI
MSI,1998-07-08,63.7834,67.068,63.4804,67.0025,4034856,MSI
MSI,1998-07-09,63.8612,64.5452,62.4852,62.6613,2511996,MSI
MSI,1998-07-10,63.55,64.0865,62.866,63.6442,1323460,MSI
MSI,1998-07-13,63.7834,64.0865,62.8251,62.866,1971975,MSI
MSI,1998-07-14,62.9439,63.7834,62.9439,63.4804,1758832,MSI
MSI,1998-07-15,65.9991,66.3022,62.866,62.866,2884284,MSI
MSI,1998-07-16,66.5315,67.3711,65.8435,66.9206,2382229,MSI
MSI,1998-07-17,65.6141,66.5315,65.0817,66.4701,1379344,MSI
MSI,1998-07-20,66.38,67.1458,65.6919,65.9377,1928447,MSI
MSI,1998-07-21,64.3937,68.9028,63.8612,67.1663,4856098,MSI
MSI,1998-07-22,64.3937,64.9261,63.55,64.2585,2418639,MSI
MSI,1998-07-23,63.0954,65.2332,63.0954,63.6442,1732321,MSI
MSI,1998-07-24,62.6367,64.0087,61.4899,63.4804,2091026,MSI
MSI,1998-07-27,61.8708,63.2469,61.4899,62.0469,1389489,MSI
MSI,1998-07-28,61.1869,62.6367,61.1091,61.3507,2164337,MSI
MSI,1998-07-29,60.6504,61.7971,60.4988,61.3507,1489148,MSI
MSI,1998-07-30,63.2469,63.3247,60.9575,61.2688,1502403,MSI
MSI,1998-07-31,63.8612,65.2332,63.0217,63.2346,2337309,MSI
MSI,1998-08-03,64.4674,65.6919,63.55,63.808,2295907,MSI
MSI,1998-08-04,62.2558,65.8435,61.8708,64.9957,2391229,MSI
MSI,1998-08-05,62.563,63.4804,60.4988,61.6374,2319962,MSI
MSI,1998-08-06,64.1643,64.4674,61.7193,61.7193,2323153,MSI
MSI,1998-08-07,65.1571,66.2265,63.8586,64.6988,2120402,MSI
MSI,1998-08-10,65.4626,66.6093,64.9261,65.3233,2198294,MSI
MSI,1998-08-11,63.4025,64.7745,63.0954,64.709,2798127,MSI
MSI,1998-08-12,63.4025,64.4674,63.0217,63.4804,1729376,MSI
MSI,1998-08-13,61.7193,64.2421,61.5678,63.6442,1451755,MSI
MSI,1998-08-14,60.8019,62.866,60.8019,62.2517,1624235,MSI
MSI,1998-08-17,63.2469,63.55,60.5766,61.064,1277476,MSI
MSI,1998-08-18,63.7056,64.1643,62.7104,62.866,1516476,MSI
MSI,1998-08-19,62.0265,63.8612,61.7971,63.3575,1216520,MSI
MSI,1998-08-20,60.8019,61.7971,60.1917,61.4326,1587579,MSI
MSI,1998-08-21,59.5036,60.4988,59.2784,60.122,1736003,MSI
MSI,1998-08-24,60.1917,60.6504,59.5814,59.5814,1175117,MSI
MSI,1998-08-25,61.8708,62.9439,60.7282,60.7364,2380838,MSI
MSI,1998-08-26,61.1869,61.9486,60.6504,61.105,1211037,MSI
MSI,1998-08-27,58.6641,60.421,57.5214,60.0401,2723341,MSI
MSI,1998-08-28,56.3747,59.1227,56.219,58.6067,2457013,MSI
MSI,1998-08-31,52.4798,56.3747,52.2464,56.1084,2780371,MSI
MSI,1998-09-01,51.9433,53.1638,50.4157,52.5044,3461124,MSI
MSI,1998-09-02,50.7202,52.859,50.7202,52.2479,1570071,MSI
MSI,1998-09-03,48.7365,50.8744,48.7365,49.5147,2511015,MSI
MSI,1998-09-04,48.6587,49.7276,47.7413,49.3918,1814634,MSI
MSI,1998-09-07,48.6587,49.7276,47.7413,49.3918,0,MSI
MSI,1998-09-08,52.5535,52.5535,48.7365,50.4157,2457340,MSI
MSI,1998-09-09,51.3331,53.4709,50.7188,52.0539,2134719,MSI
MSI,1998-09-10,50.8744,52.7829,49.957,50.3747,2001513,MSI
MSI,1998-09-11,50.5672,51.6362,50.0348,50.3747,1837707,MSI
MSI,1998-09-14,55.916,55.916,51.6362,51.6362,2507579,MSI
MSI,1998-09-15,53.7003,55.3016,52.8607,54.716,1595189,MSI
MSI,1998-09-16,57.7467,58.4388,54.9986,55.1665,2758852,MSI
MSI,1998-09-17,56.219,58.1275,55.1501,55.1665,2073026,MSI
