Symbol,Date,Close,High,Low,Open,Volume,Name
MU,1998-05-29,11.782,12.188,11.75,11.97,3300600,MU
MU,1998-06-01,11.25,11.907,11.188,11.75,5555400,MU
MU,1998-06-02,11.188,11.594,11.063,11.5,7994000,MU
MU,1998-06-03,11.25,11.657,11.188,11.41,6378800,MU
MU,1998-06-04,11.875,12.0,11.282,11.63,8294800,MU
MU,1998-06-05,12.032,12.188,11.813,11.88,5050200,MU
MU,1998-06-08,12.375,12.5,12.063,12.07,4294000,MU
MU,1998-06-09,12.938,13.188,12.375,12.38,5934800,MU
MU,1998-06-10,11.782,12.5,11.75,12.5,8447600,MU
MU,1998-06-11,11.282,11.969,11.094,11.85,10078400,MU
MU,1998-06-12,10.594,11.219,10.157,11.19,11734400,MU
MU,1998-06-15,10.063,10.844,10.032,10.5,8356999,MU
MU,1998-06-16,11.25,11.25,10.313,10.38,6645200,MU
MU,1998-06-17,10.75,11.782,10.688,11.25,8436000,MU
MU,1998-06-18,11.125,11.344,10.25,10.72,7953600,MU
MU,1998-06-19,11.688,12.125,11.5,11.75,16304600,MU
MU,1998-06-22,11.938,12.125,11.25,11.57,9351800,MU
MU,1998-06-23,12.219,12.407,11.813,12.03,7733600,MU
MU,1998-06-24,12.875,12.969,12.032,12.38,7453600,MU
MU,1998-06-25,12.5,13.469,12.5,12.94,6516800,MU
MU,1998-06-26,12.9062,13.1875,12.3125,12.4688,3070200,MU
MU,1998-06-29,12.813,13.094,12.594,12.91,3650800,MU
MU,1998-06-30,12.407,12.719,12.125,12.69,5206400,MU
MU,1998-07-01,13.0,13.032,12.594,12.63,4782200,MU
MU,1998-07-02,12.969,13.094,12.688,13.094,4034399,MU
MU,1998-07-03,12.969,13.094,12.688,13.094,0,MU
MU,1998-07-06,13.063,13.157,12.688,12.97,3975600,MU
MU,1998-07-07,13.375,13.625,12.75,13.13,5024600,MU
MU,1998-07-08,13.625,13.813,13.188,13.41,8770000,MU
MU,1998-07-09,14.25,14.625,13.375,13.57,11550200,MU
MU,1998-07-10,14.594,15.0,14.313,14.32,15129200,MU
MU,1998-07-13,14.75,14.875,14.219,14.57,5865600,MU
MU,1998-07-14,14.219,14.938,14.219,14.85,4475600,MU
MU,1998-07-15,15.375,15.938,14.032,14.41,16549199,MU
MU,1998-07-16,14.813,15.719,14.625,15.69,7651400,MU
MU,1998-07-17,14.875,14.907,14.407,14.75,2703600,MU
MU,1998-07-20,14.125,14.907,14.0,14.907,3868000,MU
MU,1998-07-21,13.938,14.719,13.875,14.13,6378200,MU
MU,1998-07-22,13.5,13.875,13.313,13.44,5766800,MU
MU,1998-07-23,13.563,13.875,13.407,13.47,5207400,MU
MU,1998-07-24,13.532,13.75,13.125,13.57,5908200,MU
MU,1998-07-27,14.657,14.688,13.094,13.47,10850000,MU
MU,1998-07-28,14.907,15.188,14.438,14.5,11343600,MU
MU,1998-07-29,15.125,15.844,14.75,15.47,12576400,MU
MU,1998-07-30,15.594,15.719,15.282,15.5,7348200,MU
MU,1998-07-31,16.657,16.75,15.907,15.97,14375600,MU
MU,1998-08-03,17.125,17.375,16.5,16.66,13408800,MU
MU,1998-08-04,16.25,17.344,16.188,17.19,11755400,MU
MU,1998-08-05,17.219,17.25,15.563,16.38,11544200,MU
MU,1998-08-06,17.5,18.063,16.813,16.82,17379600,MU
MU,1998-08-07,17.125,18.188,16.75,17.57,12448200,MU
MU,1998-08-10,16.563,17.157,16.375,16.75,7007200,MU
MU,1998-08-11,15.344,16.094,15.125,16.09,10875600,MU
MU,1998-08-12,16.594,17.313,16.094,16.25,15603400,MU
MU,1998-08-13,16.063,16.969,16.032,16.82,6451200,MU
MU,1998-08-14,16.594,17.032,16.407,16.69,7319600,MU
MU,1998-08-17,17.625,17.625,16.5,16.69,8133200,MU
MU,1998-08-18,17.375,18.032,17.25,17.63,7368200,MU
MU,1998-08-19,17.157,17.75,16.719,17.47,13661600,MU
MU,1998-08-20,16.0938,16.7812,15.8125,16.75,8062799,MU
MU,1998-08-21,14.969,15.688,14.219,15.57,15379000,MU
MU,1998-08-24,15.032,15.875,14.813,15.75,11309000,MU
MU,1998-08-25,15.032,15.5,14.782,15.32,8669200,MU
MU,1998-08-26,14.688,14.875,14.219,14.69,6403600,MU
MU,1998-08-27,13.094,14.282,12.5,14.22,14642800,MU
MU,1998-08-28,12.188,13.438,11.875,13.13,11634200,MU
MU,1998-08-31,11.375,12.563,11.188,12.32,8713600,MU
MU,1998-09-01,11.813,12.094,10.282,11.5,16111999,MU
MU,1998-09-02,11.969,12.563,11.563,12.13,7726800,MU
MU,1998-09-03,12.438,12.969,11.469,11.82,10226800,MU
MU,1998-09-04,12.532,13.157,12.5,12.63,7573000,MU
MU,1998-09-07,12.532,13.157,12.5,12.63,0,MU
MU,1998-09-08,13.438,13.657,13.032,13.25,6311800,MU
MU,1998-09-09,13.563,13.938,13.282,13.57,8207400,MU
MU,1998-09-10,12.9062,13.4688,12.6562,12.875,6295600,MU
