Symbol,Date,Close,High,Low,Open,Volume,Name
NAVI,2014-04-17,16.99,17.38,15.0,15.0,951088,NAVI
NAVI,2014-04-18,16.99,16.99,16.99,16.99,0,NAVI
NAVI,2014-04-21,16.82,17.37,16.33,16.97,444213,NAVI
NAVI,2014-04-22,16.8,17.0,16.63,16.63,576707,NAVI
NAVI,2014-04-23,16.78,16.85,16.71,16.81,1608932,NAVI
NAVI,2014-04-24,16.63,16.86,16.45,16.59,368892,NAVI
NAVI,2014-04-25,16.89,16.92,16.32,16.9,1086546,NAVI
NAVI,2014-04-28,16.67,16.93,16.38,16.93,1187928,NAVI
NAVI,2014-04-29,16.68,16.88,16.45,16.62,648522,NAVI
NAVI,2014-04-30,16.55,16.7,16.36,16.7,26746201,NAVI
NAVI,2014-05-01,17.0,17.36,16.12,16.12,3650133,NAVI
NAVI,2014-05-02,16.95,17.3,16.87,17.01,2995032,NAVI
NAVI,2014-05-05,16.81,17.26,16.53,16.93,3978423,NAVI
NAVI,2014-05-06,16.34,16.8,16.25,16.69,14309226,NAVI
NAVI,2014-05-07,16.6,16.61,16.26,16.36,5692881,NAVI
NAVI,2014-05-08,16.45,16.64,16.35,16.5,5668216,NAVI
NAVI,2014-05-09,16.28,16.51,16.03,16.3,2797016,NAVI
NAVI,2014-05-12,15.95,16.55,15.775,16.28,6980098,NAVI
NAVI,2014-05-13,15.85,16.13,15.78,15.78,8292045,NAVI
NAVI,2014-05-14,15.74,16.04,15.5,15.77,4577476,NAVI
NAVI,2014-05-15,15.74,16.0,15.59,15.66,4919040,NAVI
NAVI,2014-05-16,15.86,15.95,15.66,15.66,2786872,NAVI
NAVI,2014-05-19,16.02,16.04,15.6638,15.76,4532436,NAVI
NAVI,2014-05-20,15.94,16.165,15.82,16.1,9754753,NAVI
NAVI,2014-05-21,15.93,16.13,15.82,15.93,1743568,NAVI
NAVI,2014-05-22,15.97,16.04,15.8,15.84,2128896,NAVI
NAVI,2014-05-23,16.07,16.13,15.97,16.0,2826416,NAVI
NAVI,2014-05-26,16.07,16.07,16.07,16.07,0,NAVI
NAVI,2014-05-27,15.98,16.34,15.79,16.09,1726939,NAVI
NAVI,2014-05-28,15.68,16.05,15.665,16.02,4219138,NAVI
NAVI,2014-05-29,15.68,15.82,15.53,15.73,3463351,NAVI
NAVI,2014-05-30,15.8,15.91,15.63,15.63,5261296,NAVI
NAVI,2014-06-02,15.81,15.94,15.79,15.82,2986807,NAVI
NAVI,2014-06-03,15.83,16.6,15.74,15.75,3483548,NAVI
NAVI,2014-06-04,15.89,15.96,15.58,15.6,3231455,NAVI
NAVI,2014-06-05,16.67,16.68,15.9,16.03,4582403,NAVI
NAVI,2014-06-06,16.67,16.95,16.61,16.76,1622717,NAVI
NAVI,2014-06-09,16.81,16.81,16.37,16.61,3169291,NAVI
NAVI,2014-06-10,16.8,17.0,16.7,16.72,3441830,NAVI
NAVI,2014-06-11,16.88,16.97,16.73,16.73,1857115,NAVI
NAVI,2014-06-12,16.74,16.9999,16.68,16.81,2336412,NAVI
NAVI,2014-06-13,16.67,16.86,16.55,16.72,1485582,NAVI
NAVI,2014-06-16,16.78,16.89,16.6,16.66,804878,NAVI
