Symbol,Date,Close,High,Low,Open,Volume,Name
NEM,1998-05-29,24.938,25.813,24.938,25.81,1090700,NEM
NEM,1998-06-01,23.875,24.75,23.625,24.75,962500,NEM
NEM,1998-06-02,24.563,24.875,24.0,24.0,1164100,NEM
NEM,1998-06-03,24.625,25.063,24.438,25.0,966200,NEM
NEM,1998-06-04,24.375,24.938,24.25,24.5,681900,NEM
NEM,1998-06-05,24.813,24.813,23.938,24.5,686000,NEM
NEM,1998-06-08,26.125,26.125,25.125,25.13,1448000,NEM
NEM,1998-06-09,25.188,26.563,25.063,26.06,1666600,NEM
NEM,1998-06-10,24.813,25.375,24.813,25.25,514900,NEM
NEM,1998-06-11,22.875,24.563,22.563,24.56,2391700,NEM
NEM,1998-06-12,22.688,23.313,21.875,23.13,1729700,NEM
NEM,1998-06-15,21.875,22.5,21.75,22.19,1106300,NEM
NEM,1998-06-16,23.0,23.063,22.125,22.13,1494300,NEM
NEM,1998-06-17,23.125,23.875,22.938,23.875,1527700,NEM
NEM,1998-06-18,22.938,22.938,22.25,22.81,701100,NEM
NEM,1998-06-19,23.313,23.875,23.188,23.38,1578600,NEM
NEM,1998-06-22,22.5,23.125,22.375,22.94,626100,NEM
NEM,1998-06-23,23.0,23.0,22.313,22.5,706900,NEM
NEM,1998-06-24,22.25,22.875,22.25,22.875,469500,NEM
NEM,1998-06-25,22.75,22.938,22.438,22.44,1255500,NEM
NEM,1998-06-26,22.438,22.938,22.313,22.75,912200,NEM
NEM,1998-06-29,22.188,22.75,22.063,22.56,595800,NEM
NEM,1998-06-30,23.625,23.688,22.5,22.75,1672000,NEM
NEM,1998-07-01,23.0,23.625,22.813,23.38,970600,NEM
NEM,1998-07-02,22.813,22.875,22.25,22.25,698400,NEM
NEM,1998-07-03,22.813,22.875,22.25,22.25,0,NEM
NEM,1998-07-06,22.563,22.813,22.5,22.56,1006799,NEM
NEM,1998-07-07,23.0,23.438,22.563,22.88,1913100,NEM
