Symbol,Date,Close,High,Low,Open,Volume,Name
NKE,1998-05-29,5.75,5.875,5.7422,5.8512,6745600,NKE
NKE,1998-06-01,5.7031,5.7891,5.6641,5.7188,7456800,NKE
NKE,1998-06-02,5.7344,5.7734,5.6719,5.7031,4718400,NKE
NKE,1998-06-03,5.7188,5.836,5.7188,5.7262,3593600,NKE
NKE,1998-06-04,5.7266,5.7422,5.6875,5.7188,3767200,NKE
NKE,1998-06-05,5.7891,5.8359,5.7422,5.75,3918400,NKE
NKE,1998-06-08,5.7422,5.8438,5.7109,5.7266,4076800,NKE
NKE,1998-06-09,5.7422,5.7578,5.7031,5.7188,4015200,NKE
NKE,1998-06-10,5.6406,5.7422,5.6406,5.7031,3536800,NKE
NKE,1998-06-11,5.6016,5.6875,5.5938,5.6484,4486400,NKE
NKE,1998-06-12,5.5234,5.6172,5.4844,5.5547,4196000,NKE
NKE,1998-06-15,5.4219,5.4922,5.4219,5.445,4994400,NKE
NKE,1998-06-16,5.4766,5.5781,5.4375,5.4375,5760800,NKE
NKE,1998-06-17,5.5469,5.5703,5.4922,5.5078,4744800,NKE
NKE,1998-06-18,5.5625,5.5625,5.4531,5.5312,3929600,NKE
NKE,1998-06-19,5.5938,5.6172,5.5625,5.5625,4695200,NKE
NKE,1998-06-22,5.7031,5.7344,5.5938,5.5938,6996000,NKE
NKE,1998-06-23,5.7422,5.7578,5.6562,5.7266,7432800,NKE
NKE,1998-06-24,5.8203,5.8359,5.7109,5.7422,5740000,NKE
NKE,1998-06-25,5.8906,6.0,5.8125,5.8288,10732000,NKE
NKE,1998-06-26,5.9688,6.0,5.8672,5.875,6512000,NKE
NKE,1998-06-29,6.1719,6.2422,6.0781,6.1094,14254400,NKE
NKE,1998-06-30,6.0859,6.2109,6.0469,6.1719,12824000,NKE
NKE,1998-07-01,6.5078,6.5234,6.3203,6.375,45733600,NKE
NKE,1998-07-02,6.5312,6.5391,6.4375,6.5075,15752800,NKE
NKE,1998-07-03,6.5312,6.5391,6.4375,6.5075,0,NKE
NKE,1998-07-06,6.4453,6.5859,6.4375,6.5156,14107200,NKE
NKE,1998-07-07,6.3906,6.4375,6.3594,6.4062,7488800,NKE
NKE,1998-07-08,6.5,6.5156,6.3281,6.3828,9149600,NKE
NKE,1998-07-09,6.3906,6.5,6.3829,6.5,7120000,NKE
NKE,1998-07-10,6.375,6.4298,6.2812,6.3125,6319200,NKE
NKE,1998-07-13,6.2656,6.3125,6.2344,6.3125,8272000,NKE
NKE,1998-07-14,6.2188,6.3438,6.2188,6.2662,6861600,NKE
NKE,1998-07-15,6.0547,6.2344,6.0469,6.1719,15517600,NKE
NKE,1998-07-16,6.2109,6.2109,6.0625,6.0781,7047200,NKE
NKE,1998-07-17,6.2812,6.2891,6.2188,6.25,8991200,NKE
NKE,1998-07-20,6.2578,6.2812,6.2422,6.2812,5872000,NKE
NKE,1998-07-21,5.9688,6.211,5.9219,6.2038,9376000,NKE
NKE,1998-07-22,6.0469,6.0547,5.9219,5.9844,5340000,NKE
NKE,1998-07-23,5.7656,6.0625,5.7266,6.0469,7552800,NKE
NKE,1998-07-24,5.7188,5.7812,5.6562,5.7738,6708800,NKE
NKE,1998-07-27,5.7969,5.7969,5.625,5.6412,4964800,NKE
NKE,1998-07-28,5.625,5.7969,5.5938,5.7969,13316000,NKE
NKE,1998-07-29,5.7188,5.7266,5.6016,5.6016,4367200,NKE
NKE,1998-07-30,5.7266,5.8203,5.7031,5.7109,6249600,NKE
NKE,1998-07-31,5.5625,5.7422,5.4922,5.695,5735200,NKE
NKE,1998-08-03,5.5859,5.6562,5.5156,5.5469,4400000,NKE
NKE,1998-08-04,5.375,5.6562,5.3516,5.57,9532000,NKE
NKE,1998-08-05,5.5078,5.5234,5.3438,5.3594,10292000,NKE
NKE,1998-08-06,5.4375,5.4531,5.375,5.4375,6529600,NKE
NKE,1998-08-07,5.3984,5.5,5.3906,5.4375,3559200,NKE
NKE,1998-08-10,5.3672,5.4844,5.3672,5.4141,6085600,NKE
NKE,1998-08-11,5.25,5.3438,5.1562,5.3438,8293600,NKE
NKE,1998-08-12,5.0391,5.2656,4.8984,5.2422,16302399,NKE
NKE,1998-08-13,4.9922,5.0547,4.9297,5.0078,13213600,NKE
NKE,1998-08-14,4.9375,5.0312,4.8906,4.9922,9128000,NKE
NKE,1998-08-17,4.8906,4.9531,4.8204,4.875,14249600,NKE
