Symbol,Date,Close,High,Low,Open,Volume,Name
NTAP,1998-05-29,4.348,4.407,4.219,4.407,2681600,NTAP
NTAP,1998-06-01,4.282,4.375,4.219,4.22,409600,NTAP
NTAP,1998-06-02,4.477,4.485,4.219,4.39,623200,NTAP
NTAP,1998-06-03,4.375,4.5,4.344,4.5,1583200,NTAP
NTAP,1998-06-04,4.282,4.407,4.25,4.38,821600,NTAP
NTAP,1998-06-05,4.313,4.36,4.188,4.28,2876800,NTAP
NTAP,1998-06-08,4.563,4.657,4.282,4.3,3587200,NTAP
NTAP,1998-06-09,4.625,4.665,4.516,4.52,905600,NTAP
NTAP,1998-06-10,4.641,4.813,4.563,4.563,4824000,NTAP
NTAP,1998-06-11,4.407,4.719,4.391,4.66,1922400,NTAP
NTAP,1998-06-12,4.313,4.532,4.297,4.53,2422400,NTAP
NTAP,1998-06-15,4.188,4.282,4.157,4.24,1097600,NTAP
NTAP,1998-06-16,4.36,4.36,4.258,4.36,606400,NTAP
NTAP,1998-06-17,4.344,4.391,4.25,4.25,1249600,NTAP
NTAP,1998-06-18,4.172,4.375,4.125,4.34,705600,NTAP
NTAP,1998-06-19,4.344,4.407,4.125,4.13,3028000,NTAP
NTAP,1998-06-22,4.469,4.563,4.313,4.313,1076000,NTAP
NTAP,1998-06-23,4.586,4.586,4.375,4.56,436800,NTAP
NTAP,1998-06-24,4.668,4.688,4.563,4.63,2670400,NTAP
NTAP,1998-06-25,4.532,4.688,4.516,4.61,1845600,NTAP
NTAP,1998-06-26,4.594,4.68,4.532,4.55,280000,NTAP
NTAP,1998-06-29,4.75,4.813,4.563,4.7,3160000,NTAP
NTAP,1998-06-30,4.868,4.875,4.719,4.77,2808800,NTAP
NTAP,1998-07-01,4.797,4.875,4.75,4.75,632800,NTAP
NTAP,1998-07-02,4.813,4.875,4.75,4.875,899200,NTAP
NTAP,1998-07-03,4.813,4.875,4.75,4.875,0,NTAP
NTAP,1998-07-06,5.297,5.297,4.766,4.77,3209600,NTAP
NTAP,1998-07-07,5.594,5.704,5.297,5.3,5508800,NTAP
NTAP,1998-07-08,5.672,5.688,5.532,5.59,3012000,NTAP
NTAP,1998-07-09,5.875,5.875,5.641,5.69,2515200,NTAP
NTAP,1998-07-10,5.829,5.875,5.657,5.875,1859200,NTAP
NTAP,1998-07-13,5.782,5.907,5.766,5.907,1517600,NTAP
NTAP,1998-07-14,5.735,5.829,5.672,5.8,1724000,NTAP
NTAP,1998-07-15,6.063,6.11,5.672,5.672,1208000,NTAP
NTAP,1998-07-16,6.188,6.219,5.844,6.06,1466400,NTAP
NTAP,1998-07-17,6.282,6.454,5.891,6.24,3476000,NTAP
NTAP,1998-07-20,6.125,6.266,6.016,6.22,1998400,NTAP
NTAP,1998-07-21,5.829,6.188,5.797,6.188,1997600,NTAP
NTAP,1998-07-22,5.75,5.891,5.704,5.89,1853600,NTAP
NTAP,1998-07-23,5.579,5.813,5.563,5.75,932800,NTAP
NTAP,1998-07-24,5.391,5.688,5.313,5.688,1174400,NTAP
NTAP,1998-07-27,5.375,5.5,5.25,5.25,2337600,NTAP
NTAP,1998-07-28,5.461,5.625,5.313,5.313,1564000,NTAP
NTAP,1998-07-29,5.36,5.5,5.344,5.344,927200,NTAP
NTAP,1998-07-30,5.454,5.547,5.36,5.36,593600,NTAP
NTAP,1998-07-31,5.219,5.547,5.188,5.547,1940800,NTAP
NTAP,1998-08-03,5.11,5.297,5.094,5.17,1313600,NTAP
NTAP,1998-08-04,4.922,5.219,4.907,5.09,887200,NTAP
NTAP,1998-08-05,5.254,5.266,4.907,4.97,1149600,NTAP
NTAP,1998-08-06,5.61,5.625,5.141,5.28,1147200,NTAP
NTAP,1998-08-07,5.766,5.782,5.563,5.63,2388800,NTAP
NTAP,1998-08-10,5.657,5.719,5.657,5.66,1244000,NTAP
NTAP,1998-08-11,5.469,5.625,5.313,5.47,2196000,NTAP
NTAP,1998-08-12,5.625,5.641,5.407,5.59,477600,NTAP
NTAP,1998-08-13,5.813,5.813,5.5,5.53,940000,NTAP
NTAP,1998-08-14,5.657,5.75,5.625,5.66,1302400,NTAP
NTAP,1998-08-17,5.821,5.821,5.5,5.5,1144800,NTAP
NTAP,1998-08-18,6.047,6.079,5.891,5.891,1294400,NTAP
NTAP,1998-08-19,5.985,6.313,5.985,6.17,2934400,NTAP
NTAP,1998-08-20,5.9688,6.125,5.9375,6.0,404800,NTAP
NTAP,1998-08-21,5.766,6.063,5.563,6.06,2513600,NTAP
NTAP,1998-08-24,6.094,6.094,5.813,5.88,1143200,NTAP
NTAP,1998-08-25,5.907,6.266,5.86,6.09,1480800,NTAP
NTAP,1998-08-26,5.922,5.922,5.75,5.86,2166400,NTAP
NTAP,1998-08-27,5.786,5.922,5.719,5.92,888800,NTAP
NTAP,1998-08-28,5.641,5.86,5.391,5.86,1234400,NTAP
NTAP,1998-08-31,5.211,5.938,5.125,5.75,2868000,NTAP
NTAP,1998-09-01,5.657,5.719,5.211,5.22,4765600,NTAP
NTAP,1998-09-02,5.829,5.938,5.625,5.75,3353600,NTAP
NTAP,1998-09-03,5.844,5.93,5.704,5.88,2206400,NTAP
NTAP,1998-09-04,5.969,6.0,5.829,5.92,1444800,NTAP
NTAP,1998-09-07,5.969,6.0,5.829,5.92,0,NTAP
NTAP,1998-09-08,6.165,6.438,6.125,6.438,2817600,NTAP
NTAP,1998-09-09,6.219,6.313,6.141,6.141,1232800,NTAP
NTAP,1998-09-10,6.102,6.321,6.063,6.18,2365600,NTAP
NTAP,1998-09-11,6.375,6.391,6.172,6.28,4367200,NTAP
NTAP,1998-09-14,6.75,6.907,6.5,6.59,3464000,NTAP
NTAP,1998-09-15,6.75,6.875,6.688,6.75,4383200,NTAP
NTAP,1998-09-16,6.438,6.813,6.219,6.81,3649600,NTAP
NTAP,1998-09-17,6.282,6.407,6.094,6.13,2402400,NTAP
NTAP,1998-09-18,6.5938,6.5938,6.25,6.2734,1706400,NTAP
NTAP,1998-09-21,6.672,6.672,6.375,6.56,1136000,NTAP
NTAP,1998-09-22,7.11,7.11,6.594,6.72,3730400,NTAP
NTAP,1998-09-23,7.3125,7.4844,7.1562,7.1562,7026400,NTAP
NTAP,1998-09-24,7.047,7.391,7.016,7.34,3652000,NTAP
NTAP,1998-09-25,7.313,7.344,6.938,7.02,2431200,NTAP
NTAP,1998-09-28,7.555,7.657,7.469,7.61,3060000,NTAP
NTAP,1998-09-29,7.016,7.625,7.016,7.61,2567200,NTAP
NTAP,1998-09-30,6.329,7.063,6.313,6.92,3644000,NTAP
NTAP,1998-10-01,5.266,6.375,5.204,6.34,6772800,NTAP
NTAP,1998-10-02,5.6562,5.9609,5.2812,5.4453,12530400,NTAP
NTAP,1998-10-05,5.329,5.875,5.063,5.875,7513600,NTAP
NTAP,1998-10-06,5.2266,5.7031,5.1875,5.3125,5172000,NTAP
NTAP,1998-10-07,4.625,5.344,4.618,5.34,5736800,NTAP
NTAP,1998-10-08,4.344,4.563,4.0,4.52,11931200,NTAP
NTAP,1998-10-09,5.375,5.43,4.469,4.53,6564000,NTAP
NTAP,1998-10-12,5.625,5.9688,5.4688,5.5938,3080800,NTAP
NTAP,1998-10-13,5.0,5.625,5.0,5.5,2072000,NTAP
NTAP,1998-10-14,5.438,5.5,4.844,4.91,2952000,NTAP
NTAP,1998-10-15,5.618,5.625,5.094,5.44,2453600,NTAP
NTAP,1998-10-16,5.766,6.063,5.672,5.81,2776000,NTAP
NTAP,1998-10-19,6.313,6.313,5.704,5.84,2431200,NTAP
NTAP,1998-10-20,6.321,6.579,6.313,6.45,3988800,NTAP
NTAP,1998-10-21,6.25,6.375,5.985,6.31,1457600,NTAP
NTAP,1998-10-22,6.274,6.407,6.141,6.141,1644800,NTAP
NTAP,1998-10-23,6.313,6.5,6.125,6.2,2124000,NTAP
NTAP,1998-10-26,6.375,6.875,6.2188,6.3438,4812800,NTAP
NTAP,1998-10-27,6.375,6.969,6.329,6.69,4708800,NTAP
NTAP,1998-10-28,6.407,6.516,6.266,6.5,2035200,NTAP
NTAP,1998-10-29,6.4062,6.5156,6.2656,6.5,2035200,NTAP
NTAP,1998-10-30,6.844,6.922,6.625,6.72,1964800,NTAP
NTAP,1998-11-02,7.1094,7.1562,6.875,6.875,1455200,NTAP
NTAP,1998-11-03,6.844,7.157,6.75,7.13,1733600,NTAP
NTAP,1998-11-04,7.059,7.141,6.954,7.0,952000,NTAP
NTAP,1998-11-05,7.868,8.438,7.75,8.36,19907200,NTAP
NTAP,1998-11-06,8.102,8.125,7.86,7.99,6088800,NTAP
NTAP,1998-11-09,8.063,8.172,7.969,8.11,1524000,NTAP
NTAP,1998-11-10,8.43,8.454,7.875,7.97,4849600,NTAP
NTAP,1998-11-11,8.422,8.704,8.375,8.45,3996000,NTAP
NTAP,1998-11-12,8.1641,8.2656,8.0469,8.2656,1794400,NTAP
NTAP,1998-11-13,7.938,8.36,7.907,8.13,2699200,NTAP
NTAP,1998-11-16,8.297,8.375,8.125,8.19,3098400,NTAP
NTAP,1998-11-17,8.782,8.875,8.157,8.2,2574400,NTAP
NTAP,1998-11-18,9.204,9.375,8.875,9.36,10798400,NTAP
NTAP,1998-11-19,9.25,9.532,9.125,9.38,5463200,NTAP
NTAP,1998-11-20,9.094,9.172,8.875,9.14,2232000,NTAP
NTAP,1998-11-23,9.211,9.25,9.0,9.2,3030400,NTAP
NTAP,1998-11-24,9.079,9.282,9.032,9.17,2488800,NTAP
NTAP,1998-11-25,9.079,9.282,9.032,9.17,0,NTAP
NTAP,1998-11-26,9.079,9.282,9.032,9.17,0,NTAP
NTAP,1998-11-27,9.25,9.407,9.032,9.13,1204000,NTAP
NTAP,1998-11-30,9.391,9.625,9.11,9.5,3364800,NTAP
NTAP,1998-12-01,9.204,9.344,9.032,9.34,4138400,NTAP
NTAP,1998-12-02,9.0156,9.5,8.9375,9.2266,4138400,NTAP
NTAP,1998-12-03,8.993,9.219,8.969,9.13,3576800,NTAP
NTAP,1998-12-04,9.375,9.469,9.125,9.22,3502400,NTAP
NTAP,1998-12-07,9.516,9.688,9.313,9.45,2971200,NTAP
NTAP,1998-12-08,9.391,9.563,9.25,9.56,2005599,NTAP
NTAP,1998-12-09,9.375,9.438,9.313,9.438,2136000,NTAP
NTAP,1998-12-10,9.282,9.391,9.172,9.39,1846400,NTAP
NTAP,1998-12-11,8.969,9.219,8.797,9.12,2643200,NTAP
NTAP,1998-12-14,8.422,9.0,8.422,8.91,2880000,NTAP
NTAP,1998-12-15,9.032,9.125,8.563,8.74,3301600,NTAP
NTAP,1998-12-16,9.266,9.375,8.875,9.14,3563200,NTAP
NTAP,1998-12-17,10.188,10.266,9.282,9.38,8966400,NTAP
NTAP,1998-12-18,10.579,10.688,10.063,10.38,5824000,NTAP
NTAP,1998-12-21,11.11,11.11,10.766,10.88,8192800,NTAP
NTAP,1998-12-22,10.75,12.0,10.344,12.0,5257200,NTAP
NTAP,1998-12-23,11.094,11.344,10.813,11.19,3538400,NTAP
NTAP,1998-12-24,11.219,11.438,11.125,11.38,1291600,NTAP
NTAP,1998-12-25,11.219,11.438,11.125,11.38,0,NTAP
NTAP,1998-12-28,10.875,11.625,10.688,11.5,2581600,NTAP
NTAP,1998-12-29,10.657,11.188,10.532,11.13,1446000,NTAP
NTAP,1998-12-30,11.032,11.11,10.5,10.63,2136800,NTAP
NTAP,1998-12-31,11.211,11.782,10.969,11.06,2191200,NTAP
NTAP,1999-01-01,11.211,11.782,10.969,11.06,0,NTAP
NTAP,1999-01-04,11.25,11.9688,11.25,11.375,4054800,NTAP
NTAP,1999-01-05,11.219,11.469,11.172,11.41,1962400,NTAP
NTAP,1999-01-06,11.469,11.625,11.375,11.6,3852400,NTAP
NTAP,1999-01-07,11.563,11.594,11.094,11.22,4138800,NTAP
NTAP,1999-01-08,11.938,12.032,11.782,12.0,5283600,NTAP
NTAP,1999-01-11,12.75,13.297,12.313,12.97,4590800,NTAP
NTAP,1999-01-12,12.594,13.594,12.125,13.25,3138000,NTAP
NTAP,1999-01-13,13.0938,13.0938,10.9375,12.5938,5205600,NTAP
NTAP,1999-01-14,12.469,13.282,12.344,13.19,5621200,NTAP
NTAP,1999-01-15,13.188,13.36,12.5,12.53,2067600,NTAP
NTAP,1999-01-18,13.188,13.36,12.5,12.53,0,NTAP
NTAP,1999-01-19,13.875,14.1875,13.375,13.6875,3138000,NTAP
NTAP,1999-01-20,13.375,14.188,13.375,14.03,2546400,NTAP
NTAP,1999-01-21,12.75,13.688,12.719,13.52,2757200,NTAP
NTAP,1999-01-22,12.0,12.563,11.938,12.53,2942800,NTAP
NTAP,1999-01-25,12.25,12.438,11.875,12.38,3190800,NTAP
NTAP,1999-01-26,12.5,12.719,12.25,12.63,2017999,NTAP
NTAP,1999-01-27,12.594,12.86,12.407,12.63,1848000,NTAP
NTAP,1999-01-28,13.032,13.266,12.563,12.563,2166400,NTAP
NTAP,1999-01-29,13.25,13.688,13.157,13.41,2193600,NTAP
NTAP,1999-02-01,13.1875,14.0312,13.0625,13.5,2632400,NTAP
NTAP,1999-02-02,13.188,13.188,12.688,13.188,2262000,NTAP
NTAP,1999-02-03,13.157,13.493,12.5,13.44,2589600,NTAP
NTAP,1999-02-04,12.282,13.157,12.125,13.157,1509600,NTAP
NTAP,1999-02-05,11.563,12.485,10.954,12.41,4401600,NTAP
NTAP,1999-02-08,11.938,12.157,11.563,12.03,3830800,NTAP
NTAP,1999-02-09,10.9688,11.8906,10.875,10.9688,3269200,NTAP
NTAP,1999-02-10,11.047,11.235,10.875,11.0,3221600,NTAP
