Symbol,Date,Close,High,Low,Open,Volume,Name
O,1998-05-29,13.282,13.375,13.25,13.25,61400,O
O,1998-06-01,13.313,13.5,13.188,13.19,98000,O
O,1998-06-02,13.375,13.407,13.313,13.313,86000,O
O,1998-06-03,13.438,13.469,13.313,13.313,49200,O
O,1998-06-04,13.344,13.407,13.25,13.35,58600,O
O,1998-06-05,13.469,13.469,13.313,13.313,46400,O
O,1998-06-08,13.469,13.594,13.407,13.47,56600,O
O,1998-06-09,13.219,13.532,13.125,13.53,50000,O
O,1998-06-10,13.063,13.313,13.032,13.28,66200,O
O,1998-06-11,13.063,13.25,13.032,13.06,52000,O
O,1998-06-12,13.032,13.125,12.907,13.125,38200,O
O,1998-06-15,12.969,13.032,12.782,13.03,39600,O
O,1998-06-16,12.938,13.094,12.875,13.06,73800,O
O,1998-06-17,13.063,13.125,12.875,13.0,39200,O
O,1998-06-18,13.125,13.188,12.938,12.94,61800,O
O,1998-06-19,12.844,13.188,12.75,13.15,74000,O
O,1998-06-22,12.969,12.969,12.719,12.72,73400,O
O,1998-06-23,12.938,13.0,12.75,12.94,50000,O
O,1998-06-24,12.938,13.063,12.875,12.94,55000,O
O,1998-06-25,13.032,13.188,12.938,13.0,40400,O
O,1998-06-26,13.282,13.344,13.032,13.032,84800,O
O,1998-06-29,13.219,13.282,13.094,13.1,48400,O
O,1998-06-30,13.188,13.375,13.188,13.28,75200,O
O,1998-07-01,13.469,13.469,13.25,13.25,76000,O
O,1998-07-02,13.313,13.469,13.25,13.4,26200,O
O,1998-07-03,13.313,13.469,13.25,13.4,0,O
O,1998-07-06,13.5,13.5,13.063,13.25,55200,O
O,1998-07-07,13.5,13.563,13.344,13.44,101600,O
O,1998-07-08,13.532,13.594,13.375,13.5,66600,O
O,1998-07-09,13.625,13.625,13.407,13.407,95600,O
O,1998-07-10,13.407,13.688,13.344,13.65,33200,O
O,1998-07-13,13.438,13.438,13.313,13.35,22200,O
O,1998-07-14,13.188,13.469,13.188,13.469,38000,O
O,1998-07-15,13.313,13.313,13.063,13.063,53600,O
O,1998-07-16,13.469,13.5,13.188,13.31,61200,O
O,1998-07-17,13.375,13.469,13.313,13.4,36800,O
O,1998-07-20,13.094,13.282,13.0,13.28,57000,O
O,1998-07-21,13.0,13.157,13.0,13.1,54800,O
O,1998-07-22,12.969,13.0,12.875,13.0,95200,O
O,1998-07-23,12.813,12.907,12.782,12.9,57000,O
O,1998-07-24,12.719,12.813,12.719,12.75,70800,O
O,1998-07-27,12.75,12.75,12.594,12.69,60200,O
O,1998-07-28,12.563,12.75,12.438,12.75,93600,O
O,1998-07-29,12.5,12.594,12.438,12.44,67200,O
O,1998-07-30,12.407,12.5,12.407,12.44,33800,O
O,1998-07-31,12.032,12.25,11.875,12.22,198400,O
O,1998-08-03,11.969,12.032,11.719,11.9,105600,O
O,1998-08-04,11.938,12.063,11.875,12.0,80800,O
O,1998-08-05,11.875,12.032,11.782,11.94,123800,O
O,1998-08-06,12.032,12.094,11.938,11.94,58200,O
O,1998-08-07,12.469,12.469,12.0,12.0,77200,O
O,1998-08-10,12.5,12.563,12.407,12.53,46200,O
O,1998-08-11,12.125,12.3125,12.125,12.3125,57200,O
O,1998-08-12,12.469,12.5,12.063,12.19,90400,O
O,1998-08-13,12.344,12.407,12.282,12.35,45000,O
O,1998-08-14,12.594,12.813,12.188,12.5,94400,O
O,1998-08-17,12.719,12.75,12.469,12.53,42200,O
O,1998-08-18,12.782,12.813,12.719,12.72,85600,O
O,1998-08-19,12.469,12.719,12.313,12.719,76000,O
O,1998-08-20,12.563,12.688,12.375,12.4,51400,O
O,1998-08-21,12.688,12.688,12.25,12.56,67200,O
O,1998-08-24,12.5,12.719,12.438,12.63,50800,O
O,1998-08-25,12.438,12.688,12.375,12.53,63600,O
O,1998-08-26,12.438,12.5,12.188,12.5,48600,O
O,1998-08-27,12.313,12.375,12.25,12.375,55400,O
O,1998-08-28,12.032,12.25,11.938,12.03,87600,O
O,1998-08-31,11.782,12.0,11.782,11.97,76200,O
O,1998-09-01,11.844,12.032,11.719,11.72,88800,O
O,1998-09-02,12.032,12.063,11.782,11.782,90600,O
O,1998-09-03,12.0,12.219,11.969,12.1,63799,O
O,1998-09-04,12.0,12.063,11.75,12.06,53200,O
O,1998-09-07,12.0,12.063,11.75,12.06,0,O
O,1998-09-08,12.188,12.375,11.938,11.94,69800,O
O,1998-09-09,12.0,12.188,11.875,12.13,34400,O
O,1998-09-10,12.0,12.125,11.782,11.88,54600,O
O,1998-09-11,12.282,12.313,12.0,12.06,54400,O
O,1998-09-14,12.344,12.375,12.219,12.22,65600,O
O,1998-09-15,12.438,12.5,12.25,12.28,83200,O
O,1998-09-16,12.563,12.625,12.313,12.5,56800,O
O,1998-09-17,12.313,12.5,12.219,12.5,53800,O
O,1998-09-18,12.313,12.469,12.188,12.44,180200,O
O,1998-09-21,12.688,12.688,12.063,12.19,97200,O
O,1998-09-22,12.719,12.813,12.688,12.81,85400,O
O,1998-09-23,12.844,12.938,12.625,12.72,147400,O
O,1998-09-24,12.625,12.813,12.563,12.78,82600,O
O,1998-09-25,12.875,12.969,12.563,12.63,47800,O
O,1998-09-28,12.75,12.969,12.5,12.9,116600,O
O,1998-09-29,12.625,12.719,12.5,12.53,49400,O
O,1998-09-30,12.438,12.688,12.313,12.688,32800,O
O,1998-10-01,12.594,12.594,12.313,12.47,76800,O
O,1998-10-02,12.344,12.532,12.282,12.5,116600,O
