Symbol,Date,Close,High,Low,Open,Volume,Name
OKE,1998-05-29,8.5497,8.741,8.5221,8.5226,241702,OKE
OKE,1998-06-01,8.358,8.5221,8.3168,8.5221,482034,OKE
OKE,1998-06-02,8.2485,8.5221,8.2214,8.3737,173166,OKE
OKE,1998-06-03,8.2761,8.3308,8.2621,8.2643,307040,OKE
OKE,1998-06-04,8.2214,8.3033,8.1527,8.2906,382429,OKE
OKE,1998-06-05,8.3168,8.3444,8.1667,8.2468,309781,OKE
OKE,1998-06-08,8.481,8.5497,8.2761,8.3168,237590,OKE
OKE,1998-06-09,8.3715,8.5497,8.3444,8.5094,89553,OKE
OKE,1998-06-10,8.0573,8.3308,7.9614,8.33,367351,OKE
OKE,1998-06-11,7.8384,8.1255,7.8244,8.0848,341307,OKE
OKE,1998-06-12,8.0708,8.1527,7.8791,7.8791,453706,OKE
OKE,1998-06-15,7.9478,8.1391,7.9338,8.0279,429490,OKE
OKE,1998-06-16,8.0297,8.0844,7.9478,8.0017,194641,OKE
OKE,1998-06-17,8.235,8.3033,7.9885,8.0454,213831,OKE
OKE,1998-06-18,8.1391,8.3033,8.1255,8.2074,72647,OKE
OKE,1998-06-19,8.1803,8.2074,8.0844,8.0848,212460,OKE
OKE,1998-06-22,8.1667,8.358,8.1667,8.2074,181848,OKE
OKE,1998-06-23,8.3033,8.3444,8.2214,8.2214,339023,OKE
OKE,1998-06-24,8.4263,8.4403,8.3308,8.3562,445939,OKE
OKE,1998-06-25,8.5221,8.5633,8.358,8.4569,652916,OKE
OKE,1998-06-26,8.618,8.6591,8.4538,8.5488,261349,OKE
OKE,1998-06-29,8.5768,8.8093,8.5633,8.5751,131588,OKE
OKE,1998-06-30,8.7274,8.8233,8.6044,8.6057,221141,OKE
OKE,1998-07-01,8.8916,8.8916,8.6863,8.7283,261806,OKE
OKE,1998-07-02,8.6591,8.9599,8.6591,8.9599,294703,OKE
OKE,1998-07-03,8.6591,8.9599,8.6591,8.9599,0,OKE
OKE,1998-07-06,8.7686,8.7686,8.6044,8.6057,281453,OKE
OKE,1998-07-07,8.8369,8.864,8.6998,8.7677,524983,OKE
OKE,1998-07-08,8.5768,8.7821,8.5768,8.7821,365980,OKE
OKE,1998-07-09,8.495,8.6044,8.481,8.5488,140269,OKE
OKE,1998-07-10,8.495,8.5357,8.4674,8.4832,106458,OKE
OKE,1998-07-13,8.4538,8.6044,8.4263,8.4657,77216,OKE
OKE,1998-07-14,8.5633,8.5768,8.4538,8.4963,68992,OKE
OKE,1998-07-15,8.4127,8.5497,8.3856,8.5488,227995,OKE
OKE,1998-07-16,8.4674,8.5086,8.3444,8.3869,239875,OKE
OKE,1998-07-17,8.3308,8.4674,8.2897,8.4263,116967,OKE
OKE,1998-07-20,8.235,8.3715,8.235,8.3168,137071,OKE
OKE,1998-07-21,8.1667,8.2897,8.1667,8.2774,107829,OKE
OKE,1998-07-22,8.098,8.2074,8.098,8.1374,339023,OKE
OKE,1998-07-23,8.0025,8.098,7.9338,8.098,610424,OKE
OKE,1998-07-24,7.9067,8.0433,7.9067,8.0017,289220,OKE
OKE,1998-07-27,7.8791,7.9202,7.852,7.9185,296074,OKE
OKE,1998-07-28,7.7697,7.8244,7.729,7.7434,560622,OKE
OKE,1998-07-29,7.7014,7.8108,7.6878,7.6909,642408,OKE
OKE,1998-07-30,7.7697,7.7837,7.715,7.7171,282367,OKE
OKE,1998-07-31,7.469,7.7837,7.4414,7.7434,551484,OKE
OKE,1998-08-03,7.3731,7.5101,7.3595,7.4808,492543,OKE
OKE,1998-08-04,7.5237,7.6195,7.2637,7.3626,435887,OKE
OKE,1998-08-05,7.5101,7.592,7.4278,7.5508,308410,OKE
OKE,1998-08-06,7.4825,7.5508,7.4278,7.5114,248099,OKE
OKE,1998-08-07,7.4007,7.7014,7.3867,7.4808,454620,OKE
OKE,1998-08-10,7.2637,7.3731,7.2637,7.3713,493000,OKE
OKE,1998-08-11,7.1954,7.2089,7.0724,7.2089,209719,OKE
OKE,1998-08-12,7.3048,7.3595,7.1954,7.2094,185046,OKE
OKE,1998-08-13,7.2089,7.4278,7.1131,7.3188,268203,OKE
OKE,1998-08-14,7.346,7.4142,7.1954,7.2094,358670,OKE
OKE,1998-08-17,7.2225,7.346,7.1131,7.3451,388369,OKE
OKE,1998-08-18,7.3867,7.3867,7.1542,7.2094,358213,OKE
OKE,1998-08-19,7.1818,7.3867,7.1818,7.3867,281910,OKE
OKE,1998-08-20,7.2225,7.2365,7.0312,7.1831,239418,OKE
OKE,1998-08-21,7.2089,7.2089,6.9901,7.1962,254952,OKE
OKE,1998-08-24,7.2225,7.4142,7.1818,7.2225,293332,OKE
OKE,1998-08-25,7.1271,7.3319,7.0312,7.2532,273685,OKE
OKE,1998-08-26,6.9082,7.0995,6.9082,7.0737,254495,OKE
OKE,1998-08-27,6.5388,6.8942,6.5112,6.868,466956,OKE
OKE,1998-08-28,6.6482,6.6618,6.5659,6.5659,906042,OKE
OKE,1998-08-31,6.5799,7.0312,6.5659,6.706,304755,OKE
OKE,1998-09-01,6.7576,6.8671,6.5523,6.5791,412585,OKE
OKE,1998-09-02,6.7029,6.9082,6.6894,6.7323,277798,OKE
OKE,1998-09-03,6.7441,6.7576,6.5799,6.6754,295617,OKE
OKE,1998-09-04,7.1131,7.1954,6.7576,6.7585,310238,OKE
OKE,1998-09-07,7.1131,7.1954,6.7576,6.7585,0,OKE
OKE,1998-09-08,7.4142,7.4142,7.1407,7.17,304298,OKE
OKE,1998-09-09,7.1131,7.4142,7.0995,7.4142,336281,OKE
OKE,1998-09-10,7.2089,7.2365,7.0859,7.1131,113312,OKE
OKE,1998-09-11,7.4414,7.5101,7.1542,7.1542,272315,OKE
OKE,1998-09-14,7.7561,7.7697,7.469,7.472,334454,OKE
OKE,1998-09-15,7.7837,7.852,7.6331,7.7303,196012,OKE
OKE,1998-09-16,7.6742,7.729,7.4961,7.729,139355,OKE
OKE,1998-09-17,7.5784,7.6195,7.5101,7.6195,95036,OKE
OKE,1998-09-18,8.0433,8.0573,7.6878,7.7171,325316,OKE
OKE,1998-09-21,7.8384,8.098,7.7837,7.9885,255866,OKE
OKE,1998-09-22,7.8108,8.0573,7.7972,7.866,225710,OKE
OKE,1998-09-23,8.098,8.1527,7.8108,7.8108,347704,OKE
OKE,1998-09-24,7.8791,8.098,7.8244,8.098,172253,OKE
OKE,1998-09-25,7.7425,7.852,7.715,7.7171,320290,OKE
OKE,1998-09-28,7.469,7.9478,7.4278,7.8397,572501,OKE
OKE,1998-09-29,7.5508,7.5648,7.4007,7.5245,236219,OKE
OKE,1998-09-30,7.4414,7.5237,7.4007,7.5237,286022,OKE
OKE,1998-10-01,7.2912,7.4825,7.2365,7.402,360497,OKE
OKE,1998-10-02,7.5101,7.5237,7.346,7.346,201951,OKE
OKE,1998-10-05,7.4414,7.5101,7.2225,7.5101,290591,OKE
OKE,1998-10-06,7.592,7.6467,7.5237,7.5245,273229,OKE
OKE,1998-10-07,7.592,7.6878,7.4554,7.5902,237133,OKE
OKE,1998-10-08,7.5784,7.6055,7.2912,7.5902,297445,OKE
OKE,1998-10-09,7.4007,7.6195,7.3867,7.6195,286479,OKE
OKE,1998-10-12,7.4142,7.4825,7.4142,7.4414,117881,OKE
OKE,1998-10-13,7.4554,7.469,7.3595,7.402,179563,OKE
OKE,1998-10-14,7.592,7.6878,7.4414,7.4808,215202,OKE
OKE,1998-10-15,7.7837,7.8655,7.5508,7.5639,213374,OKE
OKE,1998-10-16,7.7697,7.9478,7.7561,7.8397,162201,OKE
OKE,1998-10-19,7.7972,7.9338,7.7014,7.7303,155804,OKE
OKE,1998-10-20,7.7561,7.9478,7.715,7.8003,115596,OKE
OKE,1998-10-21,7.6742,7.8108,7.592,7.8091,133873,OKE
OKE,1998-10-22,7.4554,7.6742,7.3867,7.6734,261349,OKE
OKE,1998-10-23,7.6195,7.6331,7.469,7.472,176822,OKE
OKE,1998-10-26,7.7014,7.8384,7.6331,7.6602,149407,OKE
OKE,1998-10-27,7.6602,7.8108,7.6195,7.7565,167227,OKE
OKE,1998-10-28,7.4554,7.7425,7.4007,7.6602,729676,OKE
OKE,1998-10-29,7.4825,7.4825,7.4278,7.4808,79501,OKE
OKE,1998-10-30,7.4961,7.6331,7.4278,7.4983,166770,OKE
OKE,1998-11-02,7.6602,7.6602,7.4961,7.5114,146209,OKE
OKE,1998-11-03,7.6878,7.8791,7.6467,7.6602,175451,OKE
OKE,1998-11-04,7.8384,7.8655,7.6878,7.6909,212003,OKE
OKE,1998-11-05,7.8931,8.0844,7.7697,7.8266,270030,OKE
OKE,1998-11-06,7.8791,7.975,7.7697,7.8397,169511,OKE
OKE,1998-11-09,7.5372,7.9067,7.5237,7.9067,138442,OKE
OKE,1998-11-10,7.6742,7.7697,7.5648,7.6734,228452,OKE
OKE,1998-11-11,7.6878,7.729,7.6195,7.6602,147580,OKE
OKE,1998-11-12,7.7423,8.0843,7.6602,7.6602,191900,OKE
OKE,1998-11-13,7.975,8.0025,7.7837,7.7837,299729,OKE
OKE,1998-11-16,8.1391,8.1803,7.9614,7.9623,381972,OKE
OKE,1998-11-17,7.9067,8.3033,7.9067,8.1374,402076,OKE
OKE,1998-11-18,7.852,8.098,7.715,7.8791,142554,OKE
OKE,1998-11-19,7.8931,7.975,7.8244,7.8528,81785,OKE
OKE,1998-11-20,7.9067,8.0161,7.852,7.8922,62139,OKE
OKE,1998-11-23,7.975,8.0433,7.9067,7.9097,105088,OKE
OKE,1998-11-24,7.8108,7.968,7.7697,7.9491,254039,OKE
OKE,1998-11-25,7.8108,7.968,7.7697,7.9491,0,OKE
OKE,1998-11-26,7.8108,7.968,7.7697,7.9491,0,OKE
OKE,1998-11-27,7.7972,7.7972,7.729,7.7972,38380,OKE
OKE,1998-11-30,7.6195,7.8791,7.5237,7.8003,796841,OKE
OKE,1998-12-01,7.5784,7.592,7.4278,7.5639,279625,OKE
OKE,1998-12-02,7.469,7.5784,7.4142,7.5508,312979,OKE
OKE,1998-12-03,7.4142,7.4961,7.3867,7.472,212460,OKE
OKE,1998-12-04,7.4414,7.4825,7.3595,7.4282,227995,OKE
OKE,1998-12-07,7.4414,7.592,7.4007,7.4414,173623,OKE
OKE,1998-12-08,7.4961,7.5237,7.346,7.3888,184589,OKE
OKE,1998-12-09,7.4278,7.5372,7.3595,7.5372,240788,OKE
OKE,1998-12-10,7.3595,7.4278,7.2501,7.402,258151,OKE
OKE,1998-12-11,7.2772,7.4007,7.2637,7.3319,181848,OKE
OKE,1998-12-14,7.3319,7.4414,7.2637,7.3057,205607,OKE
OKE,1998-12-15,7.2637,7.3595,7.2089,7.2925,391567,OKE
OKE,1998-12-16,7.2089,7.2772,7.1542,7.2619,184589,OKE
OKE,1998-12-17,7.4414,7.4414,7.0859,7.2094,310695,OKE
OKE,1998-12-18,7.6602,7.6878,7.4007,7.472,377860,OKE
OKE,1998-12-21,7.4961,7.7425,7.4961,7.7171,429033,OKE
OKE,1998-12-22,7.469,7.5101,7.4142,7.5101,356842,OKE
OKE,1998-12-23,7.6055,7.6331,7.4278,7.472,169511,OKE
OKE,1998-12-24,7.6878,7.7425,7.6055,7.6208,88182,OKE
OKE,1998-12-25,7.6878,7.7425,7.6055,7.6208,0,OKE
OKE,1998-12-28,7.8384,7.8931,7.6878,7.6909,192356,OKE
OKE,1998-12-29,7.8931,7.9338,7.8244,7.866,244444,OKE
OKE,1998-12-30,8.0433,8.0844,7.9202,7.9202,177279,OKE
OKE,1998-12-31,7.9067,8.0297,7.9067,8.0279,233935,OKE
OKE,1999-01-01,7.9067,8.0297,7.9067,8.0279,0,OKE
OKE,1999-01-04,7.7837,8.1391,7.6878,7.9491,423550,OKE
OKE,1999-01-05,7.8384,7.8931,7.8244,7.8397,258608,OKE
OKE,1999-01-06,7.8384,7.852,7.7014,7.7014,222512,OKE
OKE,1999-01-07,7.7561,7.852,7.6742,7.852,160373,OKE
OKE,1999-01-08,7.729,7.7561,7.6055,7.7561,285108,OKE
OKE,1999-01-11,7.729,7.8244,7.6878,7.6996,157632,OKE
OKE,1999-01-12,7.5648,7.8108,7.5508,7.6996,305212,OKE
OKE,1999-01-13,7.5372,7.5372,7.3319,7.4414,510819,OKE
OKE,1999-01-14,7.3595,7.5101,7.3595,7.4983,188244,OKE
OKE,1999-01-15,7.3048,7.4142,7.2501,7.3626,716426,OKE
OKE,1999-01-18,7.3048,7.4142,7.2501,7.3626,0,OKE
OKE,1999-01-19,7.1407,7.2365,7.0995,7.2356,265461,OKE
OKE,1999-01-20,6.9354,7.1542,6.9354,7.1131,785876,OKE
OKE,1999-01-21,6.9765,6.9765,6.9082,6.9511,335825,OKE
OKE,1999-01-22,6.9629,6.9901,6.9082,6.938,308410,OKE
OKE,1999-01-25,6.9629,6.9629,6.8806,6.9629,220228,OKE
OKE,1999-01-26,6.8535,6.9629,6.8395,6.9629,298815,OKE
OKE,1999-01-27,6.7029,6.8395,6.6482,6.7717,834765,OKE
OKE,1999-01-28,6.3882,6.7029,6.3746,6.7029,1000621,OKE
OKE,1999-01-29,6.4018,6.4293,6.2376,6.4171,562449,OKE
OKE,1999-02-01,6.5659,6.6071,6.4429,6.5134,292875,OKE
OKE,1999-02-02,6.3471,6.6206,6.3063,6.5265,344963,OKE
OKE,1999-02-03,6.3199,6.3471,6.2105,6.3339,441826,OKE
OKE,1999-02-04,6.5112,6.5388,6.2241,6.3777,509905,OKE
OKE,1999-02-05,6.5523,6.6482,6.4841,6.5134,905128,OKE
OKE,1999-02-08,6.5935,6.7576,6.5388,6.5397,290134,OKE
OKE,1999-02-09,6.5112,6.5935,6.4841,6.5935,219314,OKE
OKE,1999-02-10,6.4565,6.5659,6.4293,6.5003,135700,OKE
OKE,1999-02-11,6.2516,6.4018,6.2376,6.4018,373291,OKE
OKE,1999-02-12,6.1282,6.3199,5.9781,6.2683,447309,OKE
OKE,1999-02-15,6.1282,6.3199,5.9781,6.2683,0,OKE
OKE,1999-02-16,6.1282,6.3746,6.0463,6.2114,500310,OKE
OKE,1999-02-17,5.964,6.0875,5.9093,6.0494,355928,OKE
