Symbol,Date,Close,High,Low,Open,Volume,Name
ORCL,1998-05-29,3.938,4.178,3.928,4.13,60900000,ORCL
ORCL,1998-06-01,3.803,4.011,3.75,3.93,39799800,ORCL
ORCL,1998-06-02,4.063,4.094,3.678,3.83,83485800,ORCL
ORCL,1998-06-03,3.928,4.105,3.917,4.09,48964800,ORCL
ORCL,1998-06-04,4.136,4.157,3.938,3.98,46339200,ORCL
ORCL,1998-06-05,4.323,4.417,4.157,4.16,61519200,ORCL
ORCL,1998-06-08,4.313,4.365,4.271,4.28,33982200,ORCL
ORCL,1998-06-09,4.344,4.396,4.303,4.32,25986600,ORCL
ORCL,1998-06-10,4.146,4.344,4.125,4.29,35356800,ORCL
ORCL,1998-06-11,4.063,4.178,4.011,4.178,38995200,ORCL
ORCL,1998-06-12,4.178,4.219,4.032,4.04,52587000,ORCL
ORCL,1998-06-15,4.094,4.25,4.073,4.13,29587200,ORCL
ORCL,1998-06-16,4.042,4.146,3.98,4.13,38972400,ORCL
ORCL,1998-06-17,4.053,4.266,4.021,4.11,65968800,ORCL
ORCL,1998-06-18,4.105,4.24,4.063,4.19,112911600,ORCL
ORCL,1998-06-19,4.042,4.25,3.99,4.11,43806600,ORCL
ORCL,1998-06-22,4.032,4.094,3.959,4.02,39684600,ORCL
ORCL,1998-06-23,4.073,4.167,4.053,4.053,33183000,ORCL
ORCL,1998-06-24,4.167,4.209,4.032,4.11,44263200,ORCL
ORCL,1998-06-25,4.115,4.23,4.084,4.2,32257800,ORCL
ORCL,1998-06-26,4.105,4.136,4.053,4.13,15722400,ORCL
ORCL,1998-06-29,4.084,4.146,4.032,4.13,22618800,ORCL
ORCL,1998-06-30,4.094,4.136,3.99,4.04,30383400,ORCL
ORCL,1998-07-01,4.011,4.094,4.0,4.094,37561200,ORCL
ORCL,1998-07-02,3.813,4.0,3.792,3.98,61006200,ORCL
ORCL,1998-07-03,3.813,4.0,3.792,3.98,0,ORCL
ORCL,1998-07-06,3.844,3.948,3.813,3.86,30359400,ORCL
ORCL,1998-07-07,3.813,3.844,3.771,3.84,25014600,ORCL
