Symbol,Date,Close,High,Low,Open,Volume,Name
PAYX,1998-05-29,16.0,16.167,15.5,15.74,1805400,PAYX
PAYX,1998-06-01,16.667,16.778,15.889,16.07,1831950,PAYX
PAYX,1998-06-02,16.973,17.278,16.736,17.02,2824875,PAYX
PAYX,1998-06-03,16.861,17.111,16.833,17.111,894825,PAYX
PAYX,1998-06-04,16.861,17.0,16.611,16.85,964575,PAYX
PAYX,1998-06-05,16.695,16.945,16.528,16.91,1003949,PAYX
PAYX,1998-06-08,16.806,17.111,16.667,16.68,1836225,PAYX
PAYX,1998-06-09,16.917,17.083,16.806,16.85,1538100,PAYX
PAYX,1998-06-10,16.722,17.083,16.528,16.96,1303875,PAYX
PAYX,1998-06-11,17.083,17.139,16.611,16.79,688050,PAYX
PAYX,1998-06-12,16.778,17.167,16.555,17.15,1196550,PAYX
PAYX,1998-06-15,16.528,17.0,16.222,16.57,857475,PAYX
PAYX,1998-06-16,17.0,17.0,16.555,16.74,785925,PAYX
PAYX,1998-06-17,17.667,17.833,16.889,17.13,1682550,PAYX
PAYX,1998-06-18,17.833,18.055,17.667,17.8,998775,PAYX
PAYX,1998-06-19,17.778,18.139,17.528,18.13,1006200,PAYX
PAYX,1998-06-22,18.611,18.639,17.778,17.91,1149975,PAYX
PAYX,1998-06-23,18.667,18.722,18.278,18.69,1128825,PAYX
PAYX,1998-06-24,18.555,18.833,18.445,18.63,1110825,PAYX
PAYX,1998-06-25,19.389,20.0,18.555,18.57,1587600,PAYX
PAYX,1998-06-26,19.389,19.778,19.278,19.46,1223550,PAYX
PAYX,1998-06-29,19.722,20.0,19.389,19.46,1403325,PAYX
PAYX,1998-06-30,18.0833,19.7778,17.6667,19.7083,5825252,PAYX
PAYX,1998-07-01,19.055,19.722,18.389,18.41,4968450,PAYX
PAYX,1998-07-02,19.806,19.973,18.833,19.13,2380275,PAYX
PAYX,1998-07-03,19.806,19.973,18.833,19.13,0,PAYX
PAYX,1998-07-06,18.7222,19.5556,18.5,18.7222,1568250,PAYX
PAYX,1998-07-07,18.667,19.111,18.473,18.69,1169775,PAYX
PAYX,1998-07-08,18.555,19.111,18.445,18.74,1225125,PAYX
PAYX,1998-07-09,19.0,19.167,18.555,18.63,2149425,PAYX
PAYX,1998-07-10,18.445,19.139,18.445,19.02,742725,PAYX
PAYX,1998-07-13,18.5,19.0,18.139,18.69,1059075,PAYX
PAYX,1998-07-14,19.555,19.667,18.555,18.69,2920500,PAYX
PAYX,1998-07-15,19.555,19.611,18.945,19.55,1126575,PAYX
PAYX,1998-07-16,19.1111,19.5556,18.9166,19.5278,1134000,PAYX
PAYX,1998-07-17,19.111,19.333,19.0,19.333,1550250,PAYX
PAYX,1998-07-20,18.667,19.139,18.445,19.02,959850,PAYX
PAYX,1998-07-21,17.9444,18.7778,17.6667,18.7222,1847025,PAYX
PAYX,1998-07-22,18.306,18.445,17.889,18.1,944325,PAYX
PAYX,1998-07-23,18.667,18.861,18.333,18.46,1292400,PAYX
PAYX,1998-07-24,18.555,18.667,18.167,18.57,617625,PAYX
PAYX,1998-07-27,18.889,18.889,18.222,18.46,783000,PAYX
PAYX,1998-07-28,18.528,18.889,18.5,18.8,1482300,PAYX
PAYX,1998-07-29,18.1944,18.6667,18.1111,18.5555,697050,PAYX
PAYX,1998-07-30,19.583,19.667,18.417,18.44,1386225,PAYX
PAYX,1998-07-31,17.973,19.417,17.945,19.41,1240425,PAYX
PAYX,1998-08-03,17.806,18.389,17.778,18.24,972900,PAYX
PAYX,1998-08-04,17.806,18.389,17.667,18.13,1850400,PAYX
PAYX,1998-08-05,17.3889,18.25,16.8889,17.8333,1118250,PAYX
PAYX,1998-08-06,18.083,18.083,16.889,17.02,1012950,PAYX
PAYX,1998-08-07,18.139,18.889,17.889,18.13,937125,PAYX
PAYX,1998-08-10,17.889,18.222,17.611,18.16,609750,PAYX
PAYX,1998-08-11,17.445,17.833,17.055,17.74,1313100,PAYX
PAYX,1998-08-12,18.083,18.111,17.639,17.8,967950,PAYX
PAYX,1998-08-13,18.5,19.473,17.945,18.08,1576350,PAYX
PAYX,1998-08-14,17.917,18.833,17.778,18.833,633375,PAYX
PAYX,1998-08-17,19.278,19.306,17.889,18.24,1063350,PAYX
PAYX,1998-08-18,19.222,19.555,18.695,19.13,1222200,PAYX
PAYX,1998-08-19,18.722,19.5,18.667,19.35,973350,PAYX
PAYX,1998-08-20,18.5,18.945,18.445,18.69,915300,PAYX
PAYX,1998-08-21,18.167,18.473,17.973,18.41,1727550,PAYX
PAYX,1998-08-24,17.806,18.389,17.778,18.35,917775,PAYX
PAYX,1998-08-25,18.167,18.167,17.555,18.13,1569825,PAYX
PAYX,1998-08-26,17.945,18.111,17.611,17.85,921600,PAYX
PAYX,1998-08-27,16.861,17.889,16.861,17.68,1931850,PAYX
PAYX,1998-08-28,17.333,17.667,17.0,17.3,4051800,PAYX
PAYX,1998-08-31,16.889,17.611,16.833,17.611,3030300,PAYX
PAYX,1998-09-01,17.222,17.222,16.0,16.68,3533175,PAYX
PAYX,1998-09-02,18.417,18.611,17.111,17.3,3392775,PAYX
PAYX,1998-09-03,18.083,18.333,18.0,18.24,1171125,PAYX
PAYX,1998-09-04,18.2778,18.2778,18.0,18.1111,1087875,PAYX
PAYX,1998-09-07,18.2778,18.2778,18.0,18.1111,0,PAYX
PAYX,1998-09-08,19.167,19.222,18.611,18.69,2718675,PAYX
PAYX,1998-09-09,19.278,19.445,19.055,19.19,1980450,PAYX
PAYX,1998-09-10,18.139,19.055,18.055,18.97,3795075,PAYX
PAYX,1998-09-11,18.278,18.555,17.833,18.24,1642950,PAYX
PAYX,1998-09-14,18.889,19.0,18.278,18.35,2022300,PAYX
PAYX,1998-09-15,19.528,19.722,18.806,18.82,2849175,PAYX
PAYX,1998-09-16,19.083,20.055,19.055,19.66,2895300,PAYX
PAYX,1998-09-17,18.5,19.055,18.222,18.52,2772675,PAYX
PAYX,1998-09-18,19.722,19.833,18.555,18.66,2230200,PAYX
PAYX,1998-09-21,20.055,20.111,18.945,19.13,1506150,PAYX
PAYX,1998-09-22,20.833,21.055,19.75,20.13,4619025,PAYX
PAYX,1998-09-23,21.167,21.667,21.055,21.41,4801275,PAYX
PAYX,1998-09-24,21.111,21.695,20.722,21.13,3854925,PAYX
PAYX,1998-09-25,20.5,20.8889,20.1111,20.8889,3390075,PAYX
PAYX,1998-09-28,20.639,20.722,20.473,20.58,2295450,PAYX
PAYX,1998-09-29,20.555,20.722,20.5,20.71,1463400,PAYX
PAYX,1998-09-30,22.917,23.111,21.333,21.8,48238875,PAYX
PAYX,1998-10-01,19.25,21.889,18.945,21.88,20851200,PAYX
PAYX,1998-10-02,20.2222,20.3333,18.1667,19.2639,6453452,PAYX
PAYX,1998-10-05,19.806,20.111,18.389,19.86,3535200,PAYX
PAYX,1998-10-06,20.278,20.555,19.806,20.24,6143400,PAYX
PAYX,1998-10-07,18.639,20.055,18.333,20.02,3492675,PAYX
PAYX,1998-10-08,18.6111,19.0,17.5556,18.6528,3817125,PAYX
PAYX,1998-10-09,19.0,19.0,17.945,18.74,4087575,PAYX
PAYX,1998-10-12,19.389,20.055,19.278,19.58,2220750,PAYX
PAYX,1998-10-13,18.917,19.333,18.611,19.19,1510875,PAYX
PAYX,1998-10-14,19.945,19.945,18.695,18.93,2921175,PAYX
PAYX,1998-10-15,20.111,20.167,19.445,20.02,1878300,PAYX
PAYX,1998-10-16,19.333,20.667,18.833,20.41,2869875,PAYX
