Symbol,Date,Close,High,Low,Open,Volume,Name
PFG,2001-10-23,21.0,21.39,20.4,20.5,32584000,PFG
PFG,2001-10-24,22.15,22.2,21.0,21.1,5847500,PFG
PFG,2001-10-25,21.95,22.15,21.65,22.0,2038800,PFG
PFG,2001-10-26,21.5,22.0,21.4,21.95,3339100,PFG
PFG,2001-10-29,21.2,22.0,21.0,21.95,1758700,PFG
PFG,2001-10-30,22.04,22.25,21.0,21.4,2225300,PFG
PFG,2001-10-31,22.5,23.95,21.95,22.4,5080000,PFG
PFG,2001-11-01,21.95,22.63,21.7,22.63,2747400,PFG
PFG,2001-11-02,22.18,22.25,21.95,22.1,1183800,PFG
PFG,2001-11-05,22.0,22.18,21.75,22.1,1144000,PFG
PFG,2001-11-06,22.6,22.7,21.85,21.92,695100,PFG
PFG,2001-11-07,21.85,22.65,21.65,22.65,1002899,PFG
PFG,2001-11-08,21.82,22.0,21.59,21.95,1642800,PFG
PFG,2001-11-09,21.6,21.7,21.5,21.5,1601000,PFG
PFG,2001-11-12,21.98,22.0,21.32,21.61,1101400,PFG
PFG,2001-11-13,21.85,22.0,21.75,22.0,687300,PFG
PFG,2001-11-14,21.75,22.1,21.4,22.1,1964000,PFG
PFG,2001-11-15,21.93,21.99,21.6,21.65,867300,PFG
PFG,2001-11-16,22.25,22.88,21.98,22.0,1856600,PFG
PFG,2001-11-19,22.33,22.74,22.0,22.0,1216800,PFG
PFG,2001-11-20,22.72,22.75,22.25,22.25,1182300,PFG
PFG,2001-11-21,22.87,22.9,22.65,22.8,1016400,PFG
PFG,2001-11-22,22.87,22.9,22.65,22.8,0,PFG
PFG,2001-11-23,22.38,22.88,22.2,22.88,328800,PFG
PFG,2001-11-26,22.33,22.46,22.0,22.1,2417500,PFG
PFG,2001-11-27,22.4,22.6,22.25,22.25,1536000,PFG
PFG,2001-11-28,22.8,22.93,22.48,22.93,871900,PFG
PFG,2001-11-29,22.88,22.95,22.5,22.8,523100,PFG
PFG,2001-11-30,22.95,23.0,22.7,22.9,2170000,PFG
PFG,2001-12-03,22.95,23.2,22.25,22.98,1027600,PFG
PFG,2001-12-04,22.95,22.99,22.65,22.95,578700,PFG
PFG,2001-12-05,23.2,23.3,22.95,23.03,1370400,PFG
PFG,2001-12-06,23.45,23.81,23.12,23.2,509399,PFG
PFG,2001-12-07,23.45,23.78,23.2,23.3,1165600,PFG
PFG,2001-12-10,23.35,23.44,23.2,23.44,1389400,PFG
PFG,2001-12-11,23.49,23.85,23.35,23.35,1376300,PFG
PFG,2001-12-12,23.65,23.95,23.5,23.65,1933800,PFG
PFG,2001-12-13,23.48,23.75,23.35,23.75,1813400,PFG
PFG,2001-12-14,24.08,24.35,23.4,23.4,2133900,PFG
PFG,2001-12-17,23.69,24.75,23.52,24.28,1286800,PFG
PFG,2001-12-18,23.69,24.09,23.5,23.9,1949800,PFG
PFG,2001-12-19,23.51,24.12,23.0,23.88,3143500,PFG
PFG,2001-12-20,23.58,23.7,23.0,23.51,3660000,PFG
PFG,2001-12-21,23.37,23.56,23.08,23.1,2746400,PFG
PFG,2001-12-24,23.4,23.49,23.3,23.4,1578200,PFG
PFG,2001-12-25,23.4,23.49,23.3,23.4,0,PFG
PFG,2001-12-26,23.3,23.7,23.25,23.5,2152100,PFG
PFG,2001-12-27,23.55,23.86,23.2,23.45,1767400,PFG
PFG,2001-12-28,23.5,24.05,23.4,23.6,1977900,PFG
PFG,2001-12-31,24.0,24.0,23.55,23.6,1596000,PFG
PFG,2002-01-01,24.0,24.0,23.55,23.6,0,PFG
PFG,2002-01-02,23.83,24.2,23.45,24.05,2708100,PFG
PFG,2002-01-03,23.75,23.95,23.55,23.81,1501300,PFG
PFG,2002-01-04,23.95,24.26,23.75,23.8,2971800,PFG
PFG,2002-01-07,23.85,24.07,23.4,24.0,2193000,PFG
PFG,2002-01-08,24.08,24.15,23.52,23.75,2397100,PFG
PFG,2002-01-09,23.9,24.15,23.72,24.08,2569100,PFG
PFG,2002-01-10,24.2,24.3,24.0,24.3,2023899,PFG
PFG,2002-01-11,24.0,24.26,23.75,24.2,1845800,PFG
PFG,2002-01-14,23.98,24.15,23.8,24.05,1516500,PFG
PFG,2002-01-15,23.8,24.06,23.65,23.85,1548300,PFG
PFG,2002-01-16,23.7,23.95,23.54,23.95,1409800,PFG
PFG,2002-01-17,24.18,24.18,23.77,23.78,2317000,PFG
PFG,2002-01-18,24.2,24.4,23.94,24.3,1503600,PFG
PFG,2002-01-21,24.2,24.4,23.94,24.3,0,PFG
PFG,2002-01-22,24.48,24.55,24.23,24.5,2034700,PFG
PFG,2002-01-23,23.8,24.58,23.75,24.5,2306700,PFG
PFG,2002-01-24,24.15,24.25,23.99,24.1,2413800,PFG
PFG,2002-01-25,25.64,26.0,24.08,24.25,2492400,PFG
PFG,2002-01-28,26.0,26.2,25.05,25.44,1486900,PFG
PFG,2002-01-29,25.97,27.05,25.75,25.9,2980800,PFG
PFG,2002-01-30,25.5,26.1,25.0,25.95,1649600,PFG
PFG,2002-01-31,25.45,25.58,25.0,25.58,2352100,PFG
PFG,2002-02-01,24.4,25.15,24.4,25.15,4133400,PFG
PFG,2002-02-04,23.75,24.54,22.2,24.3,3861300,PFG
PFG,2002-02-05,23.25,23.6,22.9,23.5,3429600,PFG
PFG,2002-02-06,23.92,24.2,23.77,24.0,2646700,PFG
PFG,2002-02-07,24.0,24.39,23.85,23.92,1683100,PFG
PFG,2002-02-08,24.79,24.79,24.02,24.1,1213300,PFG
PFG,2002-02-11,24.36,25.06,24.22,24.85,2064499,PFG
PFG,2002-02-12,24.8,24.84,24.42,24.5,1156500,PFG
PFG,2002-02-13,24.75,25.3,24.6,24.9,1899000,PFG
PFG,2002-02-14,24.36,24.75,24.0,24.75,2920700,PFG
PFG,2002-02-15,24.05,24.5,23.7,24.5,1300000,PFG
PFG,2002-02-18,24.05,24.5,23.7,24.5,0,PFG
PFG,2002-02-19,23.58,24.0,23.3,23.99,2002100,PFG
PFG,2002-02-20,23.55,23.78,23.38,23.72,943100,PFG
PFG,2002-02-21,23.2,23.9,23.05,23.65,1624200,PFG
PFG,2002-02-22,22.5,23.4,22.0,23.4,2532900,PFG
PFG,2002-02-25,23.19,23.24,22.9,22.9,2515300,PFG
PFG,2002-02-26,23.7,23.95,23.12,23.4,1164500,PFG
PFG,2002-02-27,24.44,24.47,23.8,23.8,1842500,PFG
PFG,2002-02-28,24.36,24.98,24.0,24.75,1467600,PFG
PFG,2002-03-01,24.8,24.8,24.15,24.3,1293700,PFG
PFG,2002-03-04,25.27,26.0,24.5,24.8,1993100,PFG
PFG,2002-03-05,25.05,25.5,25.04,25.23,2963400,PFG
PFG,2002-03-06,25.0,25.32,24.55,25.2,992800,PFG
PFG,2002-03-07,25.2,25.48,24.55,25.0,1704400,PFG
PFG,2002-03-08,25.05,25.5,25.0,25.15,1085900,PFG
PFG,2002-03-11,25.0,25.24,24.77,25.05,1338800,PFG
PFG,2002-03-12,25.0,25.2,24.88,25.08,615600,PFG
PFG,2002-03-13,25.02,25.12,24.8,25.0,965100,PFG
PFG,2002-03-14,25.42,25.48,25.0,25.0,1636200,PFG
PFG,2002-03-15,25.5,25.75,25.3,25.4,504399,PFG
PFG,2002-03-18,25.5,26.6,25.3,26.5,2773000,PFG
PFG,2002-03-19,25.52,25.9,25.5,25.7,3362800,PFG
PFG,2002-03-20,25.8,25.97,25.47,25.55,1655700,PFG
PFG,2002-03-21,25.78,25.88,25.57,25.85,1791100,PFG
PFG,2002-03-22,25.8,25.85,25.64,25.85,1944400,PFG
PFG,2002-03-25,25.45,25.8,25.08,25.8,2036099,PFG
PFG,2002-03-26,25.5,25.58,25.25,25.44,1944000,PFG
PFG,2002-03-27,25.67,25.67,25.5,25.58,1618200,PFG
PFG,2002-03-28,25.3,25.8,25.2,25.75,2301100,PFG
PFG,2002-03-29,25.3,25.8,25.2,25.75,0,PFG
PFG,2002-04-01,25.33,25.45,25.0,25.35,1085900,PFG
PFG,2002-04-02,25.52,25.74,25.3,25.33,1085000,PFG
PFG,2002-04-03,25.45,25.88,25.37,25.75,1117700,PFG
PFG,2002-04-04,26.1,26.15,25.64,25.75,1413400,PFG
PFG,2002-04-05,27.02,27.21,26.1,26.35,1595500,PFG
PFG,2002-04-08,27.44,27.6,26.65,27.03,1636200,PFG
PFG,2002-04-09,27.62,28.03,27.32,27.45,1433300,PFG
PFG,2002-04-10,27.78,28.12,27.38,27.85,944800,PFG
PFG,2002-04-11,27.0,27.95,26.9,27.75,695600,PFG
PFG,2002-04-12,27.3,27.3,27.0,27.05,966400,PFG
PFG,2002-04-15,26.7,27.2,26.41,27.05,1387000,PFG
PFG,2002-04-16,28.0,28.0,27.2,27.2,1809700,PFG
PFG,2002-04-17,28.25,28.7,27.85,28.0,2120500,PFG
PFG,2002-04-18,28.38,28.55,28.0,28.3,795600,PFG
PFG,2002-04-19,28.16,28.4,27.85,28.35,639700,PFG
PFG,2002-04-22,28.49,28.7,28.3,28.3,1078800,PFG
PFG,2002-04-23,27.75,28.65,27.39,28.65,1671900,PFG
PFG,2002-04-24,27.8,28.08,27.8,27.95,918900,PFG
PFG,2002-04-25,27.1,27.7,27.0,27.55,1407200,PFG
PFG,2002-04-26,27.3,27.5,27.05,27.4,1045500,PFG
PFG,2002-04-29,27.48,27.85,27.22,27.5,1101600,PFG
PFG,2002-04-30,27.8,28.1,27.2,27.3,846600,PFG
PFG,2002-05-01,27.72,27.98,27.45,27.85,340300,PFG
PFG,2002-05-02,27.9,27.98,27.62,27.8,1185400,PFG
PFG,2002-05-03,27.04,27.77,26.92,27.75,1404200,PFG
PFG,2002-05-06,27.25,27.57,27.05,27.26,516399,PFG
PFG,2002-05-07,26.73,27.45,26.3,27.4,1160700,PFG
PFG,2002-05-08,27.7,28.1,26.58,26.98,2103600,PFG
PFG,2002-05-09,27.97,28.1,27.25,27.69,1565600,PFG
PFG,2002-05-10,27.86,28.05,27.45,28.05,1142600,PFG
PFG,2002-05-13,28.1,28.38,27.75,28.3,884300,PFG
PFG,2002-05-14,28.3,28.5,28.01,28.5,1503900,PFG
PFG,2002-05-15,28.42,28.5,28.18,28.43,916000,PFG
PFG,2002-05-16,28.8,28.97,28.4,28.55,1052900,PFG
PFG,2002-05-17,28.87,29.1,28.75,28.85,707200,PFG
PFG,2002-05-20,28.93,29.35,28.33,28.81,1011500,PFG
PFG,2002-05-21,29.29,29.7,28.76,29.13,903500,PFG
PFG,2002-05-22,29.31,30.02,29.0,29.6,1140600,PFG
PFG,2002-05-23,28.7,29.32,28.65,29.0,2129400,PFG
PFG,2002-05-24,28.95,29.5,28.5,28.7,931400,PFG
PFG,2002-05-27,28.95,29.5,28.5,28.7,0,PFG
PFG,2002-05-28,29.51,29.73,28.96,29.0,831900,PFG
PFG,2002-05-29,29.35,30.05,29.3,29.95,830700,PFG
PFG,2002-05-30,29.17,29.49,29.08,29.25,824500,PFG
PFG,2002-05-31,30.4,30.65,29.44,29.45,1613400,PFG
PFG,2002-06-03,29.1,29.8,28.92,29.1,2208500,PFG
PFG,2002-06-04,28.57,28.95,28.42,28.9,1398900,PFG
PFG,2002-06-05,28.71,29.6,28.44,28.75,1826000,PFG
PFG,2002-06-06,28.85,29.4,28.72,28.72,1234100,PFG
PFG,2002-06-07,28.67,29.0,28.25,29.0,1497200,PFG
PFG,2002-06-10,29.24,29.42,28.78,28.8,998000,PFG
PFG,2002-06-11,29.15,29.65,29.15,29.15,1156600,PFG
PFG,2002-06-12,29.95,29.99,29.1,29.1,1154600,PFG
PFG,2002-06-13,30.48,31.5,29.94,29.94,2710200,PFG
PFG,2002-06-14,30.31,30.65,30.0,30.3,1642500,PFG
PFG,2002-06-17,30.25,30.65,30.03,30.27,1988600,PFG
PFG,2002-06-18,29.28,30.26,29.02,30.25,1628000,PFG
